Data from terraverdeCiproWhite_Reflection__1__41.txt Node;
"Date: Wed Sep 10 12:38:50 CEST 2025 User: sycur Spectrometer: SR400348 Trigger mode: 0 Integration Time (sec): 1,000000E-2 Scans to average: 10 Electric dark correction enabled: true Nonlinearity correction enabled: false Boxcar width: 10 XAxis mode: Wavelengths Number of Pixels in Spectrum: 3648 >>>>>Begin Spectral Data<<<<<";
286,455;2,21
286,72;2,22
286,985;2,21
287,249;2,21
287,514;2,24
287,779;2,21
288,044;2,23
288,309;2,23
288,573;2,21
288,838;2,24
289,103;2,26
289,367;2,26
289,632;2,28
289,897;2,3
290,161;2,33
290,426;2,34
290,691;2,37
290,955;2,34
291,22;2,33
291,484;2,3
291,749;2,27
292,014;2,27
292,278;2,26
292,543;2,27
292,807;2,27
293,072;2,26
293,336;2,26
293,6;2,26
293,865;2,25
294,129;2,26
294,394;2,25
294,658;2,24
294,922;2,26
295,187;2,23
295,451;2,22
295,715;2,22
295,98;2,23
296,244;2,22
296,508;2,22
296,773;2,24
297,037;2,27
297,301;2,28
297,565;2,3
297,829;2,3
298,094;2,32
298,358;2,31
298,622;2,33
298,886;2,35
299,15;2,39
299,414;2,4
299,678;2,4
299,942;2,4
300,206;2,41
300,47;2,4
300,734;2,42
300,998;2,44
301,262;2,42
301,526;2,4
301,79;2,41
302,054;2,43
302,318;2,44
302,582;2,46
302,846;2,44
303,11;2,45
303,374;2,47
303,637;2,46
303,901;2,48
304,165;2,46
304,429;2,48
304,693;2,45
304,956;2,45
305,22;2,46
305,484;2,48
305,747;2,49
306,011;2,52
306,275;2,51
306,538;2,53
306,802;2,57
307,066;2,61
307,329;2,62
307,593;2,62
307,856;2,61
308,12;2,59
308,384;2,64
308,647;2,64
308,911;2,66
309,174;2,64
309,438;2,64
309,701;2,65
309,964;2,64
310,228;2,66
310,491;2,67
310,755;2,69
311,018;2,69
311,281;2,71
311,545;2,69
311,808;2,7
312,071;2,66
312,335;2,62
312,598;2,61
312,861;2,64
313,124;2,66
313,388;2,69
313,651;2,69
313,914;2,67
314,177;2,64
314,44;2,63
314,704;2,64
314,967;2,65
315,23;2,69
315,493;2,7
315,756;2,7
316,019;2,7
316,282;2,69
316,545;2,67
316,808;2,68
317,071;2,7
317,334;2,71
317,597;2,77
317,86;2,82
318,123;2,85
318,386;2,82
318,649;2,81
318,912;2,82
319,175;2,81
319,437;2,83
319,7;2,85
319,963;2,87
320,226;2,88
320,489;2,86
320,751;2,84
321,014;2,83
321,277;2,83
321,54;2,84
321,802;2,83
322,065;2,82
322,328;2,8
322,59;2,8
322,853;2,79
323,116;2,78
323,378;2,77
323,641;2,75
323,903;2,75
324,166;2,76
324,428;2,71
324,691;2,73
324,953;2,74
325,216;2,76
325,478;2,75
325,741;2,71
326,003;2,74
326,266;2,75
326,528;2,72
326,791;2,74
327,053;2,73
327,315;2,72
327,578;2,76
327,84;2,74
328,102;2,76
328,365;2,76
328,627;2,73
328,889;2,72
329,151;2,75
329,414;2,75
329,676;2,76
329,938;2,78
330,2;2,77
330,462;2,75
330,725;2,77
330,987;2,79
331,249;2,83
331,511;2,81
331,773;2,8
332,035;2,81
332,297;2,81
332,559;2,79
332,821;2,8
333,083;2,78
333,345;2,77
333,607;2,77
333,869;2,77
334,131;2,8
334,393;2,82
334,655;2,79
334,917;2,81
335,179;2,79
335,44;2,82
335,702;2,81
335,964;2,81
336,226;2,79
336,488;2,78
336,749;2,74
337,011;2,76
337,273;2,77
337,535;2,78
337,796;2,75
338,058;2,81
338,32;2,79
338,581;2,78
338,843;2,78
339,105;2,79
339,366;2,81
339,628;2,83
339,889;2,82
340,151;2,79
340,412;2,79
340,674;2,79
340,935;2,79
341,197;2,83
341,458;2,82
341,72;2,81
341,981;2,8
342,243;2,84
342,504;2,85
342,766;2,83
343,027;2,81
343,288;2,86
343,55;2,84
343,811;2,86
344,072;2,84
344,334;2,87
344,595;2,83
344,856;2,83
345,117;2,81
345,379;2,83
345,64;2,88
345,901;2,92
346,162;2,95
346,423;2,94
346,684;2,89
346,946;2,93
347,207;2,94
347,468;2,99
347,729;2,95
347,99;2,96
348,251;2,97
348,512;2,99
348,773;2,96
349,034;2,96
349,295;2,99
349,556;3,01
349,817;3,02
350,078;3,06
350,339;3,06
350,6;3,07
350,86;3,08
351,121;3,03
351,382;3,02
351,643;2,97
351,904;2,93
352,165;2,96
352,425;2,94
352,686;2,96
352,947;2,95
353,208;2,96
353,468;2,94
353,729;2,96
353,99;2,95
354,25;2,96
354,511;2,97
354,772;2,98
355,032;3,02
355,293;2,96
355,553;2,94
355,814;2,94
356,074;2,92
356,335;2,92
356,596;2,97
356,856;2,94
357,116;2,97
357,377;3,02
357,637;2,98
357,898;2,96
358,158;2,94
358,419;2,93
358,679;2,98
358,939;2,97
359,2;2,95
359,46;2,97
359,72;2,96
359,981;2,96
360,241;2,92
360,501;2,89
360,761;2,93
361,022;2,92
361,282;2,92
361,542;2,94
361,802;2,89
362,062;2,88
362,323;2,86
362,583;2,87
362,843;2,84
363,103;2,88
363,363;2,91
363,623;2,9
363,883;2,89
364,143;2,88
364,403;2,87
364,663;2,93
364,923;2,97
365,183;3,01
365,443;3,03
365,703;3,01
365,963;3,04
366,223;3,08
366,483;3,07
366,743;3,06
367,002;3,07
367,262;3,06
367,522;3,05
367,782;3,07
368,042;3,08
368,301;3,13
368,561;3,11
368,821;3,11
369,081;3,11
369,34;3,11
369,6;3,07
369,86;3,1
370,119;3,06
370,379;3,04
370,638;3,07
370,898;3,04
371,158;3,06
371,417;3,03
371,677;3,01
371,936;3,02
372,196;3,06
372,455;3,05
372,715;3,06
372,974;3,1
373,234;3,06
373,493;3,05
373,753;3,03
374,012;3,03
374,271;3,01
374,531;3,02
374,79;3,04
375,049;3,1
375,309;3,1
375,568;3,09
375,827;3,05
376,086;3,03
376,346;3,06
376,605;3,09
376,864;3,06
377,123;3,07
377,383;3,05
377,642;3,05
377,901;3,05
378,16;3,07
378,419;3,01
378,678;3,05
378,937;3,06
379,196;3,08
379,455;3,13
379,714;3,17
379,973;3,19
380,232;3,18
380,491;3,18
380,75;3,18
381,009;3,18
381,268;3,2
381,527;3,21
381,786;3,2
382,045;3,21
382,304;3,24
382,563;3,27
382,821;3,34
383,08;3,33
383,339;3,34
383,598;3,39
383,857;3,43
384,115;3,42
384,374;3,42
384,633;3,43
384,891;3,39
385,15;3,39
385,409;3,44
385,667;3,46
385,926;3,46
386,185;3,49
386,443;3,5
386,702;3,52
386,96;3,49
387,219;3,51
387,477;3,51
387,736;3,53
387,994;3,51
388,253;3,52
388,511;3,53
388,77;3,54
389,028;3,53
389,287;3,54
389,545;3,58
389,803;3,58
390,062;3,58
