Data from terraverdeCiproWhite_Reflection__2__42.txt Node;
"Date: Wed Sep 10 12:39:39 CEST 2025 User: sycur Spectrometer: SR400348 Trigger mode: 0 Integration Time (sec): 1,000000E-2 Scans to average: 10 Electric dark correction enabled: true Nonlinearity correction enabled: false Boxcar width: 10 XAxis mode: Wavelengths Number of Pixels in Spectrum: 3648 >>>>>Begin Spectral Data<<<<<";
286,985;3,4
287,249;3,4
287,514;3,43
287,779;3,42
288,044;3,44
288,309;3,43
288,573;3,45
288,838;3,47
289,103;3,49
289,367;3,51
289,632;3,54
289,897;3,57
290,161;3,6
290,426;3,63
290,691;3,68
290,955;3,66
291,22;3,65
291,484;3,64
291,749;3,6
292,014;3,6
292,278;3,61
292,543;3,62
292,807;3,66
293,072;3,66
293,336;3,66
293,6;3,66
293,865;3,68
294,129;3,68
294,394;3,7
294,658;3,7
294,922;3,69
295,187;3,7
295,451;3,71
295,715;3,71
295,98;3,72
296,244;3,71
296,508;3,72
296,773;3,76
297,037;3,8
297,301;3,82
297,565;3,85
297,829;3,85
298,094;3,88
298,358;3,87
298,622;3,9
298,886;3,93
299,15;3,97
299,414;4
299,678;4,03
299,942;4,02
300,206;4,05
300,47;4,07
300,734;4,08
300,998;4,09
301,262;4,12
301,526;4,12
301,79;4,14
302,054;4,16
302,318;4,15
302,582;4,18
302,846;4,19
303,11;4,21
303,374;4,22
303,637;4,24
303,901;4,25
304,165;4,27
304,429;4,29
304,693;4,28
304,956;4,29
305,22;4,33
305,484;4,37
305,747;4,37
306,011;4,38
306,275;4,36
306,538;4,4
306,802;4,43
307,066;4,45
307,329;4,48
307,593;4,5
307,856;4,49
308,12;4,5
308,384;4,53
308,647;4,56
308,911;4,58
309,174;4,6
309,438;4,61
309,701;4,61
309,964;4,6
310,228;4,59
310,491;4,61
310,755;4,61
311,018;4,62
311,281;4,65
311,545;4,67
311,808;4,7
312,071;4,69
312,335;4,65
312,598;4,67
312,861;4,69
313,124;4,7
313,388;4,77
313,651;4,75
313,914;4,76
314,177;4,73
314,44;4,73
314,704;4,7
314,967;4,72
315,23;4,75
315,493;4,77
315,756;4,79
316,019;4,8
316,282;4,81
316,545;4,8
316,808;4,82
317,071;4,83
317,334;4,86
317,597;4,9
317,86;4,93
318,123;4,93
318,386;4,9
318,649;4,91
318,912;4,91
319,175;4,92
319,437;4,91
319,7;4,94
319,963;4,97
320,226;5
320,489;5,02
320,751;5,02
321,014;5,04
321,277;5,04
321,54;5,01
321,802;5
322,065;5
322,328;4,98
322,59;4,96
322,853;4,94
323,116;4,93
323,378;4,93
323,641;4,91
323,903;4,92
324,166;4,91
324,428;4,87
324,691;4,9
324,953;4,89
325,216;4,89
325,478;4,88
325,741;4,86
326,003;4,86
326,266;4,84
326,528;4,81
326,791;4,82
327,053;4,85
327,315;4,85
327,578;4,88
327,84;4,87
328,102;4,87
328,365;4,89
328,627;4,84
328,889;4,85
329,151;4,87
329,414;4,91
329,676;4,88
329,938;4,89
330,2;4,85
330,462;4,86
330,725;4,82
330,987;4,81
331,249;4,81
331,511;4,8
331,773;4,84
332,035;4,86
332,297;4,86
332,559;4,84
332,821;4,81
333,083;4,77
333,345;4,77
333,607;4,79
333,869;4,81
334,131;4,82
334,393;4,86
334,655;4,8
334,917;4,76
335,179;4,76
335,44;4,79
335,702;4,83
335,964;4,81
336,226;4,85
336,488;4,85
336,749;4,83
337,011;4,83
337,273;4,81
337,535;4,78
337,796;4,73
338,058;4,74
338,32;4,74
338,581;4,76
338,843;4,72
339,105;4,74
339,366;4,72
339,628;4,74
339,889;4,68
340,151;4,71
340,412;4,69
340,674;4,69
340,935;4,66
341,197;4,67
341,458;4,67
341,72;4,66
341,981;4,65
342,243;4,66
342,504;4,67
342,766;4,67
343,027;4,67
343,288;4,69
343,55;4,7
343,811;4,73
344,072;4,69
344,334;4,7
344,595;4,66
344,856;4,67
345,117;4,69
345,379;4,69
345,64;4,72
345,901;4,74
346,162;4,75
346,423;4,77
346,684;4,73
346,946;4,76
347,207;4,75
347,468;4,78
347,729;4,75
347,99;4,75
348,251;4,73
348,512;4,72
348,773;4,69
349,034;4,69
349,295;4,69
349,556;4,76
349,817;4,79
350,078;4,81
350,339;4,81
350,6;4,79
350,86;4,83
351,121;4,82
351,382;4,83
351,643;4,8
351,904;4,78
352,165;4,77
352,425;4,74
352,686;4,76
352,947;4,7
353,208;4,73
353,468;4,71
353,729;4,73
353,99;4,8
354,25;4,83
354,511;4,8
354,772;4,77
355,032;4,77
355,293;4,76
355,553;4,75
355,814;4,74
356,074;4,71
356,335;4,66
356,596;4,69
356,856;4,69
357,116;4,72
357,377;4,73
357,637;4,72
357,898;4,7
358,158;4,67
358,419;4,67
358,679;4,66
358,939;4,65
359,2;4,62
359,46;4,59
359,72;4,57
359,981;4,58
360,241;4,54
360,501;4,49
360,761;4,52
361,022;4,5
361,282;4,46
361,542;4,48
361,802;4,49
362,062;4,42
362,323;4,38
362,583;4,38
362,843;4,35
363,103;4,37
363,363;4,37
363,623;4,36
363,883;4,42
364,143;4,44
364,403;4,44
364,663;4,43
364,923;4,45
365,183;4,47
365,443;4,51
365,703;4,53
365,963;4,55
366,223;4,55
366,483;4,55
366,743;4,58
367,002;4,58
367,262;4,55
367,522;4,58
367,782;4,59
368,042;4,6
368,301;4,6
368,561;4,58
368,821;4,6
369,081;4,63
369,34;4,6
369,6;4,57
369,86;4,57
370,119;4,57
370,379;4,59
370,638;4,61
370,898;4,55
371,158;4,53
371,417;4,52
371,677;4,49
371,936;4,5
372,196;4,48
372,455;4,49
372,715;4,55
372,974;4,56
373,234;4,56
373,493;4,62
373,753;4,66
374,012;4,67
374,271;4,67
374,531;4,67
374,79;4,72
375,049;4,8
375,309;4,81
375,568;4,79
375,827;4,74
376,086;4,71
376,346;4,75
376,605;4,79
376,864;4,8
377,123;4,81
377,383;4,8
377,642;4,87
377,901;4,87
378,16;4,84
378,419;4,85
378,678;4,86
378,937;4,8
379,196;4,8
379,455;4,83
379,714;4,87
379,973;4,91
380,232;4,87
380,491;4,84
380,75;4,87
381,009;4,88
381,268;4,91
381,527;4,92
381,786;4,92
382,045;4,97
382,304;4,99
382,563;5,03
382,821;5,08
383,08;5,06
383,339;5,1
383,598;5,18
383,857;5,17
