Data from terraverdeCiproWhite_Reflection__4__44.txt Node;
"Date: Wed Sep 10 12:41:31 CEST 2025 User: sycur Spectrometer: SR400348 Trigger mode: 0 Integration Time (sec): 1,000000E-2 Scans to average: 10 Electric dark correction enabled: true Nonlinearity correction enabled: false Boxcar width: 10 XAxis mode: Wavelengths Number of Pixels in Spectrum: 3648 >>>>>Begin Spectral Data<<<<<";
286,985;2,12
287,249;2,13
287,514;2,13
287,779;2,14
288,044;2,12
288,309;2,11
288,573;2,1
288,838;2,13
289,103;2,13
289,367;2,12
289,632;2,13
289,897;2,14
290,161;2,16
290,426;2,19
290,691;2,22
290,955;2,18
291,22;2,14
291,484;2,13
291,749;2,1
292,014;2,09
292,278;2,09
292,543;2,11
292,807;2,13
293,072;2,15
293,336;2,11
293,6;2,12
293,865;2,13
294,129;2,13
294,394;2,1
294,658;2,15
294,922;2,17
295,187;2,18
295,451;2,17
295,715;2,16
295,98;2,15
296,244;2,15
296,508;2,17
296,773;2,21
297,037;2,23
297,301;2,26
297,565;2,27
297,829;2,26
298,094;2,27
298,358;2,24
298,622;2,25
298,886;2,3
299,15;2,35
299,414;2,37
299,678;2,41
299,942;2,44
300,206;2,42
300,47;2,43
300,734;2,44
300,998;2,46
301,262;2,48
301,526;2,48
301,79;2,49
302,054;2,51
302,318;2,49
302,582;2,52
302,846;2,51
303,11;2,54
303,374;2,55
303,637;2,58
303,901;2,62
304,165;2,63
304,429;2,64
304,693;2,63
304,956;2,62
305,22;2,62
305,484;2,64
305,747;2,66
306,011;2,69
306,275;2,66
306,538;2,68
306,802;2,71
307,066;2,72
307,329;2,72
307,593;2,72
307,856;2,7
308,12;2,67
308,384;2,72
308,647;2,76
308,911;2,79
309,174;2,78
309,438;2,77
309,701;2,79
309,964;2,79
310,228;2,79
310,491;2,79
310,755;2,79
311,018;2,81
311,281;2,8
311,545;2,79
311,808;2,82
312,071;2,84
312,335;2,8
312,598;2,81
312,861;2,85
313,124;2,88
313,388;2,95
313,651;2,95
313,914;2,92
314,177;2,9
314,44;2,9
314,704;2,89
314,967;2,92
315,23;2,95
315,493;2,94
315,756;2,94
316,019;2,95
316,282;2,99
316,545;2,99
316,808;3,02
317,071;3,02
317,334;3,03
317,597;3,03
317,86;3,08
318,123;3,12
318,386;3,09
318,649;3,07
318,912;3,09
319,175;3,11
319,437;3,13
319,7;3,11
319,963;3,14
320,226;3,16
320,489;3,14
320,751;3,12
321,014;3,12
321,277;3,13
321,54;3,1
321,802;3,06
322,065;3,05
322,328;3,03
322,59;3,06
322,853;3,07
323,116;3,05
323,378;3,01
323,641;2,99
323,903;3,01
324,166;3,01
324,428;2,97
324,691;2,99
324,953;3,01
325,216;3,07
325,478;3,05
325,741;3,01
326,003;3,03
326,266;3,02
326,528;3,01
326,791;3,01
327,053;3,04
327,315;3,03
327,578;3,06
327,84;3,05
328,102;3
328,365;2,99
328,627;2,97
328,889;2,98
329,151;2,97
329,414;2,99
329,676;2,98
329,938;3,01
330,2;2,98
330,462;2,99
330,725;2,94
330,987;2,92
331,249;2,94
331,511;2,89
331,773;2,91
332,035;2,93
332,297;2,92
332,559;2,94
332,821;2,93
333,083;2,89
333,345;2,87
333,607;2,93
333,869;2,94
334,131;2,95
334,393;3,01
334,655;2,99
334,917;2,94
335,179;2,92
335,44;2,9
335,702;2,92
335,964;2,89
336,226;2,91
336,488;2,9
336,749;2,92
337,011;2,92
337,273;2,92
337,535;2,91
337,796;2,89
338,058;2,89
338,32;2,92
338,581;2,91
338,843;2,92
339,105;2,94
339,366;2,95
339,628;2,97
339,889;2,92
340,151;2,91
340,412;2,93
340,674;2,95
340,935;2,95
341,197;2,95
341,458;2,95
341,72;2,93
341,981;2,92
342,243;2,89
342,504;2,93
342,766;2,96
343,027;2,93
343,288;2,97
343,55;2,98
343,811;2,96
344,072;2,92
344,334;2,94
344,595;2,89
344,856;2,84
345,117;2,84
345,379;2,85
345,64;2,88
345,901;2,89
346,162;2,87
346,423;2,87
346,684;2,83
346,946;2,83
347,207;2,79
347,468;2,85
347,729;2,83
347,99;2,79
348,251;2,76
348,512;2,78
348,773;2,77
349,034;2,74
349,295;2,76
349,556;2,81
349,817;2,81
350,078;2,83
350,339;2,85
350,6;2,82
350,86;2,81
351,121;2,78
351,382;2,8
351,643;2,79
351,904;2,77
352,165;2,8
352,425;2,8
352,686;2,85
352,947;2,82
353,208;2,86
353,468;2,85
353,729;2,83
353,99;2,85
354,25;2,86
354,511;2,85
354,772;2,82
355,032;2,83
355,293;2,81
355,553;2,79
355,814;2,78
356,074;2,78
356,335;2,81
356,596;2,87
356,856;2,85
357,116;2,84
357,377;2,89
357,637;2,88
357,898;2,88
358,158;2,86
358,419;2,85
358,679;2,82
358,939;2,83
359,2;2,82
359,46;2,82
359,72;2,82
359,981;2,86
360,241;2,84
360,501;2,83
360,761;2,85
361,022;2,87
361,282;2,86
361,542;2,88
361,802;2,8
362,062;2,77
362,323;2,74
362,583;2,77
362,843;2,72
363,103;2,75
363,363;2,75
363,623;2,73
363,883;2,78
364,143;2,82
364,403;2,84
364,663;2,89
364,923;2,9
365,183;2,92
365,443;2,92
365,703;2,92
365,963;2,92
366,223;2,91
366,483;2,87
366,743;2,89
367,002;2,86
367,262;2,89
367,522;2,88
367,782;2,89
368,042;2,9
368,301;2,91
368,561;2,9
368,821;2,86
369,081;2,89
369,34;2,84
369,6;2,8
369,86;2,77
370,119;2,78
370,379;2,8
370,638;2,76
370,898;2,73
371,158;2,75
371,417;2,77
371,677;2,71
371,936;2,75
372,196;2,76
372,455;2,8
372,715;2,82
372,974;2,83
373,234;2,83
373,493;2,84
373,753;2,88
374,012;2,85
374,271;2,84
374,531;2,83
374,79;2,85
375,049;2,92
375,309;2,91
375,568;2,87
375,827;2,84
376,086;2,81
376,346;2,82
376,605;2,82
376,864;2,8
377,123;2,85
377,383;2,82
377,642;2,85
377,901;2,85
378,16;2,79
378,419;2,76
378,678;2,78
378,937;2,76
379,196;2,73
379,455;2,77
379,714;2,8
379,973;2,81
380,232;2,83
380,491;2,79
380,75;2,79
381,009;2,8
381,268;2,79
381,527;2,84
381,786;2,82
382,045;2,84
382,304;2,83
382,563;2,88
382,821;2,91
383,08;2,88
383,339;2,88
383,598;2,99
383,857;3
384,115;3,01
384,374;3,03
384,633;3,05
384,891;3,06
385,15;3,02
385,409;3,08
385,667;3,04
385,926;3,07
386,185;3,09
386,443;3,11
386,702;3,11
386,96;3,08
387,219;3,1
387,477;3,12
387,736;3,14
387,994;3,16
388,253;3,13
388,511;3,11
388,77;3,1
389,028;3,08
389,287;3,09
389,545;3,08
389,803;3,03
390,062;3
390,32;2,98
390,578;3,02
390,837;3,03
391,095;3,08
391,353;3,06
391,612;3,07
391,87;3,06
392,128;3,09
392,386;3,12
392,644;3,15
392,903;3,15
393,161;3,14
393,419;3,07
393,677;3,1
393,935;3,11
394,193;3,09
394,451;3,08
394,709;3,04
394,967;3,07
395,225;3,12
395,483;3,15
395,741;3,18
395,999;3,22
396,257;3,21
396,515;3,18
396,773;3,19
397,031;3,21
397,289;3,22
397,547;3,21
397,805;3,21
398,062;3,2
398,32;3,19
398,578;3,24
398,836;3,24
399,094;3,24
399,351;3,24
399,609;3,27
399,867;3,26
400,124;3,31
400,382;3,33
400,64;3,34
400,897;3,33
401,155;3,33
401,413;3,29
401,67;3,26
401,928;3,3
402,185;3,27
402,443;3,27
402,701;3,28
402,958;3,3
403,216;3,32
403,473;3,34
403,73;3,36
403,988;3,33
404,245;3,39
404,503;3,37
404,76;3,4
405,018;3,39
405,275;3,41
405,532;3,44
405,79;3,44
406,047;3,43
406,304;3,45
406,561;3,45
406,819;3,55
407,076;3,56
407,333;3,6
407,59;3,67
407,848;3,66
408,105;3,69
408,362;3,7
408,619;3,67
408,876;3,68
409,133;3,67
409,39;3,71
409,647;3,67
409,904;3,66
410,161;3,7
410,418;3,69
410,675;3,68
410,932;3,62
411,189;3,63
411,446;3,61
411,703;3,59
411,96;3,57
412,217;3,49
412,474;3,51
412,731;3,46
412,988;3,45
413,245;3,52
413,501;3,5
413,758;3,51
414,015;3,5
414,272;3,49
414,529;3,54
414,785;3,54
415,042;3,59
415,299;3,68
415,555;3,64
415,812;3,65
416,069;3,66
416,325;3,73
416,582;3,72
416,838;3,8
417,095;3,84
417,352;3,85
417,608;3,88
417,865;3,92
418,121;3,93
418,378;3,94
418,634;3,88
418,891;3,94
419,147;3,97
419,403;4
419,66;4,02
419,916;4,01
420,173;4,01
420,429;3,99
420,685;4
420,942;4,04
421,198;4,03
421,454;4,06
421,711;4,06
421,967;4,06
422,223;4,06
422,479;4,02
422,735;4,08
422,992;4,07
423,248;4,02
423,504;4,08
423,76;4,1
424,016;4,13
424,272;4,09
424,528;4,08
424,784;4,09
425,041;4,09
425,297;4,05
425,553;4,1
425,809;4,14
426,065;4,1
426,32;4,15
426,576;4,2
426,832;4,19
427,088;4,18
427,344;4,16
427,6;4,19
427,856;4,22
428,112;4,21
428,368;4,27
428,623;4,32
428,879;4,3
429,135;4,31
429,391;4,31
429,646;4,34
429,902;4,38
430,158;4,41
430,414;4,4
430,669;4,44
430,925;4,42
431,181;4,4
431,436;4,44
431,692;4,42
431,947;4,43
432,203;4,45
432,458;4,47
432,714;4,53
432,97;4,52
433,225;4,57
433,481;4,57
433,736;4,53
433,991;4,52
434,247;4,52
434,502;4,55
434,758;4,58
435,013;4,57
435,268;4,58
435,524;4,54
435,779;4,56
436,034;4,6
436,29;4,63
436,545;4,65
436,8;4,64
437,056;4,65
437,311;4,65
437,566;4,63
437,821;4,66
438,076;4,66
438,331;4,67
438,587;4,69
438,842;4,67
439,097;4,72
439,352;4,79
439,607;4,75
439,862;4,77
440,117;4,78
440,372;4,79
440,627;4,78
440,882;4,82
441,137;4,86
441,392;4,84
441,647;4,86
441,902;4,89
442,157;4,92
442,412;4,95
442,667;4,99
442,921;5,02
443,176;5,05
443,431;5,07
443,686;5,08
443,941;5,07
444,195;5,11
444,45;5,09
444,705;5,12
444,96;5,17
445,214;5,13
445,469;5,12
445,724;5,17
445,978;5,21
446,233;5,21
446,487;5,23
446,742;5,22
446,997;5,2
447,251;5,2
447,506;5,2
447,76;5,18
448,015;5,16
448,269;5,21
448,524;5,26
448,778;5,25
449,033;5,23
449,287;5,24
449,541;5,28
449,796;5,31
450,05;5,32
450,305;5,34
450,559;5,37
450,813;5,39
451,067;5,34
451,322;5,35
451,576;5,35
451,83;5,4
452,084;5,45
452,339;5,5
452,593;5,53
452,847;5,54
453,101;5,59
453,355;5,62
453,609;5,57
453,864;5,51
454,118;5,54
454,372;5,56
454,626;5,6
454,88;5,64
455,134;5,66
455,388;5,63
455,642;5,62
455,896;5,65
456,15;5,6
456,404;5,67
456,658;5,63
456,912;5,67
457,165;5,65
457,419;5,66
457,673;5,63
457,927;5,54
458,181;5,57
458,435;5,53
458,688;5,51
458,942;5,54
459,196;5,57
459,45;5,59
459,703;5,56
459,957;5,55
460,211;5,52
460,464;5,51
460,718;5,52
460,972;5,54
461,225;5,52
461,479;5,56
461,732;5,56
461,986;5,61
462,239;5,62
462,493;5,62
462,746;5,64
463;5,63
463,253;5,71
463,507;5,69
463,76;5,71
464,014;5,77
464,267;5,78
464,52;5,8
464,774;5,82
465,027;5,94
465,28;5,98
465,534;5,97
465,787;5,99
466,04;6,01
466,294;6,05
466,547;6,06
466,8;6,12
467,053;6,11
467,306;6,11
467,56;6,16
467,813;6,16
468,066;6,11
468,319;6,15
468,572;6,17
468,825;6,22
469,078;6,25
469,331;6,27
469,584;6,3
469,837;6,33
470,09;6,32
470,343;6,25
470,596;6,23
470,849;6,24
471,102;6,24
471,355;6,25
471,608;6,25
471,861;6,3
472,114;6,29
472,367;6,32
472,619;6,35
472,872;6,35
473,125;6,38
473,378;6,44
473,631;6,45
473,883;6,45
474,136;6,46
474,389;6,51
474,641;6,52
474,894;6,51
475,147;6,5
475,399;6,54
475,652;6,59
475,905;6,64
476,157;6,7
476,41;6,74
476,662;6,74
476,915;6,77
477,167;6,77
477,42;6,8
477,672;6,79
477,925;6,79
478,177;6,82
478,43;6,85
478,682;6,85
478,934;6,86
479,187;6,9
479,439;6,88
479,691;6,89
479,944;6,94
480,196;6,97
480,448;7,02
480,701;7,03
480,953;7,05
481,205;7,06
481,457;7,06
481,709;7,08
481,962;7,13
482,214;7,17
482,466;7,2
482,718;7,25
482,97;7,32
483,222;7,36
483,474;7,38
483,726;7,42
483,978;7,44
484,23;7,48
484,482;7,51
484,734;7,53
484,986;7,53
485,238;7,52
485,49;7,53
485,742;7,52
485,994;7,53
486,246;7,54
486,498;7,54
486,75;7,54
487,001;7,54
487,253;7,55
487,505;7,54
487,757;7,57
488,009;7,56
488,26;7,53
488,512;7,54
488,764;7,52
489,015;7,51
489,267;7,53
489,519;7,52
489,77;7,53
490,022;7,56
490,274;7,52
490,525;7,54
490,777;7,54
491,028;7,57
491,28;7,54
491,531;7,56
491,783;7,55
492,034;7,57
492,286;7,59
492,537;7,61
492,789;7,61
493,04;7,59
493,291;7,61
493,543;7,63
493,794;7,63
494,045;7,64
494,297;7,65
494,548;7,67
494,799;7,68
495,051;7,66
495,302;7,68
495,553;7,7
495,804;7,71
496,056;7,74
496,307;7,73
496,558;7,75
496,809;7,74
497,06;7,76
497,311;7,76
497,562;7,78
497,813;7,79
498,064;7,8
498,316;7,83
498,567;7,84
498,818;7,84
499,069;7,86
499,319;7,88
499,57;7,9
499,821;7,89
500,072;7,92
500,323;7,93
500,574;7,94
500,825;7,97
501,076;7,97
501,327;7,98
501,577;8,01
501,828;8,02
502,079;8,02
502,33;8,04
502,58;8,05
502,831;8,04
503,082;8,03
503,333;8,06
503,583;8,05
503,834;8,05
504,084;8,08
504,335;8,08
504,586;8,09
504,836;8,1
505,087;8,11
505,337;8,11
505,588;8,12
505,838;8,13
506,089;8,14
506,339;8,17
506,59;8,19
506,84;8,19
507,091;8,24
507,341;8,27
507,591;8,3
507,842;8,33
508,092;8,36
508,343;8,38
508,593;8,37
508,843;8,39
509,093;8,4
509,344;8,41
509,594;8,43
509,844;8,43
510,094;8,43
510,345;8,45
510,595;8,46
510,845;8,47
511,095;8,49
511,345;8,5
511,595;8,51
511,845;8,53
512,095;8,57
512,345;8,54
512,595;8,57
512,845;8,58
513,095;8,59
513,345;8,6
513,595;8,63
513,845;8,64
514,095;8,65
514,345;8,68
514,595;8,68
514,845;8,72
515,095;8,73
515,345;8,77
515,594;8,79
515,844;8,8
516,094;8,84
516,344;8,86
516,593;8,86
516,843;8,86
517,093;8,88
517,343;8,87
517,592;8,89
517,842;8,93
518,092;8,95
518,341;8,96
518,591;9
518,84;9,01
519,09;9,04
519,34;9,06
519,589;9,07
519,839;9,09
520,088;9,08
520,338;9,1
520,587;9,09
520,836;9,11
521,086;9,13
521,335;9,15
521,585;9,17
521,834;9,2
522,083;9,2
522,333;9,22
522,582;9,26
522,831;9,29
523,081;9,29
523,33;9,29
523,579;9,32
523,828;9,32
524,078;9,33
524,327;9,35
524,576;9,37
524,825;9,38
525,074;9,42
525,323;9,47
525,573;9,49
525,822;9,54
526,071;9,55
526,32;9,57
526,569;9,59
526,818;9,62
527,067;9,64
527,316;9,69
527,565;9,73
527,814;9,73
528,063;9,75
528,312;9,77
528,56;9,81
528,809;9,83
529,058;9,87
529,307;9,92
529,556;9,94
529,805;9,98
530,053;10,02
530,302;10,02
530,551;10,05
530,8;10,09
531,048;10,13
531,297;10,16
531,546;10,2
531,794;10,21
532,043;10,21
532,292;10,25
532,54;10,25
532,789;10,24
533,037;10,28
533,286;10,29
533,535;10,31
533,783;10,31
534,032;10,34
534,28;10,32
534,528;10,32
534,777;10,33
535,025;10,35
535,274;10,36
535,522;10,4
535,771;10,38
536,019;10,39
536,267;10,39
536,516;10,41
536,764;10,43
537,012;10,45
537,26;10,48
537,509;10,5
537,757;10,52
538,005;10,58
538,253;10,59
538,501;10,61
538,75;10,63
538,998;10,68
539,246;10,7
539,494;10,74
539,742;10,75
539,99;10,78
540,238;10,79
540,486;10,82
540,734;10,82
540,982;10,87
541,23;10,87
541,478;10,89
541,726;10,92
541,974;10,93
542,222;10,93
542,47;10,96
542,718;10,97
542,966;10,98
543,213;10,98
543,461;10,99
543,709;11,02
543,957;11,04
544,205;11,04
544,452;11,06
544,7;11,06
544,948;11,11
545,196;11,12
545,443;11,15
545,691;11,17
545,939;11,2
546,186;11,21
546,434;11,24
546,681;11,24
546,929;11,23
547,176;11,21
547,424;11,24
547,671;11,24
547,919;11,27
548,166;11,29
548,414;11,31
548,661;11,34
548,909;11,35
549,156;11,36
549,404;11,37
549,651;11,39
549,898;11,42
550,146;11,42
550,393;11,45
550,64;11,46
550,888;11,45
551,135;11,47
551,382;11,5
551,629;11,48
551,876;11,52
552,124;11,57
552,371;11,63
552,618;11,64
552,865;11,65
553,112;11,64
553,359;11,66
553,606;11,64
553,854;11,64
554,101;11,63
554,348;11,62
554,595;11,65
554,842;11,67
555,089;11,67
555,336;11,7
555,582;11,7
555,829;11,7
556,076;11,7
556,323;11,69
556,57;11,69
556,817;11,73
557,064;11,73
557,311;11,72
557,557;11,71
557,804;11,72
558,051;11,74
558,298;11,75
558,544;11,74
558,791;11,77
559,038;11,76
559,284;11,79
559,531;11,81
559,778;11,78
560,024;11,76
560,271;11,77
560,517;11,75
560,764;11,75
561,011;11,76
561,257;11,77
561,504;11,78
561,75;11,78
561,997;11,74
562,243;11,74
562,489;11,73
562,736;11,72
562,982;11,71
563,229;11,72
563,475;11,74
563,721;11,75
563,968;11,72
564,214;11,76
564,46;11,76
564,707;11,76
564,953;11,77
565,199;11,8
565,445;11,79
565,691;11,79
565,938;11,8
566,184;11,82
566,43;11,83
566,676;11,85
566,922;11,87
567,168;11,92
567,414;11,93
567,66;11,96
567,906;11,98
568,152;12
568,398;12,05
568,644;12,06
568,89;12,07
569,136;12,12
569,382;12,13
569,628;12,13
569,874;12,14
570,12;12,16
570,366;12,17
570,612;12,21
570,857;12,22
571,103;12,23
571,349;12,24
571,595;12,25
571,84;12,25
572,086;12,26
572,332;12,26
572,578;12,28
572,823;12,28
573,069;12,28
573,315;12,28
573,56;12,26
573,806;12,26
574,051;12,28
574,297;12,28
574,542;12,29
574,788;12,3
575,034;12,31
575,279;12,31
575,524;12,32
575,77;12,31
576,015;12,33
576,261;12,34
576,506;12,34
576,752;12,34
576,997;12,33
577,242;12,31
577,488;12,31
577,733;12,29
577,978;12,31
578,223;12,31
578,469;12,32
578,714;12,32
578,959;12,33
579,204;12,32
579,45;12,31
579,695;12,3
579,94;12,29
580,185;12,28
580,43;12,27
580,675;12,24
580,92;12,23
581,165;12,2
581,41;12,19
581,655;12,17
581,9;12,16
582,145;12,15
582,39;12,14
582,635;12,13
582,88;12,14
583,125;12,1
583,37;12,1
583,615;12,07
583,86;12,07
584,105;12,03
584,349;12,01
584,594;11,99
584,839;11,97
585,084;11,95
585,328;11,94
585,573;11,94
585,818;11,93
586,063;11,9
586,307;11,88
586,552;11,85
586,797;11,85
587,041;11,83
587,286;11,81
587,53;11,78
587,775;11,77
588,019;11,75
588,264;11,73
588,508;11,69
588,753;11,67
588,997;11,62
589,242;11,59
589,486;11,56
589,731;11,54
589,975;11,51
590,22;11,5
590,464;11,48
590,708;11,45
590,953;11,42
591,197;11,42
591,441;11,41
591,685;11,41
591,93;11,37
592,174;11,37
592,418;11,35
592,662;11,34
592,907;11,3
593,151;11,28
593,395;11,25
593,639;11,23
593,883;11,21
594,127;11,2
594,371;11,19
594,615;11,18
594,859;11,16
595,103;11,15
595,347;11,11
595,591;11,1
595,835;11,08
596,079;11,06
596,323;11,05
596,567;11,05
596,811;11,02
597,055;11,01
597,299;10,98
597,542;10,96
597,786;10,95
598,03;10,97
598,274;10,95
598,518;10,95
598,761;10,94
599,005;10,94
599,249;10,93
599,492;10,93
599,736;10,93
599,98;10,92
600,223;10,9
600,467;10,9
600,711;10,87
600,954;10,86
601,198;10,85
601,441;10,84
601,685;10,83
601,928;10,83
602,172;10,83
602,415;10,83
602,659;10,81
602,902;10,79
603,145;10,77
603,389;10,76
603,632;10,75
603,876;10,74
604,119;10,72
604,362;10,71
604,606;10,68
604,849;10,68
605,092;10,66
605,335;10,66
605,579;10,64
605,822;10,64
606,065;10,61
606,308;10,61
606,551;10,61
606,794;10,59
607,037;10,56
607,281;10,56
607,524;10,54
607,767;10,53
608,01;10,52
608,253;10,5
608,496;10,48
608,739;10,48
608,982;10,46
609,225;10,44
609,468;10,4
609,711;10,4
609,953;10,36
610,196;10,36
610,439;10,34
610,682;10,32
610,925;10,31
611,168;10,3
611,41;10,27
611,653;10,23
611,896;10,19
612,139;10,18
612,381;10,15
612,624;10,14
612,867;10,11
613,109;10,09
613,352;10,08
613,595;10,07
613,837;10,05
614,08;10,04
614,322;10,03
614,565;10,03
614,807;10,03
615,05;10,01
615,292;9,98
615,535;9,97
615,777;9,96
616,02;9,92
616,262;9,91
616,505;9,9
616,747;9,89
616,989;9,89
617,232;9,88
617,474;9,88
617,716;9,86
617,959;9,86
618,201;9,84
618,443;9,83
618,685;9,81
618,927;9,8
619,17;9,78
619,412;9,79
619,654;9,76
619,896;9,75
620,138;9,75
620,38;9,75
