Data from terraverdeCiproWhite_Reflection__3__43.txt Node;
"Date: Wed Sep 10 12:40:36 CEST 2025 User: sycur Spectrometer: SR400348 Trigger mode: 0 Integration Time (sec): 1,000000E-2 Scans to average: 10 Electric dark correction enabled: true Nonlinearity correction enabled: false Boxcar width: 10 XAxis mode: Wavelengths Number of Pixels in Spectrum: 3648 >>>>>Begin Spectral Data<<<<<";
286,455;4,06
286,72;4,09
286,985;4,08
287,249;4,06
287,514;4,07
287,779;4,08
288,044;4,12
288,309;4,14
288,573;4,13
288,838;4,16
289,103;4,2
289,367;4,22
289,632;4,26
289,897;4,27
290,161;4,34
290,426;4,36
290,691;4,43
290,955;4,42
291,22;4,43
291,484;4,44
291,749;4,42
292,014;4,43
292,278;4,46
292,543;4,51
292,807;4,55
293,072;4,59
293,336;4,6
293,6;4,6
293,865;4,6
294,129;4,62
294,394;4,63
294,658;4,65
294,922;4,65
295,187;4,66
295,451;4,68
295,715;4,69
295,98;4,73
296,244;4,75
296,508;4,79
296,773;4,82
297,037;4,87
297,301;4,93
297,565;4,98
297,829;4,97
298,094;4,97
298,358;4,99
298,622;5,01
298,886;5,05
299,15;5,11
299,414;5,15
299,678;5,19
299,942;5,21
300,206;5,22
300,47;5,26
300,734;5,27
300,998;5,29
301,262;5,28
301,526;5,3
301,79;5,34
302,054;5,38
302,318;5,41
302,582;5,44
302,846;5,45
303,11;5,48
303,374;5,53
303,637;5,57
303,901;5,6
304,165;5,62
304,429;5,65
304,693;5,67
304,956;5,69
305,22;5,75
305,484;5,79
305,747;5,84
306,011;5,89
306,275;5,89
306,538;5,95
306,802;6,01
307,066;6,05
307,329;6,07
307,593;6,08
307,856;6,11
308,12;6,12
308,384;6,15
308,647;6,16
308,911;6,21
309,174;6,24
309,438;6,24
309,701;6,27
309,964;6,29
310,228;6,28
310,491;6,31
310,755;6,31
311,018;6,33
311,281;6,37
311,545;6,38
311,808;6,41
312,071;6,4
312,335;6,39
312,598;6,39
312,861;6,41
313,124;6,45
313,388;6,49
313,651;6,5
313,914;6,54
314,177;6,55
314,44;6,54
314,704;6,56
314,967;6,6
315,23;6,63
315,493;6,66
315,756;6,69
316,019;6,71
316,282;6,73
316,545;6,74
316,808;6,73
317,071;6,75
317,334;6,76
317,597;6,81
317,86;6,82
318,123;6,87
318,386;6,87
318,649;6,85
318,912;6,85
319,175;6,86
319,437;6,85
319,7;6,86
319,963;6,87
320,226;6,88
320,489;6,87
320,751;6,89
321,014;6,87
321,277;6,9
321,54;6,91
321,802;6,91
322,065;6,9
322,328;6,93
322,59;6,93
322,853;6,93
323,116;6,91
323,378;6,92
323,641;6,9
323,903;6,9
324,166;6,94
324,428;6,91
324,691;6,9
324,953;6,91
325,216;6,95
325,478;6,94
325,741;6,92
326,003;6,95
326,266;6,94
326,528;6,95
326,791;6,92
327,053;6,9
327,315;6,92
327,578;6,95
327,84;6,97
328,102;6,93
328,365;6,95
328,627;6,95
328,889;6,95
329,151;6,98
329,414;7,01
329,676;6,99
329,938;7
330,2;7
330,462;7,02
330,725;6,98
330,987;7,01
331,249;7,01
331,511;6,99
331,773;7
332,035;7,03
332,297;7,04
332,559;7,03
332,821;6,97
333,083;6,94
333,345;6,88
333,607;6,94
333,869;6,95
334,131;6,98
334,393;6,99
334,655;6,96
334,917;6,94
335,179;6,93
335,44;6,94
335,702;6,96
335,964;6,95
336,226;6,95
336,488;6,95
336,749;6,97
337,011;6,96
337,273;6,94
337,535;6,91
337,796;6,91
338,058;6,96
338,32;6,97
338,581;6,97
338,843;6,98
339,105;6,96
339,366;6,95
339,628;6,93
339,889;6,92
340,151;6,91
340,412;6,89
340,674;6,9
340,935;6,9
341,197;6,92
341,458;6,91
341,72;6,91
341,981;6,87
342,243;6,86
342,504;6,88
342,766;6,88
343,027;6,9
343,288;6,92
343,55;6,93
343,811;6,96
344,072;6,95
344,334;6,97
344,595;6,96
344,856;6,95
345,117;6,94
345,379;6,95
345,64;6,97
345,901;7,01
346,162;7,01
346,423;7,05
346,684;7,03
346,946;7,05
347,207;7,03
347,468;7,08
347,729;7,1
347,99;7,1
348,251;7,09
348,512;7,08
348,773;7,03
349,034;7
349,295;7,03
349,556;7,06
349,817;7,06
350,078;7,09
350,339;7,08
350,6;7,13
350,86;7,16
351,121;7,13
351,382;7,15
351,643;7,09
351,904;7,02
352,165;7
352,425;7,01
352,686;7,02
352,947;7,02
353,208;6,99
353,468;6,97
353,729;7,01
353,99;7,02
354,25;7,07
354,511;7,05
354,772;7,04
355,032;7,05
355,293;7,09
355,553;7,13
355,814;7,12
356,074;7,11
356,335;7,06
356,596;7,12
356,856;7,12
357,116;7,16
357,377;7,2
357,637;7,22
357,898;7,17
358,158;7,15
358,419;7,17
358,679;7,2
358,939;7,2
359,2;7,17
359,46;7,15
359,72;7,12
359,981;7,15
360,241;7,11
360,501;7,08
360,761;7,06
361,022;7
361,282;7,01
361,542;7
361,802;6,97
362,062;6,91
362,323;6,9
362,583;6,91
362,843;6,9
363,103;6,91
363,363;6,94
363,623;6,95
363,883;6,94
364,143;6,93
364,403;6,92
364,663;6,97
364,923;7,01
365,183;7,02
365,443;7,02
365,703;7,05
365,963;7,06
366,223;7,08
366,483;7,07
366,743;7,06
367,002;7,07
367,262;7,08
367,522;7,15
367,782;7,13
368,042;7,14
368,301;7,16
368,561;7,18
368,821;7,15
369,081;7,16
369,34;7,15
369,6;7,11
369,86;7,15
370,119;7,13
370,379;7,13
370,638;7,16
370,898;7,15
371,158;7,15
371,417;7,17
371,677;7,1
371,936;7,16
372,196;7,19
372,455;7,22
372,715;7,24
372,974;7,24
373,234;7,24
373,493;7,3
373,753;7,31
374,012;7,31
374,271;7,39
374,531;7,34
374,79;7,37
375,049;7,46
375,309;7,44
375,568;7,45
375,827;7,45
376,086;7,46
376,346;7,48
376,605;7,51
376,864;7,53
377,123;7,6
377,383;7,55
377,642;7,61
377,901;7,65
378,16;7,65
378,419;7,65
378,678;7,68
378,937;7,67
379,196;7,68
379,455;7,7
379,714;7,72
379,973;7,82
380,232;7,84
380,491;7,81
380,75;7,86
381,009;7,92
381,268;7,97
381,527;7,98
381,786;8,02
382,045;8,03
382,304;8,06
382,563;8,09
382,821;8,19
383,08;8,15
383,339;8,19
383,598;8,3
383,857;8,32
384,115;8,35
384,374;8,39
384,633;8,45
384,891;8,45
385,15;8,45
385,409;8,5
385,667;8,52
385,926;8,58
386,185;8,58
386,443;8,57
386,702;8,56
386,96;8,58
387,219;8,59
387,477;8,66
387,736;8,64
387,994;8,64
388,253;8,65
388,511;8,7
388,77;8,73
389,028;8,71
389,287;8,74
389,545;8,76
389,803;8,73
390,062;8,69
390,32;8,77
390,578;8,81
390,837;8,81
391,095;8,83
391,353;8,88
391,612;8,94
391,87;8,97
392,128;8,98
392,386;9,04
392,644;9,07
392,903;9,05
393,161;9,08
393,419;9,13
393,677;9,16
