Data from terraverdeCiproWhite_Reflection__0__40.txt Node;
"Date: Wed Sep 10 12:37:34 CEST 2025 User: sycur Spectrometer: SR400348 Trigger mode: 0 Integration Time (sec): 1,000000E-2 Scans to average: 10 Electric dark correction enabled: true Nonlinearity correction enabled: false Boxcar width: 10 XAxis mode: Wavelengths Number of Pixels in Spectrum: 3648 >>>>>Begin Spectral Data<<<<<";
286,72;36,71
286,985;36,73
287,249;36,72
287,514;36,79
287,779;36,81
288,044;36,86
288,309;36,84
288,573;36,91
288,838;36,97
289,103;37,02
289,367;37,06
289,632;37,14
289,897;37,16
290,161;37,19
290,426;37,21
290,691;37,28
290,955;37,33
291,22;37,37
291,484;37,41
291,749;37,44
292,014;37,52
292,278;37,6
292,543;37,68
292,807;37,75
293,072;37,8
293,336;37,83
293,6;37,84
293,865;37,87
294,129;37,88
294,394;37,92
294,658;38
294,922;38,04
295,187;38,07
295,451;38,13
295,715;38,18
295,98;38,25
296,244;38,25
296,508;38,31
296,773;38,32
297,037;38,42
297,301;38,47
297,565;38,51
297,829;38,51
298,094;38,57
298,358;38,58
298,622;38,61
298,886;38,69
299,15;38,78
299,414;38,89
299,678;38,96
299,942;39,01
300,206;39,01
300,47;39,05
300,734;39,07
300,998;39,09
301,262;39,12
301,526;39,14
301,79;39,18
302,054;39,25
302,318;39,29
302,582;39,35
302,846;39,42
303,11;39,48
303,374;39,5
303,637;39,55
303,901;39,61
304,165;39,67
304,429;39,67
304,693;39,7
304,956;39,74
305,22;39,77
305,484;39,81
305,747;39,87
306,011;39,92
306,275;39,96
306,538;40,02
306,802;40,09
307,066;40,16
307,329;40,19
307,593;40,2
307,856;40,22
308,12;40,22
308,384;40,22
308,647;40,21
308,911;40,22
309,174;40,22
309,438;40,22
309,701;40,22
309,964;40,25
310,228;40,25
310,491;40,23
310,755;40,27
311,018;40,31
311,281;40,33
311,545;40,33
311,808;40,36
312,071;40,35
312,335;40,3
312,598;40,3
312,861;40,32
313,124;40,3
313,388;40,34
313,651;40,34
313,914;40,34
314,177;40,38
314,44;40,46
314,704;40,46
314,967;40,49
315,23;40,53
315,493;40,54
315,756;40,54
316,019;40,55
316,282;40,52
316,545;40,52
316,808;40,49
317,071;40,46
317,334;40,46
317,597;40,5
317,86;40,53
318,123;40,52
318,386;40,51
318,649;40,5
318,912;40,51
319,175;40,5
319,437;40,49
319,7;40,49
319,963;40,46
320,226;40,42
320,489;40,4
320,751;40,35
321,014;40,33
321,277;40,36
321,54;40,31
321,802;40,31
322,065;40,27
322,328;40,26
322,59;40,32
322,853;40,26
323,116;40,22
323,378;40,21
323,641;40,18
323,903;40,21
324,166;40,21
324,428;40,16
324,691;40,11
324,953;40,12
325,216;40,06
325,478;40,03
325,741;40,03
326,003;40,02
326,266;40,01
326,528;39,99
326,791;39,94
327,053;39,94
327,315;39,91
327,578;39,89
327,84;39,86
328,102;39,79
328,365;39,83
328,627;39,79
328,889;39,74
329,151;39,76
329,414;39,72
329,676;39,72
329,938;39,73
330,2;39,72
330,462;39,69
330,725;39,66
330,987;39,65
331,249;39,6
331,511;39,57
331,773;39,59
332,035;39,54
332,297;39,53
332,559;39,5
332,821;39,45
333,083;39,42
333,345;39,4
333,607;39,39
333,869;39,4
334,131;39,4
334,393;39,41
334,655;39,34
334,917;39,29
335,179;39,25
335,44;39,26
335,702;39,27
335,964;39,28
336,226;39,3
336,488;39,28
336,749;39,29
337,011;39,27
337,273;39,24
337,535;39,26
337,796;39,22
338,058;39,24
338,32;39,29
338,581;39,27
338,843;39,27
339,105;39,27
339,366;39,23
339,628;39,22
339,889;39,21
340,151;39,29
340,412;39,29
340,674;39,29
340,935;39,22
341,197;39,2
341,458;39,17
341,72;39,15
341,981;39,1
342,243;39,1
342,504;39,06
342,766;39,05
343,027;39,04
343,288;39,03
343,55;39,02
343,811;38,96
344,072;38,91
344,334;38,89
344,595;38,85
344,856;38,78
345,117;38,72
345,379;38,68
345,64;38,6
345,901;38,57
346,162;38,5
346,423;38,47
346,684;38,37
346,946;38,33
347,207;38,33
347,468;38,31
347,729;38,21
347,99;38,23
348,251;38,13
348,512;38,07
