Data from cinnabarWhite_Reflection__1__16.txt Node;
"Date: Wed Sep 10 11:48:22 CEST 2025 User: sycur Spectrometer: SR400348 Trigger mode: 0 Integration Time (sec): 1,000000E-2 Scans to average: 10 Electric dark correction enabled: true Nonlinearity correction enabled: false Boxcar width: 10 XAxis mode: Wavelengths Number of Pixels in Spectrum: 3648 >>>>>Begin Spectral Data<<<<<";
286,455;4,85
286,72;4,87
286,985;4,85
287,249;4,84
287,514;4,82
287,779;4,82
288,044;4,79
288,309;4,8
288,573;4,79
288,838;4,81
289,103;4,82
289,367;4,82
289,632;4,82
289,897;4,83
290,161;4,84
290,426;4,84
290,691;4,87
290,955;4,83
291,22;4,8
291,484;4,78
291,749;4,72
292,014;4,72
292,278;4,73
292,543;4,74
292,807;4,76
293,072;4,78
293,336;4,77
293,6;4,77
293,865;4,78
294,129;4,78
294,394;4,78
294,658;4,77
294,922;4,76
295,187;4,78
295,451;4,74
295,715;4,74
295,98;4,74
296,244;4,71
296,508;4,73
296,773;4,75
297,037;4,77
297,301;4,81
297,565;4,81
297,829;4,78
298,094;4,77
298,358;4,75
298,622;4,73
298,886;4,74
299,15;4,75
299,414;4,75
299,678;4,78
299,942;4,77
300,206;4,78
300,47;4,79
300,734;4,77
300,998;4,77
301,262;4,78
301,526;4,75
301,79;4,75
302,054;4,77
302,318;4,76
302,582;4,79
302,846;4,75
303,11;4,77
303,374;4,78
303,637;4,81
303,901;4,83
304,165;4,84
304,429;4,84
304,693;4,85
304,956;4,84
305,22;4,82
305,484;4,84
305,747;4,85
306,011;4,87
306,275;4,85
306,538;4,87
306,802;4,86
307,066;4,89
307,329;4,9
307,593;4,88
307,856;4,86
308,12;4,85
308,384;4,87
308,647;4,89
308,911;4,88
309,174;4,86
309,438;4,82
309,701;4,82
309,964;4,84
310,228;4,8
310,491;4,8
310,755;4,83
311,018;4,81
311,281;4,81
311,545;4,8
311,808;4,79
312,071;4,75
312,335;4,72
312,598;4,7
312,861;4,7
313,124;4,69
313,388;4,73
313,651;4,7
313,914;4,7
314,177;4,65
314,44;4,65
314,704;4,64
314,967;4,67
315,23;4,68
315,493;4,64
315,756;4,63
316,019;4,62
316,282;4,6
316,545;4,58
316,808;4,57
317,071;4,58
317,334;4,62
317,597;4,65
317,86;4,67
318,123;4,71
318,386;4,7
318,649;4,67
318,912;4,65
319,175;4,66
319,437;4,65
319,7;4,65
319,963;4,66
320,226;4,65
320,489;4,64
320,751;4,61
321,014;4,62
321,277;4,64
321,54;4,63
321,802;4,63
322,065;4,64
322,328;4,62
322,59;4,59
322,853;4,56
323,116;4,54
323,378;4,53
323,641;4,47
323,903;4,47
324,166;4,48
324,428;4,48
324,691;4,46
324,953;4,46
325,216;4,49
325,478;4,49
325,741;4,49
326,003;4,49
326,266;4,46
326,528;4,44
326,791;4,43
327,053;4,43
327,315;4,43
327,578;4,48
327,84;4,49
328,102;4,48
328,365;4,51
328,627;4,48
328,889;4,49
329,151;4,51
329,414;4,53
329,676;4,51
329,938;4,52
330,2;4,49
330,462;4,49
330,725;4,45
330,987;4,45
331,249;4,44
331,511;4,44
331,773;4,46
332,035;4,47
332,297;4,52
332,559;4,48
332,821;4,46
333,083;4,4
333,345;4,38
333,607;4,41
333,869;4,42
334,131;4,45
334,393;4,46
334,655;4,44
334,917;4,39
335,179;4,39
335,44;4,41
335,702;4,43
335,964;4,4
336,226;4,41
336,488;4,38
336,749;4,4
337,011;4,42
337,273;4,42
337,535;4,41
337,796;4,37
338,058;4,39
338,32;4,38
338,581;4,38
338,843;4,38
339,105;4,35
339,366;4,33
339,628;4,33
339,889;4,31
340,151;4,29
340,412;4,31
340,674;4,3
340,935;4,26
341,197;4,28
341,458;4,29
341,72;4,28
341,981;4,3
342,243;4,32
342,504;4,33
342,766;4,35
343,027;4,3
343,288;4,3
343,55;4,31
343,811;4,3
344,072;4,27
344,334;4,26
344,595;4,29
344,856;4,26
345,117;4,23
345,379;4,22
345,64;4,26
345,901;4,28
346,162;4,27
346,423;4,27
346,684;4,24
346,946;4,25
347,207;4,24
347,468;4,24
347,729;4,19
347,99;4,19
348,251;4,16
348,512;4,18
348,773;4,16
349,034;4,15
349,295;4,2
349,556;4,25
349,817;4,28
350,078;4,26
350,339;4,28
350,6;4,31
350,86;4,35
351,121;4,34
351,382;4,36
351,643;4,35
351,904;4,33
352,165;4,32
352,425;4,33
352,686;4,33
352,947;4,34
353,208;4,31
353,468;4,29
353,729;4,29
353,99;4,32
354,25;4,32
354,511;4,3
354,772;4,25
355,032;4,25
355,293;4,22
355,553;4,19
355,814;4,15
356,074;4,13
356,335;4,1
356,596;4,11
356,856;4,07
357,116;4,05
357,377;4,07
357,637;4,09
357,898;4,05
358,158;4,07
358,419;4,03
358,679;4,07
358,939;4,06
359,2;4,03
359,46;4,02
359,72;4
359,981;4,06
360,241;4,08
360,501;4,03
360,761;4,08
361,022;4,09
361,282;4,11
361,542;4,12
361,802;4,07
362,062;4,01
362,323;4,01
362,583;4,07
362,843;4,02
363,103;4,05
363,363;4,06
363,623;3,99
363,883;4,06
364,143;4,06
364,403;4,05
364,663;4,09
364,923;4,11
365,183;4,18
365,443;4,16
365,703;4,16
365,963;4,2
366,223;4,17
366,483;4,16
366,743;4,16
367,002;4,18
367,262;4,16
367,522;4,19
367,782;4,2
368,042;4,18
368,301;4,21
368,561;4,23
368,821;4,21
369,081;4,21
369,34;4,16
369,6;4,13
369,86;4,11
370,119;4,1
370,379;4,13
370,638;4,1
370,898;4,12
371,158;4,09
371,417;4,06
371,677;4,04
371,936;4,04
372,196;4,04
372,455;4,01
372,715;4,04
372,974;4,04
373,234;3,99
373,493;3,99
373,753;4
374,012;3,94
374,271;3,97
374,531;3,98
374,79;3,97
375,049;4,01
375,309;4,02
375,568;3,97
375,827;3,88
376,086;3,9
376,346;3,88
376,605;3,87
376,864;3,83
377,123;3,84
377,383;3,82
377,642;3,85
377,901;3,84
378,16;3,84
378,419;3,81
378,678;3,85
378,937;3,83
379,196;3,81
379,455;3,86
379,714;3,88
379,973;3,89
380,232;3,9
380,491;3,87
380,75;3,83
381,009;3,84
381,268;3,87
381,527;3,87
381,786;3,83
382,045;3,83
382,304;3,85
382,563;3,89
382,821;3,9
383,08;3,87
383,339;3,92
383,598;3,95
383,857;3,98
384,115;3,97
384,374;3,97
384,633;4,02
384,891;3,96
385,15;3,91
385,409;3,93
385,667;3,91
385,926;3,94
386,185;3,98
386,443;3,99
386,702;3,97
386,96;3,94
387,219;3,95
387,477;3,95
387,736;3,96
387,994;3,92
388,253;3,92
388,511;3,91
388,77;3,89
389,028;3,9
389,287;3,9
389,545;3,9
389,803;3,91
390,062;3,84
390,32;3,82
390,578;3,86
390,837;3,86
391,095;3,89
391,353;3,91
391,612;3,92
391,87;3,92
392,128;3,95
392,386;3,95
392,644;3,94
392,903;3,93
393,161;3,94
393,419;3,96
393,677;3,99
393,935;3,98
394,193;3,94
394,451;3,96
394,709;3,89
394,967;3,88
395,225;3,88
395,483;3,93
395,741;3,97
395,999;3,95
396,257;3,96
396,515;3,91
396,773;3,84
397,031;3,84
397,289;3,86
397,547;3,82
397,805;3,84
398,062;3,88
398,32;3,88
398,578;3,88
398,836;3,82
399,094;3,82
399,351;3,76
399,609;3,8
399,867;3,78
400,124;3,84
400,382;3,85
400,64;3,87
400,897;3,82
401,155;3,77
401,413;3,75
401,67;3,74
401,928;3,79
402,185;3,8
402,443;3,78
402,701;3,78
402,958;3,78
403,216;3,73
403,473;3,71
403,73;3,72
403,988;3,72
404,245;3,76
404,503;3,73
404,76;3,74
405,018;3,68
405,275;3,72
405,532;3,72
405,79;3,7
406,047;3,68
406,304;3,72
406,561;3,76
406,819;3,83
407,076;3,79
407,333;3,81
407,59;3,86
407,848;3,86
408,105;3,83
408,362;3,88
408,619;3,95
408,876;3,94
409,133;3,9
409,39;3,9
409,647;3,91
409,904;3,9
410,161;3,98
410,418;4,01
410,675;3,95
410,932;3,92
411,189;3,95
411,446;3,91
411,703;3,85
411,96;3,85
