Data from cinnabarWhite_Reflection__2__17.txt Node;
"Date: Wed Sep 10 11:49:56 CEST 2025 User: sycur Spectrometer: SR400348 Trigger mode: 0 Integration Time (sec): 1,000000E-2 Scans to average: 10 Electric dark correction enabled: true Nonlinearity correction enabled: false Boxcar width: 10 XAxis mode: Wavelengths Number of Pixels in Spectrum: 3648 >>>>>Begin Spectral Data<<<<<";
286,72;8,81
286,985;8,77
287,249;8,73
287,514;8,74
287,779;8,76
288,044;8,73
288,309;8,71
288,573;8,72
288,838;8,72
289,103;8,73
289,367;8,72
289,632;8,72
289,897;8,71
290,161;8,71
290,426;8,69
290,691;8,71
290,955;8,7
291,22;8,68
291,484;8,68
291,749;8,62
292,014;8,63
292,278;8,62
292,543;8,63
292,807;8,65
293,072;8,66
293,336;8,63
293,6;8,65
293,865;8,65
294,129;8,62
294,394;8,61
294,658;8,61
294,922;8,61
295,187;8,6
295,451;8,6
295,715;8,59
295,98;8,58
296,244;8,59
296,508;8,6
296,773;8,59
297,037;8,6
297,301;8,61
297,565;8,6
297,829;8,61
298,094;8,6
298,358;8,58
298,622;8,57
298,886;8,57
299,15;8,57
299,414;8,58
299,678;8,62
299,942;8,62
300,206;8,61
300,47;8,62
300,734;8,61
300,998;8,61
301,262;8,6
301,526;8,56
301,79;8,55
302,054;8,56
302,318;8,56
302,582;8,59
302,846;8,59
303,11;8,59
303,374;8,58
303,637;8,59
303,901;8,61
304,165;8,61
304,429;8,61
304,693;8,61
304,956;8,58
305,22;8,57
305,484;8,58
305,747;8,57
306,011;8,55
306,275;8,54
306,538;8,55
306,802;8,59
307,066;8,64
307,329;8,64
307,593;8,62
307,856;8,61
308,12;8,56
308,384;8,6
308,647;8,61
308,911;8,6
309,174;8,61
309,438;8,57
309,701;8,56
309,964;8,52
310,228;8,51
310,491;8,51
310,755;8,52
311,018;8,52
311,281;8,55
311,545;8,53
311,808;8,51
312,071;8,47
312,335;8,44
312,598;8,42
312,861;8,42
313,124;8,42
313,388;8,43
313,651;8,43
313,914;8,37
314,177;8,31
314,44;8,29
314,704;8,25
314,967;8,24
315,23;8,25
315,493;8,27
315,756;8,26
316,019;8,25
316,282;8,21
316,545;8,19
316,808;8,17
317,071;8,16
317,334;8,19
317,597;8,19
317,86;8,18
318,123;8,17
318,386;8,15
318,649;8,14
318,912;8,09
319,175;8,08
319,437;8,09
319,7;8,12
319,963;8,13
320,226;8,15
320,489;8,16
320,751;8,13
321,014;8,11
321,277;8,08
321,54;8,05
321,802;8,04
322,065;8,02
322,328;7,98
322,59;7,98
322,853;7,96
323,116;7,97
323,378;7,95
323,641;7,93
323,903;7,92
324,166;7,91
324,428;7,92
324,691;7,92
324,953;7,9
325,216;7,87
325,478;7,85
325,741;7,83
326,003;7,81
326,266;7,79
326,528;7,77
326,791;7,73
327,053;7,73
327,315;7,72
327,578;7,75
327,84;7,72
328,102;7,69
328,365;7,69
328,627;7,64
328,889;7,63
329,151;7,63
329,414;7,61
329,676;7,58
329,938;7,56
330,2;7,51
330,462;7,51
330,725;7,52
330,987;7,52
331,249;7,5
331,511;7,48
331,773;7,51
332,035;7,55
332,297;7,6
332,559;7,6
332,821;7,56
333,083;7,53
333,345;7,54
333,607;7,55
333,869;7,59
334,131;7,61
334,393;7,63
334,655;7,56
334,917;7,56
335,179;7,53
335,44;7,55
335,702;7,56
335,964;7,55
336,226;7,54
336,488;7,52
336,749;7,51
337,011;7,51
337,273;7,5
337,535;7,5
337,796;7,44
338,058;7,46
338,32;7,46
338,581;7,46
338,843;7,44
339,105;7,44
339,366;7,42
339,628;7,42
339,889;7,41
340,151;7,45
340,412;7,43
340,674;7,43
340,935;7,39
341,197;7,44
341,458;7,45
341,72;7,44
341,981;7,43
342,243;7,44
342,504;7,45
342,766;7,43
343,027;7,38
343,288;7,41
343,55;7,41
343,811;7,44
344,072;7,37
344,334;7,36
344,595;7,34
344,856;7,31
345,117;7,31
345,379;7,3
345,64;7,32
345,901;7,32
346,162;7,34
346,423;7,36
346,684;7,32
346,946;7,32
347,207;7,31
347,468;7,34
347,729;7,33
347,99;7,31
348,251;7,3
348,512;7,28
348,773;7,26
349,034;7,24
349,295;7,24
349,556;7,28
349,817;7,31
350,078;7,33
350,339;7,29
350,6;7,32
350,86;7,32
351,121;7,27
351,382;7,3
351,643;7,28
351,904;7,22
352,165;7,2
352,425;7,19
352,686;7,2
352,947;7,15
353,208;7,13
353,468;7,12
353,729;7,12
353,99;7,13
354,25;7,13
354,511;7,12
354,772;7,11
355,032;7,14
355,293;7,12
355,553;7,12
355,814;7,15
356,074;7,09
356,335;7,06
356,596;7,11
356,856;7,1
357,116;7,07
357,377;7,11
357,637;7,1
357,898;7,07
358,158;7,03
358,419;7,03
358,679;7,06
358,939;7,04
359,2;7,03
359,46;7,06
359,72;7,05
359,981;7,06
360,241;7,01
360,501;7
360,761;6,99
361,022;6,94
361,282;6,9
361,542;6,9
361,802;6,84
362,062;6,78
362,323;6,71
362,583;6,76
362,843;6,75
363,103;6,74
363,363;6,73
363,623;6,74
363,883;6,73
364,143;6,71
364,403;6,68
364,663;6,69
364,923;6,68
365,183;6,69
365,443;6,7
365,703;6,68
365,963;6,68
366,223;6,69
366,483;6,67
366,743;6,67
367,002;6,7
367,262;6,7
367,522;6,7
367,782;6,71
368,042;6,71
368,301;6,69
368,561;6,71
368,821;6,69
369,081;6,7
369,34;6,69
369,6;6,63
369,86;6,67
370,119;6,67
370,379;6,65
370,638;6,64
370,898;6,62
371,158;6,59
371,417;6,55
371,677;6,53
371,936;6,55
372,196;6,53
372,455;6,5
372,715;6,5
372,974;6,54
373,234;6,51
373,493;6,52
373,753;6,56
374,012;6,53
374,271;6,53
374,531;6,49
374,79;6,5
375,049;6,55
375,309;6,55
375,568;6,5
375,827;6,49
376,086;6,45
376,346;6,44
376,605;6,49
376,864;6,49
377,123;6,44
377,383;6,43
377,642;6,46
377,901;6,48
378,16;6,47
378,419;6,45
378,678;6,46
378,937;6,44
379,196;6,4
379,455;6,43
379,714;6,45
379,973;6,48
380,232;6,47
380,491;6,45
380,75;6,41
381,009;6,37
381,268;6,34
381,527;6,33
381,786;6,31
382,045;6,26
382,304;6,27
382,563;6,31
382,821;6,36
383,08;6,33
383,339;6,33
383,598;6,36
383,857;6,33
384,115;6,33
384,374;6,32
384,633;6,36
384,891;6,31
385,15;6,27
385,409;6,29
385,667;6,27
385,926;6,25
386,185;6,25
386,443;6,33
386,702;6,34
386,96;6,35
387,219;6,36
387,477;6,4
387,736;6,37
387,994;6,39
388,253;6,38
388,511;6,36
388,77;6,34
389,028;6,34
389,287;6,34
389,545;6,31
389,803;6,27
390,062;6,22
390,32;6,23
