Data from cinnabarWhite_Reflection__3__18.txt Node;
"Date: Wed Sep 10 11:51:16 CEST 2025 User: sycur Spectrometer: SR400348 Trigger mode: 0 Integration Time (sec): 1,000000E-2 Scans to average: 10 Electric dark correction enabled: true Nonlinearity correction enabled: false Boxcar width: 10 XAxis mode: Wavelengths Number of Pixels in Spectrum: 3648 >>>>>Begin Spectral Data<<<<<";
286,72;6,43
286,985;6,4
287,249;6,38
287,514;6,38
287,779;6,36
288,044;6,35
288,309;6,33
288,573;6,32
288,838;6,33
289,103;6,34
289,367;6,33
289,632;6,33
289,897;6,31
290,161;6,33
290,426;6,33
290,691;6,35
290,955;6,31
291,22;6,31
291,484;6,27
291,749;6,24
292,014;6,22
292,278;6,2
292,543;6,2
292,807;6,23
293,072;6,23
293,336;6,2
293,6;6,2
293,865;6,2
294,129;6,21
294,394;6,2
294,658;6,2
294,922;6,19
295,187;6,17
295,451;6,17
295,715;6,13
295,98;6,14
296,244;6,11
296,508;6,11
296,773;6,12
297,037;6,13
297,301;6,14
297,565;6,15
297,829;6,12
298,094;6,13
298,358;6,1
298,622;6,11
298,886;6,12
299,15;6,12
299,414;6,14
299,678;6,14
299,942;6,13
300,206;6,12
300,47;6,12
300,734;6,12
300,998;6,1
301,262;6,11
301,526;6,08
301,79;6,09
302,054;6,11
302,318;6,08
302,582;6,09
302,846;6,06
303,11;6,08
303,374;6,09
303,637;6,07
303,901;6,05
304,165;6,04
304,429;6,04
304,693;6,03
304,956;6,01
305,22;6
305,484;6,01
305,747;6,02
306,011;6,03
306,275;6
306,538;5,99
306,802;6,01
307,066;6,02
307,329;5,99
307,593;5,99
307,856;5,98
308,12;5,95
308,384;5,98
308,647;5,97
308,911;5,96
309,174;5,97
309,438;5,96
309,701;5,95
309,964;5,93
310,228;5,92
310,491;5,93
310,755;5,94
311,018;5,94
311,281;5,94
311,545;5,92
311,808;5,91
312,071;5,92
312,335;5,88
312,598;5,9
312,861;5,95
313,124;5,96
313,388;6
313,651;6,01
313,914;5,98
314,177;5,95
314,44;5,95
314,704;5,93
314,967;5,94
315,23;5,94
315,493;5,94
315,756;5,94
316,019;5,96
316,282;5,94
316,545;5,89
316,808;5,88
317,071;5,89
317,334;5,92
317,597;5,92
317,86;5,92
318,123;5,91
318,386;5,87
318,649;5,82
318,912;5,78
319,175;5,77
319,437;5,77
319,7;5,8
319,963;5,82
320,226;5,84
320,489;5,83
320,751;5,82
321,014;5,8
321,277;5,78
321,54;5,72
321,802;5,69
322,065;5,71
322,328;5,69
322,59;5,67
322,853;5,67
323,116;5,67
323,378;5,68
323,641;5,66
323,903;5,68
324,166;5,71
324,428;5,7
324,691;5,68
324,953;5,66
325,216;5,64
325,478;5,62
325,741;5,57
326,003;5,57
326,266;5,57
326,528;5,56
326,791;5,56
327,053;5,58
327,315;5,58
327,578;5,58
327,84;5,58
328,102;5,53
328,365;5,51
328,627;5,45
328,889;5,41
329,151;5,42
329,414;5,41
329,676;5,37
329,938;5,38
330,2;5,37
330,462;5,36
330,725;5,33
330,987;5,32
331,249;5,31
331,511;5,3
331,773;5,29
332,035;5,29
332,297;5,32
332,559;5,31
332,821;5,27
333,083;5,27
333,345;5,26
333,607;5,31
333,869;5,34
334,131;5,37
334,393;5,4
334,655;5,38
334,917;5,34
335,179;5,33
335,44;5,33
335,702;5,34
335,964;5,35
336,226;5,35
336,488;5,35
336,749;5,34
337,011;5,33
337,273;5,31
337,535;5,32
337,796;5,27
338,058;5,29
338,32;5,31
338,581;5,28
338,843;5,28
339,105;5,28
339,366;5,25
339,628;5,24
339,889;5,23
340,151;5,24
340,412;5,27
340,674;5,29
340,935;5,29
341,197;5,31
341,458;5,3
341,72;5,28
341,981;5,25
342,243;5,25
342,504;5,25
342,766;5,25
343,027;5,24
343,288;5,25
343,55;5,25
343,811;5,28
344,072;5,25
344,334;5,24
344,595;5,23
344,856;5,24
345,117;5,26
345,379;5,27
345,64;5,28
345,901;5,25
346,162;5,24
346,423;5,24
346,684;5,2
346,946;5,22
347,207;5,21
347,468;5,27
347,729;5,25
347,99;5,29
348,251;5,31
348,512;5,28
348,773;5,28
349,034;5,22
349,295;5,21
349,556;5,24
349,817;5,26
350,078;5,29
350,339;5,28
350,6;5,29
350,86;5,28
351,121;5,25
351,382;5,28
351,643;5,25
351,904;5,2
352,165;5,17
352,425;5,17
352,686;5,2
352,947;5,16
353,208;5,19
353,468;5,15
353,729;5,16
353,99;5,22
354,25;5,21
354,511;5,23
354,772;5,23
355,032;5,23
355,293;5,19
355,553;5,15
355,814;5,17
356,074;5,15
356,335;5,17
356,596;5,19
356,856;5,19
357,116;5,23
357,377;5,28
357,637;5,3
357,898;5,29
358,158;5,27
358,419;5,27
358,679;5,3
358,939;5,29
359,2;5,25
359,46;5,18
359,72;5,21
359,981;5,25
360,241;5,24
360,501;5,24
360,761;5,22
361,022;5,25
361,282;5,18
361,542;5,19
361,802;5,14
362,062;5,1
362,323;5,06
362,583;5,08
362,843;5,04
363,103;5,07
363,363;5,06
363,623;5,04
363,883;5,07
364,143;5,04
364,403;5,02
364,663;5,03
364,923;5,07
365,183;5,07
365,443;5,06
365,703;5,05
365,963;5,03
366,223;5,1
366,483;5,07
366,743;5,11
367,002;5,14
367,262;5,15
367,522;5,16
367,782;5,18
368,042;5,17
368,301;5,15
368,561;5,13
368,821;5,12
369,081;5,13
369,34;5,1
369,6;5,11
369,86;5,11
370,119;5,12
370,379;5,11
370,638;5,14
370,898;5,09
371,158;5,07
371,417;5,08
371,677;5,01
371,936;5,07
372,196;5,06
372,455;5,01
372,715;5
372,974;5,01
373,234;4,97
373,493;4,99
373,753;5,03
374,012;5,02
374,271;5,03
374,531;5,04
374,79;5,02
375,049;5,04
375,309;5,04
375,568;4,99
375,827;4,96
376,086;4,89
376,346;4,9
376,605;4,88
376,864;4,87
377,123;4,86
377,383;4,8
377,642;4,82
377,901;4,83
378,16;4,82
378,419;4,8
378,678;4,79
378,937;4,78
379,196;4,78
379,455;4,79
379,714;4,8
379,973;4,81
380,232;4,82
380,491;4,77
380,75;4,77
381,009;4,8
381,268;4,84
381,527;4,89
381,786;4,9
382,045;4,92
382,304;4,93
382,563;4,96
382,821;4,99
383,08;5
383,339;5,03
383,598;5,06
383,857;5,07
384,115;5,09
384,374;5,07
384,633;5,09
384,891;5,08
385,15;5,07
385,409;5,1
385,667;5,07
385,926;5,09
386,185;5,08
386,443;5,07
386,702;5,03
386,96;5
387,219;4,99
387,477;5,03
387,736;5,03
387,994;5
388,253;4,99
388,511;4,94
388,77;4,89
389,028;4,9
389,287;4,87
389,545;4,86
389,803;4,82
390,062;4,77
390,32;4,75
390,578;4,76
390,837;4,73
391,095;4,77
391,353;4,79
391,612;4,82
391,87;4,84
392,128;4,88
392,386;4,87
392,644;4,84
392,903;4,8
393,161;4,76
393,419;4,79
393,677;4,77
393,935;4,79
394,193;4,79
394,451;4,78
394,709;4,76
394,967;4,76
395,225;4,79
395,483;4,84
395,741;4,89
395,999;4,89
396,257;4,92
396,515;4,92
396,773;4,94
397,031;4,96
397,289;4,95
397,547;4,91
397,805;4,88
398,062;4,91
398,32;4,9
398,578;4,95
398,836;4,91
399,094;4,88
399,351;4,86
399,609;4,88
