Data from cinnabarWhite_Reflection__0__15.txt Node;
"Date: Wed Sep 10 11:46:58 CEST 2025 User: sycur Spectrometer: SR400348 Trigger mode: 0 Integration Time (sec): 1,000000E-2 Scans to average: 10 Electric dark correction enabled: true Nonlinearity correction enabled: false Boxcar width: 10 XAxis mode: Wavelengths Number of Pixels in Spectrum: 3648 >>>>>Begin Spectral Data<<<<<";
286,72;16,01
286,985;15,98
287,249;15,95
287,514;15,96
287,779;15,93
288,044;15,92
288,309;15,87
288,573;15,84
288,838;15,89
289,103;15,89
289,367;15,86
289,632;15,84
289,897;15,82
290,161;15,83
290,426;15,82
290,691;15,83
290,955;15,8
291,22;15,76
291,484;15,71
291,749;15,7
292,014;15,68
292,278;15,68
292,543;15,7
292,807;15,69
293,072;15,64
293,336;15,61
293,6;15,58
293,865;15,54
294,129;15,53
294,394;15,47
294,658;15,45
294,922;15,45
295,187;15,43
295,451;15,44
295,715;15,39
295,98;15,37
296,244;15,34
296,508;15,32
296,773;15,34
297,037;15,33
297,301;15,28
297,565;15,27
297,829;15,24
298,094;15,22
298,358;15,18
298,622;15,17
298,886;15,18
299,15;15,18
299,414;15,19
299,678;15,2
299,942;15,18
300,206;15,15
300,47;15,13
300,734;15,1
300,998;15,04
301,262;15,05
301,526;14,99
301,79;14,95
302,054;14,95
302,318;14,91
302,582;14,91
302,846;14,89
303,11;14,88
303,374;14,84
303,637;14,82
303,901;14,83
304,165;14,82
304,429;14,81
304,693;14,75
304,956;14,75
305,22;14,72
305,484;14,73
305,747;14,73
306,011;14,71
306,275;14,68
306,538;14,68
306,802;14,69
307,066;14,71
307,329;14,71
307,593;14,69
307,856;14,67
308,12;14,66
308,384;14,65
308,647;14,62
308,911;14,65
309,174;14,61
309,438;14,56
309,701;14,51
309,964;14,47
310,228;14,5
310,491;14,45
310,755;14,43
311,018;14,39
311,281;14,39
311,545;14,4
311,808;14,38
312,071;14,37
312,335;14,32
312,598;14,27
312,861;14,28
313,124;14,27
313,388;14,31
313,651;14,27
313,914;14,23
314,177;14,2
314,44;14,16
314,704;14,16
314,967;14,18
315,23;14,21
315,493;14,19
315,756;14,14
316,019;14,12
316,282;14,11
316,545;14,07
316,808;14,06
317,071;14,04
317,334;14
317,597;13,99
317,86;13,98
318,123;14
318,386;13,95
318,649;13,91
318,912;13,87
319,175;13,87
319,437;13,86
319,7;13,86
319,963;13,84
320,226;13,81
320,489;13,75
320,751;13,7
321,014;13,67
321,277;13,66
321,54;13,6
321,802;13,58
322,065;13,58
322,328;13,54
322,59;13,51
322,853;13,53
323,116;13,5
323,378;13,48
323,641;13,42
323,903;13,42
324,166;13,43
324,428;13,35
324,691;13,31
324,953;13,29
325,216;13,26
325,478;13,22
325,741;13,18
326,003;13,18
326,266;13,16
326,528;13,15
326,791;13,11
327,053;13,16
327,315;13,11
327,578;13,12
327,84;13,09
328,102;13,04
328,365;13,02
328,627;12,98
328,889;12,97
329,151;12,99
329,414;12,96
329,676;12,9
329,938;12,94
330,2;12,9
330,462;12,88
330,725;12,86
330,987;12,88
331,249;12,91
331,511;12,85
331,773;12,85
332,035;12,85
332,297;12,88
332,559;12,82
332,821;12,8
333,083;12,76
333,345;12,75
333,607;12,77
333,869;12,75
334,131;12,79
334,393;12,78
334,655;12,71
334,917;12,69
335,179;12,7
335,44;12,67
335,702;12,68
335,964;12,68
336,226;12,69
336,488;12,65
336,749;12,61
337,011;12,64
337,273;12,65
337,535;12,64
337,796;12,59
338,058;12,64
338,32;12,6
338,581;12,59
338,843;12,57
339,105;12,56
339,366;12,53
339,628;12,5
339,889;12,51
340,151;12,51
340,412;12,48
340,674;12,49
340,935;12,48
341,197;12,49
341,458;12,47
341,72;12,47
341,981;12,45
342,243;12,44
342,504;12,43
342,766;12,38
343,027;12,36
343,288;12,38
343,55;12,37
343,811;12,39
344,072;12,34
344,334;12,34
344,595;12,32
344,856;12,31
345,117;12,32
345,379;12,3
345,64;12,32
345,901;12,33
346,162;12,29
346,423;12,3
346,684;12,27
346,946;12,27
347,207;12,25
347,468;12,27
347,729;12,22
347,99;12,23
348,251;12,22
348,512;12,2
348,773;12,18
349,034;12,13
349,295;12,13
349,556;12,16
349,817;12,14
350,078;12,09
350,339;12,08
350,6;12,06
350,86;12,06
351,121;12,03
351,382;12,01
351,643;11,99
351,904;11,93
352,165;11,88
352,425;11,85
352,686;11,83
352,947;11,79
353,208;11,8
353,468;11,76
353,729;11,73
353,99;11,74
354,25;11,71
354,511;11,69
354,772;11,68
355,032;11,67
355,293;11,66
355,553;11,63
355,814;11,62
356,074;11,58
356,335;11,54
356,596;11,53
356,856;11,48
357,116;11,45
357,377;11,51
357,637;11,53
357,898;11,53
358,158;11,52
358,419;11,49
358,679;11,5
358,939;11,48
359,2;11,45
359,46;11,4
359,72;11,4
359,981;11,36
360,241;11,32
360,501;11,26
360,761;11,23
361,022;11,24
361,282;11,2
361,542;11,21
361,802;11,16
362,062;11,13
362,323;11,13
362,583;11,17
362,843;11,11
363,103;11,09
363,363;11,08
363,623;11,05
363,883;11,09
364,143;11,08
364,403;11,07
364,663;11,08
364,923;11,16
365,183;11,19
365,443;11,21
365,703;11,19
365,963;11,22
366,223;11,25
366,483;11,25
366,743;11,24
367,002;11,26
367,262;11,26
367,522;11,23
367,782;11,24
368,042;11,22
368,301;11,23
368,561;11,22
368,821;11,19
369,081;11,21
369,34;11,16
369,6;11,14
369,86;11,1
370,119;11,14
370,379;11,08
370,638;11,04
370,898;11,02
371,158;11,03
371,417;11,01
371,677;10,96
371,936;10,97
372,196;11
372,455;10,98
372,715;10,96
372,974;11,01
373,234;10,99
373,493;10,97
373,753;10,99
374,012;10,98
374,271;11,01
374,531;10,98
374,79;11,03
375,049;11,07
375,309;11,06
375,568;11,02
375,827;10,97
376,086;10,95
376,346;10,92
376,605;10,92
376,864;10,91
377,123;10,94
377,383;10,92
377,642;10,89
377,901;10,88
378,16;10,89
378,419;10,84
378,678;10,8
378,937;10,8
379,196;10,75
379,455;10,78
379,714;10,72
379,973;10,73
380,232;10,71
380,491;10,65
380,75;10,67
381,009;10,65
381,268;10,7
381,527;10,69
381,786;10,71
382,045;10,69
382,304;10,69
382,563;10,67
382,821;10,69
383,08;10,69
383,339;10,66
383,598;10,67
383,857;10,67
384,115;10,69
384,374;10,66
384,633;10,67
384,891;10,63
385,15;10,58
385,409;10,59
385,667;10,55
385,926;10,5
386,185;10,47
386,443;10,46
386,702;10,41
386,96;10,39
387,219;10,39
387,477;10,45
387,736;10,41
387,994;10,41
388,253;10,39
388,511;10,35
388,77;10,37
389,028;10,34
389,287;10,32
389,545;10,33
389,803;10,34
390,062;10,33
390,32;10,32
390,578;10,36
390,837;10,34
391,095;10,35
391,353;10,38
391,612;10,42
391,87;10,42
392,128;10,43
392,386;10,44
392,644;10,42
392,903;10,36
393,161;10,34
393,419;10,3
393,677;10,27
393,935;10,29
394,193;10,26
394,451;10,25
394,709;10,24
394,967;10,27
395,225;10,25
395,483;10,29
395,741;10,3
395,999;10,32
396,257;10,32
396,515;10,28
396,773;10,25
397,031;10,23
397,289;10,24
397,547;10,19
397,805;10,17
398,062;10,19
398,32;10,16
398,578;10,19
398,836;10,2
399,094;10,16
399,351;10,15
399,609;10,17
399,867;10,15
400,124;10,22
400,382;10,17
400,64;10,19
400,897;10,12
401,155;10,11
401,413;10,09
401,67;10,1
401,928;10,15
402,185;10,16
402,443;10,11
402,701;10,11
402,958;10,14
403,216;10,13
403,473;10,09
403,73;10,13
403,988;10,13
404,245;10,15
404,503;10,15
404,76;10,13
405,018;10,11
405,275;10,15
405,532;10,13
405,79;10,13
406,047;10,12
406,304;10,16
406,561;10,14
406,819;10,2
407,076;10,19
407,333;10,19
407,59;10,2
407,848;10,23
408,105;10,17
408,362;10,23
408,619;10,27
408,876;10,29
409,133;10,24
409,39;10,26
409,647;10,29
409,904;10,28
410,161;10,28
410,418;10,27
410,675;10,26
410,932;10,2
411,189;10,17
411,446;10,12
411,703;10,12
411,96;10,13
412,217;10,07
412,474;10,02
412,731;10,02
412,988;10,03
413,245;10,08
413,501;10,12
413,758;10,05
414,015;10
414,272;10,01
414,529;10,09
414,785;10,05
415,042;10,05
415,299;10,11
415,555;10,09
415,812;10,03
416,069;10,03
416,325;10,03
416,582;10,12
416,838;10,15
417,095;10,12
417,352;10,07
417,608;10,06
417,865;10,08
418,121;10,05
418,378;10,05
418,634;10
418,891;10
419,147;10,02
419,403;10,04
419,66;9,98
419,916;9,94
420,173;9,91
420,429;9,86
420,685;9,84
420,942;9,84
421,198;9,9
421,454;9,9
421,711;9,88
421,967;9,81
422,223;9,83
422,479;9,84
422,735;9,88
422,992;9,92
423,248;9,87
423,504;9,86
423,76;9,88
424,016;9,88
424,272;9,87
424,528;9,88
424,784;9,83
425,041;9,86
425,297;9,84
425,553;9,94
425,809;9,89
426,065;9,84
426,32;9,87
426,576;9,85
426,832;9,82
427,088;9,8
427,344;9,82
427,6;9,87
427,856;9,84
428,112;9,82
428,368;9,79
428,623;9,81
428,879;9,83
429,135;9,81
429,391;9,79
429,646;9,83
429,902;9,79
430,158;9,86
430,414;9,83
430,669;9,84
430,925;9,77
431,181;9,83
431,436;9,91
431,692;9,88
431,947;9,89
432,203;9,87
432,458;9,89
432,714;9,88
432,97;9,86
433,225;9,89
433,481;9,9
433,736;9,89
433,991;9,91
434,247;9,87
434,502;9,88
434,758;9,9
435,013;9,83
435,268;9,82
435,524;9,8
435,779;9,79
436,034;9,79
436,29;9,79
436,545;9,76
436,8;9,71
437,056;9,75
437,311;9,74
437,566;9,74
437,821;9,73
438,076;9,74
438,331;9,71
438,587;9,72
438,842;9,72
439,097;9,73
439,352;9,74
439,607;9,73
439,862;9,68
440,117;9,67
440,372;9,68
440,627;9,7
440,882;9,68
441,137;9,69
441,392;9,69
441,647;9,7
441,902;9,73
442,157;9,73
442,412;9,71
442,667;9,7
442,921;9,7
443,176;9,75
443,431;9,74
443,686;9,73
443,941;9,7
444,195;9,71
444,45;9,68
444,705;9,69
444,96;9,71
445,214;9,72
445,469;9,7
445,724;9,68
445,978;9,69
446,233;9,72
446,487;9,76
446,742;9,75
446,997;9,74
447,251;9,74
447,506;9,74
447,76;9,75
448,015;9,75
448,269;9,82
448,524;9,81
448,778;9,78
449,033;9,75
449,287;9,74
449,541;9,73
449,796;9,77
450,05;9,8
450,305;9,82
450,559;9,83
450,813;9,89
451,067;9,86
451,322;9,86
451,576;9,81
451,83;9,78
452,084;9,79
452,339;9,83
452,593;9,81
452,847;9,82
453,101;9,81
453,355;9,82
453,609;9,77
453,864;9,74
454,118;9,73
454,372;9,78
454,626;9,78
454,88;9,81
455,134;9,81
455,388;9,76
455,642;9,76
455,896;9,73
456,15;9,67
456,404;9,72
456,658;9,66
456,912;9,69
457,165;9,65
457,419;9,64
457,673;9,57
457,927;9,51
458,181;9,5
458,435;9,46
458,688;9,41
458,942;9,41
459,196;9,41
459,45;9,41
459,703;9,41
459,957;9,43
460,211;9,36
460,464;9,35
460,718;9,36
460,972;9,35
461,225;9,35
461,479;9,38
461,732;9,35
461,986;9,35
462,239;9,38
462,493;9,41
462,746;9,45
463;9,44
463,253;9,51
463,507;9,46
463,76;9,5
464,014;9,56
464,267;9,55
464,52;9,56
464,774;9,58
465,027;9,56
465,28;9,57
465,534;9,58
465,787;9,57
466,04;9,56
466,294;9,57
466,547;9,56
466,8;9,54
467,053;9,54
467,306;9,55
467,56;9,57
467,813;9,53
468,066;9,5
468,319;9,53
468,572;9,47
468,825;9,54
469,078;9,56
469,331;9,53
469,584;9,53
469,837;9,54
470,09;9,57
470,343;9,55
470,596;9,55
470,849;9,59
471,102;9,56
471,355;9,58
471,608;9,58
471,861;9,62
472,114;9,65
472,367;9,64
472,619;9,68
472,872;9,64
473,125;9,67
473,378;9,66
473,631;9,7
473,883;9,71
474,136;9,68
474,389;9,7
474,641;9,7
474,894;9,69
475,147;9,69
475,399;9,67
475,652;9,68
475,905;9,7
476,157;9,68
476,41;9,75
476,662;9,76
476,915;9,77
477,167;9,77
477,42;9,79
477,672;9,83
477,925;9,82
478,177;9,86
478,43;9,88
478,682;9,88
478,934;9,86
479,187;9,88
479,439;9,88
479,691;9,87
479,944;9,9
480,196;9,95
480,448;9,98
480,701;10,01
480,953;10,03
481,205;10,02
481,457;10,03
481,709;10
481,962;10,01
482,214;10,05
482,466;10,08
482,718;10,13
482,97;10,18
483,222;10,27
483,474;10,32
483,726;10,36
483,978;10,42
484,23;10,48
484,482;10,49
484,734;10,52
484,986;10,53
485,238;10,53
485,49;10,53
485,742;10,53
485,994;10,52
486,246;10,52
486,498;10,52
486,75;10,53
487,001;10,56
487,253;10,56
487,505;10,54
487,757;10,54
488,009;10,52
488,26;10,5
488,512;10,48
488,764;10,43
489,015;10,41
489,267;10,38
489,519;10,32
489,77;10,33
490,022;10,33
490,274;10,34
490,525;10,35
490,777;10,35
491,028;10,38
491,28;10,42
491,531;10,43
491,783;10,47
492,034;10,5
492,286;10,51
492,537;10,58
492,789;10,59
493,04;10,61
493,291;10,61
493,543;10,63
493,794;10,6
494,045;10,65
494,297;10,66
494,548;10,7
494,799;10,73
495,051;10,76
495,302;10,82
495,553;10,83
495,804;10,85
496,056;10,88
496,307;10,87
496,558;10,9
496,809;10,93
497,06;10,96
497,311;10,95
497,562;10,98
497,813;10,96
498,064;11,01
498,316;11,04
498,567;11,1
498,818;11,1
499,069;11,15
499,319;11,18
499,57;11,21
499,821;11,24
500,072;11,27
500,323;11,3
500,574;11,3
500,825;11,35
501,076;11,4
501,327;11,44
501,577;11,5
501,828;11,53
502,079;11,57
502,33;11,62
502,58;11,69
502,831;11,75
503,082;11,81
503,333;11,87
503,583;11,88
503,834;11,94
504,084;12,02
504,335;12,08
504,586;12,14
504,836;12,23
505,087;12,28
505,337;12,37
505,588;12,45
505,838;12,54
506,089;12,62
506,339;12,69
506,59;12,8
506,84;12,88
507,091;12,98
507,341;13,05
507,591;13,13
507,842;13,21
508,092;13,3
508,343;13,37
508,593;13,45
508,843;13,54
509,093;13,59
509,344;13,68
509,594;13,79
509,844;13,87
510,094;13,94
510,345;14,06
510,595;14,13
510,845;14,21
511,095;14,28
511,345;14,34
511,595;14,44
511,845;14,5
512,095;14,57
512,345;14,61
512,595;14,7
512,845;14,76
513,095;14,86
513,345;14,92
513,595;15
513,845;15,04
514,095;15,13
514,345;15,22
514,595;15,28
514,845;15,3
515,095;15,35
515,345;15,38
515,594;15,41
515,844;15,45
516,094;15,51
516,344;15,56
516,593;15,61
516,843;15,62
517,093;15,66
517,343;15,68
517,592;15,75
517,842;15,78
518,092;15,84
518,341;15,85
518,591;15,89
518,84;15,91
519,09;15,97
519,34;16,02
519,589;16,03
519,839;16,04
520,088;16,11
520,338;16,16
520,587;16,2
520,836;16,23
521,086;16,27
521,335;16,3
521,585;16,34
521,834;16,38
522,083;16,41
522,333;16,45
522,582;16,51
522,831;16,56
523,081;16,58
523,33;16,6
523,579;16,63
523,828;16,69
524,078;16,72
524,327;16,73
524,576;16,75
524,825;16,78
525,074;16,84
525,323;16,86
525,573;16,86
525,822;16,9
526,071;16,93
526,32;16,96
526,569;17
526,818;17,03
527,067;17,05
527,316;17,08
527,565;17,11
527,814;17,13
528,063;17,15
528,312;17,18
528,56;17,18
528,809;17,18
529,058;17,19
529,307;17,22
529,556;17,25
529,805;17,26
530,053;17,29
530,302;17,31
530,551;17,36
530,8;17,39
531,048;17,4
531,297;17,42
531,546;17,42
531,794;17,42
532,043;17,41
532,292;17,45
532,54;17,46
532,789;17,46
533,037;17,48
533,286;17,47
533,535;17,48
533,783;17,51
534,032;17,56
534,28;17,54
534,528;17,55
534,777;17,57
535,025;17,59
535,274;17,63
535,522;17,66
535,771;17,66
536,019;17,69
536,267;17,71
536,516;17,74
536,764;17,8
537,012;17,82
537,26;17,83
537,509;17,85
537,757;17,88
538,005;17,89
538,253;17,91
538,501;17,96
538,75;17,95
538,998;17,99
539,246;17,98
539,494;18,02
539,742;18,04
539,99;18,1
540,238;18,1
540,486;18,12
540,734;18,08
540,982;18,11
541,23;18,13
541,478;18,15
541,726;18,16
541,974;18,17
542,222;18,2
542,47;18,24
542,718;18,26
542,966;18,29
543,213;18,29
543,461;18,33
543,709;18,34
543,957;18,4
544,205;18,4
544,452;18,44
544,7;18,47
544,948;18,52
545,196;18,5
545,443;18,55
545,691;18,56
545,939;18,62
546,186;18,62
546,434;18,65
546,681;18,65
546,929;18,68
547,176;18,69
547,424;18,72
547,671;18,73
547,919;18,75
548,166;18,77
548,414;18,81
548,661;18,83
548,909;18,84
549,156;18,86
549,404;18,89
549,651;18,9
549,898;18,93
550,146;18,93
550,393;18,98
550,64;19
550,888;19,03
551,135;19,06
551,382;19,1
551,629;19,11
551,876;19,17
552,124;19,22
552,371;19,27
552,618;19,27
552,865;19,32
553,112;19,35
553,359;19,4
553,606;19,44
553,854;19,47
554,101;19,5
554,348;19,55
554,595;19,59
554,842;19,62
555,089;19,64
555,336;19,69
555,582;19,73
555,829;19,75
556,076;19,79
556,323;19,81
556,57;19,83
556,817;19,9
557,064;19,92
557,311;19,94
557,557;19,96
557,804;20,04
558,051;20,05
558,298;20,1
558,544;20,13
558,791;20,15
559,038;20,17
559,284;20,22
559,531;20,27
