Data from sienaBrucWhite_Reflection__3__57.txt Node;
"Date: Thu Sep 11 17:17:03 CEST 2025 User: sycur";
291,22;3,83
291,484;3,82
291,749;3,82
292,014;3,82
292,278;3,82
292,543;3,8
292,807;3,81
293,072;3,82
293,336;3,81
293,6;3,79
293,865;3,8
294,129;3,8
294,394;3,8
294,658;3,8
294,922;3,8
295,187;3,8
295,451;3,8
295,715;3,79
295,98;3,8
296,244;3,8
296,508;3,8
296,773;3,79
297,037;3,8
297,301;3,79
297,565;3,79
297,829;3,78
298,094;3,8
298,358;3,79
298,622;3,78
298,886;3,78
299,15;3,78
299,414;3,78
299,678;3,78
299,942;3,77
300,206;3,76
300,47;3,76
300,734;3,76
300,998;3,76
301,262;3,75
301,526;3,73
301,79;3,73
302,054;3,73
302,318;3,73
302,582;3,72
302,846;3,73
303,11;3,73
303,374;3,74
303,637;3,73
303,901;3,72
304,165;3,72
304,429;3,71
304,693;3,71
304,956;3,7
305,22;3,68
305,484;3,68
305,747;3,68
306,011;3,68
306,275;3,66
306,538;3,66
306,802;3,66
307,066;3,66
307,329;3,65
307,593;3,65
307,856;3,64
308,12;3,64
308,384;3,62
308,647;3,61
308,911;3,61
309,174;3,59
309,438;3,59
309,701;3,6
309,964;3,59
310,228;3,59
310,491;3,59
310,755;3,59
311,018;3,59
311,281;3,57
311,545;3,57
311,808;3,57
312,071;3,56
312,335;3,56
312,598;3,56
312,861;3,55
313,124;3,55
313,388;3,54
313,651;3,54
313,914;3,54
314,177;3,54
314,44;3,53
314,704;3,53
314,967;3,52
315,23;3,51
315,493;3,52
315,756;3,51
316,019;3,51
316,282;3,52
316,545;3,52
316,808;3,52
317,071;3,53
317,334;3,53
317,597;3,53
317,86;3,53
318,123;3,52
318,386;3,53
318,649;3,52
318,912;3,53
319,175;3,53
319,437;3,53
319,7;3,53
319,963;3,52
320,226;3,52
320,489;3,52
320,751;3,52
321,014;3,5
321,277;3,51
321,54;3,5
321,802;3,49
322,065;3,47
322,328;3,46
322,59;3,45
322,853;3,44
323,116;3,44
323,378;3,43
323,641;3,42
323,903;3,41
324,166;3,4
324,428;3,39
324,691;3,37
324,953;3,38
325,216;3,37
325,478;3,37
325,741;3,36
326,003;3,36
326,266;3,36
326,528;3,36
