Data from sienaBrucWhite_Reflection__1__55.txt Node;
"Date: Thu Sep 11 17:15:43 CEST 2025 User: sycur";
290,955;2,58
291,22;2,59
291,484;2,59
291,749;2,58
292,014;2,58
292,278;2,59
292,543;2,58
292,807;2,58
293,072;2,57
293,336;2,56
293,6;2,56
293,865;2,56
294,129;2,56
294,394;2,56
294,658;2,56
294,922;2,56
295,187;2,56
295,451;2,55
295,715;2,54
295,98;2,55
296,244;2,53
296,508;2,53
296,773;2,53
297,037;2,53
297,301;2,53
297,565;2,53
297,829;2,52
298,094;2,53
298,358;2,52
298,622;2,52
298,886;2,51
299,15;2,52
299,414;2,52
299,678;2,53
299,942;2,53
300,206;2,53
300,47;2,52
300,734;2,52
300,998;2,52
301,262;2,52
301,526;2,52
301,79;2,52
302,054;2,53
302,318;2,53
302,582;2,53
302,846;2,52
303,11;2,53
303,374;2,52
303,637;2,52
303,901;2,52
304,165;2,51
304,429;2,51
304,693;2,5
304,956;2,49
305,22;2,49
305,484;2,49
305,747;2,48
306,011;2,47
306,275;2,46
306,538;2,47
306,802;2,46
307,066;2,46
307,329;2,46
307,593;2,45
307,856;2,45
308,12;2,44
308,384;2,44
308,647;2,43
308,911;2,43
309,174;2,43
309,438;2,43
309,701;2,44
309,964;2,44
310,228;2,44
310,491;2,43
310,755;2,43
311,018;2,43
311,281;2,43
311,545;2,44
311,808;2,45
312,071;2,45
312,335;2,45
312,598;2,45
312,861;2,44
313,124;2,45
313,388;2,45
313,651;2,46
313,914;2,46
314,177;2,46
314,44;2,45
314,704;2,47
314,967;2,45
315,23;2,44
315,493;2,45
315,756;2,45
316,019;2,45
316,282;2,45
316,545;2,46
316,808;2,46
317,071;2,45
317,334;2,45
317,597;2,44
317,86;2,44
318,123;2,44
318,386;2,44
318,649;2,43
318,912;2,42
319,175;2,41
319,437;2,42
319,7;2,41
319,963;2,41
320,226;2,4
320,489;2,39
320,751;2,39
321,014;2,39
321,277;2,38
321,54;2,38
321,802;2,38
322,065;2,37
322,328;2,37
322,59;2,37
322,853;2,35
323,116;2,36
323,378;2,35
323,641;2,35
323,903;2,35
324,166;2,35
324,428;2,35
324,691;2,35
324,953;2,35
325,216;2,35
325,478;2,34
325,741;2,34
326,003;2,35
326,266;2,34
326,528;2,33
326,791;2,34
327,053;2,33
327,315;2,33
327,578;2,33
327,84;2,31
328,102;2,3
328,365;2,31
328,627;2,3
328,889;2,3
329,151;2,3
329,414;2,3
329,676;2,29
329,938;2,29
330,2;2,29
330,462;2,29
330,725;2,29
330,987;2,29
331,249;2,28
331,511;2,28
331,773;2,28
332,035;2,27
332,297;2,27
332,559;2,29
332,821;2,28
333,083;2,27
333,345;2,29
333,607;2,29
333,869;2,29
334,131;2,3
334,393;2,29
334,655;2,29
334,917;2,28
335,179;2,27
335,44;2,26
335,702;2,28
335,964;2,28
336,226;2,27
336,488;2,27
336,749;2,28
337,011;2,27
337,273;2,27
337,535;2,28
337,796;2,27
338,058;2,26
338,32;2,27
338,581;2,28
338,843;2,26
339,105;2,26
339,366;2,26
339,628;2,27
339,889;2,27
340,151;2,27
340,412;2,27
340,674;2,29
340,935;2,3
341,197;2,29
341,458;2,28
341,72;2,28
341,981;2,28
342,243;2,28
342,504;2,27
342,766;2,29
343,027;2,28
343,288;2,28
343,55;2,28
343,811;2,27
344,072;2,27
344,334;2,28
344,595;2,27
344,856;2,28
345,117;2,26
345,379;2,27
345,64;2,29
345,901;2,28
346,162;2,27
346,423;2,25
346,684;2,23
346,946;2,24
347,207;2,23
347,468;2,23
347,729;2,23
347,99;2,23
348,251;2,22
348,512;2,23
348,773;2,23
349,034;2,22
349,295;2,23
349,556;2,23
349,817;2,22
350,078;2,21
350,339;2,22
350,6;2,22
350,86;2,21
351,121;2,19
351,382;2,18
351,643;2,17
351,904;2,18
352,165;2,19
352,425;2,2
352,686;2,21
352,947;2,21
353,208;2,2
353,468;2,19
353,729;2,18
353,99;2,16
354,25;2,16
354,511;2,15
354,772;2,15
355,032;2,14
355,293;2,15
355,553;2,15
355,814;2,13
356,074;2,12
356,335;2,13
356,596;2,13
356,856;2,14
357,116;2,15
357,377;2,15
357,637;2,14
357,898;2,13
358,158;2,13
358,419;2,14
358,679;2,13
358,939;2,13
359,2;2,15
359,46;2,16
359,72;2,17
359,981;2,17
360,241;2,17
360,501;2,18
360,761;2,16
361,022;2,14
361,282;2,15
361,542;2,16
361,802;2,16
362,062;2,15
362,323;2,14
362,583;2,14
362,843;2,14
363,103;2,14
363,363;2,15
363,623;2,13
363,883;2,12
364,143;2,13
364,403;2,12
364,663;2,12
364,923;2,12
365,183;2,11
365,443;2,11
365,703;2,11
365,963;2,11
366,223;2,12
366,483;2,13
366,743;2,12
367,002;2,11
367,262;2,12
367,522;2,13
367,782;2,14
368,042;2,14
368,301;2,13
368,561;2,14
368,821;2,13
369,081;2,11
369,34;2,11
369,6;2,1
369,86;2,11
370,119;2,1
370,379;2,09
370,638;2,09
370,898;2,07
371,158;2,05
371,417;2,05
371,677;2,05
371,936;2,07
372,196;2,06
372,455;2,07
372,715;2,05
372,974;2,04
373,234;2,03
373,493;2,02
373,753;2,02
374,012;2,02
374,271;2,02
374,531;2,05
374,79;2,04
375,049;2,06
375,309;2,06
375,568;2,07
375,827;2,07
376,086;2,08
376,346;2,11
376,605;2,11
376,864;2,11
377,123;2,12
377,383;2,1
377,642;2,11
377,901;2,09
378,16;2,09
378,419;2,09
378,678;2,1
378,937;2,11
379,196;2,12
379,455;2,12
379,714;2,12
379,973;2,13
380,232;2,13
380,491;2,13
380,75;2,11
381,009;2,11
381,268;2,12
381,527;2,12
381,786;2,1
382,045;2,1
382,304;2,1
382,563;2,08
382,821;2,1
383,08;2,09
383,339;2,1
383,598;2,12
383,857;2,13
384,115;2,12
384,374;2,12
384,633;2,11
384,891;2,11
385,15;2,11
385,409;2,1
385,667;2,12
385,926;2,11
386,185;2,12
386,443;2,11
386,702;2,12
386,96;2,11
387,219;2,11
387,477;2,11
387,736;2,11
387,994;2,11
388,253;2,11
388,511;2,12
388,77;2,12
389,028;2,1
389,287;2,11
389,545;2,13
389,803;2,12
390,062;2,11
390,32;2,11
390,578;2,11
390,837;2,1
391,095;2,09
