Data from sienaBrucWhite_Reflection__2__56.txt Node;
"Date: Thu Sep 11 17:16:20 CEST 2025 User: sycur";
291,22;2,74
291,484;2,75
291,749;2,75
292,014;2,75
292,278;2,75
292,543;2,76
292,807;2,76
293,072;2,76
293,336;2,76
293,6;2,75
293,865;2,75
294,129;2,75
294,394;2,76
294,658;2,77
294,922;2,77
295,187;2,78
295,451;2,79
295,715;2,79
295,98;2,79
296,244;2,79
296,508;2,79
296,773;2,79
297,037;2,8
297,301;2,8
297,565;2,8
297,829;2,79
298,094;2,8
298,358;2,79
298,622;2,78
298,886;2,78
299,15;2,79
299,414;2,8
299,678;2,8
299,942;2,79
300,206;2,78
300,47;2,79
300,734;2,79
300,998;2,79
301,262;2,79
301,526;2,79
301,79;2,79
302,054;2,8
302,318;2,8
302,582;2,8
302,846;2,8
303,11;2,8
303,374;2,81
303,637;2,81
303,901;2,8
304,165;2,81
304,429;2,8
304,693;2,79
304,956;2,79
305,22;2,79
305,484;2,79
305,747;2,79
306,011;2,78
306,275;2,77
306,538;2,78
306,802;2,77
307,066;2,77
307,329;2,77
307,593;2,77
307,856;2,77
308,12;2,76
308,384;2,76
308,647;2,76
308,911;2,75
309,174;2,75
309,438;2,75
309,701;2,76
309,964;2,76
310,228;2,76
310,491;2,76
310,755;2,76
311,018;2,76
311,281;2,76
311,545;2,77
311,808;2,77
312,071;2,77
312,335;2,77
312,598;2,77
312,861;2,76
313,124;2,75
313,388;2,75
313,651;2,76
313,914;2,76
314,177;2,75
314,44;2,75
314,704;2,76
314,967;2,76
315,23;2,75
315,493;2,74
315,756;2,74
316,019;2,75
316,282;2,75
316,545;2,75
316,808;2,75
317,071;2,75
317,334;2,76
317,597;2,75
317,86;2,75
318,123;2,75
318,386;2,76
318,649;2,76
318,912;2,76
319,175;2,75
319,437;2,75
319,7;2,75
319,963;2,75
320,226;2,73
320,489;2,73
320,751;2,74
321,014;2,74
321,277;2,74
321,54;2,74
321,802;2,73
322,065;2,72
322,328;2,72
322,59;2,72
322,853;2,72
323,116;2,71
323,378;2,71
323,641;2,71
323,903;2,7
