Data from sienaBrucWhite_Reflection__4__58.txt Node;
"Date: Thu Sep 11 17:17:42 CEST 2025 User: sycur";
290,955;2,44
291,22;2,45
291,484;2,45
291,749;2,45
292,014;2,45
292,278;2,46
292,543;2,46
292,807;2,47
293,072;2,49
293,336;2,48
293,6;2,48
293,865;2,49
294,129;2,49
294,394;2,5
294,658;2,5
294,922;2,5
295,187;2,51
295,451;2,5
295,715;2,51
295,98;2,51
296,244;2,51
296,508;2,52
296,773;2,52
297,037;2,52
297,301;2,53
297,565;2,53
297,829;2,52
298,094;2,53
298,358;2,52
298,622;2,51
298,886;2,5
299,15;2,5
299,414;2,5
299,678;2,52
299,942;2,51
300,206;2,51
300,47;2,52
300,734;2,52
300,998;2,52
301,262;2,52
301,526;2,52
301,79;2,52
302,054;2,52
302,318;2,52
302,582;2,52
302,846;2,52
303,11;2,52
303,374;2,53
303,637;2,52
303,901;2,52
304,165;2,52
304,429;2,52
304,693;2,52
304,956;2,51
305,22;2,5
305,484;2,51
305,747;2,51
306,011;2,5
306,275;2,5
306,538;2,5
306,802;2,5
307,066;2,51
307,329;2,5
307,593;2,5
307,856;2,51
308,12;2,51
308,384;2,5
308,647;2,49
308,911;2,49
309,174;2,49
309,438;2,5
309,701;2,51
309,964;2,51
310,228;2,51
310,491;2,52
310,755;2,52
311,018;2,53
311,281;2,52
311,545;2,53
311,808;2,53
312,071;2,52
312,335;2,51
312,598;2,51
312,861;2,51
313,124;2,51
313,388;2,51
313,651;2,51
313,914;2,52
314,177;2,53
314,44;2,52
314,704;2,53
314,967;2,52
315,23;2,52
315,493;2,52
315,756;2,52
316,019;2,52
316,282;2,52
316,545;2,52
316,808;2,52
317,071;2,53
317,334;2,53
317,597;2,55
317,86;2,56
318,123;2,56
318,386;2,57
318,649;2,56
318,912;2,57
319,175;2,56
319,437;2,56
319,7;2,55
319,963;2,55
320,226;2,55
320,489;2,55
320,751;2,55
321,014;2,56
321,277;2,55
321,54;2,55
321,802;2,55
322,065;2,53
322,328;2,53
322,59;2,53
322,853;2,53
323,116;2,51
323,378;2,5
323,641;2,5
323,903;2,49
324,166;2,49
324,428;2,48
324,691;2,49
324,953;2,49
325,216;2,49
325,478;2,49
325,741;2,48
326,003;2,48
326,266;2,48
326,528;2,47
326,791;2,47
327,053;2,47
327,315;2,46
327,578;2,47
327,84;2,47
328,102;2,45
328,365;2,45
328,627;2,45
328,889;2,45
329,151;2,45
329,414;2,45
329,676;2,45
329,938;2,44
330,2;2,44
330,462;2,44
330,725;2,44
330,987;2,44
331,249;2,44
331,511;2,44
331,773;2,44
332,035;2,45
332,297;2,45
332,559;2,46
332,821;2,47
333,083;2,46
333,345;2,46
333,607;2,47
333,869;2,46
334,131;2,46
334,393;2,45
334,655;2,45
334,917;2,44
335,179;2,44
335,44;2,44
335,702;2,44
335,964;2,45
336,226;2,44
336,488;2,42
336,749;2,43
337,011;2,45
337,273;2,43
337,535;2,43
337,796;2,42
338,058;2,42
338,32;2,42
338,581;2,42
338,843;2,41
339,105;2,41
339,366;2,42
339,628;2,42
339,889;2,42
340,151;2,43
340,412;2,42
340,674;2,43
340,935;2,43
341,197;2,43
341,458;2,42
341,72;2,42
341,981;2,44
342,243;2,43
342,504;2,42
342,766;2,43
343,027;2,43
343,288;2,44
343,55;2,43
343,811;2,43
344,072;2,44
344,334;2,44
344,595;2,44
344,856;2,44
345,117;2,44
345,379;2,45
345,64;2,45
345,901;2,45
346,162;2,44
346,423;2,42
346,684;2,41
346,946;2,42
347,207;2,42
347,468;2,41
347,729;2,4
347,99;2,4
348,251;2,39
348,512;2,38
348,773;2,37
349,034;2,37
349,295;2,36
349,556;2,35
349,817;2,34
350,078;2,34
350,339;2,34
350,6;2,34
350,86;2,33
351,121;2,33
351,382;2,33
351,643;2,32
351,904;2,31
352,165;2,32
352,425;2,34
352,686;2,35
352,947;2,34
353,208;2,33
353,468;2,33
353,729;2,32
353,99;2,32
354,25;2,32
354,511;2,31
354,772;2,32
355,032;2,32
355,293;2,33
355,553;2,31
355,814;2,3
356,074;2,31
356,335;2,3
356,596;2,29
356,856;2,28
357,116;2,29
357,377;2,31
357,637;2,3
357,898;2,29
358,158;2,27
358,419;2,28
358,679;2,29
358,939;2,28
359,2;2,28
359,46;2,29
359,72;2,3
359,981;2,3
360,241;2,28
360,501;2,28
360,761;2,27
361,022;2,27
361,282;2,27
361,542;2,26
361,802;2,27
362,062;2,27
362,323;2,28
362,583;2,28
362,843;2,26
363,103;2,25
363,363;2,25
363,623;2,24
363,883;2,23
364,143;2,23
364,403;2,23
364,663;2,22
364,923;2,22
365,183;2,23
365,443;2,23
365,703;2,24
365,963;2,24
366,223;2,24
366,483;2,25
366,743;2,24
367,002;2,25
367,262;2,26
367,522;2,25
367,782;2,25
368,042;2,25
368,301;2,25
368,561;2,26
368,821;2,26
369,081;2,25
369,34;2,25
369,6;2,24
369,86;2,24
370,119;2,24
370,379;2,21
370,638;2,2
370,898;2,18
371,158;2,18
371,417;2,17
371,677;2,18
371,936;2,18
372,196;2,18
372,455;2,18
372,715;2,16
372,974;2,16
373,234;2,17
373,493;2,18
373,753;2,19
374,012;2,19
374,271;2,19
374,531;2,19
374,79;2,18
375,049;2,18
375,309;2,19
375,568;2,21
375,827;2,23
376,086;2,23
376,346;2,24
376,605;2,23
376,864;2,23
377,123;2,24
377,383;2,23
377,642;2,23
377,901;2,22
378,16;2,23
378,419;2,22
378,678;2,22
378,937;2,2
379,196;2,19
379,455;2,18
379,714;2,18
379,973;2,19
380,232;2,2
380,491;2,2
380,75;2,2
381,009;2,18
381,268;2,19
381,527;2,2
381,786;2,2
382,045;2,2
382,304;2,19
382,563;2,19
382,821;2,21
383,08;2,2
383,339;2,21
383,598;2,2
383,857;2,21
384,115;2,21
384,374;2,21
384,633;2,21
384,891;2,22
385,15;2,23
385,409;2,23
385,667;2,23
385,926;2,23
386,185;2,23
386,443;2,22
386,702;2,22
386,96;2,2
387,219;2,18
387,477;2,18
387,736;2,19
387,994;2,18
388,253;2,17
388,511;2,19
388,77;2,18
389,028;2,18
389,287;2,18
389,545;2,2
389,803;2,2
390,062;2,2
390,32;2,21
390,578;2,19
390,837;2,19
391,095;2,19
391,353;2,19
391,612;2,19
391,87;2,19
392,128;2,18
392,386;2,2
392,644;2,22
392,903;2,23
393,161;2,22
393,419;2,22
393,677;2,21
393,935;2,2
394,193;2,21
394,451;2,23
394,709;2,22
394,967;2,22
395,225;2,22
395,483;2,23
395,741;2,23
395,999;2,24
396,257;2,25
396,515;2,25
396,773;2,26
397,031;2,26
397,289;2,27
397,547;2,27
397,805;2,28
398,062;2,27
398,32;2,29
398,578;2,3
398,836;2,31
399,094;2,33
399,351;2,34
399,609;2,34
399,867;2,31
400,124;2,32
400,382;2,33
400,64;2,35
400,897;2,35
401,155;2,34
401,413;2,35
401,67;2,35
401,928;2,34
402,185;2,34
402,443;2,34
402,701;2,34
402,958;2,34
403,216;2,35
403,473;2,35
403,73;2,34
403,988;2,34
404,245;2,33
404,503;2,33
404,76;2,32
405,018;2,32
405,275;2,33
405,532;2,34
405,79;2,32
406,047;2,3
406,304;2,3
406,561;2,3
406,819;2,29
407,076;2,29
407,333;2,28
407,59;2,28
407,848;2,27
408,105;2,28
408,362;2,3
408,619;2,28
408,876;2,27
409,133;2,27
409,39;2,27
409,647;2,26
409,904;2,25
410,161;2,26
410,418;2,28
410,675;2,28
410,932;2,28
411,189;2,28
411,446;2,29
411,703;2,31
411,96;2,31
412,217;2,31
412,474;2,32
412,731;2,33
412,988;2,33
413,245;2,34
413,501;2,34
413,758;2,34
414,015;2,37
414,272;2,37
414,529;2,37
414,785;2,37
415,042;2,36
415,299;2,37
415,555;2,38
415,812;2,38
416,069;2,39
416,325;2,39
416,582;2,38
416,838;2,4
417,095;2,38
417,352;2,38
417,608;2,4
417,865;2,39
418,121;2,41
418,378;2,4
418,634;2,41
418,891;2,4
419,147;2,39
419,403;2,36
419,66;2,37
