Data from redochrewhite_Reflection__0__07.txt Node;
"Date: Wed Sep 10 11:30:53 CEST 2025 User: sycur Spectrometer: SR400348 Trigger mode: 0 Integration Time (sec): 1,000000E-2 Scans to average: 10 Electric dark correction enabled: true Nonlinearity correction enabled: false Boxcar width: 10 XAxis mode: Wavelengths Number of Pixels in Spectrum: 3648 >>>>>Begin Spectral Data<<<<<";
286,72;33,85
286,985;33,84
287,249;33,82
287,514;33,82
287,779;33,79
288,044;33,77
288,309;33,74
288,573;33,77
288,838;33,78
289,103;33,75
289,367;33,74
289,632;33,76
289,897;33,73
290,161;33,72
290,426;33,68
290,691;33,67
290,955;33,67
291,22;33,61
291,484;33,59
291,749;33,54
292,014;33,53
292,278;33,53
292,543;33,53
292,807;33,53
293,072;33,51
293,336;33,47
293,6;33,43
293,865;33,39
294,129;33,36
294,394;33,35
294,658;33,35
294,922;33,33
295,187;33,33
295,451;33,32
295,715;33,3
295,98;33,28
296,244;33,27
296,508;33,25
296,773;33,24
297,037;33,25
297,301;33,22
297,565;33,24
297,829;33,18
298,094;33,15
298,358;33,14
298,622;33,12
298,886;33,17
299,15;33,17
299,414;33,1
299,678;33,06
299,942;33,02
300,206;32,95
300,47;32,94
300,734;32,88
300,998;32,85
301,262;32,84
301,526;32,8
301,79;32,79
302,054;32,76
302,318;32,75
302,582;32,73
302,846;32,7
303,11;32,63
303,374;32,61
303,637;32,6
303,901;32,55
304,165;32,51
304,429;32,4
304,693;32,34
304,956;32,37
305,22;32,36
305,484;32,34
305,747;32,35
306,011;32,36
306,275;32,33
306,538;32,31
306,802;32,3
307,066;32,3
307,329;32,25
307,593;32,25
307,856;32,21
308,12;32,15
308,384;32,14
308,647;32,1
308,911;32,09
309,174;32,06
309,438;32,03
309,701;32
309,964;31,97
310,228;31,97
310,491;31,92
310,755;31,89
311,018;31,88
311,281;31,84
311,545;31,76
311,808;31,73
312,071;31,69
312,335;31,62
312,598;31,58
312,861;31,55
313,124;31,5
313,388;31,48
313,651;31,47
313,914;31,41
314,177;31,4
314,44;31,35
314,704;31,28
314,967;31,26
315,23;31,26
315,493;31,26
315,756;31,21
316,019;31,17
316,282;31,11
316,545;31,06
316,808;31,03
317,071;31,01
317,334;30,96
317,597;30,96
317,86;30,97
318,123;30,94
318,386;30,9
318,649;30,84
318,912;30,82
319,175;30,75
319,437;30,76
319,7;30,74
319,963;30,74
320,226;30,71
320,489;30,64
320,751;30,61
321,014;30,56
321,277;30,54
321,54;30,49
321,802;30,49
322,065;30,44
322,328;30,39
322,59;30,37
322,853;30,37
323,116;30,33
323,378;30,27
323,641;30,19
323,903;30,16
324,166;30,16
324,428;30,08
324,691;30,06
324,953;30,02
325,216;29,99
325,478;29,96
325,741;29,96
326,003;29,96
326,266;29,89
326,528;29,84
326,791;29,77
327,053;29,75
327,315;29,7
327,578;29,69
327,84;29,63
328,102;29,57
328,365;29,54
328,627;29,49
328,889;29,49
329,151;29,51
329,414;29,5
329,676;29,48
329,938;29,48
330,2;29,43
330,462;29,38
330,725;29,3
330,987;29,27
331,249;29,22
331,511;29,19
331,773;29,17
332,035;29,2
332,297;29,21
332,559;29,16
332,821;29,11
333,083;29,09
333,345;29,06
333,607;29,09
333,869;29,06
334,131;29,07
334,393;29,02
334,655;28,97
334,917;28,96
335,179;28,92
335,44;28,9
335,702;28,89
335,964;28,88
336,226;28,91
336,488;28,86
336,749;28,84
337,011;28,82
337,273;28,8
337,535;28,75
337,796;28,73
338,058;28,77
338,32;28,76
338,581;28,7
338,843;28,7
339,105;28,66
339,366;28,64
339,628;28,57
339,889;28,55
340,151;28,56
340,412;28,51
340,674;28,46
340,935;28,43
341,197;28,41
341,458;28,37
341,72;28,32
341,981;28,3
342,243;28,29
342,504;28,25
342,766;28,21
343,027;28,18
343,288;28,16
343,55;28,1
343,811;28,08
344,072;28,03
344,334;28,01
344,595;27,99
344,856;27,94
345,117;27,95
345,379;27,9
345,64;27,86
345,901;27,82
346,162;27,82
346,423;27,78
346,684;27,72
346,946;27,67
347,207;27,62
347,468;27,59
347,729;27,5
347,99;27,47
348,251;27,47
348,512;27,44
348,773;27,38
349,034;27,33
349,295;27,31
349,556;27,32
349,817;27,23
350,078;27,19
350,339;27,12
350,6;27,1
350,86;27,1
351,121;27,03
351,382;26,94
351,643;26,84
351,904;26,78
352,165;26,77
352,425;26,74
352,686;26,69
352,947;26,68
353,208;26,69
353,468;26,64
353,729;26,62
353,99;26,6
354,25;26,58
354,511;26,54
354,772;26,53
355,032;26,54
355,293;26,53
355,553;26,49
355,814;26,53
356,074;26,45
356,335;26,41
356,596;26,42
356,856;26,43
357,116;26,44
357,377;26,48
357,637;26,47
357,898;26,5
358,158;26,49
358,419;26,46
358,679;26,44
358,939;26,4
359,2;26,36
359,46;26,32
359,72;26,3
359,981;26,26
360,241;26,18
360,501;26,11
360,761;26,1
361,022;26,08
361,282;25,99
361,542;25,97
361,802;25,91
362,062;25,84
362,323;25,84
362,583;25,85
362,843;25,79
363,103;25,77
363,363;25,75
363,623;25,68
363,883;25,63
364,143;25,62
364,403;25,64
364,663;25,6
364,923;25,63
365,183;25,59
365,443;25,62
365,703;25,63
365,963;25,64
366,223;25,63
366,483;25,57
366,743;25,61
367,002;25,59
367,262;25,61
367,522;25,64
367,782;25,59
368,042;25,56
368,301;25,56
368,561;25,53
368,821;25,48
369,081;25,5
369,34;25,5
369,6;25,41
369,86;25,4
370,119;25,39
370,379;25,34
370,638;25,32
370,898;25,34
371,158;25,31
371,417;25,28
371,677;25,25
371,936;25,25
372,196;25,23
372,455;25,27
372,715;25,24
372,974;25,24
373,234;25,19
373,493;25,23
373,753;25,25
374,012;25,24
374,271;25,24
374,531;25,22
374,79;25,21
375,049;25,24
375,309;25,17
375,568;25,11
375,827;25,1
376,086;25,03
376,346;24,99
376,605;25,02
376,864;25,03
377,123;25,02
377,383;24,98
377,642;24,99
377,901;24,95
378,16;24,89
378,419;24,83
378,678;24,84
378,937;24,79
379,196;24,73
379,455;24,72
379,714;24,68
379,973;24,71
380,232;24,66
380,491;24,63
380,75;24,65
381,009;24,65
381,268;24,65
381,527;24,66
381,786;24,66
382,045;24,57
382,304;24,55
382,563;24,56
382,821;24,58
383,08;24,52
383,339;24,53
383,598;24,57
383,857;24,57
384,115;24,56
384,374;24,48
384,633;24,45
384,891;24,45
385,15;24,43
385,409;24,44
385,667;24,48
385,926;24,47
386,185;24,45
386,443;24,48
386,702;24,46
386,96;24,47
387,219;24,44
387,477;24,5
387,736;24,47
