Data from redochrewhite_Reflection__4__11.txt Node;
"Date: Wed Sep 10 11:37:29 CEST 2025 User: sycur Spectrometer: SR400348 Trigger mode: 0 Integration Time (sec): 1,000000E-2 Scans to average: 10 Electric dark correction enabled: true Nonlinearity correction enabled: false Boxcar width: 10 XAxis mode: Wavelengths Number of Pixels in Spectrum: 3648 >>>>>Begin Spectral Data<<<<<";
286,72;4,04
286,985;4
287,249;3,99
287,514;4
287,779;4,02
288,044;4,01
288,309;4,02
288,573;4,02
288,838;4,09
289,103;4,12
289,367;4,13
289,632;4,13
289,897;4,16
290,161;4,19
290,426;4,22
290,691;4,27
290,955;4,25
291,22;4,25
291,484;4,24
291,749;4,21
292,014;4,21
292,278;4,22
292,543;4,26
292,807;4,31
293,072;4,3
293,336;4,3
293,6;4,31
293,865;4,34
294,129;4,32
294,394;4,31
294,658;4,32
294,922;4,33
295,187;4,32
295,451;4,3
295,715;4,31
295,98;4,34
296,244;4,33
296,508;4,35
296,773;4,39
297,037;4,42
297,301;4,45
297,565;4,49
297,829;4,47
298,094;4,46
298,358;4,44
298,622;4,46
298,886;4,48
299,15;4,52
299,414;4,52
299,678;4,55
299,942;4,54
300,206;4,56
300,47;4,58
300,734;4,6
300,998;4,64
301,262;4,64
301,526;4,61
301,79;4,64
302,054;4,66
302,318;4,64
302,582;4,67
302,846;4,67
303,11;4,68
303,374;4,7
303,637;4,73
303,901;4,74
304,165;4,74
304,429;4,76
304,693;4,75
304,956;4,77
305,22;4,79
305,484;4,83
305,747;4,86
306,011;4,85
306,275;4,84
306,538;4,86
306,802;4,88
307,066;4,9
307,329;4,88
307,593;4,88
307,856;4,88
308,12;4,85
308,384;4,89
308,647;4,9
308,911;4,91
309,174;4,92
309,438;4,93
309,701;4,93
309,964;4,92
310,228;4,93
310,491;4,92
310,755;4,93
311,018;4,92
311,281;4,93
311,545;4,93
311,808;4,94
312,071;4,92
312,335;4,89
312,598;4,91
312,861;4,95
313,124;4,98
313,388;5,03
313,651;5,02
313,914;4,99
314,177;4,96
314,44;4,94
314,704;4,92
314,967;4,9
315,23;4,92
315,493;4,93
315,756;4,91
316,019;4,91
316,282;4,91
316,545;4,9
316,808;4,92
317,071;4,92
317,334;4,95
317,597;4,96
317,86;4,96
318,123;4,97
318,386;4,94
318,649;4,9
318,912;4,88
319,175;4,92
319,437;4,92
319,7;4,95
319,963;5,01
320,226;5,02
320,489;5,03
320,751;5,01
321,014;5,01
321,277;5,03
321,54;5,01
321,802;5,02
322,065;5,02
322,328;4,98
322,59;5
322,853;4,98
323,116;5
323,378;4,99
323,641;4,96
323,903;4,96
324,166;4,99
324,428;4,97
324,691;4,93
324,953;4,94
325,216;4,92
325,478;4,88
325,741;4,86
326,003;4,87
326,266;4,86
326,528;4,8
326,791;4,78
327,053;4,79
327,315;4,76
327,578;4,75
327,84;4,76
328,102;4,71
328,365;4,71
328,627;4,69
328,889;4,68
329,151;4,69
329,414;4,7
329,676;4,66
329,938;4,68
330,2;4,64
330,462;4,64
330,725;4,6
330,987;4,61
331,249;4,59
331,511;4,55
331,773;4,56
332,035;4,62
332,297;4,63
332,559;4,6
332,821;4,6
333,083;4,57
333,345;4,56
333,607;4,58
333,869;4,61
334,131;4,61
334,393;4,66
334,655;4,64
334,917;4,63
335,179;4,61
335,44;4,57
335,702;4,6
335,964;4,61
336,226;4,65
336,488;4,63
336,749;4,66
337,011;4,68
337,273;4,7
337,535;4,67
337,796;4,65
338,058;4,68
338,32;4,64
338,581;4,66
338,843;4,65
339,105;4,65
339,366;4,65
339,628;4,65
339,889;4,61
340,151;4,6
340,412;4,57
340,674;4,58
340,935;4,6
341,197;4,61
341,458;4,59
341,72;4,57
341,981;4,55
342,243;4,53
342,504;4,54
342,766;4,54
343,027;4,52
343,288;4,54
343,55;4,58
343,811;4,61
344,072;4,56
344,334;4,54
344,595;4,5
344,856;4,46
345,117;4,47
345,379;4,48
345,64;4,48
345,901;4,52
346,162;4,54
346,423;4,56
346,684;4,52
346,946;4,54
347,207;4,52
347,468;4,58
347,729;4,57
347,99;4,53
348,251;4,53
348,512;4,54
348,773;4,51
349,034;4,42
349,295;4,46
349,556;4,53
349,817;4,56
350,078;4,6
350,339;4,6
350,6;4,64
350,86;4,67
351,121;4,67
351,382;4,62
351,643;4,57
351,904;4,55
352,165;4,54
352,425;4,5
352,686;4,54
352,947;4,44
353,208;4,46
353,468;4,47
353,729;4,44
353,99;4,44
354,25;4,48
354,511;4,51
354,772;4,48
355,032;4,47
355,293;4,45
355,553;4,45
355,814;4,43
356,074;4,37
356,335;4,38
356,596;4,37
356,856;4,38
357,116;4,36
357,377;4,4
357,637;4,39
357,898;4,41
358,158;4,38
358,419;4,45
358,679;4,43
358,939;4,43
359,2;4,45
359,46;4,45
359,72;4,39
359,981;4,42
360,241;4,38
360,501;4,36
360,761;4,37
361,022;4,36
361,282;4,37
361,542;4,36
361,802;4,29
362,062;4,28
362,323;4,28
362,583;4,36
362,843;4,32
363,103;4,34
363,363;4,34
363,623;4,34
363,883;4,35
364,143;4,36
364,403;4,37
364,663;4,37
364,923;4,38
365,183;4,41
365,443;4,41
365,703;4,39
365,963;4,4
366,223;4,4
366,483;4,38
366,743;4,4
367,002;4,41
367,262;4,41
367,522;4,43
367,782;4,39
368,042;4,37
368,301;4,33
368,561;4,33
368,821;4,28
369,081;4,29
369,34;4,26
369,6;4,24
369,86;4,23
370,119;4,24
370,379;4,23
370,638;4,22
370,898;4,2
371,158;4,2
371,417;4,18
371,677;4,16
371,936;4,15
372,196;4,1
372,455;4,11
372,715;4,1
372,974;4,12
373,234;4,12
373,493;4,09
373,753;4,12
374,012;4,1
374,271;4,12
374,531;4,11
374,79;4,1
375,049;4,15
375,309;4,15
375,568;4,09
375,827;4,05
376,086;4,02
376,346;4,04
376,605;4,05
376,864;4,04
377,123;4,06
377,383;4,04
377,642;4,08
377,901;4,06
378,16;4,04
378,419;4,04
378,678;4,06
378,937;4,08
379,196;4,07
379,455;4,1
379,714;4,13
379,973;4,17
380,232;4,16
380,491;4,12
380,75;4,1
381,009;4,08
381,268;4,12
381,527;4,11
381,786;4,09
382,045;4,08
382,304;4,11
382,563;4,13
382,821;4,17
383,08;4,12
383,339;4,18
