Data from redochrewhite_Reflection__2__09.txt Node;
"Date: Wed Sep 10 11:33:49 CEST 2025 User: sycur Spectrometer: SR400348 Trigger mode: 0 Integration Time (sec): 1,000000E-2 Scans to average: 10 Electric dark correction enabled: true Nonlinearity correction enabled: false Boxcar width: 10 XAxis mode: Wavelengths Number of Pixels in Spectrum: 3648 >>>>>Begin Spectral Data<<<<<";
286,72;6,2
286,985;6,17
287,249;6,17
287,514;6,17
287,779;6,18
288,044;6,2
288,309;6,2
288,573;6,19
288,838;6,24
289,103;6,28
289,367;6,28
289,632;6,29
289,897;6,28
290,161;6,32
290,426;6,32
290,691;6,36
290,955;6,38
291,22;6,4
291,484;6,38
291,749;6,36
292,014;6,38
292,278;6,39
292,543;6,41
292,807;6,45
293,072;6,48
293,336;6,49
293,6;6,49
293,865;6,5
294,129;6,52
294,394;6,5
294,658;6,51
294,922;6,5
295,187;6,5
295,451;6,52
295,715;6,52
295,98;6,54
296,244;6,57
296,508;6,57
296,773;6,59
297,037;6,66
297,301;6,7
297,565;6,71
297,829;6,73
298,094;6,7
298,358;6,68
298,622;6,71
298,886;6,73
299,15;6,76
299,414;6,78
299,678;6,79
299,942;6,82
300,206;6,83
300,47;6,87
300,734;6,89
300,998;6,92
301,262;6,95
301,526;6,95
301,79;6,96
302,054;6,96
302,318;6,97
302,582;6,97
302,846;6,94
303,11;6,98
303,374;7,01
303,637;7,07
303,901;7,08
304,165;7,06
304,429;7,07
304,693;7,08
304,956;7,07
305,22;7,08
305,484;7,1
305,747;7,1
306,011;7,14
306,275;7,14
306,538;7,13
306,802;7,14
307,066;7,16
307,329;7,16
307,593;7,16
307,856;7,13
308,12;7,1
308,384;7,13
308,647;7,11
308,911;7,08
309,174;7,08
309,438;7,09
309,701;7,1
309,964;7,11
310,228;7,08
310,491;7,07
310,755;7,06
311,018;7,05
311,281;7,07
311,545;7,03
311,808;7
312,071;7,01
312,335;6,95
312,598;6,94
312,861;6,95
313,124;6,96
313,388;7,01
313,651;7,01
313,914;7,01
314,177;7
314,44;6,97
314,704;6,96
