Data from redochrewhite_Reflection__3__10.txt Node;
"Date: Wed Sep 10 11:35:01 CEST 2025 User: sycur Spectrometer: SR400348 Trigger mode: 0 Integration Time (sec): 1,000000E-2 Scans to average: 10 Electric dark correction enabled: true Nonlinearity correction enabled: false Boxcar width: 10 XAxis mode: Wavelengths Number of Pixels in Spectrum: 3648 >>>>>Begin Spectral Data<<<<<";
286,72;4,11
286,985;4,1
287,249;4,07
287,514;4,04
287,779;4,04
288,044;4,05
288,309;4,02
288,573;4,01
288,838;4,04
289,103;4,08
289,367;4,06
289,632;4,09
289,897;4,09
290,161;4,11
290,426;4,11
290,691;4,15
290,955;4,14
291,22;4,12
291,484;4,1
291,749;4,07
292,014;4,09
292,278;4,09
292,543;4,11
292,807;4,11
293,072;4,13
293,336;4,12
293,6;4,12
293,865;4,1
294,129;4,08
294,394;4,06
294,658;4,06
294,922;4,07
295,187;4,06
295,451;4,05
295,715;4,05
295,98;4,04
296,244;4,04
296,508;4,05
296,773;4,07
297,037;4,1
297,301;4,11
297,565;4,12
297,829;4,09
298,094;4,07
298,358;4,06
298,622;4,05
298,886;4,07
299,15;4,09
299,414;4,11
299,678;4,13
299,942;4,12
300,206;4,12
300,47;4,11
300,734;4,1
300,998;4,1
301,262;4,1
301,526;4,09
301,79;4,06
302,054;4,08
302,318;4,09
302,582;4,11
302,846;4,09
303,11;4,09
303,374;4,09
303,637;4,11
303,901;4,1
304,165;4,11
304,429;4,09
304,693;4,07
304,956;4,08
305,22;4,1
305,484;4,12
305,747;4,12
306,011;4,13
306,275;4,11
306,538;4,11
306,802;4,11
307,066;4,13
307,329;4,12
307,593;4,11
307,856;4,09
308,12;4,05
308,384;4,07
308,647;4,08
308,911;4,06
309,174;4,09
309,438;4,1
309,701;4,1
309,964;4,09
310,228;4,08
310,491;4,04
310,755;4,03
311,018;4,01
311,281;4,03
311,545;4,01
311,808;4,02
312,071;4,02
312,335;4
312,598;4
312,861;4,05
313,124;4,05
313,388;4,04
313,651;4,05
313,914;4,03
314,177;3,99
314,44;4
314,704;3,98
314,967;3,99
315,23;3,99
315,493;4,02
315,756;4,02
316,019;4,04
316,282;4,07
316,545;4,08
316,808;4,08
317,071;4,08
317,334;4,09
317,597;4,1
317,86;4,1
318,123;4,12
318,386;4,07
318,649;4,07
318,912;4,09
319,175;4,07
319,437;4,07
319,7;4,1
319,963;4,12
320,226;4,11
320,489;4,11
320,751;4,1
321,014;4,07
321,277;4,1
321,54;4,07
321,802;4,06
322,065;4,05
322,328;4
322,59;4
322,853;4,01
323,116;4,02
323,378;4,04
323,641;3,99
323,903;4,03
324,166;4
324,428;4
324,691;4,04
324,953;4,05
325,216;4,05
325,478;4,05
325,741;4,02
326,003;4,02
326,266;4,04
326,528;4,02
326,791;4,01
327,053;4,05
327,315;4,01
327,578;4,02
327,84;4,04
328,102;4
328,365;4,02
328,627;3,95
328,889;3,95
329,151;3,98
329,414;3,98
329,676;3,99
329,938;3,98
330,2;3,96
330,462;3,95
330,725;3,93
330,987;3,93
331,249;3,94
331,511;3,91
331,773;3,91
332,035;3,94
332,297;3,94
332,559;3,92
332,821;3,94
333,083;3,94
333,345;3,93
333,607;3,98
333,869;3,98
334,131;4,03
334,393;4,05
334,655;4,03
334,917;4
335,179;4
335,44;3,99
335,702;4,01
335,964;4
336,226;4,01
336,488;3,96
336,749;3,95
337,011;3,98
337,273;3,93
337,535;3,92
337,796;3,91
338,058;3,91
338,32;3,9
338,581;3,91
338,843;3,89
339,105;3,91
339,366;3,91
339,628;3,93
339,889;3,9
340,151;3,86
340,412;3,86
340,674;3,83
340,935;3,83
341,197;3,81
341,458;3,81
341,72;3,79
341,981;3,81
342,243;3,84
342,504;3,84
342,766;3,87
343,027;3,87
343,288;3,89
343,55;3,91
343,811;3,93
344,072;3,86
344,334;3,87
344,595;3,84
344,856;3,84
345,117;3,84
345,379;3,84
345,64;3,89
345,901;3,91
346,162;3,96
346,423;3,95
346,684;3,94
346,946;3,97
347,207;3,95
347,468;4,02
347,729;3,97
347,99;3,98
348,251;4
348,512;3,98
348,773;3,96
349,034;3,94
349,295;3,93
349,556;4,03
349,817;4,06
350,078;4,08
350,339;4,01
350,6;4,01
350,86;4
351,121;3,97
351,382;3,99
351,643;3,95
351,904;3,93
352,165;3,91
