Data from sienaNatWhite_Reflection__0__31.txt Node;
"Date: Wed Sep 10 12:20:09 CEST 2025 User: sycur Spectrometer: SR400348 Trigger mode: 0 Integration Time (sec): 1,000000E-2 Scans to average: 10 Electric dark correction enabled: true Nonlinearity correction enabled: false Boxcar width: 10 XAxis mode: Wavelengths Number of Pixels in Spectrum: 3648 >>>>>Begin Spectral Data<<<<<";
286,985;8,97
287,249;8,95
287,514;8,95
287,779;8,93
288,044;8,92
288,309;8,91
288,573;8,94
288,838;8,96
289,103;8,97
289,367;8,96
289,632;8,95
289,897;8,98
290,161;9
290,426;8,99
290,691;9,05
290,955;9,03
291,22;9,01
291,484;8,99
291,749;8,94
292,014;8,94
292,278;8,91
292,543;8,93
292,807;8,96
293,072;8,96
293,336;8,95
293,6;8,94
293,865;8,94
294,129;8,9
294,394;8,86
294,658;8,88
294,922;8,87
295,187;8,87
295,451;8,82
295,715;8,81
295,98;8,8
296,244;8,76
296,508;8,74
296,773;8,75
297,037;8,78
297,301;8,77
297,565;8,8
297,829;8,77
298,094;8,76
298,358;8,71
298,622;8,7
298,886;8,69
299,15;8,69
299,414;8,68
299,678;8,69
299,942;8,69
300,206;8,69
300,47;8,68
300,734;8,66
300,998;8,68
301,262;8,67
301,526;8,66
301,79;8,66
302,054;8,68
302,318;8,64
302,582;8,64
302,846;8,63
303,11;8,61
303,374;8,61
303,637;8,6
303,901;8,61
304,165;8,59
304,429;8,61
304,693;8,6
304,956;8,61
305,22;8,61
305,484;8,62
305,747;8,62
306,011;8,61
306,275;8,6
306,538;8,6
306,802;8,61
307,066;8,62
307,329;8,64
307,593;8,62
307,856;8,62
308,12;8,59
308,384;8,63
308,647;8,62
308,911;8,62
309,174;8,62
309,438;8,62
309,701;8,61
309,964;8,61
310,228;8,6
310,491;8,6
310,755;8,61
311,018;8,59
311,281;8,59
311,545;8,6
311,808;8,61
312,071;8,59
312,335;8,58
312,598;8,59
312,861;8,57
313,124;8,57
313,388;8,62
313,651;8,62
313,914;8,58
314,177;8,54
314,44;8,52
314,704;8,52
314,967;8,52
315,23;8,54
315,493;8,54
315,756;8,52
316,019;8,5
316,282;8,49
316,545;8,48
316,808;8,46
317,071;8,46
317,334;8,44
317,597;8,45
317,86;8,44
318,123;8,42
318,386;8,4
318,649;8,37
318,912;8,35
319,175;8,36
319,437;8,35
319,7;8,36
319,963;8,37
320,226;8,36
320,489;8,33
320,751;8,29
321,014;8,27
321,277;8,26
321,54;8,26
321,802;8,25
322,065;8,25
322,328;8,25
322,59;8,23
322,853;8,23
323,116;8,22
323,378;8,22
323,641;8,23
323,903;8,25
324,166;8,26
324,428;8,23
324,691;8,19
324,953;8,18
325,216;8,2
325,478;8,18
325,741;8,18
326,003;8,19
326,266;8,18
326,528;8,16
326,791;8,14
327,053;8,14
327,315;8,1
327,578;8,12
327,84;8,08
328,102;8,08
328,365;8,07
328,627;8,03
328,889;8,03
329,151;8,03
329,414;8
329,676;7,98
329,938;7,97
330,2;7,97
330,462;7,99
330,725;7,96
330,987;7,96
331,249;7,94
331,511;7,96
331,773;8
332,035;8,02
332,297;8,08
332,559;8,08
332,821;8,07
333,083;8,05
333,345;8,06
333,607;8,09
333,869;8,15
334,131;8,16
334,393;8,16
334,655;8,1
334,917;8,11
335,179;8,1
335,44;8,12
335,702;8,12
335,964;8,12
336,226;8,12
336,488;8,12
336,749;8,11
337,011;8,09
337,273;8,09
337,535;8,08
337,796;8,03
338,058;8,07
338,32;8,09
338,581;8,07
338,843;8,06
339,105;8,08
339,366;8,03
339,628;8,03
339,889;8,02
340,151;8,03
340,412;8,03
340,674;8,05
340,935;8,02
341,197;8,06
341,458;8,01
341,72;8
341,981;7,98
342,243;7,99
342,504;8
342,766;7,95
343,027;7,94
343,288;7,97
343,55;7,94
343,811;7,93
344,072;7,89
344,334;7,92
344,595;7,87
344,856;7,87
345,117;7,86
345,379;7,85
345,64;7,87
345,901;7,86
346,162;7,87
346,423;7,85
346,684;7,79
346,946;7,83
347,207;7,83
347,468;7,86
347,729;7,86
347,99;7,83
348,251;7,86
348,512;7,86
