Data from sienaNatWhite_Reflection__1__32.txt Node;
"Date: Wed Sep 10 12:21:12 CEST 2025 User: sycur Spectrometer: SR400348 Trigger mode: 0 Integration Time (sec): 1,000000E-2 Scans to average: 10 Electric dark correction enabled: true Nonlinearity correction enabled: false Boxcar width: 10 XAxis mode: Wavelengths Number of Pixels in Spectrum: 3648 >>>>>Begin Spectral Data<<<<<";
286,72;2,51
286,985;2,48
287,249;2,48
287,514;2,5
287,779;2,48
288,044;2,47
288,309;2,45
288,573;2,43
288,838;2,44
289,103;2,48
289,367;2,48
289,632;2,48
289,897;2,46
290,161;2,47
290,426;2,46
290,691;2,52
290,955;2,48
291,22;2,46
291,484;2,45
291,749;2,42
292,014;2,43
292,278;2,42
292,543;2,43
292,807;2,41
293,072;2,38
293,336;2,38
293,6;2,4
293,865;2,39
294,129;2,39
294,394;2,37
294,658;2,37
294,922;2,34
295,187;2,33
295,451;2,32
295,715;2,3
295,98;2,29
296,244;2,29
296,508;2,3
296,773;2,3
297,037;2,32
297,301;2,33
297,565;2,34
297,829;2,3
298,094;2,3
298,358;2,3
298,622;2,32
298,886;2,33
299,15;2,36
299,414;2,37
299,678;2,39
299,942;2,4
300,206;2,4
300,47;2,43
300,734;2,42
300,998;2,44
301,262;2,44
301,526;2,44
301,79;2,42
302,054;2,43
302,318;2,44
302,582;2,46
302,846;2,46
303,11;2,46
303,374;2,48
303,637;2,49
303,901;2,5
304,165;2,53
304,429;2,51
304,693;2,49
304,956;2,5
305,22;2,51
305,484;2,54
305,747;2,55
306,011;2,55
306,275;2,54
306,538;2,55
306,802;2,56
307,066;2,59
307,329;2,6
307,593;2,58
307,856;2,6
308,12;2,58
308,384;2,59
308,647;2,61
308,911;2,6
309,174;2,6
309,438;2,58
309,701;2,56
309,964;2,57
310,228;2,54
310,491;2,53
310,755;2,52
311,018;2,53
311,281;2,53
311,545;2,53
311,808;2,53
312,071;2,54
312,335;2,5
312,598;2,49
312,861;2,52
313,124;2,54
313,388;2,56
313,651;2,56
313,914;2,53
314,177;2,49
314,44;2,49
314,704;2,5
314,967;2,53
315,23;2,55
315,493;2,55
315,756;2,56
316,019;2,58
316,282;2,59
316,545;2,55
316,808;2,58
317,071;2,57
317,334;2,59
317,597;2,6
317,86;2,61
318,123;2,63
318,386;2,59
318,649;2,57
318,912;2,54
319,175;2,55
319,437;2,56
319,7;2,58
319,963;2,6
320,226;2,59
320,489;2,55
320,751;2,53
321,014;2,52
321,277;2,53
321,54;2,5
321,802;2,48
322,065;2,52
322,328;2,48
322,59;2,47
322,853;2,46
323,116;2,46
323,378;2,48
323,641;2,44
323,903;2,48
324,166;2,49
324,428;2,49
324,691;2,48
324,953;2,47
325,216;2,5
325,478;2,49
325,741;2,48
326,003;2,5
326,266;2,5
326,528;2,51
326,791;2,51
327,053;2,53
327,315;2,49
327,578;2,5
327,84;2,49
328,102;2,48
328,365;2,5
328,627;2,46
328,889;2,46
329,151;2,49
329,414;2,49
329,676;2,46
329,938;2,47
330,2;2,46
330,462;2,48
330,725;2,41
330,987;2,41
331,249;2,42
331,511;2,4
331,773;2,39
332,035;2,42
332,297;2,44
332,559;2,44
332,821;2,42
333,083;2,39
333,345;2,4
333,607;2,43
333,869;2,47
334,131;2,5
334,393;2,48
334,655;2,48
334,917;2,45
335,179;2,47
335,44;2,48
335,702;2,47
335,964;2,45
336,226;2,5
336,488;2,49
336,749;2,48
337,011;2,48
337,273;2,49
337,535;2,45
337,796;2,41
338,058;2,42
338,32;2,41
338,581;2,41
338,843;2,39
339,105;2,38
339,366;2,32
339,628;2,34
339,889;2,36
340,151;2,33
340,412;2,35
340,674;2,36
340,935;2,33
341,197;2,36
341,458;2,34
341,72;2,32
341,981;2,33
342,243;2,37
342,504;2,42
342,766;2,43
343,027;2,44
343,288;2,47
343,55;2,47
343,811;2,51
344,072;2,49
344,334;2,55
344,595;2,54
344,856;2,57
345,117;2,58
345,379;2,58
345,64;2,58
345,901;2,59
346,162;2,58
346,423;2,63
346,684;2,59
346,946;2,65
347,207;2,64
347,468;2,65
347,729;2,63
347,99;2,62
348,251;2,61
348,512;2,61
348,773;2,57
349,034;2,56
349,295;2,57
349,556;2,58
349,817;2,58
350,078;2,58
350,339;2,55
350,6;2,53
350,86;2,54
351,121;2,55
351,382;2,57
351,643;2,55
351,904;2,52
352,165;2,54
352,425;2,5
352,686;2,53
352,947;2,51
353,208;2,52
353,468;2,51
353,729;2,51
353,99;2,55
354,25;2,59
354,511;2,59
354,772;2,58
355,032;2,61
355,293;2,58
355,553;2,56
355,814;2,56
356,074;2,53
356,335;2,52
356,596;2,55
356,856;2,54
357,116;2,53
357,377;2,56
357,637;2,54
357,898;2,54
358,158;2,51
358,419;2,5
358,679;2,48
358,939;2,46
359,2;2,43
359,46;2,42
359,72;2,41
359,981;2,45
360,241;2,43
360,501;2,38
360,761;2,38
361,022;2,36
361,282;2,39
361,542;2,43
361,802;2,38
362,062;2,35
362,323;2,33
362,583;2,37
362,843;2,31
363,103;2,34
363,363;2,32
363,623;2,33
363,883;2,36
364,143;2,38
364,403;2,41
364,663;2,44
364,923;2,45
365,183;2,48
365,443;2,48
365,703;2,45
365,963;2,48
366,223;2,49
366,483;2,51
366,743;2,52
367,002;2,51
367,262;2,53
367,522;2,52
367,782;2,5
368,042;2,5
368,301;2,53
368,561;2,52
368,821;2,54
369,081;2,56
369,34;2,52
369,6;2,48
369,86;2,48
370,119;2,46
370,379;2,47
370,638;2,48
370,898;2,45
371,158;2,48
371,417;2,5
371,677;2,44
371,936;2,46
372,196;2,46
372,455;2,47
372,715;2,46
372,974;2,52
373,234;2,51
373,493;2,56
373,753;2,59
374,012;2,61
374,271;2,61
374,531;2,59
374,79;2,6
375,049;2,64
375,309;2,63
375,568;2,61
375,827;2,55
376,086;2,5
376,346;2,53
376,605;2,55
376,864;2,54
377,123;2,55
377,383;2,54
377,642;2,56
377,901;2,55
378,16;2,55
378,419;2,53
378,678;2,55
378,937;2,5
379,196;2,46
379,455;2,48
379,714;2,53
379,973;2,56
380,232;2,56
380,491;2,55
380,75;2,55
381,009;2,56
381,268;2,56
381,527;2,61
381,786;2,58
382,045;2,57
382,304;2,58
382,563;2,64
382,821;2,65
383,08;2,61
383,339;2,63
383,598;2,68
383,857;2,67
384,115;2,67
384,374;2,7
384,633;2,73
384,891;2,7
385,15;2,6
385,409;2,68
385,667;2,69
385,926;2,7
386,185;2,69
386,443;2,71
386,702;2,76
386,96;2,76
387,219;2,78
387,477;2,81
387,736;2,78
387,994;2,8
388,253;2,8
388,511;2,81
388,77;2,8
389,028;2,78
389,287;2,78
389,545;2,77
389,803;2,75
390,062;2,71
390,32;2,69
390,578;2,71
390,837;2,64
391,095;2,64
391,353;2,64
391,612;2,64
391,87;2,63
392,128;2,63
392,386;2,64
392,644;2,63
392,903;2,63
393,161;2,63
393,419;2,59
393,677;2,61
393,935;2,63
394,193;2,63
394,451;2,67
394,709;2,62
394,967;2,67
395,225;2,65
395,483;2,69
395,741;2,75
395,999;2,8
396,257;2,83
396,515;2,82
396,773;2,83
397,031;2,88
397,289;2,91
397,547;2,88
397,805;2,88
398,062;2,88
398,32;2,85
398,578;2,91
398,836;2,88
399,094;2,83
399,351;2,8
399,609;2,77
399,867;2,76
400,124;2,8
400,382;2,82
400,64;2,84
400,897;2,83
401,155;2,78
401,413;2,75
401,67;2,7
401,928;2,72
402,185;2,71
402,443;2,68
402,701;2,63
402,958;2,63
403,216;2,6
403,473;2,58
403,73;2,59
403,988;2,54
404,245;2,61
404,503;2,64
404,76;2,66
405,018;2,66
405,275;2,69
405,532;2,7
405,79;2,69
406,047;2,69
406,304;2,72
406,561;2,76
406,819;2,81
407,076;2,85
407,333;2,9
407,59;2,93
407,848;2,91
408,105;2,96
408,362;3,01
408,619;3,09
408,876;3,09
409,133;3,07
409,39;3,09
409,647;3,11
409,904;3,07
410,161;3,1
410,418;3,09
410,675;3,05
410,932;3,04
411,189;3,06
411,446;3,04
411,703;3,04
411,96;3,02
412,217;3
412,474;2,94
412,731;2,9
412,988;2,86
413,245;2,89
413,501;2,86
413,758;2,83
414,015;2,73
414,272;2,77
414,529;2,83
414,785;2,85
415,042;2,82
415,299;2,86
415,555;2,84
415,812;2,83
416,069;2,84
416,325;2,81
416,582;2,79
416,838;2,83
417,095;2,79
417,352;2,77
417,608;2,79
417,865;2,89
418,121;2,9
418,378;2,9
418,634;2,91
418,891;2,97
419,147;2,99
419,403;3,01
419,66;3,01
419,916;2,99
420,173;2,97
420,429;2,96
420,685;2,99
420,942;2,98
421,198;3,03
421,454;3,05
421,711;3,06
421,967;3,05
422,223;3,04
422,479;3,06
422,735;3,12
422,992;3,08
423,248;3,04
423,504;3,08
423,76;3,15
424,016;3,13
424,272;3,11
424,528;3,1
424,784;3,1
425,041;3,05
425,297;3,04
425,553;3,07
425,809;3,1
426,065;3,07
426,32;3,09
426,576;3,04
426,832;3,01
427,088;3,03
427,344;3
427,6;3,03
427,856;3,02
428,112;3,03
428,368;3,03
428,623;3,03
428,879;2,99
429,135;2,93
429,391;2,94
429,646;2,94
429,902;2,96
430,158;3,03
430,414;3,04
430,669;3,14
430,925;3,16
431,181;3,15
431,436;3,21
431,692;3,23
431,947;3,33
432,203;3,34
432,458;3,37
432,714;3,43
432,97;3,43
433,225;3,47
433,481;3,49
433,736;3,52
433,991;3,56
434,247;3,57
434,502;3,65
434,758;3,72
435,013;3,7
435,268;3,72
435,524;3,65
435,779;3,67
436,034;3,61
436,29;3,62
436,545;3,63
436,8;3,57
437,056;3,57
437,311;3,56
437,566;3,54
437,821;3,52
438,076;3,52
438,331;3,52
438,587;3,55
438,842;3,55
439,097;3,61
439,352;3,62
439,607;3,6
439,862;3,57
440,117;3,55
440,372;3,57
440,627;3,56
440,882;3,6
441,137;3,65
441,392;3,68
441,647;3,68
441,902;3,71
442,157;3,75
442,412;3,76
442,667;3,77
442,921;3,81
443,176;3,86
443,431;3,92
443,686;3,93
443,941;3,92
444,195;3,91
444,45;3,86
444,705;3,87
444,96;3,93
445,214;3,93
445,469;3,9
445,724;3,93
445,978;3,99
446,233;4,01
446,487;3,99
446,742;3,98
446,997;3,95
447,251;3,99
447,506;4
447,76;4
448,015;3,94
448,269;3,98
448,524;3,99
448,778;3,94
449,033;3,94
449,287;3,96
449,541;4
449,796;4,01
450,05;4,03
450,305;4,05
450,559;4,05
450,813;4,1
451,067;4,07
451,322;4,03
451,576;4
451,83;4,04
452,084;4,06
452,339;4,12
452,593;4,09
452,847;4,07
453,101;4,06
453,355;4,13
453,609;4,15
453,864;4,11
454,118;4,08
454,372;4,06
454,626;4,09
454,88;4,13
455,134;4,14
455,388;4,12
455,642;4,1
455,896;4,15
456,15;4,1
456,404;4,15
456,658;4,14
456,912;4,15
457,165;4,13
457,419;4,15
457,673;4,07
457,927;4,02
458,181;4,05
458,435;4,04
458,688;3,97
458,942;3,93
459,196;3,94
459,45;3,97
459,703;3,98
459,957;3,93
460,211;3,89
460,464;3,92
460,718;3,88
460,972;3,88
461,225;3,84
461,479;3,81
461,732;3,78
461,986;3,8
462,239;3,81
462,493;3,8
462,746;3,82
463;3,85
463,253;3,92
463,507;3,83
463,76;3,83
464,014;3,85
464,267;3,84
464,52;3,86
464,774;3,88
465,027;3,9
465,28;3,9
465,534;3,85
465,787;3,84
466,04;3,84
466,294;3,84
466,547;3,84
466,8;3,91
467,053;3,9
467,306;3,91
467,56;3,93
467,813;3,92
468,066;3,86
468,319;3,82
468,572;3,8
468,825;3,88
469,078;3,92
469,331;3,95
469,584;3,97
469,837;3,95
470,09;3,96
470,343;3,92
470,596;3,97
470,849;4
471,102;3,98
471,355;4
471,608;4,03
471,861;4,04
472,114;4,03
472,367;4,02
472,619;4,02
472,872;3,99
473,125;4,01
473,378;4
473,631;4,04
473,883;4,03
474,136;4,03
474,389;4,05
474,641;4,05
474,894;4,02
475,147;4,04
475,399;4,01
475,652;4,06
475,905;4,03
476,157;4,05
476,41;4,07
476,662;4,07
476,915;4,08
477,167;4,07
477,42;4,08
477,672;4,1
477,925;4,1
478,177;4,15
478,43;4,16
478,682;4,18
478,934;4,16
479,187;4,19
479,439;4,17
479,691;4,17
479,944;4,18
480,196;4,2
480,448;4,24
480,701;4,26
480,953;4,26
481,205;4,26
481,457;4,25
481,709;4,27
481,962;4,27
482,214;4,3
482,466;4,31
482,718;4,34
482,97;4,36
483,222;4,38
483,474;4,37
483,726;4,4
483,978;4,42
484,23;4,45
484,482;4,45
484,734;4,47
484,986;4,46
485,238;4,48
485,49;4,49
485,742;4,47
485,994;4,48
486,246;4,47
486,498;4,47
486,75;4,47
487,001;4,46
487,253;4,46
487,505;4,44
487,757;4,46
488,009;4,46
488,26;4,47
488,512;4,48
488,764;4,49
489,015;4,49
