Data from sienaNatWhite_Reflection__3__34.txt Node;
"Date: Wed Sep 10 12:22:52 CEST 2025 User: sycur Spectrometer: SR400348 Trigger mode: 0 Integration Time (sec): 1,000000E-2 Scans to average: 10 Electric dark correction enabled: true Nonlinearity correction enabled: false Boxcar width: 10 XAxis mode: Wavelengths Number of Pixels in Spectrum: 3648 >>>>>Begin Spectral Data<<<<<";
286,455;3,23
286,72;3,24
286,985;3,23
287,249;3,22
287,514;3,23
287,779;3,22
288,044;3,2
288,309;3,18
288,573;3,19
288,838;3,22
289,103;3,22
289,367;3,21
289,632;3,22
289,897;3,2
290,161;3,23
290,426;3,24
290,691;3,3
290,955;3,26
291,22;3,24
291,484;3,23
291,749;3,2
292,014;3,2
292,278;3,18
292,543;3,18
292,807;3,2
293,072;3,2
293,336;3,19
293,6;3,18
293,865;3,18
294,129;3,17
294,394;3,17
294,658;3,16
294,922;3,13
295,187;3,12
295,451;3,13
295,715;3,11
295,98;3,1
296,244;3,08
296,508;3,09
296,773;3,12
297,037;3,15
297,301;3,18
297,565;3,21
297,829;3,21
298,094;3,21
298,358;3,19
298,622;3,19
298,886;3,2
299,15;3,23
299,414;3,24
299,678;3,24
299,942;3,25
300,206;3,26
300,47;3,3
300,734;3,3
300,998;3,3
301,262;3,29
301,526;3,28
301,79;3,26
302,054;3,29
302,318;3,28
302,582;3,28
302,846;3,24
303,11;3,23
303,374;3,23
303,637;3,24
303,901;3,25
304,165;3,23
304,429;3,24
304,693;3,22
304,956;3,23
305,22;3,24
305,484;3,22
305,747;3,22
306,011;3,21
306,275;3,2
306,538;3,21
306,802;3,23
307,066;3,24
307,329;3,23
307,593;3,24
307,856;3,22
308,12;3,19
308,384;3,21
308,647;3,22
308,911;3,23
309,174;3,21
309,438;3,21
309,701;3,21
309,964;3,23
310,228;3,23
310,491;3,21
310,755;3,24
311,018;3,24
311,281;3,24
311,545;3,23
311,808;3,22
312,071;3,2
312,335;3,18
312,598;3,17
312,861;3,18
313,124;3,18
313,388;3,24
313,651;3,25
313,914;3,23
314,177;3,22
314,44;3,22
314,704;3,22
314,967;3,21
315,23;3,23
315,493;3,22
315,756;3,21
316,019;3,23
316,282;3,22
316,545;3,22
316,808;3,24
317,071;3,25
317,334;3,27
317,597;3,31
317,86;3,31
318,123;3,34
318,386;3,33
318,649;3,32
318,912;3,29
319,175;3,31
319,437;3,31
319,7;3,3
319,963;3,3
320,226;3,29
320,489;3,29
320,751;3,29
321,014;3,29
321,277;3,31
321,54;3,28
321,802;3,26
322,065;3,27
322,328;3,27
322,59;3,27
322,853;3,27
323,116;3,26
323,378;3,25
323,641;3,23
323,903;3,26
324,166;3,25
324,428;3,23
324,691;3,24
324,953;3,24
325,216;3,26
325,478;3,23
325,741;3,23
326,003;3,23
326,266;3,21
326,528;3,19
326,791;3,18
327,053;3,21
327,315;3,18
327,578;3,19
327,84;3,17
328,102;3,14
328,365;3,15
328,627;3,13
328,889;3,12
329,151;3,1
329,414;3,09
329,676;3,09
329,938;3,09
330,2;3,09
330,462;3,1
330,725;3,08
330,987;3,12
331,249;3,13
331,511;3,11
331,773;3,09
332,035;3,15
332,297;3,18
332,559;3,15
332,821;3,15
333,083;3,13
333,345;3,1
333,607;3,14
333,869;3,19
334,131;3,2
334,393;3,24
334,655;3,25
334,917;3,2
335,179;3,18
335,44;3,22
335,702;3,2
335,964;3,19
336,226;3,23
336,488;3,21
336,749;3,21
337,011;3,23
337,273;3,27
337,535;3,23
337,796;3,15
338,058;3,17
338,32;3,18
338,581;3,19
338,843;3,21
339,105;3,22
339,366;3,18
339,628;3,17
339,889;3,18
340,151;3,19
340,412;3,19
340,674;3,2
340,935;3,17
341,197;3,19
341,458;3,18
341,72;3,14
341,981;3,14
342,243;3,15
342,504;3,2
342,766;3,2
343,027;3,19
343,288;3,25
343,55;3,26
343,811;3,28
344,072;3,23
344,334;3,21
344,595;3,15
344,856;3,16
345,117;3,19
345,379;3,17
345,64;3,21
345,901;3,24
346,162;3,27
346,423;3,29
346,684;3,27
346,946;3,3
347,207;3,29
347,468;3,3
347,729;3,25
347,99;3,24
348,251;3,24
348,512;3,27
348,773;3,22
349,034;3,23
349,295;3,24
349,556;3,31
349,817;3,35
350,078;3,41
350,339;3,35
350,6;3,35
350,86;3,36
351,121;3,3
351,382;3,33
351,643;3,28
351,904;3,27
352,165;3,28
352,425;3,23
352,686;3,26
352,947;3,26
353,208;3,3
353,468;3,27
353,729;3,26
353,99;3,22
354,25;3,27
354,511;3,28
354,772;3,27
355,032;3,27
355,293;3,26
355,553;3,28
355,814;3,32
356,074;3,29
356,335;3,27
356,596;3,31
356,856;3,29
357,116;3,32
357,377;3,34
357,637;3,33
357,898;3,33
358,158;3,35
358,419;3,33
358,679;3,32
358,939;3,32
359,2;3,33
359,46;3,34
359,72;3,32
359,981;3,31
360,241;3,27
360,501;3,23
360,761;3,25
361,022;3,2
361,282;3,21
361,542;3,21
361,802;3,22
362,062;3,21
362,323;3,17
362,583;3,17
362,843;3,13
363,103;3,14
363,363;3,17
363,623;3,13
363,883;3,17
364,143;3,18
364,403;3,15
364,663;3,16
364,923;3,17
365,183;3,22
365,443;3,23
365,703;3,23
365,963;3,28
366,223;3,28
366,483;3,27
366,743;3,25
367,002;3,26
367,262;3,22
367,522;3,24
367,782;3,26
368,042;3,25
368,301;3,3
368,561;3,29
368,821;3,26
369,081;3,28
369,34;3,26
369,6;3,22
369,86;3,24
370,119;3,25
370,379;3,27
370,638;3,22
370,898;3,21
371,158;3,24
371,417;3,21
371,677;3,17
371,936;3,19
372,196;3,2
372,455;3,17
372,715;3,21
372,974;3,22
373,234;3,19
373,493;3,24
373,753;3,2
374,012;3,2
374,271;3,21
374,531;3,2
374,79;3,22
375,049;3,25
375,309;3,23
375,568;3,2
375,827;3,17
376,086;3,17
376,346;3,18
376,605;3,18
376,864;3,18
377,123;3,17
377,383;3,14
377,642;3,15
377,901;3,18
378,16;3,16
378,419;3,16
378,678;3,15
378,937;3,12
379,196;3,12
379,455;3,17
379,714;3,17
379,973;3,21
380,232;3,18
380,491;3,14
380,75;3,13
381,009;3,14
381,268;3,15
381,527;3,15
381,786;3,15
382,045;3,12
382,304;3,13
382,563;3,13
382,821;3,18
383,08;3,18
383,339;3,19
383,598;3,22
383,857;3,2
384,115;3,19
384,374;3,15
384,633;3,2
384,891;3,16
385,15;3,13
385,409;3,15
385,667;3,17
385,926;3,19
386,185;3,2
386,443;3,2
386,702;3,19
386,96;3,2
387,219;3,21
387,477;3,26
387,736;3,23
387,994;3,26
388,253;3,2
388,511;3,2
388,77;3,22
389,028;3,23
389,287;3,24
389,545;3,29
389,803;3,32
390,062;3,26
390,32;3,28
390,578;3,3
390,837;3,26
391,095;3,28
391,353;3,33
391,612;3,35
391,87;3,33
392,128;3,35
392,386;3,36
392,644;3,36
392,903;3,34
393,161;3,38
393,419;3,37
393,677;3,42
393,935;3,41
394,193;3,39
394,451;3,36
394,709;3,28
394,967;3,29
395,225;3,3
395,483;3,37
395,741;3,37
395,999;3,37
396,257;3,43
396,515;3,42
396,773;3,39
397,031;3,38
397,289;3,41
397,547;3,4
397,805;3,38
398,062;3,44
398,32;3,41
398,578;3,44
398,836;3,41
399,094;3,38
399,351;3,34
399,609;3,35
399,867;3,34
400,124;3,44
400,382;3,44
400,64;3,41
400,897;3,39
401,155;3,41
401,413;3,39
401,67;3,39
401,928;3,41
402,185;3,41
402,443;3,43
402,701;3,39
402,958;3,4
403,216;3,4
403,473;3,35
403,73;3,36
403,988;3,35
404,245;3,38
404,503;3,37
404,76;3,38
405,018;3,36
405,275;3,43
405,532;3,41
405,79;3,4
406,047;3,4
406,304;3,39
406,561;3,42
406,819;3,49
407,076;3,44
407,333;3,49
407,59;3,53
407,848;3,53
408,105;3,57
408,362;3,61
408,619;3,66
408,876;3,65
409,133;3,66
409,39;3,68
409,647;3,75
409,904;3,72
410,161;3,78
410,418;3,8
410,675;3,74
410,932;3,72
411,189;3,75
411,446;3,77
411,703;3,74
411,96;3,65
412,217;3,61
412,474;3,6
412,731;3,56
412,988;3,52
413,245;3,53
413,501;3,5
413,758;3,47
414,015;3,42
414,272;3,4
414,529;3,42
414,785;3,42
415,042;3,4
415,299;3,5
415,555;3,46
415,812;3,44
416,069;3,44
416,325;3,42
416,582;3,43
416,838;3,48
417,095;3,46
417,352;3,5
417,608;3,54
417,865;3,57
418,121;3,56
418,378;3,56
418,634;3,55
418,891;3,65
419,147;3,7
419,403;3,71
419,66;3,73
419,916;3,75
420,173;3,73
420,429;3,71
420,685;3,7
420,942;3,74
421,198;3,77
421,454;3,77
421,711;3,78
421,967;3,8
422,223;3,79
422,479;3,82
422,735;3,81
422,992;3,81
423,248;3,77
423,504;3,81
423,76;3,83
424,016;3,87
424,272;3,86
424,528;3,81
424,784;3,76
425,041;3,77
425,297;3,76
425,553;3,8
425,809;3,86
426,065;3,81
426,32;3,8
426,576;3,81
426,832;3,83
427,088;3,85
427,344;3,8
427,6;3,83
427,856;3,84
428,112;3,86
428,368;3,86
428,623;3,91
428,879;3,9
429,135;3,93
429,391;3,9
429,646;3,92
429,902;3,95
430,158;4,03
430,414;4,02
430,669;4,04
430,925;4,01
431,181;4
431,436;4,05
431,692;4,04
431,947;4,07
432,203;4,12
432,458;4,11
432,714;4,14
432,97;4,12
433,225;4,15
