Data from sienaNatWhite_Reflection__2__33.txt Node;
"Date: Wed Sep 10 12:22:02 CEST 2025 User: sycur Spectrometer: SR400348 Trigger mode: 0 Integration Time (sec): 1,000000E-2 Scans to average: 10 Electric dark correction enabled: true Nonlinearity correction enabled: false Boxcar width: 10 XAxis mode: Wavelengths Number of Pixels in Spectrum: 3648 >>>>>Begin Spectral Data<<<<<";
286,72;2,36
286,985;2,34
287,249;2,33
287,514;2,32
287,779;2,3
288,044;2,3
288,309;2,29
288,573;2,29
288,838;2,33
289,103;2,35
289,367;2,36
289,632;2,34
289,897;2,35
290,161;2,36
290,426;2,38
290,691;2,42
290,955;2,39
291,22;2,38
291,484;2,36
291,749;2,35
292,014;2,34
292,278;2,33
292,543;2,36
292,807;2,39
293,072;2,4
293,336;2,39
293,6;2,39
293,865;2,4
294,129;2,39
294,394;2,38
294,658;2,38
294,922;2,35
295,187;2,33
295,451;2,32
295,715;2,3
295,98;2,27
296,244;2,25
296,508;2,26
296,773;2,28
297,037;2,28
297,301;2,3
297,565;2,31
297,829;2,29
298,094;2,27
298,358;2,25
298,622;2,23
298,886;2,24
299,15;2,26
299,414;2,25
299,678;2,26
299,942;2,24
300,206;2,24
300,47;2,25
300,734;2,26
300,998;2,27
301,262;2,25
301,526;2,27
301,79;2,26
302,054;2,27
302,318;2,27
302,582;2,29
302,846;2,27
303,11;2,28
303,374;2,32
303,637;2,34
303,901;2,34
304,165;2,36
304,429;2,36
304,693;2,35
304,956;2,36
305,22;2,37
305,484;2,39
305,747;2,38
306,011;2,4
306,275;2,39
306,538;2,4
306,802;2,45
307,066;2,45
307,329;2,45
307,593;2,45
307,856;2,44
308,12;2,4
308,384;2,43
308,647;2,43
308,911;2,41
309,174;2,42
309,438;2,4
309,701;2,41
309,964;2,4
310,228;2,41
310,491;2,4
310,755;2,42
311,018;2,42
311,281;2,44
311,545;2,41
311,808;2,42
312,071;2,4
312,335;2,35
312,598;2,34
312,861;2,34
313,124;2,38
313,388;2,44
313,651;2,45
313,914;2,42
314,177;2,39
314,44;2,39
314,704;2,38
314,967;2,4
315,23;2,41
315,493;2,43
315,756;2,41
316,019;2,39
316,282;2,39
316,545;2,36
316,808;2,36
317,071;2,37
317,334;2,39
317,597;2,43
317,86;2,45
318,123;2,48
318,386;2,47
318,649;2,44
318,912;2,42
319,175;2,43
319,437;2,44
319,7;2,46
319,963;2,48
320,226;2,48
320,489;2,46
320,751;2,45
321,014;2,46
321,277;2,5
321,54;2,49
321,802;2,48
322,065;2,51
322,328;2,48
322,59;2,47
322,853;2,49
323,116;2,46
323,378;2,44
323,641;2,42
323,903;2,42
324,166;2,42
324,428;2,39
324,691;2,37
324,953;2,36
325,216;2,38
325,478;2,35
325,741;2,34
326,003;2,35
326,266;2,37
326,528;2,3
326,791;2,29
327,053;2,31
327,315;2,31
327,578;2,33
327,84;2,36
328,102;2,36
328,365;2,36
328,627;2,36
328,889;2,38
329,151;2,4
329,414;2,43
329,676;2,4
329,938;2,4
330,2;2,38
330,462;2,41
330,725;2,35
330,987;2,37
331,249;2,36
331,511;2,35
331,773;2,36
332,035;2,42
332,297;2,43
332,559;2,43
332,821;2,41
333,083;2,38
333,345;2,39
333,607;2,42
333,869;2,45
334,131;2,43
334,393;2,47
334,655;2,46
334,917;2,41
335,179;2,42
335,44;2,45
335,702;2,49
335,964;2,48
336,226;2,53
336,488;2,56
336,749;2,57
337,011;2,59
337,273;2,59
337,535;2,6
337,796;2,55
338,058;2,55
338,32;2,56
338,581;2,55
338,843;2,51
339,105;2,51
339,366;2,48
339,628;2,5
339,889;2,48
340,151;2,47
340,412;2,48
340,674;2,48
340,935;2,46
341,197;2,47
341,458;2,45
341,72;2,41
341,981;2,37
342,243;2,38
342,504;2,41
342,766;2,4
343,027;2,37
343,288;2,41
343,55;2,39
343,811;2,39
344,072;2,35
344,334;2,38
344,595;2,36
344,856;2,37
345,117;2,37
345,379;2,36
