Data from sienaNatWhite_Reflection__4__35.txt Node;
"Date: Wed Sep 10 12:23:52 CEST 2025 User: sycur Spectrometer: SR400348 Trigger mode: 0 Integration Time (sec): 1,000000E-2 Scans to average: 10 Electric dark correction enabled: true Nonlinearity correction enabled: false Boxcar width: 10 XAxis mode: Wavelengths Number of Pixels in Spectrum: 3648 >>>>>Begin Spectral Data<<<<<";
286,72;2,22
286,985;2,22
287,249;2,21
287,514;2,2
287,779;2,19
288,044;2,18
288,309;2,16
288,573;2,15
288,838;2,19
289,103;2,2
289,367;2,17
289,632;2,19
289,897;2,16
290,161;2,17
290,426;2,18
290,691;2,19
290,955;2,18
291,22;2,15
291,484;2,15
291,749;2,12
292,014;2,1
292,278;2,12
292,543;2,13
292,807;2,16
293,072;2,19
293,336;2,16
293,6;2,15
293,865;2,16
294,129;2,16
294,394;2,14
294,658;2,15
294,922;2,15
295,187;2,12
295,451;2,13
295,715;2,12
295,98;2,11
296,244;2,12
296,508;2,1
296,773;2,12
297,037;2,14
297,301;2,18
297,565;2,23
297,829;2,2
298,094;2,2
298,358;2,19
298,622;2,17
298,886;2,19
299,15;2,22
299,414;2,22
299,678;2,24
299,942;2,25
300,206;2,24
300,47;2,25
300,734;2,28
300,998;2,29
301,262;2,29
301,526;2,29
301,79;2,3
302,054;2,32
302,318;2,32
302,582;2,32
302,846;2,27
303,11;2,27
303,374;2,3
303,637;2,28
303,901;2,29
304,165;2,29
304,429;2,3
304,693;2,3
304,956;2,3
305,22;2,31
305,484;2,31
305,747;2,32
306,011;2,34
306,275;2,33
306,538;2,32
306,802;2,34
307,066;2,35
307,329;2,33
307,593;2,34
307,856;2,31
308,12;2,3
308,384;2,36
308,647;2,36
308,911;2,36
309,174;2,39
309,438;2,38
309,701;2,39
309,964;2,38
310,228;2,35
310,491;2,34
310,755;2,33
311,018;2,35
311,281;2,34
311,545;2,34
311,808;2,34
312,071;2,33
312,335;2,29
312,598;2,3
312,861;2,32
313,124;2,34
313,388;2,39
313,651;2,39
313,914;2,37
314,177;2,33
314,44;2,33
314,704;2,3
314,967;2,29
315,23;2,3
315,493;2,32
315,756;2,36
316,019;2,35
316,282;2,36
316,545;2,36
316,808;2,37
317,071;2,37
317,334;2,39
317,597;2,4
317,86;2,44
318,123;2,48
318,386;2,47
