Data from neroAvorioWhite_Reflection__0__15.txt Node;
"Date: Fri Sep 12 10:48:50 CEST 2025 User: sycur Spectrometer: SR400348 Trigger mode: 0 Integration Time (sec): 2,000000E-2 Scans to average: 20 Electric dark correction enabled: true Nonlinearity correction enabled: false Boxcar width: 10 XAxis mode: Wavelengths Number of Pixels in Spectrum: 3648 >>>>>Begin Spectral Data<<<<<";
286,72;31,04
286,985;31,06
287,249;31,05
287,514;31,04
287,779;31,05
288,044;31,06
288,309;31,05
288,573;31,04
288,838;31,05
289,103;31,04
289,367;31,03
289,632;31,04
289,897;31,04
290,161;31,03
290,426;31,02
290,691;31,02
290,955;31
291,22;31,02
291,484;31,01
291,749;31,02
292,014;31
292,278;31
292,543;30,99
292,807;30,98
293,072;30,98
293,336;30,95
293,6;30,95
293,865;30,94
294,129;30,94
294,394;30,93
294,658;30,94
294,922;30,93
295,187;30,91
295,451;30,91
295,715;30,91
295,98;30,91
296,244;30,9
296,508;30,91
296,773;30,89
297,037;30,88
297,301;30,86
297,565;30,85
297,829;30,83
298,094;30,81
298,358;30,81
298,622;30,79
298,886;30,78
299,15;30,75
299,414;30,75
299,678;30,73
299,942;30,71
300,206;30,69
300,47;30,67
300,734;30,66
300,998;30,63
301,262;30,62
301,526;30,58
301,79;30,56
302,054;30,53
302,318;30,51
302,582;30,48
302,846;30,47
303,11;30,46
303,374;30,45
303,637;30,42
303,901;30,4
304,165;30,38
304,429;30,36
304,693;30,34
304,956;30,33
305,22;30,31
305,484;30,3
305,747;30,27
306,011;30,26
306,275;30,24
306,538;30,21
306,802;30,2
307,066;30,19
307,329;30,18
307,593;30,16
307,856;30,16
308,12;30,15
308,384;30,13
308,647;30,09
308,911;30,06
309,174;30,06
309,438;30,03
309,701;30,01
309,964;29,98
310,228;29,97
310,491;29,94
310,755;29,93
311,018;29,93
311,281;29,91
311,545;29,9
311,808;29,87
312,071;29,85
312,335;29,83
312,598;29,81
312,861;29,79
313,124;29,77
313,388;29,74
313,651;29,71
313,914;29,69
314,177;29,69
314,44;29,68
314,704;29,65
314,967;29,63
315,23;29,6
315,493;29,6
315,756;29,56
316,019;29,54
316,282;29,5
316,545;29,46
316,808;29,45
317,071;29,42
317,334;29,4
317,597;29,37
317,86;29,33
318,123;29,3
318,386;29,27
318,649;29,25
318,912;29,22
319,175;29,18
319,437;29,16
319,7;29,14
319,963;29,11
320,226;29,07
320,489;29,05
320,751;29,02
321,014;28,98
321,277;28,97
321,54;28,94
321,802;28,93
322,065;28,9
322,328;28,87
322,59;28,84
322,853;28,83
323,116;28,81
323,378;28,81
323,641;28,79
323,903;28,78
324,166;28,77
324,428;28,76
324,691;28,73
324,953;28,69
325,216;28,66
325,478;28,65
325,741;28,61
326,003;28,6
326,266;28,58
326,528;28,57
326,791;28,54
327,053;28,52
327,315;28,49
327,578;28,44
327,84;28,41
328,102;28,39
328,365;28,37
328,627;28,35
328,889;28,31
329,151;28,29
329,414;28,27
329,676;28,23
329,938;28,19
330,2;28,18
330,462;28,16
330,725;28,14
330,987;28,1
331,249;28,09
331,511;28,05
331,773;28,01
332,035;27,97
332,297;27,95
332,559;27,91
332,821;27,89
333,083;27,86
333,345;27,86
333,607;27,83
333,869;27,78
334,131;27,74
334,393;27,72
334,655;27,69
334,917;27,67
335,179;27,66
335,44;27,65
335,702;27,61
335,964;27,61
336,226;27,6
336,488;27,59
336,749;27,59
337,011;27,59
337,273;27,6
337,535;27,61
337,796;27,58
338,058;27,59
338,32;27,59
338,581;27,58
338,843;27,55
339,105;27,56
339,366;27,55
339,628;27,57
339,889;27,55
340,151;27,55
340,412;27,53
340,674;27,52
340,935;27,51
341,197;27,52
341,458;27,51
341,72;27,49
341,981;27,48
342,243;27,46
342,504;27,45
342,766;27,41
343,027;27,38
343,288;27,37
343,55;27,33
343,811;27,31
344,072;27,3
344,334;27,27
344,595;27,22
344,856;27,2
345,117;27,14
345,379;27,12
345,64;27,07
345,901;27,03
346,162;26,99
346,423;26,94
346,684;26,87
346,946;26,84
347,207;26,79
347,468;26,74
347,729;26,7
347,99;26,62
348,251;26,59
348,512;26,56
348,773;26,54
349,034;26,51
349,295;26,45
349,556;26,42
349,817;26,38
350,078;26,37
350,339;26,34
350,6;26,32
350,86;26,27
351,121;26,24
351,382;26,21
351,643;26,19
351,904;26,16
352,165;26,17
352,425;26,15
352,686;26,14
352,947;26,11
353,208;26,09
353,468;26,09
353,729;26,08
353,99;26,05
354,25;26,04
354,511;26
354,772;26
355,032;25,98
355,293;25,99
355,553;25,96
355,814;25,93
356,074;25,9
356,335;25,89
356,596;25,89
356,856;25,91
357,116;25,91
357,377;25,93
357,637;25,89
357,898;25,87
358,158;25,85
358,419;25,85
358,679;25,84
358,939;25,85
359,2;25,83
359,46;25,82
359,72;25,79
359,981;25,81
360,241;25,79
360,501;25,79
360,761;25,78
361,022;25,77
361,282;25,78
361,542;25,78
361,802;25,77
362,062;25,76
362,323;25,72
362,583;25,72
362,843;25,69
363,103;25,7
363,363;25,67
363,623;25,67
363,883;25,67
364,143;25,65
364,403;25,63
364,663;25,64
364,923;25,61
365,183;25,61
365,443;25,61
365,703;25,59
365,963;25,57
366,223;25,55
366,483;25,54
366,743;25,54
367,002;25,53
367,262;25,54
367,522;25,52
367,782;25,52
368,042;25,5
368,301;25,48
368,561;25,47
368,821;25,48
369,081;25,45
369,34;25,44
369,6;25,43
369,86;25,43
370,119;25,43
370,379;25,43
370,638;25,4
370,898;25,37
371,158;25,37
371,417;25,36
371,677;25,36
371,936;25,34
372,196;25,34
372,455;25,34
372,715;25,3
372,974;25,31
373,234;25,3
373,493;25,3
373,753;25,27
374,012;25,29
374,271;25,25
374,531;25,25
374,79;25,23
375,049;25,23
375,309;25,21
375,568;25,19
375,827;25,17
376,086;25,18
376,346;25,19
376,605;25,2
376,864;25,21
377,123;25,21
377,383;25,2
377,642;25,18
377,901;25,18
378,16;25,17
378,419;25,15
378,678;25,14
378,937;25,1
379,196;25,11
379,455;25,06
379,714;25,06
379,973;25,06
380,232;25,07
380,491;25,04
380,75;25,05
381,009;25,03
381,268;25,04
381,527;25,01
381,786;25,02
382,045;24,97
382,304;24,94
382,563;24,91
382,821;24,9
383,08;24,89
383,339;24,9
383,598;24,86
383,857;24,85
384,115;24,83
384,374;24,84
384,633;24,82
384,891;24,84
385,15;24,84
385,409;24,83
385,667;24,78
385,926;24,76
386,185;24,74
386,443;24,74
386,702;24,72
386,96;24,7
387,219;24,66
387,477;24,69
387,736;24,68
387,994;24,7
388,253;24,69
388,511;24,69
388,77;24,67
389,028;24,69
389,287;24,68
389,545;24,69
389,803;24,68
390,062;24,69
390,32;24,66
390,578;24,64
390,837;24,63
391,095;24,64
391,353;24,66
391,612;24,65
391,87;24,62
392,128;24,64
392,386;24,63
392,644;24,63
392,903;24,59
393,161;24,56
393,419;24,5
393,677;24,48
393,935;24,44
394,193;24,42
394,451;24,41
394,709;24,4
394,967;24,36
395,225;24,36
395,483;24,35
395,741;24,35
395,999;24,33
396,257;24,3
396,515;24,28
396,773;24,27
397,031;24,23
397,289;24,24
397,547;24,21
397,805;24,2
398,062;24,19
398,32;24,2
398,578;24,2
398,836;24,22
399,094;24,22
399,351;24,21
399,609;24,19
399,867;24,17
400,124;24,14
400,382;24,14
400,64;24,08
400,897;24,05
401,155;24,02
401,413;24,04
401,67;24,04
401,928;24,04
402,185;24,05
402,443;24,06
402,701;24,04
402,958;24,04
403,216;24,02
403,473;24
403,73;23,97
403,988;23,96
404,245;23,95
404,503;23,95
404,76;23,95
405,018;23,94
405,275;23,93
405,532;23,91
405,79;23,9
406,047;23,91
406,304;23,91
406,561;23,92
406,819;23,88
407,076;23,87
407,333;23,84
407,59;23,81
407,848;23,77
408,105;23,77
408,362;23,75
408,619;23,75
408,876;23,72
409,133;23,74
409,39;23,72
409,647;23,69
409,904;23,67
410,161;23,66
410,418;23,67
410,675;23,68
410,932;23,7
411,189;23,68
411,446;23,69
411,703;23,67
411,96;23,65
412,217;23,66
412,474;23,63
412,731;23,61
412,988;23,6
413,245;23,62
413,501;23,58
413,758;23,57
414,015;23,55
414,272;23,57
414,529;23,55
414,785;23,54
415,042;23,53
415,299;23,52
415,555;23,48
415,812;23,45
416,069;23,41
416,325;23,44
416,582;23,42
416,838;23,41
417,095;23,39
417,352;23,38
417,608;23,37
417,865;23,38
418,121;23,38
418,378;23,39
418,634;23,4
418,891;23,45
419,147;23,47
419,403;23,49
419,66;23,48
419,916;23,5
420,173;23,51
420,429;23,54
420,685;23,56
420,942;23,6
421,198;23,6
421,454;23,62
421,711;23,59
421,967;23,61
422,223;23,6
422,479;23,63
422,735;23,62
422,992;23,61
423,248;23,59
423,504;23,6
423,76;23,57
424,016;23,56
424,272;23,5
424,528;23,49
424,784;23,48
425,041;23,47
425,297;23,45
425,553;23,44
425,809;23,42
426,065;23,41
426,32;23,4
426,576;23,41
426,832;23,44
427,088;23,46
427,344;23,45
427,6;23,47
427,856;23,46
428,112;23,48
428,368;23,5
428,623;23,52
428,879;23,52
429,135;23,53
429,391;23,5
429,646;23,51
429,902;23,49
430,158;23,48
430,414;23,47
430,669;23,48
430,925;23,5
431,181;23,5
431,436;23,51
431,692;23,49
431,947;23,48
432,203;23,47
432,458;23,44
432,714;23,43
432,97;23,41
433,225;23,4
433,481;23,36
433,736;23,38
433,991;23,35
434,247;23,36
434,502;23,36
434,758;23,39
435,013;23,39
435,268;23,43
435,524;23,43
435,779;23,47
436,034;23,46
436,29;23,45
436,545;23,44
436,8;23,45
437,056;23,45
437,311;23,45
437,566;23,43
437,821;23,42
438,076;23,43
438,331;23,46
438,587;23,48
438,842;23,54
439,097;23,5
439,352;23,54
439,607;23,55
439,862;23,57
440,117;23,57
440,372;23,6
440,627;23,59
440,882;23,62
441,137;23,61
441,392;23,61
441,647;23,62
441,902;23,66
442,157;23,65
442,412;23,66
442,667;23,66
442,921;23,69
443,176;23,72
443,431;23,73
443,686;23,71
443,941;23,7
444,195;23,68
444,45;23,71
444,705;23,71
444,96;23,72
445,214;23,7
445,469;23,71
445,724;23,69
445,978;23,68
446,233;23,64
446,487;23,64
446,742;23,64
446,997;23,63
447,251;23,58
447,506;23,59
447,76;23,6
448,015;23,59
448,269;23,55
448,524;23,52
448,778;23,5
449,033;23,49
449,287;23,49
449,541;23,47
449,796;23,45
450,05;23,44
450,305;23,41
450,559;23,4
450,813;23,35
451,067;23,35
451,322;23,34
451,576;23,35
451,83;23,32
452,084;23,29
452,339;23,26
452,593;23,26
452,847;23,23
453,101;23,22
453,355;23,21
453,609;23,23
453,864;23,22
454,118;23,21
454,372;23,2
454,626;23,19
454,88;23,19
455,134;23,19
455,388;23,21
455,642;23,24
455,896;23,25
456,15;23,28
456,404;23,29
456,658;23,3
456,912;23,3
457,165;23,36
457,419;23,36
457,673;23,4
457,927;23,41
458,181;23,43
458,435;23,44
458,688;23,46
458,942;23,46
459,196;23,47
459,45;23,47
459,703;23,49
459,957;23,49
460,211;23,5
460,464;23,49
460,718;23,48
460,972;23,5
461,225;23,51
461,479;23,51
461,732;23,53
461,986;23,52
462,239;23,52
462,493;23,51
462,746;23,56
463;23,55
463,253;23,61
463,507;23,62
463,76;23,63
464,014;23,62
464,267;23,66
464,52;23,67
464,774;23,7
465,027;23,7
465,28;23,72
465,534;23,75
465,787;23,78
466,04;23,76
466,294;23,74
466,547;23,74
466,8;23,77
467,053;23,76
467,306;23,79
467,56;23,79
467,813;23,79
468,066;23,78
468,319;23,82
468,572;23,8
468,825;23,81
469,078;23,81
469,331;23,83
469,584;23,81
469,837;23,84
470,09;23,86
470,343;23,91
470,596;23,96
470,849;24
471,102;24,02
471,355;24,08
471,608;24,12
471,861;24,15
472,114;24,17
472,367;24,22
472,619;24,26
472,872;24,34
473,125;24,37
473,378;24,41
473,631;24,44
473,883;24,47
474,136;24,51
474,389;24,56
474,641;24,61
474,894;24,67
475,147;24,69
475,399;24,74
475,652;24,76
475,905;24,79
476,157;24,8
476,41;24,81
476,662;24,84
476,915;24,88
477,167;24,93
477,42;24,97
477,672;25
477,925;25,04
478,177;25,05
478,43;25,08
478,682;25,1
478,934;25,15
479,187;25,18
479,439;25,21
479,691;25,23
479,944;25,28
480,196;25,31
480,448;25,37
480,701;25,39
480,953;25,41
481,205;25,44
481,457;25,49
481,709;25,55
481,962;25,62
482,214;25,69
482,466;25,78
482,718;25,86
482,97;25,97
483,222;26,05
483,474;26,14
483,726;26,22
483,978;26,29
484,23;26,32
484,482;26,37
484,734;26,4
484,986;26,43
485,238;26,43
485,49;26,44
485,742;26,44
485,994;26,45
486,246;26,45
486,498;26,46
486,75;26,46
487,001;26,46
487,253;26,44
487,505;26,42
487,757;26,37
488,009;26,36
488,26;26,3
488,512;26,26
488,764;26,2
489,015;26,14
489,267;26,08
489,519;26,05
489,77;26,02
490,022;25,99
490,274;25,96
490,525;25,97
490,777;25,97
491,028;25,97
491,28;25,96
491,531;25,96
491,783;25,96
492,034;25,97
492,286;25,97
492,537;25,99
492,789;25,98
493,04;26
493,291;25,99
493,543;26
493,794;25,99
494,045;25,99
494,297;26
494,548;26,01
494,799;26,01
495,051;26,01
495,302;26,01
495,553;26,03
495,804;26,03
496,056;26,04
496,307;26,03
496,558;26,04
496,809;26,05
497,06;26,06
497,311;26,08
497,562;26,08
497,813;26,09
498,064;26,09
498,316;26,09
498,567;26,09
498,818;26,09
499,069;26,11
499,319;26,11
499,57;26,13
499,821;26,13
500,072;26,14
500,323;26,16
500,574;26,18
500,825;26,19
501,076;26,2
501,327;26,2
501,577;26,22
501,828;26,22
502,079;26,22
502,33;26,22
502,58;26,24
502,831;26,24
503,082;26,25
503,333;26,27
503,583;26,27
503,834;26,29
504,084;26,3
504,335;26,29
504,586;26,29
504,836;26,29
505,087;26,29
505,337;26,27
505,588;26,26
505,838;26,26
506,089;26,27
506,339;26,25
506,59;26,26
506,84;26,25
507,091;26,27
507,341;26,26
507,591;26,26
507,842;26,23
508,092;26,24
508,343;26,22
508,593;26,22
508,843;26,21
509,093;26,2
509,344;26,19
509,594;26,19
509,844;26,2
510,094;26,19
510,345;26,19
510,595;26,21
510,845;26,22
511,095;26,21
511,345;26,21
511,595;26,21
511,845;26,21
512,095;26,21
512,345;26,22
512,595;26,22
512,845;26,23
513,095;26,25
513,345;26,25
513,595;26,26
513,845;26,26
514,095;26,25
514,345;26,25
514,595;26,26
514,845;26,26
515,095;26,25
515,345;26,27
515,594;26,29
515,844;26,28
516,094;26,27
516,344;26,27
516,593;26,26
516,843;26,26
517,093;26,27
517,343;26,27
517,592;26,27
517,842;26,27
518,092;26,28
518,341;26,25
518,591;26,26
518,84;26,26
519,09;26,27
519,34;26,28
519,589;26,28
519,839;26,28
520,088;26,29
520,338;26,29
520,587;26,3
520,836;26,29
521,086;26,3
521,335;26,31
521,585;26,32
521,834;26,33
522,083;26,35
522,333;26,34
522,582;26,35
522,831;26,34
523,081;26,35
523,33;26,35
523,579;26,38
523,828;26,39
524,078;26,4
524,327;26,37
524,576;26,39
524,825;26,38
525,074;26,39
525,323;26,38
525,573;26,39
525,822;26,38
526,071;26,38
526,32;26,39
526,569;26,38
526,818;26,39
527,067;26,39
527,316;26,38
527,565;26,39
527,814;26,39
528,063;26,4
528,312;26,39
528,56;26,4
528,809;26,38
529,058;26,37
529,307;26,37
529,556;26,39
529,805;26,39
530,053;26,41
530,302;26,39
530,551;26,42
530,8;26,41
531,048;26,43
531,297;26,42
531,546;26,43
531,794;26,44
532,043;26,45
532,292;26,45
532,54;26,46
532,789;26,44
533,037;26,45
533,286;26,46
533,535;26,48
533,783;26,47
534,032;26,49
534,28;26,49
534,528;26,49
534,777;26,49
535,025;26,48
535,274;26,47
535,522;26,48
535,771;26,47
536,019;26,49
536,267;26,49
536,516;26,5
536,764;26,49
537,012;26,51
537,26;26,51
537,509;26,52
537,757;26,52
538,005;26,53
538,253;26,54
538,501;26,54
538,75;26,53
538,998;26,55
539,246;26,56
539,494;26,56
539,742;26,57
539,99;26,57
540,238;26,59
540,486;26,59
540,734;26,59
540,982;26,59
541,23;26,58
541,478;26,58
541,726;26,58
541,974;26,58
542,222;26,57
542,47;26,57
542,718;26,56
542,966;26,57
543,213;26,56
543,461;26,56
543,709;26,55
543,957;26,54
544,205;26,54
544,452;26,54
544,7;26,54
544,948;26,56
545,196;26,55
545,443;26,55
545,691;26,55
545,939;26,57
546,186;26,57
546,434;26,58
546,681;26,58
546,929;26,59
547,176;26,59
547,424;26,61
547,671;26,6
547,919;26,61
548,166;26,62
548,414;26,63
548,661;26,63
548,909;26,65
549,156;26,67
549,404;26,67
549,651;26,68
549,898;26,68
550,146;26,68
550,393;26,71
550,64;26,71
550,888;26,73
551,135;26,72
551,382;26,73
551,629;26,74
551,876;26,75
552,124;26,74
552,371;26,74
552,618;26,74
552,865;26,75
553,112;26,74
553,359;26,75
553,606;26,74
553,854;26,75
554,101;26,74
554,348;26,73
554,595;26,72
554,842;26,71
555,089;26,7
555,336;26,7
555,582;26,68
555,829;26,69
556,076;26,67
556,323;26,68
556,57;26,67
556,817;26,67
557,064;26,66
557,311;26,66
557,557;26,66
557,804;26,65
558,051;26,64
558,298;26,66
558,544;26,65
558,791;26,65
559,038;26,64
559,284;26,64
559,531;26,65
559,778;26,67
560,024;26,68
560,271;26,69
560,517;26,7
560,764;26,71
561,011;26,7
561,257;26,72
561,504;26,72
561,75;26,72
561,997;26,73
562,243;26,74
562,489;26,74
562,736;26,76
562,982;26,76
563,229;26,77
563,475;26,76
563,721;26,77
563,968;26,78
564,214;26,79
564,46;26,78
564,707;26,8
564,953;26,8
565,199;26,8
565,445;26,81
565,691;26,82
565,938;26,83
566,184;26,84
566,43;26,85
566,676;26,87
566,922;26,87
567,168;26,88
567,414;26,88
567,66;26,9
567,906;26,9
568,152;26,92
568,398;26,94
568,644;26,95
568,89;26,96
569,136;26,98
569,382;26,98
569,628;26,99
569,874;26,98
570,12;26,99
570,366;26,99
570,612;27
570,857;27
571,103;27
571,349;27,01
571,595;27,02
571,84;27,02
572,086;27,03
572,332;27,03
572,578;27,04
572,823;27,03
573,069;27,03
573,315;27,03
573,56;27,03
573,806;27,04
574,051;27,04
574,297;27,05
574,542;27,06
574,788;27,07
575,034;27,07
575,279;27,08
575,524;27,08
575,77;27,08
576,015;27,08
576,261;27,08
576,506;27,08
576,752;27,07
576,997;27,07
577,242;27,07
577,488;27,07
577,733;27,06
577,978;27,07
578,223;27,07
578,469;27,07
578,714;27,07
578,959;27,07
579,204;27,07
579,45;27,07
579,695;27,07
579,94;27,07
580,185;27,06
580,43;27,06
580,675;27,06
580,92;27,06
581,165;27,06
581,41;27,05
581,655;27,06
581,9;27,05
582,145;27,06
582,39;27,06
582,635;27,06
582,88;27,06
583,125;27,06
583,37;27,06
583,615;27,05
583,86;27,05
584,105;27,04
584,349;27,03
584,594;27,02
584,839;27,02
585,084;27,01
585,328;27,02
585,573;27,02
585,818;27,02
586,063;27,02
586,307;27,02
