Data from neroAvorioWhite_Reflection__2__17.txt Node;
"Date: Fri Sep 12 10:50:57 CEST 2025 User: sycur Spectrometer: SR400348 Trigger mode: 0 Integration Time (sec): 1,000000E-1 Scans to average: 20 Electric dark correction enabled: true Nonlinearity correction enabled: false Boxcar width: 10 XAxis mode: Wavelengths Number of Pixels in Spectrum: 3648 >>>>>Begin Spectral Data<<<<<";
286,455;9,73
286,72;9,74
286,985;9,76
287,249;9,79
287,514;9,78
287,779;9,77
288,044;9,77
288,309;9,77
288,573;9,77
288,838;9,76
289,103;9,77
289,367;9,77
289,632;9,75
289,897;9,77
290,161;9,78
290,426;9,76
290,691;9,77
290,955;9,75
291,22;9,74
291,484;9,71
291,749;9,7
292,014;9,7
292,278;9,67
292,543;9,65
292,807;9,63
293,072;9,63
293,336;9,63
293,6;9,61
293,865;9,6
294,129;9,59
294,394;9,59
294,658;9,6
294,922;9,58
295,187;9,59
295,451;9,58
295,715;9,59
295,98;9,61
296,244;9,59
296,508;9,59
296,773;9,59
297,037;9,57
297,301;9,56
297,565;9,57
297,829;9,56
298,094;9,56
298,358;9,57
298,622;9,55
298,886;9,52
299,15;9,53
299,414;9,53
299,678;9,56
299,942;9,54
300,206;9,5
300,47;9,5
300,734;9,49
300,998;9,46
301,262;9,44
301,526;9,42
301,79;9,4
302,054;9,38
302,318;9,37
302,582;9,37
302,846;9,36
303,11;9,35
303,374;9,35
303,637;9,34
303,901;9,34
304,165;9,33
304,429;9,36
304,693;9,32
304,956;9,32
305,22;9,29
305,484;9,27
305,747;9,28
306,011;9,27
306,275;9,23
306,538;9,24
306,802;9,24
307,066;9,24
307,329;9,24
307,593;9,24
307,856;9,23
308,12;9,22
308,384;9,22
308,647;9,2
308,911;9,2
309,174;9,18
309,438;9,13
309,701;9,11
309,964;9,1
310,228;9,1
310,491;9,07
310,755;9,06
311,018;9,11
311,281;9,11
311,545;9,09
311,808;9,1
312,071;9,07
312,335;9,02
312,598;9,01
312,861;9,01
313,124;8,97
313,388;8,96
313,651;8,97
313,914;8,93
314,177;8,92
314,44;8,9
314,704;8,92
314,967;8,92
315,23;8,91
315,493;8,88
315,756;8,88
316,019;8,87
316,282;8,88
316,545;8,84
316,808;8,84
317,071;8,87
317,334;8,88
317,597;8,88
317,86;8,87
318,123;8,85
318,386;8,89
318,649;8,9
318,912;8,89
319,175;8,84
319,437;8,85
319,7;8,86
319,963;8,84
320,226;8,8
320,489;8,79
320,751;8,77
321,014;8,77
321,277;8,75
321,54;8,74
321,802;8,71
322,065;8,69
322,328;8,64
322,59;8,6
322,853;8,58
323,116;8,57
323,378;8,58
323,641;8,59
323,903;8,56
324,166;8,55
324,428;8,53
324,691;8,52
324,953;8,51
325,216;8,49
325,478;8,5
325,741;8,5
326,003;8,5
326,266;8,46
326,528;8,45
326,791;8,46
327,053;8,46
327,315;8,44
327,578;8,45
327,84;8,44
328,102;8,43
328,365;8,42
328,627;8,43
328,889;8,38
329,151;8,37
329,414;8,37
329,676;8,35
329,938;8,33
330,2;8,31
330,462;8,31
330,725;8,3
330,987;8,28
331,249;8,25
331,511;8,24
331,773;8,25
332,035;8,28
332,297;8,28
332,559;8,28
332,821;8,25
333,083;8,2
333,345;8,21
333,607;8,2
333,869;8,19
334,131;8,14
334,393;8,18
334,655;8,15
334,917;8,12
335,179;8,11
335,44;8,13
335,702;8,14
335,964;8,15
336,226;8,13
336,488;8,15
336,749;8,16
337,011;8,16
337,273;8,17
337,535;8,15
337,796;8,09
338,058;8,09
338,32;8,1
338,581;8,08
338,843;8,08
339,105;8,09
339,366;8,07
339,628;8,1
339,889;8,09
340,151;8,09
340,412;8,06
340,674;8,07
340,935;8,06
341,197;8,08
341,458;8,06
341,72;8,07
341,981;8,08
342,243;8,08
342,504;8,07
342,766;8,08
343,027;8,08
343,288;8,08
343,55;8,06
343,811;8,05
344,072;8,06
344,334;8,07
344,595;8,07
344,856;8,05
345,117;8,02
345,379;8,04
345,64;8,03
345,901;8,03
346,162;8,01
346,423;7,99
346,684;7,93
346,946;7,91
347,207;7,88
347,468;7,85
347,729;7,8
347,99;7,79
348,251;7,74
348,512;7,69
348,773;7,7
349,034;7,71
349,295;7,72
349,556;7,69
349,817;7,66
350,078;7,63
350,339;7,68
350,6;7,68
350,86;7,65
351,121;7,67
351,382;7,65
351,643;7,65
351,904;7,66
352,165;7,7
352,425;7,7
352,686;7,71
352,947;7,68
353,208;7,72
353,468;7,78
353,729;7,8
353,99;7,79
354,25;7,8
354,511;7,77
354,772;7,74
355,032;7,8
355,293;7,79
355,553;7,82
355,814;7,74
356,074;7,74
356,335;7,7
356,596;7,67
356,856;7,71
357,116;7,71
357,377;7,74
357,637;7,72
357,898;7,73
358,158;7,74
358,419;7,73
358,679;7,7
358,939;7,64
359,2;7,62
359,46;7,67
359,72;7,63
359,981;7,65
360,241;7,61
360,501;7,57
360,761;7,62
361,022;7,59
361,282;7,67
361,542;7,66
361,802;7,69
362,062;7,7
362,323;7,63
362,583;7,67
362,843;7,64
363,103;7,63
363,363;7,57
363,623;7,59
363,883;7,64
364,143;7,64
364,403;7,62
364,663;7,65
364,923;7,61
365,183;7,64
365,443;7,67
365,703;7,67
365,963;7,65
366,223;7,6
366,483;7,61
366,743;7,55
367,002;7,56
367,262;7,59
367,522;7,56
367,782;7,57
368,042;7,51
368,301;7,52
368,561;7,51
368,821;7,51
369,081;7,44
369,34;7,37
369,6;7,33
369,86;7,39
370,119;7,33
370,379;7,32
370,638;7,28
370,898;7,23
371,158;7,22
371,417;7,23
371,677;7,24
371,936;7,23
372,196;7,25
372,455;7,22
372,715;7,21
372,974;7,22
373,234;7,21
373,493;7,26
373,753;7,23
374,012;7,26
374,271;7,28
374,531;7,33
374,79;7,37
375,049;7,39
375,309;7,36
375,568;7,35
375,827;7,35
376,086;7,35
376,346;7,38
376,605;7,44
376,864;7,45
377,123;7,44
377,383;7,46
377,642;7,45
377,901;7,47
378,16;7,45
378,419;7,41
378,678;7,41
378,937;7,37
379,196;7,35
379,455;7,34
379,714;7,34
379,973;7,31
380,232;7,29
380,491;7,31
380,75;7,31
381,009;7,31
381,268;7,36
381,527;7,35
381,786;7,34
382,045;7,28
382,304;7,3
382,563;7,29
382,821;7,3
383,08;7,28
383,339;7,29
383,598;7,28
383,857;7,3
384,115;7,3
384,374;7,33
384,633;7,36
384,891;7,39
385,15;7,37
385,409;7,38
385,667;7,4
385,926;7,35
386,185;7,29
386,443;7,31
386,702;7,25
386,96;7,28
387,219;7,28
387,477;7,29
387,736;7,27
387,994;7,29
388,253;7,26
388,511;7,26
388,77;7,26
389,028;7,26
389,287;7,31
389,545;7,29
389,803;7,23
390,062;7,22
390,32;7,22
390,578;7,2
390,837;7,22
391,095;7,2
391,353;7,25
391,612;7,25
391,87;7,25
392,128;7,28
392,386;7,26
392,644;7,27
392,903;7,28
393,161;7,24
393,419;7,23
393,677;7,24
393,935;7,2
394,193;7,17
394,451;7,2
394,709;7,13
394,967;7,2
395,225;7,2
395,483;7,18
395,741;7,17
395,999;7,22
396,257;7,22
396,515;7,22
396,773;7,24
397,031;7,27
397,289;7,3
397,547;7,29
397,805;7,28
398,062;7,28
398,32;7,27
398,578;7,3
398,836;7,3
399,094;7,31
399,351;7,34
399,609;7,35
399,867;7,3
400,124;7,33
400,382;7,31
400,64;7,37
400,897;7,44
401,155;7,39
401,413;7,41
401,67;7,38
401,928;7,42
402,185;7,36
402,443;7,35
402,701;7,32
402,958;7,32
403,216;7,37
403,473;7,35
403,73;7,36
403,988;7,36
404,245;7,41
404,503;7,44
404,76;7,48
405,018;7,47
405,275;7,49
405,532;7,47
405,79;7,42
406,047;7,37
406,304;7,33
406,561;7,37
406,819;7,36
407,076;7,4
407,333;7,34
407,59;7,36
407,848;7,35
408,105;7,38
408,362;7,37
408,619;7,36
408,876;7,35
409,133;7,33
409,39;7,34
409,647;7,28
409,904;7,27
410,161;7,21
410,418;7,26
410,675;7,24
410,932;7,24
411,189;7,23
411,446;7,3
411,703;7,29
411,96;7,27
412,217;7,26
412,474;7,27
412,731;7,3
412,988;7,31
413,245;7,36
413,501;7,3
413,758;7,31
414,015;7,3
414,272;7,3
414,529;7,32
414,785;7,33
415,042;7,35
415,299;7,29
415,555;7,29
415,812;7,26
416,069;7,33
416,325;7,35
416,582;7,35
416,838;7,33
417,095;7,32
417,352;7,25
417,608;7,28
417,865;7,21
418,121;7,24
418,378;7,22
418,634;7,21
418,891;7,26
419,147;7,28
419,403;7,26
419,66;7,3
419,916;7,3
420,173;7,3
420,429;7,28
420,685;7,34
420,942;7,39
421,198;7,38
421,454;7,36
421,711;7,39
421,967;7,4
422,223;7,37
422,479;7,44
422,735;7,5
422,992;7,44
423,248;7,46
423,504;7,47
423,76;7,51
424,016;7,54
424,272;7,55
424,528;7,56
424,784;7,6
425,041;7,53
425,297;7,54
425,553;7,53
425,809;7,59
426,065;7,55
426,32;7,52
426,576;7,52
426,832;7,5
427,088;7,45
427,344;7,45
427,6;7,47
427,856;7,4
428,112;7,43
428,368;7,48
428,623;7,48
428,879;7,44
429,135;7,39
429,391;7,34
429,646;7,31
429,902;7,26
430,158;7,25
430,414;7,26
430,669;7,26
430,925;7,25
431,181;7,23
431,436;7,25
431,692;7,26
431,947;7,27
432,203;7,26
432,458;7,31
432,714;7,25
432,97;7,25
433,225;7,23
433,481;7,22
433,736;7,2
433,991;7,2
434,247;7,18
434,502;7,16
434,758;7,16
435,013;7,22
435,268;7,25
435,524;7,24
435,779;7,27
436,034;7,27
436,29;7,28
436,545;7,26
436,8;7,28
437,056;7,22
437,311;7,2
437,566;7,19
437,821;7,22
438,076;7,21
438,331;7,24
438,587;7,25
438,842;7,23
439,097;7,23
439,352;7,24
439,607;7,28
439,862;7,33
440,117;7,37
440,372;7,33
440,627;7,34
440,882;7,35
441,137;7,32
441,392;7,33
441,647;7,34
441,902;7,36
442,157;7,31
442,412;7,38
442,667;7,38
442,921;7,42
443,176;7,4
443,431;7,46
443,686;7,44
443,941;7,43
444,195;7,44
444,45;7,44
444,705;7,45
444,96;7,43
445,214;7,4
445,469;7,4
445,724;7,37
445,978;7,33
446,233;7,31
446,487;7,33
446,742;7,31
446,997;7,28
447,251;7,26
447,506;7,32
447,76;7,28
448,015;7,29
448,269;7,28
448,524;7,25
448,778;7,25
449,033;7,24
449,287;7,27
449,541;7,31
449,796;7,28
450,05;7,22
450,305;7,19
450,559;7,17
450,813;7,14
451,067;7,14
451,322;7,13
451,576;7,15
451,83;7,16
452,084;7,18
452,339;7,17
452,593;7,14
452,847;7,06
453,101;7,06
453,355;7,09
