186,01;-8829,01
186,281;-29400
186,552;509,04
186,822;273,44
187,093;181,82
187,364;-304,88
187,635;60350
187,905;418,93
188,176;162,73
188,447;133,2
188,717;112,3
188,988;133,74
189,258;146,32
189,529;164,61
189,8;161,81
190,07;143,37
190,341;135,25
190,611;119,39
190,882;112,78
191,152;104,91
191,423;97,39
191,693;91,06
191,964;89,86
192,234;83,94
192,505;77,71
192,775;77,69
193,045;73,71
193,316;69,88
193,586;68,74
193,856;70,36
194,127;68,6
194,397;66,96
194,667;63,84
194,938;63,16
195,208;59,28
195,478;58,33
195,748;56,34
196,019;55,85
196,289;55,23
196,559;54,03
196,829;53,64
197,099;53,05
197,37;51,9
197,64;50,14
197,91;48,87
198,18;48,38
198,45;45,63
198,72;44,78
198,99;43,32
199,26;42,56
199,53;41,96
199,8;41,87
200,07;41,22
200,34;40,8
200,61;39,32
200,88;39,47
201,15;38,57
201,42;38,69
201,69;37,73
201,96;37,59
202,23;37,05
202,499;35,71
202,769;35,61
203,039;34,88
203,309;33,81
203,579;33,64
203,849;33,42
204,118;33,24
204,388;32,38
204,658;31,81
204,927;31,23
205,197;30,59
205,467;29,56
205,736;29,35
206,006;28,9
206,276;28,43
206,545;27,34
206,815;27,28
207,085;26,7
207,354;26,27
207,624;25,89
207,893;25,05
208,163;24,81
208,432;24,29
208,702;24,12
208,971;23,85
209,241;23,35
209,51;22,8
209,78;22,74
210,049;22,64
210,318;22,51
210,588;22,38
210,857;22
211,127;22,01
211,396;21,6
211,665;21,39
211,935;21,37
212,204;21,65
212,473;21,15
212,742;21,01
213,012;20,92
213,281;20,58
213,55;20,54
213,819;20,36
214,088;20,2
214,358;19,87
214,627;19,74
214,896;19,65
215,165;19,35
215,434;18,91
215,703;18,79
215,972;18,78
216,241;18,36
216,51;18,19
216,779;17,82
217,048;17,81
217,317;17,67
217,586;17,48
217,855;17,16
218,124;17,35
218,393;17,28
218,662;17,01
218,931;16,88
219,2;16,69
219,469;16,6
219,738;16,49
220,006;16,52
220,275;16,54
220,544;16,53
220,813;16,55
221,082;16,54
221,35;16,46
221,619;16,38
221,888;16,49
222,157;16,47
222,425;16,51
222,694;16,35
222,963;16,31
223,231;16,2
223,5;16,19
223,769;16,02
224,037;15,97
224,306;15,96
224,574;15,94
224,843;15,97
225,111;16,04
225,38;15,98
225,648;15,97
225,917;15,83
226,185;16,04
226,454;16,01
226,722;16,01
226,991;16,04
227,259;15,99
227,528;15,95
227,796;15,99
228,064;15,94
228,333;16,03
228,601;16,07
228,869;16,09
229,138;16,08
229,406;16,11
229,674;16,08
229,942;16,13
230,211;16,12
230,479;16,18
230,747;16,13
231,015;16,1
231,283;16,12
231,552;16,18
231,82;15,99
232,088;16
232,356;16,02
232,624;16,01
232,892;16,03
233,16;16
233,428;15,94
233,696;15,97
233,964;15,92
234,232;15,93
234,5;15,94
234,768;15,96
235,036;15,92
235,304;15,98
235,572;15,92
235,84;15,95
236,108;15,92
236,376;15,97
236,644;16,04
236,912;16,01
237,179;15,98
237,447;16
237,715;16,03
237,983;16,06
238,251;16
238,518;16,02
238,786;16,02
239,054;16,01
239,322;15,99
239,589;16,05
239,857;16,03
240,125;16,07
240,392;16,03
240,66;16,07
240,927;16,02
241,195;16,06
241,463;16,07
241,73;16,11
241,998;16,06
242,265;16,01
242,533;16,02
242,8;16,06
243,068;16,05
243,335;16,04
243,603;15,99
243,87;16,05
244,138;16,03
244,405;16,04
244,672;16,04
244,94;16,06
245,207;16
245,474;16
245,742;15,97
246,009;15,98
246,276;15,97
246,544;15,96
246,811;15,99
247,078;15,99
247,345;15,97
247,613;15,97
247,88;15,93
248,147;15,92
248,414;15,87
248,681;15,86
248,948;15,89
249,215;15,87
249,483;15,81
249,75;15,79
250,017;15,76
250,284;15,77
250,551;15,74
250,818;15,73
251,085;15,7
251,352;15,68
251,619;15,67
251,886;15,65
252,153;15,65
252,42;15,6
252,687;15,57
252,953;15,55
253,22;15,53
253,487;15,57
253,754;15,56
254,021;15,55
254,288;15,52
254,555;15,51
254,821;15,52
255,088;15,54
255,355;15,54
255,622;15,52
255,888;15,51
256,155;15,52
256,422;15,5
256,688;15,5
256,955;15,49
257,222;15,48
257,488;15,46
257,755;15,46
258,022;15,45
258,288;15,44
258,555;15,4
258,821;15,39
259,088;15,37
259,354;15,36
259,621;15,38
259,887;15,37
260,154;15,3
260,42;15,27
260,687;15,24
260,953;15,22
261,219;15,21
261,486;15,18
261,752;15,15
262,019;15,17
262,285;15,14
262,551;15,11
262,818;15,11
263,084;15,09
263,35;15,06
263,616;15,05
263,883;15,03
264,149;15,04
264,415;15
264,681;15,02
264,947;15,01
265,214;14,98
265,48;15
265,746;15,02
266,012;15,01
266,278;14,99
266,544;14,98
266,81;15,01
267,076;14,99
267,342;14,99
267,608;14,96
267,874;14,97
268,14;14,98
268,406;14,94
268,672;14,95
268,938;14,95
269,204;14,93
269,47;14,92
269,736;14,91
270,002;14,91
270,268;14,88
270,533;14,87
270,799;14,84
271,065;14,82
271,331;14,79
271,597;14,78
271,862;14,78
272,128;14,78
272,394;14,74
272,66;14,75
272,925;14,74
273,191;14,72
273,457;14,72
273,722;14,71
273,988;14,71
274,254;14,7
274,519;14,69
274,785;14,7
275,05;14,67
275,316;14,67
275,582;14,68
275,847;14,66
276,113;14,65
276,378;14,65
276,644;14,65
276,909;14,64
277,174;14,65
277,44;14,67
277,705;14,66
277,971;14,68
278,236;14,69
278,501;14,68
278,767;14,66
279,032;14,64
279,297;14,61
279,563;14,6
279,828;14,64
280,093;14,63
280,358;14,6
280,624;14,63
280,889;14,6
281,154;14,58
281,419;14,56
281,684;14,55
281,95;14,58
282,215;14,55
282,48;14,55
282,745;14,55
283,01;14,5
283,275;14,5
283,54;14,45
283,805;14,42
284,07;14,43
284,335;14,43
284,6;14,39
284,865;14,4
285,13;14,39
285,395;14,34
285,66;14,32
285,925;14,34
286,19;14,32
286,455;14,33
286,72;14,35
286,985;14,37
287,249;14,38
287,514;14,35
287,779;14,34
288,044;14,33
288,309;14,32
288,573;14,32
288,838;14,29
289,103;14,3
289,367;14,29
289,632;14,27
289,897;14,29
290,161;14,31
290,426;14,29
290,691;14,3
290,955;14,27
291,22;14,29
291,484;14,27
291,749;14,25
292,014;14,23
292,278;14,18
292,543;14,16
292,807;14,14
293,072;14,15
293,336;14,13
293,6;14,13
293,865;14,11
294,129;14,09
294,394;14,1
294,658;14,09
294,922;14,07
295,187;14,07
295,451;14,04
295,715;14,04
295,98;14,06
296,244;14,02
296,508;14,03
296,773;14,01
297,037;13,99
297,301;13,98
297,565;13,99
297,829;13,99
298,094;13,99
298,358;14
298,622;13,96
298,886;13,93
299,15;13,93
299,414;13,92
299,678;13,96
299,942;13,94
300,206;13,9
300,47;13,9
300,734;13,88
300,998;13,86
301,262;13,85
301,526;13,83
301,79;13,8
302,054;13,77
302,318;13,77
302,582;13,76
302,846;13,72
303,11;13,7
303,374;13,7
303,637;13,67
303,901;13,67
304,165;13,65
304,429;13,68
304,693;13,63
304,956;13,62
305,22;13,6
305,484;13,56
305,747;13,54
306,011;13,52
306,275;13,49
306,538;13,48
306,802;13,46
307,066;13,46
307,329;13,45
307,593;13,46
307,856;13,44
308,12;13,42
308,384;13,42
308,647;13,39
308,911;13,38
309,174;13,34
309,438;13,28
309,701;13,27
309,964;13,25
310,228;13,25
310,491;13,22
310,755;13,19
311,018;13,22
311,281;13,24
311,545;13,23
311,808;13,23
312,071;13,19
312,335;13,15
312,598;13,12
312,861;13,11
313,124;13,06
313,388;13,05
313,651;13,05
313,914;13,01
314,177;12,98
314,44;12,95
314,704;12,97
314,967;12,96
315,23;12,94
315,493;12,9
315,756;12,9
316,019;12,88
316,282;12,89
316,545;12,85
316,808;12,83
317,071;12,85
317,334;12,84
317,597;12,84
317,86;12,82
318,123;12,79
318,386;12,83
318,649;12,84
318,912;12,81
319,175;12,77
319,437;12,77
319,7;12,79
319,963;12,76
320,226;12,72
320,489;12,7
320,751;12,68
321,014;12,66
321,277;12,65
321,54;12,64
321,802;12,6
322,065;12,59
322,328;12,53
322,59;12,48
322,853;12,47
323,116;12,44
323,378;12,45
323,641;12,45
323,903;12,4
324,166;12,38
324,428;12,34
324,691;12,33
324,953;12,31
325,216;12,26
325,478;12,26
325,741;12,25
326,003;12,25
326,266;12,21
326,528;12,19
326,791;12,19
327,053;12,17
327,315;12,14
327,578;12,11
327,84;12,11
328,102;12,09
328,365;12,06
328,627;12,06
328,889;12
329,151;12
329,414;12
329,676;11,98
329,938;11,96
330,2;11,93
330,462;11,9
330,725;11,91
330,987;11,87
331,249;11,84
331,511;11,81
331,773;11,8
332,035;11,83
332,297;11,82
332,559;11,8
332,821;11,76
333,083;11,72
333,345;11,72
333,607;11,7
333,869;11,7
334,131;11,67
334,393;11,7
334,655;11,66
334,917;11,63
335,179;11,61
335,44;11,62
335,702;11,62
335,964;11,63
336,226;11,6
336,488;11,62
336,749;11,62
337,011;11,63
337,273;11,63
337,535;11,61
337,796;11,54
338,058;11,55
338,32;11,57
338,581;11,55
338,843;11,55
339,105;11,55
339,366;11,54
339,628;11,56
339,889;11,55
340,151;11,54
340,412;11,52
340,674;11,53
340,935;11,54
341,197;11,57
341,458;11,56
341,72;11,57
341,981;11,58
342,243;11,58
342,504;11,58
342,766;11,61
343,027;11,6
343,288;11,61
343,55;11,57
343,811;11,56
344,072;11,58
344,334;11,57
344,595;11,56
344,856;11,53
345,117;11,51
345,379;11,52
345,64;11,5
345,901;11,49
346,162;11,45
346,423;11,43
346,684;11,37
346,946;11,33
347,207;11,3
347,468;11,27
347,729;11,21
347,99;11,17
348,251;11,12
348,512;11,08
348,773;11,08
349,034;11,09
349,295;11,09
349,556;11,06
349,817;11,03
350,078;11,01
350,339;11,04
350,6;11
350,86;10,95
351,121;10,98
351,382;10,96
351,643;10,95
351,904;10,92
352,165;10,96
352,425;10,95
352,686;10,95
352,947;10,93
353,208;10,96
353,468;11,01
353,729;11,01
353,99;11,01
354,25;10,99
354,511;10,95
354,772;10,92
355,032;10,95
355,293;10,94
355,553;10,95
355,814;10,88
356,074;10,87
356,335;10,84
356,596;10,82
356,856;10,84
357,116;10,83
357,377;10,87
357,637;10,83
357,898;10,84
358,158;10,82
358,419;10,79
358,679;10,75
358,939;10,7
359,2;10,69
359,46;10,74
359,72;10,71
359,981;10,73
360,241;10,7
360,501;10,68
360,761;10,72
361,022;10,69
361,282;10,75
361,542;10,75
361,802;10,76
362,062;10,74
362,323;10,69
362,583;10,72
362,843;10,69
363,103;10,72
363,363;10,66
363,623;10,68
363,883;10,71
364,143;10,72
364,403;10,7
364,663;10,72
364,923;10,66
365,183;10,69
365,443;10,71
365,703;10,71
365,963;10,68
366,223;10,63
366,483;10,63
366,743;10,59
367,002;10,61
367,262;10,65
367,522;10,63
367,782;10,64
368,042;10,59
368,301;10,6
368,561;10,55
368,821;10,56
369,081;10,51
369,34;10,45
369,6;10,4
369,86;10,48
370,119;10,4
370,379;10,41
370,638;10,37
370,898;10,3
371,158;10,3
371,417;10,31
371,677;10,31
371,936;10,28
372,196;10,28
372,455;10,25
372,715;10,24
372,974;10,26
373,234;10,23
373,493;10,29
373,753;10,24
374,012;10,26
374,271;10,29
374,531;10,33
374,79;10,37
375,049;10,4
375,309;10,36
375,568;10,37
375,827;10,36
376,086;10,36
376,346;10,4
376,605;10,46
376,864;10,47
377,123;10,47
377,383;10,5
377,642;10,5
377,901;10,51
378,16;10,49
378,419;10,44
378,678;10,46
378,937;10,41
379,196;10,4
379,455;10,39
379,714;10,38
379,973;10,33
380,232;10,33
380,491;10,35
380,75;10,33
381,009;10,33
381,268;10,37
381,527;10,34
381,786;10,32
382,045;10,28
382,304;10,27
382,563;10,26
382,821;10,26
383,08;10,24
383,339;10,26
383,598;10,26
383,857;10,27
384,115;10,26
384,374;10,28
384,633;10,29
384,891;10,3
385,15;10,28
385,409;10,3
385,667;10,31
385,926;10,25
386,185;10,22
386,443;10,21
386,702;10,17
386,96;10,21
387,219;10,21
387,477;10,22
387,736;10,2
387,994;10,22
388,253;10,21
388,511;10,21
388,77;10,19
389,028;10,18
389,287;10,23
389,545;10,21
389,803;10,17
390,062;10,18
390,32;10,18
390,578;10,16
390,837;10,19
391,095;10,18
391,353;10,23
391,612;10,2
391,87;10,22
392,128;10,25
392,386;10,21
392,644;10,24
392,903;10,22
393,161;10,18
393,419;10,14
393,677;10,15
393,935;10,11
394,193;10,08
394,451;10,12
394,709;10,05
394,967;10,11
395,225;10,09
395,483;10,08
395,741;10,08
395,999;10,13
396,257;10,12
396,515;10,1
396,773;10,12
397,031;10,16
397,289;10,17
397,547;10,13
397,805;10,12
398,062;10,11
398,32;10,12
398,578;10,16
398,836;10,15
399,094;10,14
399,351;10,16
399,609;10,16
399,867;10,09
400,124;10,13
400,382;10,11
400,64;10,17
400,897;10,23
401,155;10,17
401,413;10,18
401,67;10,16
401,928;10,22
402,185;10,13
402,443;10,11
402,701;10,1
402,958;10,11
403,216;10,15
403,473;10,14
403,73;10,12
403,988;10,11
404,245;10,17
404,503;10,19
404,76;10,24
405,018;10,25
405,275;10,26
405,532;10,23
405,79;10,17
406,047;10,11
406,304;10,06
406,561;10,1
406,819;10,09
407,076;10,12
407,333;10,03
407,59;10,07
407,848;10,05
408,105;10,08
408,362;10,06
408,619;10,08
408,876;10,07
409,133;10,06
