Data from neroAvorioWhite_Reflection__1__16.txt Node;
"Date: Fri Sep 12 10:50:08 CEST 2025 User: sycur Spectrometer: SR400348 Trigger mode: 0 Integration Time (sec): 1,000000E-1 Scans to average: 20 Electric dark correction enabled: true Nonlinearity correction enabled: false Boxcar width: 10 XAxis mode: Wavelengths Number of Pixels in Spectrum: 3648 >>>>>Begin Spectral Data<<<<<";
286,455;15,9
286,72;15,91
286,985;15,94
287,249;15,95
287,514;15,94
287,779;15,93
288,044;15,92
288,309;15,92
288,573;15,92
288,838;15,9
289,103;15,92
289,367;15,9
289,632;15,88
289,897;15,89
290,161;15,9
290,426;15,88
290,691;15,9
290,955;15,87
291,22;15,88
291,484;15,86
291,749;15,86
292,014;15,86
292,278;15,83
292,543;15,81
292,807;15,79
293,072;15,81
293,336;15,79
293,6;15,78
293,865;15,76
294,129;15,75
294,394;15,76
294,658;15,76
294,922;15,76
295,187;15,76
295,451;15,75
295,715;15,75
295,98;15,77
296,244;15,75
296,508;15,77
296,773;15,76
297,037;15,74
297,301;15,74
297,565;15,75
297,829;15,73
298,094;15,73
298,358;15,74
298,622;15,73
298,886;15,7
299,15;15,71
299,414;15,7
299,678;15,74
299,942;15,73
300,206;15,69
300,47;15,69
300,734;15,68
300,998;15,66
301,262;15,65
301,526;15,62
301,79;15,61
302,054;15,59
302,318;15,57
302,582;15,56
302,846;15,53
303,11;15,53
303,374;15,52
303,637;15,5
303,901;15,5
304,165;15,49
304,429;15,52
304,693;15,48
304,956;15,48
305,22;15,44
305,484;15,43
305,747;15,41
306,011;15,38
306,275;15,34
306,538;15,34
306,802;15,33
307,066;15,33
307,329;15,32
307,593;15,31
307,856;15,29
308,12;15,27
308,384;15,26
308,647;15,22
308,911;15,21
309,174;15,18
309,438;15,12
309,701;15,1
309,964;15,08
310,228;15,08
310,491;15,04
310,755;15,03
311,018;15,07
311,281;15,09
311,545;15,07
311,808;15,09
312,071;15,06
312,335;15,02
312,598;15,01
312,861;14,99
313,124;14,96
313,388;14,95
313,651;14,98
313,914;14,94
314,177;14,94
314,44;14,92
314,704;14,94
314,967;14,94
315,23;14,91
315,493;14,88
315,756;14,87
316,019;14,86
316,282;14,86
316,545;14,81
316,808;14,8
317,071;14,82
317,334;14,81
317,597;14,8
317,86;14,79
318,123;14,76
318,386;14,79
318,649;14,79
318,912;14,77
319,175;14,71
319,437;14,71
319,7;14,7
319,963;14,69
320,226;14,64
320,489;14,61
320,751;14,6
321,014;14,58
321,277;14,57
321,54;14,56
321,802;14,51
322,065;14,49
322,328;14,44
322,59;14,39
322,853;14,36
323,116;14,34
323,378;14,35
323,641;14,34
323,903;14,29
324,166;14,27
324,428;14,24
324,691;14,23
324,953;14,22
325,216;14,19
325,478;14,19
325,741;14,18
326,003;14,16
326,266;14,12
326,528;14,09
326,791;14,09
327,053;14,06
327,315;14,04
327,578;14,03
327,84;14,01
328,102;13,99
328,365;13,97
328,627;13,97
328,889;13,91
329,151;13,89
329,414;13,9
329,676;13,88
329,938;13,85
330,2;13,83
330,462;13,79
330,725;13,77
330,987;13,72
331,249;13,69
331,511;13,67
331,773;13,67
332,035;13,69
332,297;13,69
332,559;13,67
332,821;13,65
333,083;13,61
333,345;13,59
333,607;13,58
333,869;13,56
334,131;13,51
334,393;13,55
334,655;13,5
334,917;13,47
335,179;13,45
335,44;13,46
335,702;13,46
335,964;13,49
336,226;13,47
336,488;13,49
336,749;13,5
337,011;13,51
337,273;13,51
337,535;13,49
337,796;13,43
338,058;13,45
338,32;13,44
338,581;13,41
338,843;13,42
339,105;13,41
339,366;13,4
339,628;13,43
339,889;13,43
340,151;13,44
340,412;13,42
340,674;13,41
340,935;13,39
341,197;13,41
341,458;13,39
341,72;13,4
341,981;13,41
342,243;13,41
342,504;13,39
342,766;13,42
343,027;13,4
343,288;13,4
343,55;13,35
343,811;13,36
344,072;13,37
344,334;13,36
344,595;13,35
344,856;13,32
345,117;13,28
345,379;13,27
345,64;13,25
345,901;13,24
346,162;13,21
346,423;13,18
346,684;13,11
346,946;13,08
347,207;13,03
347,468;12,98
347,729;12,91
347,99;12,85
348,251;12,78
348,512;12,74
348,773;12,73
349,034;12,73
349,295;12,71
349,556;12,68
349,817;12,64
350,078;12,62
350,339;12,64
350,6;12,63
350,86;12,57
351,121;12,58
351,382;12,54
351,643;12,54
351,904;12,52
352,165;12,57
352,425;12,57
352,686;12,58
352,947;12,55
353,208;12,59
353,468;12,65
353,729;12,66
353,99;12,65
354,25;12,63
354,511;12,6
354,772;12,56
355,032;12,61
355,293;12,6
355,553;12,62
355,814;12,56
356,074;12,54
356,335;12,52
356,596;12,5
356,856;12,53
357,116;12,52
357,377;12,55
357,637;12,51
357,898;12,52
358,158;12,52
358,419;12,52
358,679;12,49
358,939;12,44
359,2;12,42
359,46;12,47
359,72;12,43
359,981;12,46
360,241;12,43
360,501;12,41
360,761;12,45
361,022;12,42
361,282;12,48
361,542;12,49
361,802;12,5
362,062;12,5
362,323;12,45
362,583;12,47
362,843;12,44
363,103;12,44
363,363;12,37
363,623;12,37
363,883;12,4
364,143;12,4
364,403;12,38
364,663;12,4
364,923;12,35
365,183;12,39
365,443;12,41
365,703;12,41
365,963;12,38
366,223;12,34
366,483;12,32
366,743;12,27
367,002;12,27
367,262;12,3
367,522;12,25
367,782;12,27
368,042;12,24
368,301;12,25
368,561;12,21
368,821;12,23
369,081;12,17
369,34;12,11
369,6;12,08
369,86;12,13
370,119;12,07
370,379;12,06
370,638;12,03
370,898;11,96
371,158;11,95
371,417;11,94
371,677;11,93
371,936;11,93
372,196;11,94
372,455;11,9
372,715;11,89
372,974;11,91
373,234;11,89
373,493;11,92
373,753;11,87
374,012;11,9
374,271;11,9
374,531;11,95
374,79;11,96
375,049;11,98
375,309;11,94
375,568;11,94
375,827;11,92
376,086;11,92
376,346;11,95
376,605;12,01
376,864;12,03
377,123;12,03
377,383;12,04
377,642;12,04
377,901;12,06
378,16;12,04
378,419;11,98
378,678;11,97
378,937;11,93
379,196;11,92
379,455;11,92
379,714;11,93
379,973;11,89
380,232;11,88
380,491;11,89
380,75;11,88
381,009;11,88
381,268;11,92
381,527;11,9
381,786;11,88
382,045;11,84
382,304;11,84
382,563;11,81
382,821;11,82
383,08;11,79
383,339;11,8
383,598;11,79
383,857;11,82
384,115;11,84
384,374;11,85
384,633;11,86
384,891;11,87
385,15;11,83
385,409;11,84
385,667;11,87
385,926;11,82
386,185;11,79
386,443;11,79
386,702;11,74
386,96;11,79
387,219;11,79
387,477;11,79
387,736;11,76
387,994;11,79
388,253;11,78
388,511;11,79
388,77;11,78
389,028;11,78
389,287;11,8
389,545;11,79
389,803;11,75
390,062;11,73
390,32;11,73
390,578;11,72
390,837;11,73
391,095;11,7
391,353;11,75
391,612;11,72
391,87;11,74
392,128;11,78
392,386;11,73
392,644;11,74
392,903;11,75
393,161;11,71
393,419;11,66
393,677;11,66
393,935;11,63
394,193;11,61
394,451;11,63
394,709;11,57
394,967;11,63
395,225;11,62
395,483;11,63
395,741;11,62
395,999;11,68
396,257;11,69
396,515;11,67
396,773;11,7
397,031;11,73
397,289;11,77
397,547;11,73
397,805;11,72
398,062;11,72
398,32;11,71
398,578;11,76
398,836;11,76
399,094;11,75
399,351;11,77
399,609;11,77
399,867;11,7
400,124;11,73
400,382;11,71
400,64;11,77
400,897;11,81
401,155;11,75
401,413;11,75
401,67;11,73
401,928;11,78
402,185;11,69
402,443;11,68
402,701;11,65
402,958;11,66
403,216;11,69
403,473;11,65
403,73;11,6
403,988;11,58
404,245;11,64
404,503;11,68
404,76;11,71
405,018;11,7
405,275;11,72
405,532;11,7
405,79;11,63
406,047;11,56
406,304;11,53
406,561;11,57
406,819;11,58
407,076;11,59
407,333;11,53
407,59;11,56
407,848;11,56
408,105;11,56
408,362;11,55
408,619;11,55
408,876;11,56
409,133;11,58
409,39;11,61
409,647;11,54
409,904;11,53
