3997,70175;1,71551
3995,6506;1,71857
3993,59944;1,7207
3991,54829;1,72025
3989,49713;1,71948
3987,44598;1,72165
3985,39482;1,72531
3983,34367;1,72627
3981,29251;1,72533
3979,24136;1,72668
3977,1902;1,7305
3975,13905;1,73437
3973,08789;1,73721
3971,03673;1,73898
3968,98558;1,74033
3966,93442;1,74261
3964,88327;1,74582
3962,83211;1,74907
3960,78096;1,75259
3958,7298;1,75679
3956,67865;1,76153
3954,62749;1,76535
3952,57634;1,76696
3950,52518;1,76827
3948,47403;1,77118
3946,42287;1,77386
3944,37172;1,77442
3942,32056;1,77312
3940,2694;1,77114
3938,21825;1,76916
3936,16709;1,76672
3934,11594;1,76343
3932,06478;1,75919
3930,01363;1,75404
3927,96247;1,74761
3925,91132;1,73965
3923,86016;1,73148
3921,80901;1,72462
3919,75785;1,71823
3917,7067;1,71117
3915,65554;1,70499
3913,60439;1,70126
3911,55323;1,69843
3909,50207;1,69486
3907,45092;1,69073
3905,39976;1,68564
3903,34861;1,67929
3901,29745;1,67383
3899,2463;1,67187
3897,19514;1,67284
3895,14399;1,67359
3893,09283;1,6726
3891,04168;1,67051
3888,99052;1,66852
3886,93937;1,66687
3884,88821;1,6661
3882,83706;1,66737
3880,7859;1,66822
3878,73474;1,66692
3876,68359;1,66589
3874,63243;1,66468
3872,58128;1,66187
3870,53012;1,65862
3868,47897;1,65676
3866,42781;1,65667
3864,37666;1,65626
3862,3255;1,65516
3860,27435;1,65447
3858,22319;1,65408
3856,17204;1,65376
3854,12088;1,65217
3852,06973;1,64977
3850,01857;1,65052
3847,96741;1,65355
3845,91626;1,65485
3843,8651;1,65309
3841,81395;1,65057
3839,76279;1,64967
3837,71164;1,65023
3835,66048;1,65138
3833,60933;1,65265
3831,55817;1,6537
3829,50702;1,65467
3827,45586;1,6553
3825,40471;1,65514
3823,35355;1,65496
3821,3024;1,6554
3819,25124;1,65665
3817,20008;1,65761
3815,14893;1,65797
3813,09777;1,66003
3811,04662;1,66261
3808,99546;1,66229
3806,94431;1,65938
3804,89315;1,65765
3802,842;1,6578
3800,79084;1,65863
