Data from lapisWhite_Reflection__3__36.txt Node;
"Date: Fri Sep 12 11:17:10 CEST 2025 User: sycur Spectrometer: SR400348 Trigger mode: 0 Integration Time (sec): 2,000000E-2 Scans to average: 20 Electric dark correction enabled: true Nonlinearity correction enabled: false Boxcar width: 10 XAxis mode: Wavelengths Number of Pixels in Spectrum: 3648 >>>>>Begin Spectral Data<<<<<";
286,455;4,98
286,72;5,01
286,985;5,04
287,249;5,08
287,514;5,11
287,779;5,14
288,044;5,16
288,309;5,19
288,573;5,23
288,838;5,26
289,103;5,31
289,367;5,33
289,632;5,37
289,897;5,42
290,161;5,45
290,426;5,49
290,691;5,52
290,955;5,57
291,22;5,61
291,484;5,64
291,749;5,69
292,014;5,73
292,278;5,77
292,543;5,81
292,807;5,85
293,072;5,89
293,336;5,94
293,6;5,98
293,865;6,03
294,129;6,07
294,394;6,12
294,658;6,17
294,922;6,22
295,187;6,26
295,451;6,31
295,715;6,36
295,98;6,41
296,244;6,46
296,508;6,51
296,773;6,56
297,037;6,61
297,301;6,65
297,565;6,7
297,829;6,74
298,094;6,81
298,358;6,86
298,622;6,91
298,886;6,97
299,15;7,02
299,414;7,08
299,678;7,15
299,942;7,2
300,206;7,24
300,47;7,29
300,734;7,34
300,998;7,4
301,262;7,45
301,526;7,51
301,79;7,55
302,054;7,59
302,318;7,63
302,582;7,69
302,846;7,74
303,11;7,79
303,374;7,85
303,637;7,91
303,901;7,96
304,165;8
304,429;8,06
304,693;8,11
304,956;8,17
305,22;8,21
305,484;8,26
305,747;8,32
306,011;8,37
306,275;8,43
306,538;8,49
306,802;8,54
307,066;8,61
307,329;8,67
307,593;8,73
307,856;8,8
308,12;8,86
308,384;8,92
308,647;8,97
308,911;9,03
309,174;9,08
309,438;9,14
309,701;9,2
309,964;9,25
310,228;9,32
310,491;9,37
310,755;9,44
311,018;9,5
311,281;9,57
311,545;9,63
311,808;9,68
312,071;9,73
312,335;9,78
312,598;9,84
312,861;9,89
313,124;9,94
313,388;9,99
313,651;10,06
313,914;10,12
314,177;10,18
314,44;10,23
314,704;10,29
314,967;10,35
315,23;10,41
315,493;10,47
315,756;10,51
316,019;10,58
316,282;10,63
316,545;10,69
316,808;10,74
317,071;10,8
317,334;10,86
317,597;10,91
317,86;10,96
318,123;11,01
318,386;11,07
318,649;11,13
318,912;11,18
319,175;11,23
319,437;11,29
319,7;11,36
319,963;11,41
320,226;11,45
320,489;11,51
320,751;11,57
321,014;11,61
321,277;11,68
321,54;11,72
321,802;11,79
322,065;11,84
322,328;11,89
322,59;11,93
322,853;11,99
323,116;12,06
323,378;12,13
323,641;12,18
323,903;12,25
324,166;12,32
324,428;12,38
324,691;12,43
324,953;12,47
325,216;12,51
325,478;12,58
325,741;12,62
326,003;12,68
326,266;12,71
326,528;12,77
326,791;12,81
327,053;12,86
327,315;12,89
327,578;12,93
327,84;12,97
328,102;13,02
328,365;13,07
328,627;13,11
328,889;13,13
329,151;13,17
329,414;13,2
329,676;13,23
329,938;13,25
330,2;13,3
330,462;13,34
330,725;13,38
330,987;13,41
331,249;13,45
331,511;13,48
331,773;13,53
332,035;13,57
332,297;13,61
332,559;13,65
332,821;13,69
333,083;13,74
333,345;13,79
333,607;13,83
333,869;13,88
334,131;13,91
334,393;13,96
334,655;13,99
334,917;14,04
335,179;14,08
335,44;14,14
335,702;14,17
335,964;14,22
336,226;14,26
336,488;14,32
336,749;14,37
337,011;14,43
337,273;14,47
337,535;14,52
337,796;14,56
338,058;14,62
338,32;14,67
338,581;14,7
338,843;14,76
339,105;14,81
339,366;14,86
339,628;14,92
339,889;14,96
340,151;15,03
340,412;15,08
340,674;15,14
340,935;15,18
341,197;15,25
341,458;15,29
341,72;15,34
341,981;15,38
342,243;15,42
342,504;15,46
342,766;15,49
343,027;15,52
343,288;15,55
343,55;15,57
