Data from lapisWhite_Reflection__2__35.txt Node;
"Date: Fri Sep 12 11:16:31 CEST 2025 User: sycur Spectrometer: SR400348 Trigger mode: 0 Integration Time (sec): 2,000000E-2 Scans to average: 20 Electric dark correction enabled: true Nonlinearity correction enabled: false Boxcar width: 10 XAxis mode: Wavelengths Number of Pixels in Spectrum: 3648 >>>>>Begin Spectral Data<<<<<";
286,72;17,02
286,985;17,17
287,249;17,33
287,514;17,46
287,779;17,62
288,044;17,77
288,309;17,91
288,573;18,07
288,838;18,23
289,103;18,39
289,367;18,56
289,632;18,75
289,897;18,92
290,161;19,09
290,426;19,26
290,691;19,45
290,955;19,64
291,22;19,84
291,484;20,02
291,749;20,25
292,014;20,46
292,278;20,67
292,543;20,9
292,807;21,13
293,072;21,36
293,336;21,6
293,6;21,84
293,865;22,09
294,129;22,34
294,394;22,58
294,658;22,84
294,922;23,1
295,187;23,34
295,451;23,6
295,715;23,86
295,98;24,13
296,244;24,38
296,508;24,64
296,773;24,89
297,037;25,15
297,301;25,39
297,565;25,62
297,829;25,87
298,094;26,11
298,358;26,37
298,622;26,61
298,886;26,85
299,15;27,09
299,414;27,33
299,678;27,58
299,942;27,8
300,206;28,02
300,47;28,26
300,734;28,48
300,998;28,71
301,262;28,93
301,526;29,13
301,79;29,35
302,054;29,56
302,318;29,76
302,582;29,97
302,846;30,19
303,11;30,41
303,374;30,6
303,637;30,79
303,901;30,99
304,165;31,19
304,429;31,38
304,693;31,56
304,956;31,76
305,22;31,95
305,484;32,14
305,747;32,33
306,011;32,51
306,275;32,7
306,538;32,9
306,802;33,07
307,066;33,25
307,329;33,43
307,593;33,61
307,856;33,79
308,12;33,97
308,384;34,14
308,647;34,3
308,911;34,47
309,174;34,66
309,438;34,82
309,701;34,97
309,964;35,14
310,228;35,31
310,491;35,45
310,755;35,62
311,018;35,79
311,281;35,95
311,545;36,09
311,808;36,24
312,071;36,37
312,335;36,52
312,598;36,68
312,861;36,84
313,124;36,97
313,388;37,13
313,651;37,27
313,914;37,41
314,177;37,55
314,44;37,71
314,704;37,84
314,967;37,98
315,23;38,13
315,493;38,27
315,756;38,4
316,019;38,53
316,282;38,67
316,545;38,8
316,808;38,92
317,071;39,06
317,334;39,19
317,597;39,33
317,86;39,45
318,123;39,58
318,386;39,7
318,649;39,83
318,912;39,95
319,175;40,06
319,437;40,17
319,7;40,3
319,963;40,4
320,226;40,51
320,489;40,62
320,751;40,73
321,014;40,82
321,277;40,93
321,54;41,05
321,802;41,16
322,065;41,26
322,328;41,39
322,59;41,49
322,853;41,58
323,116;41,68
323,378;41,8
323,641;41,91
323,903;42,01
324,166;42,13
324,428;42,23
324,691;42,33
324,953;42,42
325,216;42,52
325,478;42,65
325,741;42,76
326,003;42,86
326,266;42,96
326,528;43,09
326,791;43,19
327,053;43,3
327,315;43,39
327,578;43,48
327,84;43,57
328,102;43,66
328,365;43,79
328,627;43,88
328,889;43,97
329,151;44,06
329,414;44,16
329,676;44,23
329,938;44,33
330,2;44,42
330,462;44,5
330,725;44,59
330,987;44,65
331,249;44,73
331,511;44,82
331,773;44,91
332,035;44,99
332,297;45,06
332,559;45,12
332,821;45,19
333,083;45,24
333,345;45,32
333,607;45,39
333,869;45,45
334,131;45,51
334,393;45,6
334,655;45,67
334,917;45,76
335,179;45,83
335,44;45,92
335,702;46,02
335,964;46,13
336,226;46,22
336,488;46,32
336,749;46,4
337,011;46,5
337,273;46,58
337,535;46,68
337,796;46,76
338,058;46,86
338,32;46,96
338,581;47,07
338,843;47,17
339,105;47,28
339,366;47,35
339,628;47,45
339,889;47,54
340,151;47,63
340,412;47,72
340,674;47,81
