Data from lapisWhite_Reflection__0__33.txt Node;
"Date: Fri Sep 12 11:15:02 CEST 2025 User: sycur Spectrometer: SR400348 Trigger mode: 0 Integration Time (sec): 2,000000E-2 Scans to average: 20 Electric dark correction enabled: true Nonlinearity correction enabled: false Boxcar width: 10 XAxis mode: Wavelengths Number of Pixels in Spectrum: 3648 >>>>>Begin Spectral Data<<<<<";
286,455;46,76
286,72;46,85
286,985;46,97
287,249;47,07
287,514;47,14
287,779;47,26
288,044;47,36
288,309;47,47
288,573;47,59
288,838;47,7
289,103;47,82
289,367;47,9
289,632;48,02
289,897;48,15
290,161;48,25
290,426;48,36
290,691;48,46
290,955;48,56
291,22;48,69
291,484;48,81
291,749;48,92
292,014;49,05
292,278;49,16
292,543;49,27
292,807;49,38
293,072;49,5
293,336;49,61
293,6;49,73
293,865;49,83
294,129;49,94
294,394;50,07
294,658;50,19
294,922;50,32
295,187;50,43
295,451;50,54
295,715;50,67
295,98;50,81
296,244;50,94
296,508;51,07
296,773;51,19
297,037;51,32
297,301;51,44
297,565;51,55
297,829;51,67
298,094;51,8
298,358;51,94
298,622;52,04
298,886;52,17
299,15;52,28
299,414;52,42
299,678;52,57
299,942;52,69
300,206;52,81
300,47;52,94
300,734;53,07
300,998;53,2
301,262;53,32
301,526;53,43
301,79;53,56
302,054;53,67
302,318;53,78
302,582;53,9
302,846;54,04
303,11;54,18
303,374;54,33
303,637;54,46
303,901;54,58
304,165;54,74
304,429;54,87
304,693;54,99
304,956;55,11
305,22;55,23
305,484;55,36
305,747;55,47
306,011;55,6
306,275;55,7
306,538;55,82
306,802;55,94
307,066;56,07
307,329;56,2
307,593;56,32
307,856;56,47
308,12;56,6
308,384;56,71
308,647;56,82
308,911;56,93
309,174;57,04
309,438;57,16
309,701;57,27
309,964;57,38
310,228;57,52
310,491;57,63
310,755;57,75
311,018;57,87
311,281;57,99
311,545;58,11
311,808;58,23
312,071;58,33
312,335;58,45
312,598;58,56
312,861;58,67
313,124;58,78
313,388;58,89
313,651;59
313,914;59,1
314,177;59,21
314,44;59,33
314,704;59,45
314,967;59,55
315,23;59,64
315,493;59,74
315,756;59,84
316,019;59,93
316,282;60,05
316,545;60,13
316,808;60,24
317,071;60,34
317,334;60,44
317,597;60,54
317,86;60,66
318,123;60,76
318,386;60,85
318,649;60,94
318,912;61,02
319,175;61,08
319,437;61,16
319,7;61,26
319,963;61,33
320,226;61,4
320,489;61,48
320,751;61,55
321,014;61,63
321,277;61,72
321,54;61,81
321,802;61,9
322,065;61,99
322,328;62,07
322,59;62,15
322,853;62,24
323,116;62,31
323,378;62,38
323,641;62,46
323,903;62,55
324,166;62,63
324,428;62,7
324,691;62,82
324,953;62,9
325,216;62,98
325,478;63,06
325,741;63,14
326,003;63,23
326,266;63,3
326,528;63,37
326,791;63,44
327,053;63,52
327,315;63,58
327,578;63,63
327,84;63,69
328,102;63,76
328,365;63,83
328,627;63,93
328,889;63,98
329,151;64,04
329,414;64,11
329,676;64,19
329,938;64,25
330,2;64,31
330,462;64,37
330,725;64,45
330,987;64,49
331,249;64,54
331,511;64,6
331,773;64,68
332,035;64,74
332,297;64,81
332,559;64,85
332,821;64,9
333,083;64,97
333,345;65,01
333,607;65,05
333,869;65,08
334,131;65,13
334,393;65,17
334,655;65,25
334,917;65,3
335,179;65,33
335,44;65,4
335,702;65,44
335,964;65,5
336,226;65,55
336,488;65,65
336,749;65,73
337,011;65,78
337,273;65,87
337,535;65,93
337,796;65,98
338,058;66,08
338,32;66,13
338,581;66,18
338,843;66,28
339,105;66,36
339,366;66,42
339,628;66,48
339,889;66,55
340,151;66,59
340,412;66,64
340,674;66,71
340,935;66,76
341,197;66,83
341,458;66,88
341,72;66,94
341,981;66,98
342,243;67,02
342,504;67,09
342,766;67,09
343,027;67,13
343,288;67,16
343,55;67,17
343,811;67,21
344,072;67,25
344,334;67,28
344,595;67,32
344,856;67,38
345,117;67,43
345,379;67,48
345,64;67,52
345,901;67,58
346,162;67,63
346,423;67,66
346,684;67,67
346,946;67,72
347,207;67,74
347,468;67,76
347,729;67,8
347,99;67,81
348,251;67,87
348,512;67,93
348,773;67,96
349,034;67,99
349,295;68,02
349,556;68,06
349,817;68,1
350,078;68,13
350,339;68,17
350,6;68,21
350,86;68,24
351,121;68,28
351,382;68,33
351,643;68,35
351,904;68,38
352,165;68,44
352,425;68,48
352,686;68,56
352,947;68,64
353,208;68,71
353,468;68,79
353,729;68,82
353,99;68,84
354,25;68,89
354,511;68,96
354,772;69,04
355,032;69,07
355,293;69,12
355,553;69,17
355,814;69,21
356,074;69,24
356,335;69,27
356,596;69,3
356,856;69,34
357,116;69,38
357,377;69,44
357,637;69,49
357,898;69,54
358,158;69,56
358,419;69,59
358,679;69,6
358,939;69,63
359,2;69,66
359,46;69,69
359,72;69,75
359,981;69,79
360,241;69,8
360,501;69,88
360,761;69,91
361,022;69,94
361,282;69,99
361,542;70,06
361,802;70,12
362,062;70,2
362,323;70,2
362,583;70,24
362,843;70,27
363,103;70,3
363,363;70,33
363,623;70,38
363,883;70,39
364,143;70,45
364,403;70,49
364,663;70,54
364,923;70,6
365,183;70,64
365,443;70,69
365,703;70,73
365,963;70,75
366,223;70,78
366,483;70,81
366,743;70,87
367,002;70,9
367,262;70,93
367,522;70,96
367,782;71,03
368,042;71,09
368,301;71,14
368,561;71,18
368,821;71,23
369,081;71,25
369,34;71,3
369,6;71,35
369,86;71,39
370,119;71,44
370,379;71,48
370,638;71,52
370,898;71,55
371,158;71,6
371,417;71,64
371,677;71,69
371,936;71,74
372,196;71,77
372,455;71,8
372,715;71,85
372,974;71,88
373,234;71,9
373,493;71,97
373,753;71,99
374,012;72,05
374,271;72,06
374,531;72,11
374,79;72,13
375,049;72,19
375,309;72,22
375,568;72,27
375,827;72,31
376,086;72,36
376,346;72,41
376,605;72,45
376,864;72,51
377,123;72,55
377,383;72,6
377,642;72,63
377,901;72,67
378,16;72,69
378,419;72,74
378,678;72,78
378,937;72,79
379,196;72,83
379,455;72,83
379,714;72,88
379,973;72,91
380,232;73
380,491;73
380,75;73,01
381,009;73,05
381,268;73,09
381,527;73,13
381,786;73,14
382,045;73,21
382,304;73,26
382,563;73,27
382,821;73,31
383,08;73,38
383,339;73,43
383,598;73,48
383,857;73,53
384,115;73,61
384,374;73,66
384,633;73,71
384,891;73,76
385,15;73,79
385,409;73,85
385,667;73,88
385,926;73,9
386,185;73,96
386,443;73,99
386,702;74,05
386,96;74,1
387,219;74,15
387,477;74,17
387,736;74,19
387,994;74,27
388,253;74,29
388,511;74,28
388,77;74,29
389,028;74,32
389,287;74,36
389,545;74,4
389,803;74,43
390,062;74,5
390,32;74,54
390,578;74,58
390,837;74,6
391,095;74,65
391,353;74,73
391,612;74,76
391,87;74,81
392,128;74,83
392,386;74,86
392,644;74,91
392,903;74,93
393,161;74,93
393,419;74,97
393,677;75,04
393,935;75,12
394,193;75,17
394,451;75,26
394,709;75,31
394,967;75,31
395,225;75,33
395,483;75,36
395,741;75,41
395,999;75,49
396,257;75,56
396,515;75,61
396,773;75,65
397,031;75,7
397,289;75,77
397,547;75,8
397,805;75,85
398,062;75,89
398,32;75,97
398,578;76,05
398,836;76,09
399,094;76,12
399,351;76,14
399,609;76,19
399,867;76,21
400,124;76,24
400,382;76,34
400,64;76,41
400,897;76,48
401,155;76,53
401,413;76,63
401,67;76,68
401,928;76,73
402,185;76,8
402,443;76,88
402,701;76,91
402,958;76,97
403,216;76,99
403,473;77,04
403,73;77,07
403,988;77,13
404,245;77,19
404,503;77,26
404,76;77,33
405,018;77,4
405,275;77,46
405,532;77,52
405,79;77,56
406,047;77,63
406,304;77,69
406,561;77,75
406,819;77,77
407,076;77,83
407,333;77,86
407,59;77,92
407,848;77,98
408,105;78,07
408,362;78,15
408,619;78,25
408,876;78,35
409,133;78,45
409,39;78,52
409,647;78,58
409,904;78,66
410,161;78,72
410,418;78,78
410,675;78,87
410,932;78,94
411,189;79,02
411,446;79,1
411,703;79,16
411,96;79,26
412,217;79,34
412,474;79,43
412,731;79,54
412,988;79,62
413,245;79,71
413,501;79,76
413,758;79,85
414,015;79,93
414,272;80,01
414,529;80,08
414,785;80,18
415,042;80,27
415,299;80,36
415,555;80,44
415,812;80,51
416,069;80,57
416,325;80,66
416,582;80,74
416,838;80,81
417,095;80,89
417,352;80,96
417,608;81,04
417,865;81,12
418,121;81,17
418,378;81,26
418,634;81,33
418,891;81,44
419,147;81,52
419,403;81,6
419,66;81,64
419,916;81,71
420,173;81,77
420,429;81,81
420,685;81,87
420,942;81,93
421,198;82,03
421,454;82,14
421,711;82,19
421,967;82,26
422,223;82,31
422,479;82,42
422,735;82,49
422,992;82,54
423,248;82,62
423,504;82,72
423,76;82,76
424,016;82,84
424,272;82,89
424,528;82,95
424,784;83,05
425,041;83,19
425,297;83,29
425,553;83,35
425,809;83,48
426,065;83,54
426,32;83,7
426,576;83,77
426,832;83,82
427,088;83,93
427,344;84
427,6;84,08
427,856;84,11
428,112;84,2
428,368;84,28
428,623;84,36
428,879;84,43
429,135;84,48
429,391;84,56
429,646;84,63
429,902;84,69
430,158;84,72
430,414;84,77
430,669;84,82
430,925;84,91
431,181;84,99
431,436;85,1
431,692;85,12
431,947;85,19
432,203;85,28
432,458;85,36
432,714;85,47
432,97;85,53
433,225;85,63
433,481;85,67
433,736;85,75
433,991;85,82
434,247;85,88
434,502;85,97
434,758;86,05
435,013;86,13
435,268;86,22
435,524;86,28
435,779;86,35
436,034;86,43
436,29;86,5
436,545;86,53
436,8;86,57
437,056;86,65
437,311;86,7
437,566;86,74
437,821;86,79
438,076;86,85
438,331;86,97
438,587;87,02
438,842;87,15
439,097;87,17
439,352;87,21
439,607;87,28
439,862;87,32
440,117;87,37
440,372;87,42
440,627;87,47
440,882;87,52
441,137;87,54
441,392;87,62
441,647;87,71
441,902;87,78
442,157;87,83
442,412;87,87
442,667;87,9
442,921;87,95
443,176;87,99
443,431;88,02
443,686;88,04
443,941;88,1
444,195;88,1
444,45;88,15
444,705;88,22
444,96;88,24
445,214;88,31
445,469;88,35
445,724;88,38
445,978;88,39
446,233;88,45
446,487;88,51
446,742;88,5
446,997;88,52
447,251;88,52
447,506;88,55
447,76;88,57
448,015;88,6
448,269;88,66
448,524;88,7
448,778;88,72
449,033;88,73
449,287;88,75
449,541;88,78
449,796;88,81
450,05;88,83
450,305;88,86
450,559;88,85
450,813;88,86
451,067;88,88
451,322;88,92
451,576;88,95
451,83;88,94
452,084;88,98
452,339;88,98
452,593;88,98
452,847;89,02
453,101;89,03
453,355;89,07
453,609;89,05
453,864;89,05
454,118;89,04
454,372;89,04
454,626;89,03
454,88;89,04
455,134;89,02
455,388;89,02
455,642;89,01
455,896;89,03
456,15;88,99
456,404;88,99
456,658;88,93
456,912;88,88
457,165;88,85
457,419;88,81
457,673;88,76
457,927;88,74
458,181;88,67
458,435;88,63
458,688;88,6
458,942;88,57
459,196;88,51
459,45;88,48
459,703;88,43
459,957;88,41
460,211;88,33
460,464;88,28
460,718;88,22
460,972;88,18
461,225;88,11
461,479;88,07
461,732;87,98
461,986;87,92
462,239;87,82
462,493;87,76
462,746;87,72
463;87,63
463,253;87,51
463,507;87,43
463,76;87,39
464,014;87,25
464,267;87,15
464,52;87,04
