Data from bitumeWhite_Reflection__5__09.txt Node;
"Date: Fri Sep 12 10:29:11 CEST 2025 User: sycur";
291,22;14,97
291,484;14,96
291,749;14,96
292,014;14,95
292,278;14,94
292,543;14,92
292,807;14,91
293,072;14,91
293,336;14,9
293,6;14,88
293,865;14,89
294,129;14,87
294,394;14,87
294,658;14,88
294,922;14,87
295,187;14,87
295,451;14,86
295,715;14,87
295,98;14,88
296,244;14,86
296,508;14,86
296,773;14,85
297,037;14,85
297,301;14,83
297,565;14,82
297,829;14,81
298,094;14,82
298,358;14,82
298,622;14,82
298,886;14,8
299,15;14,81
299,414;14,78
299,678;14,82
299,942;14,81
300,206;14,78
300,47;14,77
300,734;14,76
300,998;14,74
301,262;14,73
301,526;14,69
301,79;14,67
302,054;14,66
302,318;14,65
302,582;14,64
302,846;14,63
303,11;14,63
303,374;14,63
303,637;14,61
303,901;14,61
304,165;14,59
304,429;14,6
304,693;14,57
304,956;14,57
305,22;14,54
305,484;14,52
305,747;14,52
306,011;14,5
306,275;14,47
306,538;14,47
306,802;14,46
307,066;14,46
307,329;14,45
307,593;14,45
307,856;14,44
308,12;14,44
308,384;14,43
308,647;14,4
308,911;14,38
309,174;14,37
309,438;14,33
309,701;14,33
309,964;14,3
310,228;14,31
310,491;14,29
310,755;14,29
311,018;14,3
311,281;14,3
311,545;14,29
311,808;14,29
312,071;14,27
312,335;14,24
312,598;14,22
312,861;14,22
313,124;14,18
313,388;14,17
313,651;14,16
313,914;14,14
314,177;14,13
314,44;14,12
314,704;14,13
314,967;14,13
315,23;14,11
315,493;14,09
315,756;14,08
316,019;14,06
316,282;14,06
316,545;14,03
316,808;14,03
317,071;14,03
317,334;14,03
317,597;14,02
317,86;14,02
318,123;14,01
318,386;14,02
318,649;14,03
318,912;14,01
319,175;13,98
319,437;13,96
319,7;13,97
319,963;13,94
320,226;13,89
320,489;13,87
320,751;13,86
321,014;13,83
321,277;13,81
321,54;13,81
321,802;13,78
322,065;13,76
322,328;13,73
322,59;13,7
322,853;13,69
323,116;13,69
323,378;13,69
323,641;13,67
323,903;13,65
324,166;13,63
324,428;13,59
324,691;13,58
324,953;13,58
325,216;13,55
325,478;13,55
325,741;13,54
326,003;13,53
326,266;13,5
326,528;13,49
326,791;13,49
327,053;13,46
327,315;13,43
327,578;13,42
327,84;13,4
328,102;13,38
328,365;13,36
328,627;13,35
328,889;13,3
329,151;13,29
329,414;13,27
329,676;13,26
329,938;13,25
330,2;13,23
330,462;13,2
330,725;13,19
330,987;13,16
331,249;13,14
331,511;13,11
331,773;13,11
332,035;13,12
332,297;13,11
332,559;13,1
332,821;13,07
333,083;13,04
333,345;13,02
333,607;13,01
333,869;12,99
334,131;12,96
334,393;12,99
334,655;12,96
334,917;12,95
335,179;12,93
