Data from bitumeWhite_Reflection__7__11.txt Node;
"Date: Fri Sep 12 10:39:11 CEST 2025 User: sycur";
290,691;17,77
290,955;17,74
291,22;17,75
291,484;17,73
291,749;17,71
292,014;17,7
292,278;17,67
292,543;17,65
292,807;17,63
293,072;17,64
293,336;17,62
293,6;17,62
293,865;17,61
294,129;17,6
294,394;17,61
294,658;17,62
294,922;17,6
295,187;17,6
295,451;17,59
295,715;17,6
295,98;17,63
296,244;17,59
296,508;17,6
296,773;17,59
297,037;17,57
297,301;17,56
297,565;17,57
297,829;17,56
298,094;17,58
298,358;17,59
298,622;17,56
298,886;17,54
299,15;17,54
299,414;17,52
299,678;17,54
299,942;17,53
300,206;17,48
300,47;17,48
300,734;17,47
300,998;17,45
301,262;17,44
301,526;17,4
301,79;17,39
302,054;17,36
302,318;17,35
302,582;17,34
302,846;17,33
303,11;17,32
303,374;17,32
303,637;17,29
303,901;17,29
304,165;17,27
304,429;17,28
304,693;17,23
304,956;17,23
305,22;17,2
305,484;17,18
305,747;17,17
306,011;17,15
306,275;17,12
306,538;17,1
306,802;17,08
307,066;17,08
307,329;17,07
307,593;17,07
307,856;17,04
308,12;17,02
308,384;16,99
308,647;16,95
308,911;16,93
309,174;16,89
309,438;16,83
309,701;16,82
309,964;16,8
310,228;16,79
310,491;16,76
310,755;16,74
311,018;16,77
311,281;16,77
311,545;16,74
311,808;16,73
312,071;16,7
312,335;16,66
312,598;16,64
312,861;16,62
313,124;16,57
313,388;16,56
313,651;16,57
313,914;16,53
314,177;16,5
314,44;16,47
314,704;16,49
314,967;16,48
315,23;16,45
315,493;16,42
315,756;16,4
316,019;16,38
316,282;16,38
316,545;16,32
316,808;16,32
317,071;16,34
317,334;16,32
317,597;16,31
317,86;16,3
318,123;16,25
318,386;16,28
318,649;16,27
318,912;16,26
319,175;16,2
319,437;16,2
319,7;16,2
319,963;16,18
320,226;16,13
320,489;16,11
320,751;16,08
321,014;16,07
321,277;16,06
321,54;16,05
321,802;16
322,065;15,97
322,328;15,91
322,59;15,85
322,853;15,83
323,116;15,8
323,378;15,8
323,641;15,79
323,903;15,74
324,166;15,71
324,428;15,67
324,691;15,66
324,953;15,64
325,216;15,61
325,478;15,6
325,741;15,57
326,003;15,55
326,266;15,5
326,528;15,46
326,791;15,45
327,053;15,42
327,315;15,39
327,578;15,38
327,84;15,35
328,102;15,34
328,365;15,32
328,627;15,32
328,889;15,25
329,151;15,24
329,414;15,24
329,676;15,2
329,938;15,17
330,2;15,14
330,462;15,09
330,725;15,07
330,987;15,03
331,249;15,01
331,511;14,98
331,773;14,97
332,035;14,99
332,297;14,99
332,559;14,96
332,821;14,92
333,083;14,88
333,345;14,86
333,607;14,82
333,869;14,81
334,131;14,75
334,393;14,76
334,655;14,71
334,917;14,67
335,179;14,65
335,44;14,65
335,702;14,64
335,964;14,66
336,226;14,64
336,488;14,64
336,749;14,64
337,011;14,64
337,273;14,64
337,535;14,61
337,796;14,54
338,058;14,57
338,32;14,57
338,581;14,53
338,843;14,53
339,105;14,54
339,366;14,5
339,628;14,53
339,889;14,52
340,151;14,53
340,412;14,51
340,674;14,51
340,935;14,5
341,197;14,52
341,458;14,5
341,72;14,49
341,981;14,49
342,243;14,48
342,504;14,46
342,766;14,46
343,027;14,44
343,288;14,42
343,55;14,35
343,811;14,33
344,072;14,33
344,334;14,32
344,595;14,29
344,856;14,26
345,117;14,22
345,379;14,22
345,64;14,19
345,901;14,16
346,162;14,12
346,423;14,07
346,684;14
346,946;13,96
347,207;13,92
347,468;13,87
347,729;13,81
347,99;13,78
348,251;13,71
348,512;13,66
348,773;13,66
349,034;13,64
349,295;13,65
349,556;13,61
349,817;13,56
350,078;13,52
350,339;13,54
350,6;13,51
350,86;13,45
351,121;13,45
351,382;13,4
351,643;13,37
351,904;13,35
352,165;13,37
352,425;13,35
352,686;13,34
352,947;13,3
353,208;13,33
353,468;13,36
353,729;13,37
353,99;13,35
354,25;13,32
354,511;13,28
354,772;13,24
355,032;13,27
355,293;13,25
355,553;13,26
355,814;13,21
