Data from bitumeWhite_Reflection__0__04.txt Node;
"Date: Fri Sep 12 10:24:23 CEST 2025 User: sycur";
290,955;55,92
291,22;55,94
291,484;55,94
291,749;55,95
292,014;55,96
292,278;55,96
292,543;55,95
292,807;55,98
293,072;55,98
293,336;55,97
293,6;55,97
293,865;55,98
294,129;56
294,394;56
294,658;56,02
294,922;56
295,187;56,01
295,451;55,99
295,715;55,99
295,98;56
296,244;56,01
296,508;56
296,773;56,02
297,037;56,03
297,301;56,02
297,565;56,02
297,829;56,01
298,094;56,01
298,358;56,04
298,622;56,02
298,886;56,02
299,15;56,03
299,414;56,01
299,678;56,02
299,942;56
300,206;55,98
300,47;55,98
300,734;55,98
300,998;56
301,262;56,01
301,526;56
301,79;55,99
302,054;56
302,318;55,98
302,582;55,96
302,846;55,97
303,11;55,95
303,374;55,95
303,637;55,95
303,901;55,92
304,165;55,91
304,429;55,93
304,693;55,9
304,956;55,91
305,22;55,88
305,484;55,88
305,747;55,88
306,011;55,88
306,275;55,87
306,538;55,86
306,802;55,83
307,066;55,82
307,329;55,81
307,593;55,79
307,856;55,79
308,12;55,81
308,384;55,79
308,647;55,81
308,911;55,79
309,174;55,78
309,438;55,77
309,701;55,76
309,964;55,73
310,228;55,72
310,491;55,72
310,755;55,71
311,018;55,72
311,281;55,73
311,545;55,72
311,808;55,7
312,071;55,67
312,335;55,67
312,598;55,65
312,861;55,63
313,124;55,63
313,388;55,63
313,651;55,63
313,914;55,62
314,177;55,6
314,44;55,61
314,704;55,6
314,967;55,59
315,23;55,59
315,493;55,6
315,756;55,6
316,019;55,6
316,282;55,59
316,545;55,56
316,808;55,54
317,071;55,51
317,334;55,49
317,597;55,5
317,86;55,48
318,123;55,46
318,386;55,45
318,649;55,43
318,912;55,41
319,175;55,36
319,437;55,34
319,7;55,32
319,963;55,29
320,226;55,24
320,489;55,22
320,751;55,19
321,014;55,15
321,277;55,12
321,54;55,09
321,802;55,07
322,065;55,06
322,328;55,05
322,59;55,04
322,853;55,05
323,116;55,03
323,378;55,03
323,641;55,03
323,903;55,02
324,166;55,02
324,428;54,99
324,691;54,97
324,953;54,95
325,216;54,93
325,478;54,93
325,741;54,95
326,003;54,95
326,266;54,94
326,528;54,94
326,791;54,95
327,053;54,94
327,315;54,91
327,578;54,89
327,84;54,87
328,102;54,84
328,365;54,83
328,627;54,82
328,889;54,81
329,151;54,77
329,414;54,74
329,676;54,7
329,938;54,71
330,2;54,72
330,462;54,73
330,725;54,72
330,987;54,68
331,249;54,67
331,511;54,65
331,773;54,64
332,035;54,63
332,297;54,61
332,559;54,6
332,821;54,59
333,083;54,58
333,345;54,56
333,607;54,56
333,869;54,54
334,131;54,52
334,393;54,49
334,655;54,5
334,917;54,49
335,179;54,5
335,44;54,47
335,702;54,45
335,964;54,44
336,226;54,44
336,488;54,45
336,749;54,44
337,011;54,44
337,273;54,44
337,535;54,45
337,796;54,45
338,058;54,46
338,32;54,47
338,581;54,46
338,843;54,47
339,105;54,49
339,366;54,49
339,628;54,52
339,889;54,53
340,151;54,52
340,412;54,53
340,674;54,53
340,935;54,54
341,197;54,55
341,458;54,55
341,72;54,55
341,981;54,53
342,243;54,51
342,504;54,51
342,766;54,5
343,027;54,48
343,288;54,45
343,55;54,42
343,811;54,4
344,072;54,42
344,334;54,41
344,595;54,38
344,856;54,36
345,117;54,3
345,379;54,27
345,64;54,24
345,901;54,21
346,162;54,18
346,423;54,16
346,684;54,12
346,946;54,09
347,207;54,05
347,468;54,04
347,729;53,99
347,99;53,96
348,251;53,94
348,512;53,91
348,773;53,88
349,034;53,85
349,295;53,82
349,556;53,78
349,817;53,76
350,078;53,72
350,339;53,7
350,6;53,68
350,86;53,66
351,121;53,67
351,382;53,66
351,643;53,65
351,904;53,64
352,165;53,62
352,425;53,59
352,686;53,59
352,947;53,58
353,208;53,59
353,468;53,59
353,729;53,57
353,99;53,54
354,25;53,56
354,511;53,53
354,772;53,54
355,032;53,51
355,293;53,5
355,553;53,49
355,814;53,48
356,074;53,46
356,335;53,45
356,596;53,41
356,856;53,4
357,116;53,39
357,377;53,4
357,637;53,41
357,898;53,41
358,158;53,38
358,419;53,36
358,679;53,35
358,939;53,34
359,2;53,34
359,46;53,34
359,72;53,31
359,981;53,36
360,241;53,35
360,501;53,37
