Data from IndigoWhite_Reflection__1__53.txt Node;
"Date: Fri Sep 12 11:52:01 CEST 2025 User: sycur Spectrometer: SR400348 Trigger mode: 0 Integration Time (sec): 2,000000E-2 Scans to average: 20 Electric dark correction enabled: true Nonlinearity correction enabled: false Boxcar width: 10 XAxis mode: Wavelengths Number of Pixels in Spectrum: 3648 >>>>>Begin Spectral Data<<<<<";
286,72;1,79
286,985;1,8
287,249;1,81
287,514;1,81
287,779;1,82
288,044;1,82
288,309;1,83
288,573;1,83
288,838;1,84
289,103;1,85
289,367;1,86
289,632;1,86
289,897;1,86
290,161;1,88
290,426;1,88
290,691;1,88
290,955;1,88
291,22;1,88
291,484;1,88
291,749;1,89
292,014;1,89
292,278;1,89
292,543;1,89
292,807;1,89
293,072;1,89
293,336;1,89
293,6;1,89
293,865;1,89
294,129;1,88
294,394;1,88
294,658;1,9
294,922;1,9
295,187;1,9
295,451;1,89
295,715;1,89
295,98;1,89
296,244;1,89
296,508;1,89
296,773;1,89
297,037;1,9
297,301;1,9
297,565;1,9
297,829;1,89
298,094;1,89
298,358;1,9
298,622;1,9
298,886;1,9
299,15;1,9
299,414;1,89
299,678;1,91
299,942;1,89
300,206;1,88
300,47;1,89
300,734;1,89
300,998;1,9
301,262;1,9
301,526;1,9
301,79;1,89
302,054;1,89
302,318;1,88
302,582;1,87
302,846;1,87
303,11;1,87
303,374;1,87
303,637;1,87
303,901;1,86
304,165;1,85
304,429;1,85
304,693;1,86
304,956;1,86
305,22;1,85
305,484;1,86
305,747;1,86
306,011;1,85
306,275;1,84
306,538;1,83
306,802;1,83
307,066;1,82
307,329;1,82
307,593;1,82
307,856;1,82
308,12;1,83
308,384;1,83
308,647;1,81
308,911;1,8
309,174;1,8
309,438;1,81
309,701;1,81
309,964;1,79
310,228;1,79
310,491;1,79
310,755;1,79
311,018;1,79
311,281;1,78
311,545;1,78
311,808;1,78
312,071;1,77
312,335;1,76
312,598;1,77
312,861;1,78
313,124;1,76
313,388;1,75
313,651;1,75
313,914;1,75
314,177;1,75
314,44;1,76
314,704;1,76
314,967;1,75
315,23;1,75
315,493;1,75
315,756;1,75
316,019;1,74
316,282;1,75
316,545;1,74
316,808;1,74
317,071;1,74
317,334;1,74
317,597;1,75
317,86;1,74
318,123;1,74
318,386;1,73
318,649;1,74
318,912;1,74
319,175;1,73
319,437;1,74
319,7;1,74
319,963;1,72
320,226;1,7
320,489;1,7
320,751;1,69
321,014;1,69
321,277;1,69
321,54;1,68
321,802;1,68
322,065;1,67
322,328;1,66
322,59;1,65
322,853;1,65
323,116;1,65
323,378;1,64
323,641;1,65
323,903;1,65
324,166;1,64
324,428;1,63
324,691;1,62
324,953;1,61
325,216;1,61
325,478;1,61
325,741;1,61
326,003;1,6
326,266;1,61
326,528;1,6
326,791;1,6
327,053;1,59
327,315;1,59
327,578;1,59
327,84;1,6
328,102;1,6
328,365;1,6
328,627;1,6
328,889;1,59
329,151;1,59
329,414;1,58
329,676;1,59
329,938;1,59
330,2;1,59
330,462;1,58
330,725;1,57
330,987;1,57
331,249;1,57
331,511;1,58
331,773;1,57
332,035;1,58
332,297;1,58
332,559;1,58
332,821;1,58
333,083;1,58
333,345;1,57
333,607;1,57
333,869;1,56
334,131;1,56
334,393;1,56
334,655;1,55
334,917;1,55
335,179;1,54
335,44;1,54
335,702;1,55
335,964;1,56
336,226;1,56
336,488;1,56
336,749;1,56
337,011;1,56
337,273;1,56
337,535;1,55
337,796;1,54
338,058;1,54
338,32;1,55
338,581;1,55
338,843;1,55
339,105;1,56
339,366;1,57
339,628;1,56
339,889;1,57
340,151;1,57
340,412;1,58
340,674;1,58
340,935;1,59
341,197;1,6
341,458;1,6
341,72;1,59
341,981;1,6
342,243;1,6
342,504;1,6
342,766;1,6
343,027;1,6
343,288;1,62
343,55;1,61
343,811;1,6
344,072;1,6
344,334;1,59
344,595;1,58
344,856;1,58
345,117;1,58
345,379;1,59
345,64;1,59
345,901;1,59
346,162;1,6
346,423;1,58
346,684;1,57
346,946;1,57
347,207;1,58
347,468;1,57
347,729;1,57
347,99;1,58
348,251;1,57
348,512;1,56
348,773;1,55
349,034;1,56
349,295;1,55
349,556;1,55
349,817;1,56
350,078;1,54
350,339;1,55
350,6;1,54
350,86;1,54
351,121;1,54
351,382;1,51
351,643;1,51
351,904;1,52
352,165;1,53
352,425;1,53
352,686;1,53
352,947;1,53
353,208;1,55
353,468;1,55
353,729;1,56
353,99;1,57
354,25;1,57
354,511;1,57
354,772;1,58
355,032;1,59
355,293;1,59
355,553;1,59
355,814;1,59
356,074;1,6
356,335;1,59
356,596;1,58
356,856;1,6
357,116;1,61
357,377;1,61
357,637;1,59
357,898;1,61
358,158;1,61
358,419;1,62
358,679;1,6
358,939;1,59
359,2;1,6
359,46;1,61
359,72;1,61
359,981;1,63
360,241;1,62
360,501;1,61
360,761;1,63
361,022;1,62
361,282;1,63
361,542;1,63
361,802;1,63
362,062;1,63
362,323;1,62
362,583;1,64
362,843;1,64
363,103;1,65
363,363;1,63
363,623;1,62
363,883;1,61
364,143;1,62
364,403;1,61
364,663;1,61
364,923;1,6
365,183;1,6
365,443;1,6
365,703;1,59
365,963;1,6
366,223;1,59
366,483;1,6
366,743;1,59
367,002;1,59
367,262;1,6
367,522;1,6
367,782;1,61
368,042;1,58
368,301;1,57
368,561;1,56
368,821;1,58
369,081;1,58
369,34;1,58
369,6;1,57
369,86;1,58
370,119;1,58
370,379;1,59
370,638;1,58
370,898;1,57
371,158;1,59
371,417;1,59
371,677;1,6
371,936;1,58
372,196;1,59
372,455;1,6
372,715;1,6
372,974;1,6
373,234;1,61
373,493;1,64
373,753;1,64
374,012;1,66
374,271;1,65
374,531;1,66
374,79;1,67
375,049;1,66
375,309;1,66
375,568;1,67
375,827;1,68
376,086;1,68
376,346;1,69
376,605;1,7
376,864;1,7
377,123;1,7
377,383;1,71
377,642;1,71
377,901;1,72
378,16;1,72
378,419;1,72
378,678;1,72
378,937;1,71
379,196;1,71
379,455;1,69
379,714;1,69
379,973;1,69
380,232;1,69
380,491;1,7
380,75;1,71
381,009;1,71
381,268;1,71
381,527;1,7
381,786;1,7
382,045;1,68
382,304;1,68
382,563;1,67
382,821;1,67
383,08;1,69
383,339;1,68
383,598;1,68
383,857;1,68
384,115;1,68
384,374;1,67
384,633;1,68
384,891;1,7
385,15;1,7
385,409;1,71
385,667;1,71
385,926;1,69
386,185;1,69
386,443;1,7
386,702;1,71
386,96;1,69
387,219;1,7
387,477;1,73
387,736;1,73
387,994;1,73
388,253;1,74
388,511;1,73
388,77;1,72
389,028;1,73
389,287;1,74
389,545;1,74
389,803;1,74
390,062;1,75
390,32;1,75
390,578;1,74
390,837;1,74
391,095;1,74
391,353;1,75
391,612;1,75
391,87;1,75
392,128;1,74
392,386;1,75
392,644;1,74
392,903;1,73
393,161;1,72
393,419;1,72
393,677;1,72
393,935;1,71
394,193;1,72
394,451;1,72
394,709;1,71
394,967;1,72
395,225;1,72
395,483;1,72
395,741;1,74
395,999;1,77
396,257;1,76
396,515;1,76
396,773;1,76
397,031;1,75
397,289;1,74
397,547;1,74
397,805;1,74
398,062;1,77
398,32;1,78
398,578;1,78
398,836;1,79
399,094;1,8
399,351;1,79
399,609;1,78
399,867;1,78
400,124;1,8
400,382;1,79
400,64;1,81
400,897;1,81
401,155;1,79
401,413;1,8
401,67;1,8
401,928;1,81
402,185;1,82
402,443;1,84
402,701;1,85
402,958;1,86
403,216;1,86
403,473;1,85
403,73;1,86
403,988;1,88
404,245;1,89
404,503;1,91
404,76;1,92
405,018;1,94
405,275;1,95
405,532;1,94
405,79;1,95
406,047;1,94
406,304;1,94
406,561;1,94
406,819;1,94
407,076;1,96
407,333;1,96
407,59;1,95
407,848;1,94
408,105;1,94
408,362;1,95
408,619;1,96
408,876;1,97
409,133;1,94
409,39;1,93
409,647;1,91
409,904;1,91
410,161;1,92
410,418;1,93
410,675;1,92
410,932;1,92
411,189;1,91
411,446;1,92
411,703;1,93
411,96;1,94
412,217;1,95
412,474;1,96
412,731;1,97
412,988;1,95
413,245;1,96
413,501;1,95
413,758;1,96
414,015;1,96
414,272;1,94
414,529;1,97
414,785;1,97
415,042;1,97
415,299;1,95
415,555;1,93
415,812;1,93
416,069;1,93
416,325;1,93
416,582;1,94
416,838;1,94
417,095;1,91
417,352;1,9
417,608;1,87
417,865;1,87
418,121;1,87
418,378;1,88
418,634;1,89
418,891;1,91
419,147;1,91
419,403;1,9
419,66;1,91
419,916;1,9
420,173;1,89
420,429;1,89
420,685;1,91
420,942;1,91
421,198;1,92
421,454;1,94
421,711;1,95
421,967;1,95
422,223;1,93
422,479;1,95
422,735;1,95
422,992;1,94
423,248;1,93
423,504;1,92
423,76;1,93
424,016;1,92
424,272;1,93
424,528;1,94
424,784;1,97
425,041;1,96
425,297;1,95
425,553;1,96
425,809;1,97
426,065;1,97
426,32;1,96
426,576;1,95
426,832;1,94
427,088;1,92
427,344;1,91
427,6;1,91
427,856;1,91
428,112;1,93
428,368;1,93
428,623;1,93
428,879;1,93
429,135;1,92
429,391;1,91
429,646;1,92
429,902;1,9
430,158;1,89
430,414;1,88
430,669;1,89
430,925;1,89
431,181;1,88
431,436;1,87
431,692;1,87
431,947;1,88
432,203;1,87
432,458;1,88
432,714;1,87
432,97;1,87
433,225;1,86
433,481;1,83
433,736;1,85
433,991;1,85
434,247;1,85
434,502;1,84
434,758;1,85
435,013;1,84
435,268;1,86
435,524;1,87
435,779;1,86
436,034;1,85
436,29;1,86
436,545;1,85
436,8;1,85
437,056;1,84
437,311;1,83
437,566;1,84
437,821;1,84
438,076;1,83
438,331;1,83
438,587;1,82
438,842;1,82
439,097;1,79
439,352;1,79
439,607;1,77
439,862;1,78
440,117;1,78
440,372;1,76
440,627;1,75
440,882;1,73
441,137;1,73
441,392;1,72
441,647;1,73
441,902;1,74
442,157;1,74
442,412;1,75
442,667;1,75
442,921;1,75
443,176;1,75
443,431;1,76
443,686;1,75
443,941;1,75
444,195;1,75
444,45;1,75
444,705;1,76
444,96;1,77
445,214;1,75
445,469;1,75
445,724;1,74
445,978;1,75
446,233;1,74
446,487;1,74
446,742;1,74
446,997;1,73
447,251;1,71
447,506;1,72
447,76;1,72
448,015;1,71
448,269;1,71
448,524;1,69
448,778;1,69
449,033;1,69
449,287;1,69
449,541;1,68
449,796;1,69
450,05;1,68
450,305;1,68
450,559;1,69
450,813;1,68
451,067;1,68
451,322;1,67
451,576;1,67
451,83;1,66
452,084;1,65
452,339;1,63
452,593;1,62
452,847;1,6
453,101;1,61
453,355;1,59
453,609;1,59
453,864;1,59
454,118;1,59
454,372;1,6
454,626;1,61
454,88;1,61
455,134;1,62
455,388;1,62
455,642;1,62
455,896;1,6
456,15;1,6
456,404;1,61
456,658;1,62
456,912;1,64
457,165;1,66
457,419;1,66
457,673;1,69
457,927;1,7
458,181;1,7
