Data from IndigoWhite_Reflection__2__54.txt Node;
"Date: Fri Sep 12 11:52:37 CEST 2025 User: sycur Spectrometer: SR400348 Trigger mode: 0 Integration Time (sec): 2,000000E-2 Scans to average: 20 Electric dark correction enabled: true Nonlinearity correction enabled: false Boxcar width: 10 XAxis mode: Wavelengths Number of Pixels in Spectrum: 3648 >>>>>Begin Spectral Data<<<<<";
286,72;10,57
286,985;10,58
287,249;10,57
287,514;10,56
287,779;10,56
288,044;10,53
288,309;10,52
288,573;10,52
288,838;10,51
289,103;10,5
289,367;10,5
289,632;10,49
289,897;10,49
290,161;10,49
290,426;10,47
290,691;10,47
290,955;10,47
291,22;10,45
291,484;10,44
291,749;10,43
292,014;10,42
292,278;10,42
292,543;10,41
292,807;10,4
293,072;10,4
293,336;10,39
293,6;10,38
293,865;10,38
294,129;10,37
294,394;10,37
294,658;10,37
294,922;10,36
295,187;10,35
295,451;10,33
295,715;10,33
295,98;10,33
296,244;10,32
296,508;10,31
296,773;10,3
297,037;10,3
297,301;10,29
297,565;10,28
297,829;10,26
298,094;10,25
298,358;10,24
298,622;10,22
298,886;10,21
299,15;10,21
299,414;10,19
299,678;10,19
299,942;10,17
300,206;10,15
300,47;10,15
300,734;10,13
300,998;10,13
301,262;10,11
301,526;10,1
301,79;10,09
302,054;10,08
302,318;10,06
302,582;10,05
302,846;10,02
303,11;10,02
303,374;10,01
303,637;10
303,901;10
304,165;9,98
304,429;9,97
304,693;9,95
304,956;9,95
305,22;9,92
305,484;9,91
305,747;9,91
306,011;9,89
306,275;9,89
306,538;9,87
306,802;9,86
307,066;9,85
307,329;9,83
307,593;9,83
307,856;9,82
308,12;9,81
308,384;9,81
308,647;9,79
308,911;9,78
309,174;9,78
309,438;9,76
309,701;9,75
309,964;9,74
310,228;9,72
310,491;9,7
310,755;9,7
311,018;9,7
311,281;9,69
311,545;9,67
311,808;9,66
312,071;9,64
312,335;9,63
312,598;9,61
312,861;9,6
313,124;9,56
313,388;9,56
313,651;9,56
313,914;9,54
314,177;9,52
314,44;9,51
314,704;9,49
314,967;9,48
315,23;9,47
315,493;9,45
315,756;9,43
316,019;9,42
316,282;9,42
316,545;9,4
316,808;9,39
317,071;9,39
317,334;9,37
317,597;9,36
317,86;9,35
318,123;9,33
318,386;9,32
318,649;9,32
318,912;9,3
319,175;9,27
319,437;9,26
319,7;9,26
319,963;9,23
320,226;9,21
320,489;9,2
320,751;9,18
321,014;9,16
321,277;9,16
321,54;9,14
321,802;9,13
322,065;9,11
322,328;9,09
322,59;9,05
322,853;9,05
323,116;9,03
323,378;9,03
323,641;9,02
323,903;9,01
324,166;9
324,428;8,98
324,691;8,97
324,953;8,95
325,216;8,93
325,478;8,92
325,741;8,92
326,003;8,91
326,266;8,9
326,528;8,9
326,791;8,89
327,053;8,87
327,315;8,86
327,578;8,84
327,84;8,83
328,102;8,83
328,365;8,82
328,627;8,8
328,889;8,78
329,151;8,76
329,414;8,73
329,676;8,73
329,938;8,7
330,2;8,7
330,462;8,68
330,725;8,67
330,987;8,64
331,249;8,61
331,511;8,6
331,773;8,58
332,035;8,55
332,297;8,53
332,559;8,52
332,821;8,5
333,083;8,49
333,345;8,47
333,607;8,45
333,869;8,43
334,131;8,41
334,393;8,41
334,655;8,39
334,917;8,39
335,179;8,38
335,44;8,38
335,702;8,36
335,964;8,36
336,226;8,35
336,488;8,36
336,749;8,37
337,011;8,37
337,273;8,37
337,535;8,36
337,796;8,34
338,058;8,35
338,32;8,35
338,581;8,34
338,843;8,33
339,105;8,34
339,366;8,36
339,628;8,36
339,889;8,35
340,151;8,35
340,412;8,33
340,674;8,32
340,935;8,32
341,197;8,33
341,458;8,32
341,72;8,32
341,981;8,3
342,243;8,29
342,504;8,27
342,766;8,26
343,027;8,25
343,288;8,25
343,55;8,23
343,811;8,21
344,072;8,19
344,334;8,17
344,595;8,15
344,856;8,12
345,117;8,1
345,379;8,09
345,64;8,07
345,901;8,06
346,162;8,03
346,423;8,01
346,684;7,97
346,946;7,95
347,207;7,94
347,468;7,94
347,729;7,92
347,99;7,92
348,251;7,9
348,512;7,88
348,773;7,86
349,034;7,84
349,295;7,83
349,556;7,82
349,817;7,81
350,078;7,8
350,339;7,8
350,6;7,79
350,86;7,79
351,121;7,78
351,382;7,77
351,643;7,77
351,904;7,78
352,165;7,8
352,425;7,78
352,686;7,77
352,947;7,75
353,208;7,75
353,468;7,75
353,729;7,75
353,99;7,75
354,25;7,76
354,511;7,75
354,772;7,76
355,032;7,78
355,293;7,77
355,553;7,76
355,814;7,76
356,074;7,75
356,335;7,73
356,596;7,72
356,856;7,72
357,116;7,73
357,377;7,73
357,637;7,72
357,898;7,73
358,158;7,74
358,419;7,75
358,679;7,75
358,939;7,74
359,2;7,75
359,46;7,75
359,72;7,74
359,981;7,75
360,241;7,75
360,501;7,74
360,761;7,74
361,022;7,73
361,282;7,73
361,542;7,74
361,802;7,75
362,062;7,74
362,323;7,74
362,583;7,74
362,843;7,71
363,103;7,72
363,363;7,71
363,623;7,71
363,883;7,7
364,143;7,69
364,403;7,7
364,663;7,7
364,923;7,69
365,183;7,68
365,443;7,68
365,703;7,68
365,963;7,69
366,223;7,68
366,483;7,7
366,743;7,71
367,002;7,69
367,262;7,7
367,522;7,7
367,782;7,7
368,042;7,69
368,301;7,7
368,561;7,69
368,821;7,71
369,081;7,7
369,34;7,7
369,6;7,7
369,86;7,69
370,119;7,69
370,379;7,68
370,638;7,69
370,898;7,67
371,158;7,68
371,417;7,67
371,677;7,68
371,936;7,69
372,196;7,7
372,455;7,71
372,715;7,7
372,974;7,72
373,234;7,74
373,493;7,78
373,753;7,78
374,012;7,8
374,271;7,78
374,531;7,8
374,79;7,82
375,049;7,83
375,309;7,83
375,568;7,83
375,827;7,86
376,086;7,88
376,346;7,9
376,605;7,92
376,864;7,94
377,123;7,96
377,383;7,95
377,642;7,95
377,901;7,95
378,16;7,95
378,419;7,92
378,678;7,92
378,937;7,89
379,196;7,89
379,455;7,88
379,714;7,9
379,973;7,89
380,232;7,9
380,491;7,91
380,75;7,92
381,009;7,93
381,268;7,92
381,527;7,93
381,786;7,95
382,045;7,93
382,304;7,94
382,563;7,95
382,821;7,95
383,08;7,98
383,339;7,99
383,598;7,99
383,857;8,03
384,115;8,05
384,374;8,08
384,633;8,1
384,891;8,12
385,15;8,11
385,409;8,13
385,667;8,14
385,926;8,14
386,185;8,16
386,443;8,16
386,702;8,17
386,96;8,18
387,219;8,17
387,477;8,19
387,736;8,2
387,994;8,22
388,253;8,24
388,511;8,24
388,77;8,25
389,028;8,26
389,287;8,27
389,545;8,28
389,803;8,27
390,062;8,29
390,32;8,28
390,578;8,29
390,837;8,31
391,095;8,32
391,353;8,34
391,612;8,35
391,87;8,35
392,128;8,36
392,386;8,37
392,644;8,39
392,903;8,39
393,161;8,39
393,419;8,38
393,677;8,38
393,935;8,37
394,193;8,39
394,451;8,4
394,709;8,4
394,967;8,42
395,225;8,44
395,483;8,42
395,741;8,45
395,999;8,46
396,257;8,46
396,515;8,45
396,773;8,46
397,031;8,46
397,289;8,48
397,547;8,47
397,805;8,47
398,062;8,48
398,32;8,48
398,578;8,49
398,836;8,51
399,094;8,51
399,351;8,52
399,609;8,52
399,867;8,53
400,124;8,54
400,382;8,56
400,64;8,58
400,897;8,6
401,155;8,6
401,413;8,63
401,67;8,65
401,928;8,68
402,185;8,69
402,443;8,72
402,701;8,73
402,958;8,78
403,216;8,79
403,473;8,81
403,73;8,82
403,988;8,87
404,245;8,88
404,503;8,92
404,76;8,95
405,018;8,96
405,275;8,98
405,532;9
405,79;9,01
406,047;9,01
406,304;9,02
406,561;9,04
406,819;9,05
407,076;9,06
407,333;9,06
407,59;9,05
407,848;9,06
408,105;9,08
408,362;9,08
408,619;9,1
408,876;9,1
409,133;9,11
409,39;9,1
409,647;9,1
409,904;9,09
410,161;9,09
410,418;9,1
410,675;9,13
410,932;9,13
411,189;9,12
411,446;9,15
411,703;9,17
411,96;9,19
412,217;9,2
412,474;9,21
412,731;9,23
412,988;9,24
413,245;9,25
413,501;9,24
413,758;9,24
414,015;9,24
414,272;9,26
414,529;9,26
414,785;9,28
415,042;9,31
415,299;9,31
415,555;9,31
415,812;9,33
416,069;9,31
416,325;9,33
416,582;9,34
416,838;9,36
417,095;9,33
