Data from IndigoWhite_Reflection__3__55.txt Node;
"Date: Fri Sep 12 11:53:23 CEST 2025 User: sycur Spectrometer: SR400348 Trigger mode: 0 Integration Time (sec): 2,000000E-2 Scans to average: 20 Electric dark correction enabled: true Nonlinearity correction enabled: false Boxcar width: 10 XAxis mode: Wavelengths Number of Pixels in Spectrum: 3648 >>>>>Begin Spectral Data<<<<<";
286,72;1,93
286,985;1,94
287,249;1,95
287,514;1,94
287,779;1,94
288,044;1,94
288,309;1,94
288,573;1,95
288,838;1,95
289,103;1,96
289,367;1,97
289,632;1,96
289,897;1,96
290,161;1,96
290,426;1,96
290,691;1,96
290,955;1,96
291,22;1,95
291,484;1,95
291,749;1,95
292,014;1,95
292,278;1,95
292,543;1,95
292,807;1,94
293,072;1,95
293,336;1,94
293,6;1,94
293,865;1,94
294,129;1,93
294,394;1,93
294,658;1,94
294,922;1,93
295,187;1,94
295,451;1,93
295,715;1,93
295,98;1,93
296,244;1,94
296,508;1,93
296,773;1,94
297,037;1,93
297,301;1,93
297,565;1,93
297,829;1,93
298,094;1,93
298,358;1,93
298,622;1,93
298,886;1,93
299,15;1,94
299,414;1,95
299,678;1,95
299,942;1,94
300,206;1,94
300,47;1,94
300,734;1,94
300,998;1,94
301,262;1,94
301,526;1,95
301,79;1,94
302,054;1,93
302,318;1,93
302,582;1,94
302,846;1,94
303,11;1,94
303,374;1,94
303,637;1,93
303,901;1,93
304,165;1,92
304,429;1,92
304,693;1,92
304,956;1,93
305,22;1,92
305,484;1,92
305,747;1,91
306,011;1,9
306,275;1,89
306,538;1,9
306,802;1,89
307,066;1,89
307,329;1,88
307,593;1,89
307,856;1,89
308,12;1,88
308,384;1,87
308,647;1,86
308,911;1,85
309,174;1,85
309,438;1,84
309,701;1,84
309,964;1,84
310,228;1,83
310,491;1,83
310,755;1,83
311,018;1,83
311,281;1,84
311,545;1,83
311,808;1,84
312,071;1,83
312,335;1,82
312,598;1,82
312,861;1,82
313,124;1,81
313,388;1,81
313,651;1,82
313,914;1,81
314,177;1,82
314,44;1,82
314,704;1,82
314,967;1,81
315,23;1,81
315,493;1,81
315,756;1,8
316,019;1,8
316,282;1,8
316,545;1,79
316,808;1,8
317,071;1,8
317,334;1,79
317,597;1,79
317,86;1,78
318,123;1,78
318,386;1,78
318,649;1,78
318,912;1,79
319,175;1,78
319,437;1,78
319,7;1,79
319,963;1,79
320,226;1,78
320,489;1,78
320,751;1,77
321,014;1,76
321,277;1,75
321,54;1,75
321,802;1,75
322,065;1,75
322,328;1,74
322,59;1,73
322,853;1,73
323,116;1,72
323,378;1,73
323,641;1,73
323,903;1,73
324,166;1,72
324,428;1,72
324,691;1,71
324,953;1,71
325,216;1,7
325,478;1,7
325,741;1,7
326,003;1,7
326,266;1,71
326,528;1,72
326,791;1,73
327,053;1,71
327,315;1,7
327,578;1,7
327,84;1,7
328,102;1,71
328,365;1,71
328,627;1,71
328,889;1,7
329,151;1,7
329,414;1,69
329,676;1,7
329,938;1,7
330,2;1,69
330,462;1,68
330,725;1,68
330,987;1,67
331,249;1,67
331,511;1,68
331,773;1,68
332,035;1,68
332,297;1,67
332,559;1,68
332,821;1,69
333,083;1,69
333,345;1,69
333,607;1,7
333,869;1,69
334,131;1,69
334,393;1,71
334,655;1,69
334,917;1,7
335,179;1,7
335,44;1,7
335,702;1,7
335,964;1,7
336,226;1,69
336,488;1,7
336,749;1,7
337,011;1,7
337,273;1,69
337,535;1,68
337,796;1,66
338,058;1,67
338,32;1,67
338,581;1,66
338,843;1,66
339,105;1,66
339,366;1,66
339,628;1,67
339,889;1,66
340,151;1,66
340,412;1,66
340,674;1,66
340,935;1,66
341,197;1,67
341,458;1,66
341,72;1,67
341,981;1,66
342,243;1,67
342,504;1,66
342,766;1,67
343,027;1,67
343,288;1,7
343,55;1,69
343,811;1,68
344,072;1,68
344,334;1,68
344,595;1,67
344,856;1,67
345,117;1,66
345,379;1,67
345,64;1,67
345,901;1,66
346,162;1,66
346,423;1,66
346,684;1,64
346,946;1,64
347,207;1,65
347,468;1,65
347,729;1,64
347,99;1,64
348,251;1,63
348,512;1,64
348,773;1,64
349,034;1,64
349,295;1,64
349,556;1,63
349,817;1,64
350,078;1,64
350,339;1,65
350,6;1,66
350,86;1,65
351,121;1,66
351,382;1,65
351,643;1,64
351,904;1,65
352,165;1,67
352,425;1,66
352,686;1,66
352,947;1,66
353,208;1,67
353,468;1,68
353,729;1,68
353,99;1,68
354,25;1,69
354,511;1,67
354,772;1,67
355,032;1,68
355,293;1,66
355,553;1,66
355,814;1,64
356,074;1,63
356,335;1,62
356,596;1,6
356,856;1,62
357,116;1,63
357,377;1,63
357,637;1,63
357,898;1,65
358,158;1,64
358,419;1,63
358,679;1,61
358,939;1,61
359,2;1,63
359,46;1,62
359,72;1,6
359,981;1,61
360,241;1,61
360,501;1,61
360,761;1,62
361,022;1,61
361,282;1,63
361,542;1,63
361,802;1,64
362,062;1,65
362,323;1,64
362,583;1,63
362,843;1,62
363,103;1,61
363,363;1,6
363,623;1,6
363,883;1,6
364,143;1,61
364,403;1,6
364,663;1,59
364,923;1,6
365,183;1,61
365,443;1,61
365,703;1,61
365,963;1,61
366,223;1,61
366,483;1,62
366,743;1,62
367,002;1,63
367,262;1,64
367,522;1,65
367,782;1,65
368,042;1,65
368,301;1,65
368,561;1,65
368,821;1,65
369,081;1,63
369,34;1,63
369,6;1,63
369,86;1,63
370,119;1,62
370,379;1,63
370,638;1,63
370,898;1,62
371,158;1,62
371,417;1,63
371,677;1,64
371,936;1,64
372,196;1,64
372,455;1,64
372,715;1,63
372,974;1,63
373,234;1,64
373,493;1,66
373,753;1,66
374,012;1,66
374,271;1,66
374,531;1,68
