Data from IndigoWhite_Reflection__0__52.txt Node;
"Date: Fri Sep 12 11:51:11 CEST 2025 User: sycur Spectrometer: SR400348 Trigger mode: 0 Integration Time (sec): 2,000000E-2 Scans to average: 20 Electric dark correction enabled: true Nonlinearity correction enabled: false Boxcar width: 10 XAxis mode: Wavelengths Number of Pixels in Spectrum: 3648 >>>>>Begin Spectral Data<<<<<";
286,72;3,26
286,985;3,26
287,249;3,27
287,514;3,26
287,779;3,27
288,044;3,26
288,309;3,26
288,573;3,25
288,838;3,26
289,103;3,26
289,367;3,26
289,632;3,25
289,897;3,25
290,161;3,24
290,426;3,23
290,691;3,23
290,955;3,22
291,22;3,22
291,484;3,22
291,749;3,22
292,014;3,21
292,278;3,21
292,543;3,2
292,807;3,19
293,072;3,19
293,336;3,18
293,6;3,19
293,865;3,18
294,129;3,18
294,394;3,18
294,658;3,19
294,922;3,19
295,187;3,19
295,451;3,19
295,715;3,19
295,98;3,19
296,244;3,19
296,508;3,18
296,773;3,18
297,037;3,17
297,301;3,16
297,565;3,16
297,829;3,16
298,094;3,17
298,358;3,16
298,622;3,16
298,886;3,16
299,15;3,15
299,414;3,15
299,678;3,16
299,942;3,15
300,206;3,13
300,47;3,12
300,734;3,12
300,998;3,12
301,262;3,12
301,526;3,11
301,79;3,1
302,054;3,11
302,318;3,1
302,582;3,11
302,846;3,11
303,11;3,1
303,374;3,1
303,637;3,09
303,901;3,09
304,165;3,08
304,429;3,08
304,693;3,08
304,956;3,07
305,22;3,06
305,484;3,05
305,747;3,05
306,011;3,04
306,275;3,04
306,538;3,03
306,802;3,03
307,066;3,03
307,329;3,03
307,593;3,03
307,856;3,03
308,12;3,03
308,384;3,03
308,647;3,02
308,911;3,02
309,174;3,01
309,438;3,01
309,701;3,01
309,964;3,01
310,228;3,02
310,491;3,01
310,755;3,02
311,018;3,02
311,281;3,02
311,545;3,02
311,808;3,01
312,071;3
312,335;2,99
312,598;2,99
312,861;2,98
313,124;2,97
313,388;2,97
313,651;2,97
313,914;2,95
314,177;2,95
314,44;2,95
314,704;2,95
314,967;2,95
315,23;2,94
315,493;2,93
315,756;2,91
