Data from GiallorinoWhite_Reflection__3__33.txt Node;
"Date: Thu Sep 11 16:45:07 CEST 2025 User: sycur";
290,955;4,28
291,22;4,28
291,484;4,29
291,749;4,28
292,014;4,28
292,278;4,28
292,543;4,27
292,807;4,26
293,072;4,25
293,336;4,26
293,6;4,25
293,865;4,25
294,129;4,25
294,394;4,24
294,658;4,24
294,922;4,25
295,187;4,24
295,451;4,23
295,715;4,22
295,98;4,23
296,244;4,22
296,508;4,2
296,773;4,19
297,037;4,18
297,301;4,18
297,565;4,16
297,829;4,14
298,094;4,15
298,358;4,14
298,622;4,13
298,886;4,11
299,15;4,11
299,414;4,1
299,678;4,1
299,942;4,08
300,206;4,07
300,47;4,06
300,734;4,05
300,998;4,05
301,262;4,04
301,526;4,03
301,79;4,03
302,054;4,03
302,318;4,02
302,582;4,02
302,846;4,02
303,11;4,02
303,374;4,02
303,637;4,01
303,901;4
304,165;4,01
304,429;4,01
304,693;3,99
304,956;3,98
305,22;3,97
305,484;3,97
305,747;3,95
306,011;3,94
306,275;3,93
306,538;3,93
306,802;3,93
307,066;3,93
307,329;3,91
307,593;3,9
307,856;3,89
308,12;3,88
308,384;3,87
308,647;3,87
308,911;3,88
309,174;3,86
309,438;3,86
309,701;3,86
309,964;3,86
310,228;3,85
310,491;3,86
310,755;3,86
311,018;3,86
311,281;3,86
311,545;3,86
311,808;3,85
312,071;3,84
312,335;3,84
312,598;3,83
312,861;3,83
313,124;3,82
313,388;3,82
313,651;3,82
313,914;3,8
314,177;3,79
314,44;3,77
314,704;3,78
314,967;3,76
315,23;3,75
315,493;3,74
315,756;3,73
316,019;3,73
316,282;3,72
316,545;3,73
316,808;3,72
317,071;3,72
317,334;3,73
317,597;3,73
317,86;3,74
318,123;3,73
318,386;3,74
318,649;3,74
318,912;3,74
319,175;3,74
319,437;3,75
319,7;3,75
319,963;3,74
320,226;3,74
320,489;3,74
320,751;3,74
321,014;3,74
321,277;3,73
321,54;3,72
321,802;3,72
322,065;3,71
322,328;3,71
322,59;3,71
322,853;3,7
323,116;3,69
323,378;3,69
323,641;3,68
323,903;3,67
324,166;3,67
324,428;3,66
324,691;3,65
324,953;3,65
325,216;3,65
325,478;3,65
325,741;3,64
326,003;3,64
326,266;3,64
326,528;3,63
326,791;3,64
327,053;3,64
327,315;3,63
327,578;3,62
327,84;3,61
328,102;3,6
328,365;3,6
328,627;3,6
328,889;3,6
329,151;3,6
329,414;3,61
329,676;3,59
329,938;3,59
330,2;3,58
330,462;3,59
330,725;3,58
330,987;3,59
331,249;3,58
331,511;3,59
331,773;3,57
332,035;3,59
332,297;3,59
332,559;3,59
332,821;3,6
333,083;3,6
333,345;3,61
333,607;3,61
333,869;3,61
334,131;3,61
334,393;3,62
334,655;3,62
334,917;3,61
335,179;3,62
335,44;3,61
335,702;3,63
335,964;3,63
336,226;3,62
336,488;3,62
336,749;3,62
337,011;3,64
337,273;3,64
337,535;3,64
337,796;3,63
338,058;3,65
338,32;3,65
338,581;3,65
338,843;3,64
339,105;3,64
339,366;3,64
339,628;3,65
339,889;3,65
340,151;3,64
340,412;3,65
340,674;3,65
340,935;3,66
341,197;3,65
341,458;3,65
341,72;3,66
341,981;3,66
342,243;3,66
342,504;3,64
342,766;3,66
343,027;3,65
343,288;3,66
343,55;3,64
343,811;3,62
344,072;3,62
344,334;3,61
344,595;3,61
344,856;3,61
345,117;3,6
