Data from GiallorinoWhite_Reflection__0__30.txt Node;
"Date: Thu Sep 11 16:41:58 CEST 2025 User: sycur";
290,955;6,02
291,22;6,02
291,484;6,01
291,749;6
292,014;6
292,278;6
292,543;5,99
292,807;5,99
293,072;5,99
293,336;5,97
293,6;5,96
293,865;5,95
294,129;5,94
294,394;5,94
294,658;5,93
294,922;5,92
295,187;5,91
295,451;5,9
295,715;5,88
295,98;5,87
296,244;5,86
296,508;5,85
296,773;5,84
297,037;5,83
297,301;5,83
297,565;5,82
297,829;5,81
298,094;5,81
298,358;5,79
298,622;5,77
298,886;5,75
299,15;5,75
299,414;5,75
299,678;5,75
299,942;5,73
300,206;5,72
300,47;5,71
300,734;5,7
300,998;5,69
301,262;5,68
301,526;5,67
301,79;5,67
302,054;5,67
302,318;5,66
302,582;5,65
302,846;5,64
303,11;5,63
303,374;5,62
303,637;5,61
303,901;5,61
304,165;5,61
304,429;5,6
304,693;5,58
304,956;5,56
305,22;5,54
305,484;5,53
305,747;5,52
306,011;5,51
306,275;5,49
306,538;5,48
306,802;5,47
307,066;5,46
307,329;5,45
307,593;5,44
307,856;5,42
308,12;5,41
308,384;5,39
308,647;5,37
308,911;5,37
309,174;5,37
309,438;5,36
309,701;5,36
309,964;5,35
310,228;5,35
310,491;5,34
310,755;5,34
311,018;5,34
311,281;5,32
311,545;5,32
311,808;5,31
312,071;5,3
312,335;5,29
312,598;5,29
312,861;5,28
313,124;5,26
313,388;5,27
313,651;5,27
313,914;5,26
314,177;5,26
314,44;5,24
314,704;5,23
314,967;5,22
315,23;5,2
315,493;5,19
315,756;5,18
316,019;5,18
316,282;5,17
316,545;5,17
316,808;5,18
317,071;5,17
317,334;5,18
317,597;5,18
317,86;5,18
318,123;5,17
318,386;5,17
318,649;5,15
318,912;5,13
319,175;5,12
319,437;5,12
319,7;5,11
319,963;5,11
320,226;5,1
320,489;5,09
320,751;5,09
321,014;5,08
321,277;5,07
321,54;5,05
321,802;5,04
322,065;5,02
322,328;5,01
322,59;5
322,853;4,98
323,116;4,97
323,378;4,96
323,641;4,95
323,903;4,94
324,166;4,93
324,428;4,93
324,691;4,92
324,953;4,92
325,216;4,91
325,478;4,9
325,741;4,88
326,003;4,88
