Data from GiallorinoWhite_Reflection__1__31.txt Node;
"Date: Thu Sep 11 16:43:25 CEST 2025 User: sycur";
290,955;3,1
291,22;3,1
291,484;3,11
291,749;3,09
292,014;3,09
292,278;3,1
292,543;3,09
292,807;3,1
293,072;3,09
293,336;3,08
293,6;3,08
293,865;3,07
294,129;3,05
294,394;3,06
294,658;3,06
294,922;3,06
295,187;3,04
295,451;3,04
295,715;3,04
295,98;3,04
296,244;3,04
296,508;3,03
296,773;3,03
297,037;3,01
297,301;3,02
297,565;3,02
297,829;3,01
298,094;3,02
298,358;3,01
298,622;3
298,886;2,99
299,15;2,99
299,414;2,99
299,678;2,99
299,942;2,98
300,206;2,97
300,47;2,96
300,734;2,96
300,998;2,95
301,262;2,95
301,526;2,94
301,79;2,95
302,054;2,95
302,318;2,95
302,582;2,95
302,846;2,95
303,11;2,94
303,374;2,95
303,637;2,93
303,901;2,93
304,165;2,94
304,429;2,93
304,693;2,93
304,956;2,91
305,22;2,91
305,484;2,91
305,747;2,92
306,011;2,91
306,275;2,91
306,538;2,91
306,802;2,89
307,066;2,9
307,329;2,89
307,593;2,89
307,856;2,88
308,12;2,86
308,384;2,85
308,647;2,84
308,911;2,84
309,174;2,84
309,438;2,83
309,701;2,83
309,964;2,83
310,228;2,83
310,491;2,84
310,755;2,83
311,018;2,83
311,281;2,83
311,545;2,83
311,808;2,83
312,071;2,82
312,335;2,83
312,598;2,83
312,861;2,82
313,124;2,82
313,388;2,81
313,651;2,82
313,914;2,82
314,177;2,84
314,44;2,82
314,704;2,82
314,967;2,81
315,23;2,8
315,493;2,8
315,756;2,8
316,019;2,8
316,282;2,8
316,545;2,81
316,808;2,8
317,071;2,8
317,334;2,8
317,597;2,8
317,86;2,81
318,123;2,81
318,386;2,81
318,649;2,81
318,912;2,81
319,175;2,81
319,437;2,8
319,7;2,8
319,963;2,81
320,226;2,81
320,489;2,81
320,751;2,81
321,014;2,8
321,277;2,8
321,54;2,78
321,802;2,77
322,065;2,76
322,328;2,76
322,59;2,77
322,853;2,76
323,116;2,76
323,378;2,74
323,641;2,73
323,903;2,72
324,166;2,71
324,428;2,7
324,691;2,7
324,953;2,71
325,216;2,7
325,478;2,69
325,741;2,68
326,003;2,69
326,266;2,68
326,528;2,67
326,791;2,68
327,053;2,68
327,315;2,68
327,578;2,68
327,84;2,66
328,102;2,65
328,365;2,65
328,627;2,64
328,889;2,64
329,151;2,65
329,414;2,65
329,676;2,65
329,938;2,65
330,2;2,65
330,462;2,64
330,725;2,65
330,987;2,65
331,249;2,65
331,511;2,65
331,773;2,65
332,035;2,65
332,297;2,65
332,559;2,67
332,821;2,68
333,083;2,68
333,345;2,69
333,607;2,69
333,869;2,7
334,131;2,7
334,393;2,7
334,655;2,69
334,917;2,69
335,179;2,69
335,44;2,69
335,702;2,7
335,964;2,71
336,226;2,7
336,488;2,7
336,749;2,71
337,011;2,71
337,273;2,72
337,535;2,72
337,796;2,72
338,058;2,7
338,32;2,71
338,581;2,7
338,843;2,69
339,105;2,69
339,366;2,7
339,628;2,7
339,889;2,7
340,151;2,7
340,412;2,7
340,674;2,72
340,935;2,73
341,197;2,73
341,458;2,73
341,72;2,74
341,981;2,73
342,243;2,73
342,504;2,72
342,766;2,73
343,027;2,73
343,288;2,73
343,55;2,73
343,811;2,72
344,072;2,73
344,334;2,73
344,595;2,74
344,856;2,73
345,117;2,73
345,379;2,74
345,64;2,74
345,901;2,73
346,162;2,72
346,423;2,71
346,684;2,7
346,946;2,7
347,207;2,69
347,468;2,7
347,729;2,68
347,99;2,69
348,251;2,67
348,512;2,67
348,773;2,66
349,034;2,66
349,295;2,67
349,556;2,66
349,817;2,66
350,078;2,64
350,339;2,65
350,6;2,66
350,86;2,64
351,121;2,65
351,382;2,65
351,643;2,64
351,904;2,63
352,165;2,65
352,425;2,64
352,686;2,66
352,947;2,66
353,208;2,65
353,468;2,65
353,729;2,65
353,99;2,65
354,25;2,64
354,511;2,65
354,772;2,64
355,032;2,64
355,293;2,67
355,553;2,66
355,814;2,64
356,074;2,63
356,335;2,65
356,596;2,66
356,856;2,67
357,116;2,67
357,377;2,69
357,637;2,69
357,898;2,69
358,158;2,66
358,419;2,68
358,679;2,7
358,939;2,71
359,2;2,7
359,46;2,71
359,72;2,72
359,981;2,72
360,241;2,74
360,501;2,75
360,761;2,74
361,022;2,74
361,282;2,77
361,542;2,78
361,802;2,78
362,062;2,78
362,323;2,77
362,583;2,79
362,843;2,79
363,103;2,78
363,363;2,78
363,623;2,81
363,883;2,8
364,143;2,8
364,403;2,8
364,663;2,82
364,923;2,83
365,183;2,85
365,443;2,85
365,703;2,86
365,963;2,87
366,223;2,88
366,483;2,9
366,743;2,89
367,002;2,91
367,262;2,92
367,522;2,92
367,782;2,94
368,042;2,94
368,301;2,96
368,561;2,98
368,821;2,99
369,081;2,99
369,34;2,99
369,6;3
369,86;3,01
370,119;3,01
370,379;3
370,638;3,01
370,898;3,01
371,158;3,02
371,417;3,02
371,677;3,05
371,936;3,06
372,196;3,07
372,455;3,07
372,715;3,07
372,974;3,08
373,234;3,08
373,493;3,08
373,753;3,1
374,012;3,1
374,271;3,11
374,531;3,13
374,79;3,14
375,049;3,17
375,309;3,18
375,568;3,21
375,827;3,23
376,086;3,24
376,346;3,26
376,605;3,26
376,864;3,28
377,123;3,29
377,383;3,28
377,642;3,3
377,901;3,3
378,16;3,31
378,419;3,31
378,678;3,33
378,937;3,35
379,196;3,35
379,455;3,36
379,714;3,37
379,973;3,37
380,232;3,38
380,491;3,38
380,75;3,39
381,009;3,38
381,268;3,4
381,527;3,41
381,786;3,43
382,045;3,44
382,304;3,44
382,563;3,43
382,821;3,46
383,08;3,48
383,339;3,49
383,598;3,5
383,857;3,52
384,115;3,53
384,374;3,53
384,633;3,54
384,891;3,54
385,15;3,56
385,409;3,59
385,667;3,6
385,926;3,62
386,185;3,63
386,443;3,64
386,702;3,65
386,96;3,65
387,219;3,65
387,477;3,66
387,736;3,67
387,994;3,7
388,253;3,7
388,511;3,73
388,77;3,75
389,028;3,76
389,287;3,78
389,545;3,81
389,803;3,82
390,062;3,84
390,32;3,87
390,578;3,89
390,837;3,9
391,095;3,91
391,353;3,91
391,612;3,93
391,87;3,95
392,128;3,97
392,386;3,98
392,644;4,01
392,903;4,03
393,161;4,06
393,419;4,06
393,677;4,08
393,935;4,08
394,193;4,09
394,451;4,13
394,709;4,14
394,967;4,16
395,225;4,19
395,483;4,21
395,741;4,23
395,999;4,26
396,257;4,29
396,515;4,31
396,773;4,33
397,031;4,35
397,289;4,38
397,547;4,4
397,805;4,43
398,062;4,44
398,32;4,46
398,578;4,49
398,836;4,52
399,094;4,55
399,351;4,58
399,609;4,61
399,867;4,62
400,124;4,66
400,382;4,67
400,64;4,7
400,897;4,73
401,155;4,76
401,413;4,78
401,67;4,8
401,928;4,84
402,185;4,87
402,443;4,9
402,701;4,93
402,958;4,96
403,216;4,99
403,473;5,04
403,73;5,07
403,988;5,09
404,245;5,09
404,503;5,11
404,76;5,14
405,018;5,15
405,275;5,18
405,532;5,21
405,79;5,24
406,047;5,26
406,304;5,29
406,561;5,31
406,819;5,33
407,076;5,36
407,333;5,38
407,59;5,42
407,848;5,45
408,105;5,49
408,362;5,52
408,619;5,54
408,876;5,57
409,133;5,6
409,39;5,64
409,647;5,69
409,904;5,74
410,161;5,78
410,418;5,83
410,675;5,87
410,932;5,91
411,189;5,95
411,446;5,99
411,703;6,04
411,96;6,08
412,217;6,13
412,474;6,18
412,731;6,22
412,988;6,25
413,245;6,29
413,501;6,33
413,758;6,37
414,015;6,42
414,272;6,47
414,529;6,49
414,785;6,54
415,042;6,56
415,299;6,6
415,555;6,64
415,812;6,69
416,069;6,73
416,325;6,77
416,582;6,8
416,838;6,86
417,095;6,88
417,352;6,92
417,608;6,97
417,865;7,01
418,121;7,08
418,378;7,14
418,634;7,2
418,891;7,26
419,147;7,31
419,403;7,38
419,66;7,44
419,916;7,51
420,173;7,57
420,429;7,65
420,685;7,7
420,942;7,76
421,198;7,81
421,454;7,87
421,711;7,94
421,967;8,01
422,223;8,05
422,479;8,12
422,735;8,19
422,992;8,26
423,248;8,31
423,504;8,36
423,76;8,42
424,016;8,46
424,272;8,53
424,528;8,59
424,784;8,63
425,041;8,69
425,297;8,74
425,553;8,81
425,809;8,88
426,065;8,96
426,32;9,03
426,576;9,11
426,832;9,17
427,088;9,23
427,344;9,31
427,6;9,37
427,856;9,43
428,112;9,5
428,368;9,55
428,623;9,63
428,879;9,7
429,135;9,75
429,391;9,82
429,646;9,89
429,902;9,95
430,158;10,03
430,414;10,1
430,669;10,17
430,925;10,24
431,181;10,31
431,436;10,38
431,692;10,44
431,947;10,51
432,203;10,57
432,458;10,65
432,714;10,72
432,97;10,81
433,225;10,88
433,481;10,95
433,736;11,01
433,991;11,08
434,247;11,14
434,502;11,24
434,758;11,31
435,013;11,39
435,268;11,48
435,524;11,55
435,779;11,65
436,034;11,73
436,29;11,8
436,545;11,89
436,8;11,97
437,056;12,05
437,311;12,14
437,566;12,23
437,821;12,3
438,076;12,4
438,331;12,49
438,587;12,58
438,842;12,68
439,097;12,78
439,352;12,89
439,607;12,98
439,862;13,07
440,117;13,17
440,372;13,27
440,627;13,36
440,882;13,46
441,137;13,56
441,392;13,66
441,647;13,74
441,902;13,82
442,157;13,92
442,412;14,03
442,667;14,12
442,921;14,21
443,176;14,31
443,431;14,4
443,686;14,5
443,941;14,6
444,195;14,69
444,45;14,81
444,705;14,89
444,96;14,99
445,214;15,08
445,469;15,16
445,724;15,25
445,978;15,34
446,233;15,42
446,487;15,5
446,742;15,58
446,997;15,7
447,251;15,79
447,506;15,89
447,76;15,96
448,015;16,04
