Data from malachiteVSwhite_Reflection__3__51.txt Node;
"Date: Wed Sep 10 12:52:51 CEST 2025 User: sycur Spectrometer: SR400348 Trigger mode: 0 Integration Time (sec): 1,000000E-2 Scans to average: 10 Electric dark correction enabled: true Nonlinearity correction enabled: false Boxcar width: 10 XAxis mode: Wavelengths Number of Pixels in Spectrum: 3648 >>>>>Begin Spectral Data<<<<<";
286,72;2,22
286,985;2,2
287,249;2,22
287,514;2,22
287,779;2,21
288,044;2,22
288,309;2,2
288,573;2,2
288,838;2,24
289,103;2,25
289,367;2,24
289,632;2,24
289,897;2,24
290,161;2,27
290,426;2,3
290,691;2,33
290,955;2,3
291,22;2,27
291,484;2,26
291,749;2,24
292,014;2,21
292,278;2,21
292,543;2,23
292,807;2,22
293,072;2,21
293,336;2,21
293,6;2,21
293,865;2,21
294,129;2,22
294,394;2,19
294,658;2,2
294,922;2,2
295,187;2,19
295,451;2,18
295,715;2,17
295,98;2,16
296,244;2,14
296,508;2,14
296,773;2,17
297,037;2,18
297,301;2,2
297,565;2,21
297,829;2,19
298,094;2,18
298,358;2,16
298,622;2,16
298,886;2,16
299,15;2,17
299,414;2,17
299,678;2,16
299,942;2,15
300,206;2,16
300,47;2,16
300,734;2,15
300,998;2,16
301,262;2,17
301,526;2,15
301,79;2,16
302,054;2,19
302,318;2,17
302,582;2,17
302,846;2,13
303,11;2,14
303,374;2,16
303,637;2,15
303,901;2,17
304,165;2,17
304,429;2,18
304,693;2,16
304,956;2,15
305,22;2,17
305,484;2,19
305,747;2,19
306,011;2,21
306,275;2,19
306,538;2,19
306,802;2,19
307,066;2,21
307,329;2,22
307,593;2,2
307,856;2,19
308,12;2,19
308,384;2,22
308,647;2,24
308,911;2,24
309,174;2,26
309,438;2,22
309,701;2,21
309,964;2,21
310,228;2,2
310,491;2,21
310,755;2,18
311,018;2,18
311,281;2,18
311,545;2,18
311,808;2,18
312,071;2,19
312,335;2,14
312,598;2,14
312,861;2,14
313,124;2,15
313,388;2,19
313,651;2,19
313,914;2,18
314,177;2,15
314,44;2,13
314,704;2,12
314,967;2,14
315,23;2,15
315,493;2,15
315,756;2,17
316,019;2,19
316,282;2,22
316,545;2,2
316,808;2,24
317,071;2,21
317,334;2,25
317,597;2,26
317,86;2,3
318,123;2,32
318,386;2,3
318,649;2,27
318,912;2,27
319,175;2,27
319,437;2,28
319,7;2,31
319,963;2,32
320,226;2,32
320,489;2,33
320,751;2,33
321,014;2,32
321,277;2,3
321,54;2,29
321,802;2,28
322,065;2,28
322,328;2,26
322,59;2,27
322,853;2,27
323,116;2,23
323,378;2,25
323,641;2,2
323,903;2,24
324,166;2,28
324,428;2,27
324,691;2,27
324,953;2,25
325,216;2,26
325,478;2,27
325,741;2,24
326,003;2,26
326,266;2,25
326,528;2,25
326,791;2,26
327,053;2,27
327,315;2,25
327,578;2,29
327,84;2,27
328,102;2,26
328,365;2,27
328,627;2,25
328,889;2,26
329,151;2,28
329,414;2,29
329,676;2,26
329,938;2,25
330,2;2,26
330,462;2,28
330,725;2,25
330,987;2,25
331,249;2,28
331,511;2,28
331,773;2,29
332,035;2,32
332,297;2,34
332,559;2,32
332,821;2,33
333,083;2,28
333,345;2,29
333,607;2,28
333,869;2,27
334,131;2,3
334,393;2,31
334,655;2,27
334,917;2,23
335,179;2,24
335,44;2,26
335,702;2,23
335,964;2,21
336,226;2,23
336,488;2,21
336,749;2,19
337,011;2,18
337,273;2,18
337,535;2,18
337,796;2,14
338,058;2,17
338,32;2,16
338,581;2,18
338,843;2,14
339,105;2,19
339,366;2,19
339,628;2,2
339,889;2,16
340,151;2,2
340,412;2,19
340,674;2,2
340,935;2,19
341,197;2,24
341,458;2,24
341,72;2,22
341,981;2,23
342,243;2,23
342,504;2,25
342,766;2,24
343,027;2,21
343,288;2,24
343,55;2,27
343,811;2,28
344,072;2,2
344,334;2,22
344,595;2,16
344,856;2,17
345,117;2,18
345,379;2,2
345,64;2,23
345,901;2,27
346,162;2,28
346,423;2,3
346,684;2,27
346,946;2,29
347,207;2,3
347,468;2,32
347,729;2,35
347,99;2,34
348,251;2,37
348,512;2,39
348,773;2,36
349,034;2,35
349,295;2,4
349,556;2,48
349,817;2,49
350,078;2,55
350,339;2,53
350,6;2,54
350,86;2,58
351,121;2,55
351,382;2,53
351,643;2,47
351,904;2,46
352,165;2,47
352,425;2,46
352,686;2,47
352,947;2,47
353,208;2,42
353,468;2,41
353,729;2,39
353,99;2,42
354,25;2,45
354,511;2,43
354,772;2,43
355,032;2,44
355,293;2,48
355,553;2,46
355,814;2,49
356,074;2,46
356,335;2,46
356,596;2,52
356,856;2,55
357,116;2,57
357,377;2,63
357,637;2,65
357,898;2,64
358,158;2,65
358,419;2,64
358,679;2,72
358,939;2,76
359,2;2,75
359,46;2,75
359,72;2,73
359,981;2,71
360,241;2,7
360,501;2,69
360,761;2,68
361,022;2,69
361,282;2,7
361,542;2,74
361,802;2,71
362,062;2,67
362,323;2,67
362,583;2,69
362,843;2,63
363,103;2,66
363,363;2,67
363,623;2,69
363,883;2,73
364,143;2,72
364,403;2,71
364,663;2,77
364,923;2,78
365,183;2,83
365,443;2,92
365,703;2,93
365,963;2,97
366,223;2,99
366,483;3
366,743;2,98
367,002;2,99
367,262;2,98
367,522;3,02
367,782;3,06
368,042;3,07
368,301;3,11
368,561;3,1
368,821;3,08
369,081;3,11
369,34;3,11
