Data from malachiteVSwhite_Reflection__0__48.txt Node;
"Date: Wed Sep 10 12:48:53 CEST 2025 User: sycur Spectrometer: SR400348 Trigger mode: 0 Integration Time (sec): 1,000000E-2 Scans to average: 10 Electric dark correction enabled: true Nonlinearity correction enabled: false Boxcar width: 10 XAxis mode: Wavelengths Number of Pixels in Spectrum: 3648 >>>>>Begin Spectral Data<<<<<";
286,72;6,08
286,985;6,06
287,249;6,07
287,514;6,1
287,779;6,1
288,044;6,13
288,309;6,16
288,573;6,16
288,838;6,2
289,103;6,26
289,367;6,28
289,632;6,28
289,897;6,3
290,161;6,33
290,426;6,37
290,691;6,44
290,955;6,45
291,22;6,47
291,484;6,46
291,749;6,45
292,014;6,45
292,278;6,49
292,543;6,55
292,807;6,6
293,072;6,61
293,336;6,62
293,6;6,64
293,865;6,64
294,129;6,66
294,394;6,69
294,658;6,69
294,922;6,7
295,187;6,72
295,451;6,75
295,715;6,76
295,98;6,78
296,244;6,78
296,508;6,81
296,773;6,85
297,037;6,91
297,301;6,96
297,565;7,03
297,829;7,04
298,094;7,07
298,358;7,1
298,622;7,15
298,886;7,21
299,15;7,26
299,414;7,3
299,678;7,38
299,942;7,41
300,206;7,46
300,47;7,52
300,734;7,57
300,998;7,6
301,262;7,64
301,526;7,68
301,79;7,74
302,054;7,79
302,318;7,82
302,582;7,87
302,846;7,88
303,11;7,92
303,374;7,97
303,637;8,02
303,901;8,04
304,165;8,1
304,429;8,12
304,693;8,18
304,956;8,24
305,22;8,27
305,484;8,31
305,747;8,36
306,011;8,41
306,275;8,42
306,538;8,49
306,802;8,55
307,066;8,58
307,329;8,6
307,593;8,64
307,856;8,67
308,12;8,69
308,384;8,77
308,647;8,81
308,911;8,85
309,174;8,9
309,438;8,91
309,701;8,94
309,964;8,98
310,228;9,01
310,491;9,04
310,755;9,09
311,018;9,13
311,281;9,18
311,545;9,21
311,808;9,26
312,071;9,29
312,335;9,29
312,598;9,35
312,861;9,42
313,124;9,48
313,388;9,58
313,651;9,62
313,914;9,62
314,177;9,66
314,44;9,7
314,704;9,74
314,967;9,83
315,23;9,89
315,493;9,95
315,756;9,99
316,019;10,06
316,282;10,13
316,545;10,15
316,808;10,21
317,071;10,25
317,334;10,3
317,597;10,39
317,86;10,49
318,123;10,57
318,386;10,6
318,649;10,63
318,912;10,67
319,175;10,74
319,437;10,81
319,7;10,85
319,963;10,94
320,226;10,98
320,489;11,03
320,751;11,07
321,014;11,1
321,277;11,16
321,54;11,23
321,802;11,26
322,065;11,33
322,328;11,36
322,59;11,43
322,853;11,48
323,116;11,52
323,378;11,55
323,641;11,56
323,903;11,63
324,166;11,71
324,428;11,74
324,691;11,8
324,953;11,86
325,216;11,93
325,478;11,99
325,741;12,02
326,003;12,07
326,266;12,14
326,528;12,18
