Data from malachiteVSwhite_Reflection__1__49.txt Node;
"Date: Wed Sep 10 12:50:59 CEST 2025 User: sycur Spectrometer: SR400348 Trigger mode: 0 Integration Time (sec): 1,000000E-2 Scans to average: 10 Electric dark correction enabled: true Nonlinearity correction enabled: false Boxcar width: 10 XAxis mode: Wavelengths Number of Pixels in Spectrum: 3648 >>>>>Begin Spectral Data<<<<<";
286,72;3,2
286,985;3,17
287,249;3,17
287,514;3,17
287,779;3,14
288,044;3,13
288,309;3,1
288,573;3,08
288,838;3,09
289,103;3,08
289,367;3,07
289,632;3,07
289,897;3,06
290,161;3,08
290,426;3,1
290,691;3,16
290,955;3,12
291,22;3,09
291,484;3,06
291,749;3,03
292,014;3,04
292,278;3,02
292,543;3,04
292,807;3,05
293,072;3,02
293,336;3,02
293,6;3,01
293,865;3,03
294,129;3,02
294,394;3,01
294,658;3,01
294,922;3
295,187;2,96
295,451;2,97
295,715;2,94
295,98;2,92
296,244;2,87
296,508;2,89
296,773;2,89
297,037;2,9
297,301;2,89
297,565;2,89
297,829;2,88
298,094;2,87
298,358;2,86
298,622;2,87
298,886;2,9
299,15;2,91
299,414;2,89
299,678;2,92
299,942;2,9
300,206;2,89
300,47;2,9
300,734;2,92
300,998;2,92
301,262;2,94
301,526;2,91
301,79;2,9
302,054;2,92
302,318;2,91
302,582;2,94
302,846;2,93
303,11;2,97
303,374;2,97
303,637;2,97
303,901;2,98
304,165;2,97
304,429;2,96
304,693;2,96
304,956;2,98
305,22;2,98
305,484;3
305,747;3,02
306,011;3,01
306,275;3
306,538;3,01
306,802;3,01
307,066;3,04
307,329;3,07
307,593;3,07
307,856;3,07
308,12;3,03
308,384;3,07
308,647;3,06
308,911;3,06
309,174;3,08
309,438;3,05
309,701;3,06
309,964;3,06
310,228;3,06
310,491;3,04
310,755;3,04
311,018;3,04
311,281;3,05
311,545;3,03
311,808;3,03
312,071;3,01
312,335;2,99
312,598;2,96
312,861;2,96
313,124;2,96
313,388;3,01
313,651;2,99
313,914;2,96
314,177;2,92
314,44;2,89
314,704;2,87
314,967;2,88
315,23;2,89
315,493;2,9
315,756;2,87
316,019;2,89
316,282;2,92
316,545;2,91
316,808;2,92
317,071;2,95
317,334;2,99
317,597;3,01
317,86;3,03
318,123;3,07
318,386;3,03
318,649;3,03
318,912;3,01
319,175;3,03
319,437;3,03
319,7;3,06
319,963;3,07
320,226;3,06
320,489;3,06
320,751;3,06
321,014;3,02
321,277;3,03
321,54;3,01
321,802;2,96
322,065;2,94
322,328;2,91
322,59;2,88
322,853;2,88
323,116;2,88
323,378;2,85
323,641;2,81
323,903;2,85
324,166;2,84
324,428;2,84
324,691;2,84
324,953;2,83
325,216;2,84
325,478;2,84
325,741;2,84
326,003;2,85
326,266;2,84
326,528;2,83
326,791;2,86
327,053;2,89
327,315;2,87
327,578;2,92
327,84;2,94
328,102;2,92
328,365;2,91
328,627;2,88
328,889;2,89
329,151;2,91
329,414;2,91
329,676;2,9
329,938;2,92
330,2;2,88
330,462;2,88
330,725;2,87
330,987;2,89
331,249;2,9
331,511;2,86
331,773;2,87
332,035;2,91
332,297;2,91
332,559;2,86
332,821;2,86
333,083;2,82
333,345;2,8
333,607;2,83
333,869;2,84
334,131;2,85
334,393;2,87
334,655;2,83
334,917;2,82
335,179;2,81
335,44;2,81
335,702;2,82
335,964;2,82
336,226;2,83
336,488;2,82
336,749;2,8
337,011;2,81
337,273;2,82
337,535;2,79
337,796;2,75
338,058;2,79
338,32;2,8
338,581;2,83
338,843;2,78
339,105;2,77
339,366;2,75
339,628;2,75
339,889;2,73
340,151;2,74
340,412;2,75
340,674;2,74
340,935;2,71
341,197;2,72
341,458;2,71
341,72;2,7
341,981;2,67
342,243;2,67
342,504;2,72
342,766;2,72
343,027;2,71
343,288;2,76
343,55;2,77
343,811;2,8
344,072;2,74
344,334;2,81
344,595;2,79
344,856;2,8
345,117;2,82
345,379;2,84
345,64;2,87
345,901;2,87
346,162;2,9
346,423;2,93
346,684;2,95
346,946;2,98
347,207;2,97
347,468;3,01
347,729;3
347,99;2,99
348,251;2,98
348,512;2,96
348,773;2,94
349,034;2,93
349,295;2,92
349,556;2,99
349,817;3,01
350,078;3,05
350,339;3,03
350,6;3,02
350,86;3,04
351,121;3,04
351,382;3,03
351,643;2,97
351,904;2,91
352,165;2,87
352,425;2,87
352,686;2,91
352,947;2,89
353,208;2,9
353,468;2,9
353,729;2,95
353,99;2,97
354,25;3,01
354,511;3,01
354,772;2,97
355,032;2,98
355,293;2,92
355,553;2,91
355,814;2,92
356,074;2,92
356,335;2,91
356,596;2,91
356,856;2,88
357,116;2,93
357,377;2,99
357,637;2,97
357,898;2,96
358,158;2,95
358,419;2,93
358,679;2,94
358,939;2,92
359,2;2,92
359,46;2,95
359,72;2,89
359,981;2,89
360,241;2,91
360,501;2,87
360,761;2,92
361,022;2,92
361,282;2,97
361,542;2,95
361,802;2,91
362,062;2,88
362,323;2,89
362,583;2,89
362,843;2,9
363,103;2,99
363,363;2,99
363,623;2,98
363,883;3,03
364,143;3,05
364,403;3,05
364,663;3,07
364,923;3,07
365,183;3,1
365,443;3,11
365,703;3,12
365,963;3,14
366,223;3,17
366,483;3,15
366,743;3,12
367,002;3,16
367,262;3,17
367,522;3,2
367,782;3,22
368,042;3,25
368,301;3,22
368,561;3,17
368,821;3,17
369,081;3,17
369,34;3,13
369,6;3,1
369,86;3,15
370,119;3,14
370,379;3,11
370,638;3,16
370,898;3,15
371,158;3,17
371,417;3,16
371,677;3,1
371,936;3,11
372,196;3,13
372,455;3,14
372,715;3,14
372,974;3,21
373,234;3,16
373,493;3,19
373,753;3,23
374,012;3,26
374,271;3,29
374,531;3,32
374,79;3,37
375,049;3,39
375,309;3,37
375,568;3,29
375,827;3,32
376,086;3,27
376,346;3,3
376,605;3,32
376,864;3,34
377,123;3,37
377,383;3,35
377,642;3,4
377,901;3,38
378,16;3,4
378,419;3,4
378,678;3,44
378,937;3,42
379,196;3,41
379,455;3,42
379,714;3,43
379,973;3,44
380,232;3,41
380,491;3,43
380,75;3,44
381,009;3,49
381,268;3,51
381,527;3,54
381,786;3,52
382,045;3,52
382,304;3,55
382,563;3,58
382,821;3,64
383,08;3,59
383,339;3,65
383,598;3,67
383,857;3,67
384,115;3,69
384,374;3,67
384,633;3,74
384,891;3,74
385,15;3,73
385,409;3,78
385,667;3,8
385,926;3,84
386,185;3,82
386,443;3,85
386,702;3,86
386,96;3,87
387,219;3,9
387,477;3,92
387,736;3,93
387,994;3,92
388,253;3,94
388,511;3,94
388,77;3,93
389,028;3,93
389,287;3,93
389,545;3,95
389,803;3,95
390,062;3,9
390,32;3,88
390,578;3,92
390,837;3,9
391,095;3,9
391,353;3,89
391,612;3,92
391,87;3,93
392,128;3,93
392,386;3,95
392,644;3,94
392,903;3,92
393,161;3,93
393,419;3,92
393,677;3,92
393,935;3,93
394,193;3,92
394,451;3,98
394,709;3,96
394,967;3,97
395,225;4,04
395,483;4,1
395,741;4,17
395,999;4,2
396,257;4,21
396,515;4,21
396,773;4,25
397,031;4,23
397,289;4,23
397,547;4,25
397,805;4,26
398,062;4,28
398,32;4,28
398,578;4,32
398,836;4,31
399,094;4,29
399,351;4,29
399,609;4,34
399,867;4,31
400,124;4,32
400,382;4,34
400,64;4,35
400,897;4,34
401,155;4,32
401,413;4,29
401,67;4,32
401,928;4,35
402,185;4,33
402,443;4,39
402,701;4,38
402,958;4,38
403,216;4,36
403,473;4,35
403,73;4,4
403,988;4,37
404,245;4,44
404,503;4,46
404,76;4,47
405,018;4,43
405,275;4,5
405,532;4,53
405,79;4,54
406,047;4,49
406,304;4,48
406,561;4,52
406,819;4,65
407,076;4,6
407,333;4,66
407,59;4,73
407,848;4,75
408,105;4,82
408,362;4,86
408,619;4,98
408,876;5,01
409,133;4,97
409,39;5,02
409,647;5,02
409,904;5
410,161;5,03
410,418;5,06
410,675;5,02
410,932;4,99
411,189;5,02
411,446;5,04
411,703;5,04
411,96;5,01
412,217;4,92
412,474;4,92
412,731;4,89
412,988;4,84
413,245;4,82
413,501;4,8
413,758;4,78
414,015;4,7
414,272;4,72
414,529;4,8
414,785;4,77
415,042;4,81
415,299;4,88
415,555;4,89
415,812;4,86
416,069;4,93
416,325;5
416,582;5,03
416,838;5,08
417,095;5,09
417,352;5,1
417,608;5,19
417,865;5,26
418,121;5,27
418,378;5,29
418,634;5,29
418,891;5,35
419,147;5,39
419,403;5,44
419,66;5,45
419,916;5,42
420,173;5,45
420,429;5,43
420,685;5,46
420,942;5,49
421,198;5,55
421,454;5,55
421,711;5,52
421,967;5,47
422,223;5,49
422,479;5,51
422,735;5,58
422,992;5,54
423,248;5,53
423,504;5,55
423,76;5,59
