Data from malachiteVSwhite_Reflection__4__52.txt Node;
"Date: Wed Sep 10 12:54:03 CEST 2025 User: sycur Spectrometer: SR400348 Trigger mode: 0 Integration Time (sec): 1,000000E-2 Scans to average: 10 Electric dark correction enabled: true Nonlinearity correction enabled: false Boxcar width: 10 XAxis mode: Wavelengths Number of Pixels in Spectrum: 3648 >>>>>Begin Spectral Data<<<<<";
286,72;2,42
286,985;2,41
287,249;2,41
287,514;2,43
287,779;2,41
288,044;2,42
288,309;2,41
288,573;2,39
288,838;2,42
289,103;2,44
289,367;2,44
289,632;2,44
289,897;2,42
290,161;2,44
290,426;2,44
290,691;2,46
290,955;2,44
291,22;2,41
291,484;2,38
291,749;2,36
292,014;2,36
292,278;2,36
292,543;2,37
292,807;2,4
293,072;2,39
293,336;2,37
293,6;2,36
293,865;2,37
294,129;2,37
294,394;2,37
294,658;2,36
294,922;2,34
295,187;2,34
295,451;2,35
295,715;2,33
295,98;2,33
296,244;2,32
296,508;2,32
296,773;2,34
297,037;2,39
297,301;2,39
297,565;2,4
297,829;2,37
298,094;2,36
298,358;2,33
298,622;2,33
298,886;2,36
299,15;2,38
299,414;2,4
299,678;2,4
299,942;2,38
300,206;2,39
300,47;2,41
300,734;2,42
300,998;2,42
301,262;2,44
301,526;2,41
301,79;2,42
302,054;2,43
302,318;2,41
302,582;2,42
302,846;2,39
303,11;2,4
303,374;2,4
303,637;2,41
303,901;2,43
304,165;2,43
304,429;2,43
304,693;2,42
304,956;2,4
305,22;2,42
305,484;2,42
305,747;2,43
306,011;2,44
306,275;2,42
306,538;2,41
306,802;2,42
307,066;2,44
307,329;2,44
307,593;2,44
307,856;2,42
308,12;2,41
308,384;2,45
308,647;2,45
308,911;2,48
309,174;2,49
309,438;2,46
309,701;2,44
309,964;2,46
310,228;2,45
310,491;2,45
310,755;2,45
311,018;2,43
311,281;2,46
311,545;2,46
311,808;2,44
312,071;2,46
312,335;2,42
312,598;2,42
312,861;2,44
313,124;2,46
313,388;2,53
313,651;2,5
313,914;2,5
314,177;2,47
314,44;2,46
314,704;2,45
314,967;2,45
315,23;2,5
315,493;2,49
315,756;2,49
316,019;2,51
316,282;2,53
316,545;2,52
316,808;2,53
317,071;2,52
317,334;2,55
317,597;2,55
317,86;2,58
318,123;2,61
318,386;2,59
318,649;2,54
318,912;2,49
