Pixel;Wavelength;Wavenumber;Raman Shift;Dark;Reference;Raw data #1;Dark Subtracted #1;%TR #1;Absorbance #1;Irradiance (W/cm^2/nm) #1;
92;796,9;12548,64;193,71;3565,1;65535;5316,5;1751,4;0;0;0;
93;797,05;12546,26;196,08;3614,7;65535;5360,6;1745,9;0;0;0;
94;797,2;12543,89;198,45;3718,8;65535;5455,7;1736,9;0;0;0;
95;797,35;12541,52;200,82;3618,3;65535;5361,8;1743,5;0;0;0;
96;797,5;12539,15;203,19;3564,5;65535;5335,6;1771,1;0;0;0;
97;797,65;12536,78;205,56;3866,9;65535;5663;1796,1;0;0;0;
98;797,8;12534,41;207,93;3767,6;65535;5597,2;1829,6;0;0;0;
99;797,95;12532,05;210,3;3646;65535;5486,6;1840,6;0;0;0;
100;798,1;12529,68;212,66;3660,9;65535;5510,8;1849,9;0;0;0;
101;798,26;12527,32;215,03;3732,7;65535;5600;1867,3;0;0;0;
102;798,41;12524,95;217,39;3531,2;65535;5391,4;1860,2;0;0;0;
103;798,56;12522,59;219,75;4716,8;65535;6581,4;1864,6;0;0;0;
104;798,71;12520,23;222,12;3569,4;65535;5463,1;1893,7;0;0;0;
105;798,86;12517,87;224,48;3521,6;65535;5412,6;1891;0;0;0;
106;799,01;12515,51;226,84;3879,9;65535;5728,9;1849;0;0;0;
107;799,16;12513,15;229,2;3613,3;65535;5409,3;1796;0;0;0;
108;799,31;12510,79;231,55;3584,6;65535;5340,9;1756,3;0;0;0;
109;799,46;12508,43;233,91;3651,5;65535;5397,2;1745,7;0;0;0;
110;799,61;12506,08;236,27;3623,9;65535;5329,4;1705,5;0;0;0;
111;799,76;12503,72;238,62;3599,5;65535;5273,2;1673,7;0;0;0;
112;799,91;12501,37;240,98;3628,7;65535;5285,2;1656,5;0;0;0;
113;800,06;12499,01;243,33;3643,2;65535;5291,7;1648,5;0;0;0;
114;800,21;12496,66;245,68;3706,9;65535;5309,9;1603;0;0;0;
115;800,36;12494,31;248,03;3543,8;65535;5116,7;1572,9;0;0;0;
116;800,51;12491,96;250,38;3649,9;65535;5195,7;1545,8;0;0;0;
117;800,67;12489,61;252,73;3551,9;65535;5091,8;1539,9;0;0;0;
118;800,82;12487,26;255,08;3584,1;65535;5112,3;1528,2;0;0;0;
