Pixel;Wavelength;Wavenumber;Raman Shift;Dark;Reference;Raw data #1;Dark Subtracted #1;%TR #1;Absorbance #1;Irradiance (W/cm^2/nm) #1;
92;796,9;12548,64;193,71;3583,9;65535;5133,4;1549,5;0;0;0;
93;797,05;12546,26;196,08;3604;65535;5140,3;1536,3;0;0;0;
94;797,2;12543,89;198,45;3721,4;65535;5267,1;1545,7;0;0;0;
95;797,35;12541,52;200,82;3616,5;65535;5164,8;1548,3;0;0;0;
96;797,5;12539,15;203,19;3568,2;65535;5147,6;1579,4;0;0;0;
97;797,65;12536,78;205,56;3867,5;65535;5494,3;1626,8;0;0;0;
98;797,8;12534,41;207,93;3759;65535;5421,5;1662,5;0;0;0;
99;797,95;12532,05;210,3;3641,8;65535;5299,5;1657,7;0;0;0;
100;798,1;12529,68;212,66;3646,5;65535;5342,5;1696;0;0;0;
101;798,26;12527,32;215,03;3720,3;65535;5435,3;1715;0;0;0;
102;798,41;12524,95;217,39;3520,3;65535;5238,2;1717,9;0;0;0;
103;798,56;12522,59;219,75;4731;65535;6450,9;1719,9;0;0;0;
104;798,71;12520,23;222,12;3565,3;65535;5278,2;1712,9;0;0;0;
105;798,86;12517,87;224,48;3527,6;65535;5229,5;1701,9;0;0;0;
106;799,01;12515,51;226,84;3884,7;65535;5512,7;1628;0;0;0;
107;799,16;12513,15;229,2;3618,7;65535;5218,5;1599,8;0;0;0;
108;799,31;12510,79;231,55;3573,3;65535;5142;1568,7;0;0;0;
109;799,46;12508,43;233,91;3655,8;65535;5168,6;1512,8;0;0;0;
110;799,61;12506,08;236,27;3629,3;65535;5092,9;1463,6;0;0;0;
111;799,76;12503,72;238,62;3588,9;65535;5033,2;1444,3;0;0;0;
112;799,91;12501,37;240,98;3612,1;65535;5029,8;1417,7;0;0;0;
113;800,06;12499,01;243,33;3628,8;65535;5029,2;1400,4;0;0;0;
114;800,21;12496,66;245,68;3701,3;65535;5040,8;1339,5;0;0;0;
115;800,36;12494,31;248,03;3530,1;65535;4852,5;1322,4;0;0;0;
116;800,51;12491,96;250,38;3639,2;65535;4926,3;1287,1;0;0;0;
117;800,67;12489,61;252,73;3546,5;65535;4806,8;1260,3;0;0;0;
118;800,82;12487,26;255,08;3595,2;65535;4817,5;1222,3;0;0;0;
119;800,97;12484,92;257,43;3687,7;65535;4871,4;1183,7;0;0;0;
120;801,12;12482,57;259,77;3649,5;65535;4840,5;1191;0;0;0;
121;801,27;12480,23;262,12;3533,5;65535;4692,1;1158,6;0;0;0;
122;801,42;12477,88;264,46;3672,6;65535;4855,1;1182,5;0;0;0;
123;801,57;12475,54;266,8;3660,2;65535;4835,1;1174,9;0;0;0;
124;801,72;12473,2;269,14;3719;65535;4900,5;1181,5;0;0;0;
125;801,87;12470,86;271,48;3678,7;65535;4886,6;1207,9;0;0;0;
