Data from MinioWhite_Reflection__2__40.txt Node;
"Date: Thu Sep 11 16:57:17 CEST 2025 User: sycur";
290,955;4,47
291,22;4,48
291,484;4,48
291,749;4,48
292,014;4,48
292,278;4,49
292,543;4,49
292,807;4,5
293,072;4,5
293,336;4,5
293,6;4,48
293,865;4,48
294,129;4,48
294,394;4,48
294,658;4,5
294,922;4,5
295,187;4,51
295,451;4,51
295,715;4,52
295,98;4,52
296,244;4,52
296,508;4,52
296,773;4,52
297,037;4,52
297,301;4,52
297,565;4,52
297,829;4,52
298,094;4,53
298,358;4,52
298,622;4,52
298,886;4,51
299,15;4,53
299,414;4,53
299,678;4,54
299,942;4,54
300,206;4,53
300,47;4,53
300,734;4,53
300,998;4,53
301,262;4,53
301,526;4,53
301,79;4,53
302,054;4,54
302,318;4,54
302,582;4,55
302,846;4,55
303,11;4,55
303,374;4,57
303,637;4,56
303,901;4,58
304,165;4,58
304,429;4,58
304,693;4,57
304,956;4,57
305,22;4,56
305,484;4,57
305,747;4,58
306,011;4,57
306,275;4,57
306,538;4,58
306,802;4,57
307,066;4,58
307,329;4,59
307,593;4,6
307,856;4,61
308,12;4,6
308,384;4,6
308,647;4,6
308,911;4,6
309,174;4,6
309,438;4,59
309,701;4,61
309,964;4,61
310,228;4,62
310,491;4,63
310,755;4,63
311,018;4,64
311,281;4,64
311,545;4,65
311,808;4,65
312,071;4,65
312,335;4,66
312,598;4,65
312,861;4,65
313,124;4,64
313,388;4,64
313,651;4,65
313,914;4,65
314,177;4,65
314,44;4,64
314,704;4,65
314,967;4,64
315,23;4,63
315,493;4,64
315,756;4,64
316,019;4,63
316,282;4,63
316,545;4,64
316,808;4,64
317,071;4,65
317,334;4,67
317,597;4,67
317,86;4,68
318,123;4,69
318,386;4,69
318,649;4,69
318,912;4,69
319,175;4,69
319,437;4,7
319,7;4,7
319,963;4,71
320,226;4,7
320,489;4,71
320,751;4,7
321,014;4,7
321,277;4,7
321,54;4,7
321,802;4,7
322,065;4,69
322,328;4,69
322,59;4,68
322,853;4,67
323,116;4,66
323,378;4,65
323,641;4,64
323,903;4,63
324,166;4,63
324,428;4,63
324,691;4,63
324,953;4,62
325,216;4,62
325,478;4,6
325,741;4,6
326,003;4,6
326,266;4,6
326,528;4,6
326,791;4,6
327,053;4,59
327,315;4,57
327,578;4,58
327,84;4,56
328,102;4,55
328,365;4,56
328,627;4,55
328,889;4,54
329,151;4,53
329,414;4,54
329,676;4,53
329,938;4,53
330,2;4,51
330,462;4,5
330,725;4,49
330,987;4,5
331,249;4,49
331,511;4,47
331,773;4,46
332,035;4,44
332,297;4,43
332,559;4,43
332,821;4,44
333,083;4,41
333,345;4,42
333,607;4,41
333,869;4,4
334,131;4,4
334,393;4,4
334,655;4,39
334,917;4,38
335,179;4,38
335,44;4,37
335,702;4,36
335,964;4,37
336,226;4,37
336,488;4,36
336,749;4,37
337,011;4,37
337,273;4,38
337,535;4,36
337,796;4,36
338,058;4,36
338,32;4,36
338,581;4,35
338,843;4,34
339,105;4,34
339,366;4,33
339,628;4,33
339,889;4,32
340,151;4,3
340,412;4,3
340,674;4,3
340,935;4,29
341,197;4,29
341,458;4,27
341,72;4,27
341,981;4,27
342,243;4,25
342,504;4,25
342,766;4,25
343,027;4,25
343,288;4,25
343,55;4,25
343,811;4,23
344,072;4,24
344,334;4,23
344,595;4,23
344,856;4,23
345,117;4,21
345,379;4,22
345,64;4,23
345,901;4,21
346,162;4,2
346,423;4,19
346,684;4,18
346,946;4,17
347,207;4,16
347,468;4,15
347,729;4,14
347,99;4,13
348,251;4,12
348,512;4,11
348,773;4,1
349,034;4,08
349,295;4,08
349,556;4,07
349,817;4,05
350,078;4,04
350,339;4,02
350,6;4,02
350,86;4,01
351,121;3,99
351,382;3,98
351,643;3,97
351,904;3,96
352,165;3,96
352,425;3,96
352,686;3,96
352,947;3,94
353,208;3,93
353,468;3,92
353,729;3,91
353,99;3,9
354,25;3,88
354,511;3,88
354,772;3,86
355,032;3,84
355,293;3,85
355,553;3,84
355,814;3,82
356,074;3,82
356,335;3,8
356,596;3,8
356,856;3,8
357,116;3,8
357,377;3,81
357,637;3,8
357,898;3,8
358,158;3,78
358,419;3,79
358,679;3,79
358,939;3,77
359,2;3,77
359,46;3,77
359,72;3,77
359,981;3,77
360,241;3,78
360,501;3,79
360,761;3,77
361,022;3,77
361,282;3,78
361,542;3,77
361,802;3,78
362,062;3,78
362,323;3,78
362,583;3,76
362,843;3,75
363,103;3,73
363,363;3,72
363,623;3,73
363,883;3,71
364,143;3,71
364,403;3,72
364,663;3,72
364,923;3,71
365,183;3,7
365,443;3,7
365,703;3,68
365,963;3,66
366,223;3,67
366,483;3,68
366,743;3,67
367,002;3,67
367,262;3,68
367,522;3,67
367,782;3,67
368,042;3,67
368,301;3,66
368,561;3,66
368,821;3,66
369,081;3,64
369,34;3,64
369,6;3,63
369,86;3,63
370,119;3,61
370,379;3,59
370,638;3,59
370,898;3,58
371,158;3,58
371,417;3,57
371,677;3,57
371,936;3,54
372,196;3,53
372,455;3,51
372,715;3,49
372,974;3,48
373,234;3,47
373,493;3,48
373,753;3,49
374,012;3,49
374,271;3,48
374,531;3,49
374,79;3,49
375,049;3,5
375,309;3,49
375,568;3,49
375,827;3,5
376,086;3,48
376,346;3,49
376,605;3,49
376,864;3,49
377,123;3,5
377,383;3,49
377,642;3,5
377,901;3,49
378,16;3,48
378,419;3,47
378,678;3,47
378,937;3,46
379,196;3,45
379,455;3,45
379,714;3,44
379,973;3,43
380,232;3,43
380,491;3,42
380,75;3,42
381,009;3,41
381,268;3,41
381,527;3,42
381,786;3,42
382,045;3,42
382,304;3,41
382,563;3,39
382,821;3,4
383,08;3,38
383,339;3,38
383,598;3,39
383,857;3,38
384,115;3,37
384,374;3,37
384,633;3,36
384,891;3,36
385,15;3,35
385,409;3,35
385,667;3,35
385,926;3,35
386,185;3,35
386,443;3,34
386,702;3,34
386,96;3,33
387,219;3,31
387,477;3,31
387,736;3,3
387,994;3,31
388,253;3,3
388,511;3,33
388,77;3,32
389,028;3,31
389,287;3,33
389,545;3,33
389,803;3,33
390,062;3,33
390,32;3,33
390,578;3,33
390,837;3,32
391,095;3,31
391,353;3,3
391,612;3,29
391,87;3,3
392,128;3,29
392,386;3,29
392,644;3,3
392,903;3,3
393,161;3,31
393,419;3,3
393,677;3,31
393,935;3,3
394,193;3,3
394,451;3,31
394,709;3,29
394,967;3,29
395,225;3,3
395,483;3,29
395,741;3,3
395,999;3,29
396,257;3,3
396,515;3,31
396,773;3,3
397,031;3,3
397,289;3,3
397,547;3,31
397,805;3,31
398,062;3,3
398,32;3,3
398,578;3,3
398,836;3,3
399,094;3,29
399,351;3,3
399,609;3,31
399,867;3,3
400,124;3,31
400,382;3,3
400,64;3,3
400,897;3,31
401,155;3,3
401,413;3,32
401,67;3,31
401,928;3,3
402,185;3,3
