Data from MinioWhite_Reflection__3__41.txt Node;
"Date: Thu Sep 11 16:57:57 CEST 2025 User: sycur";
290,955;3,61
291,22;3,61
291,484;3,62
291,749;3,61
292,014;3,61
292,278;3,62
292,543;3,63
292,807;3,65
293,072;3,64
293,336;3,64
293,6;3,63
293,865;3,63
294,129;3,63
294,394;3,64
294,658;3,65
294,922;3,65
295,187;3,66
295,451;3,66
295,715;3,67
295,98;3,68
296,244;3,68
296,508;3,68
296,773;3,69
297,037;3,69
297,301;3,7
297,565;3,7
297,829;3,69
298,094;3,7
298,358;3,7
298,622;3,7
298,886;3,71
299,15;3,71
299,414;3,72
299,678;3,72
299,942;3,74
300,206;3,73
300,47;3,74
300,734;3,74
300,998;3,74
301,262;3,75
301,526;3,75
301,79;3,76
302,054;3,77
302,318;3,77
302,582;3,77
302,846;3,77
303,11;3,77
303,374;3,78
303,637;3,78
303,901;3,78
304,165;3,78
304,429;3,79
304,693;3,79
304,956;3,78
305,22;3,78
305,484;3,78
305,747;3,79
306,011;3,78
306,275;3,78
306,538;3,79
306,802;3,78
307,066;3,79
307,329;3,78
307,593;3,79
307,856;3,79
308,12;3,79
308,384;3,8
308,647;3,81
308,911;3,82
309,174;3,82
309,438;3,83
309,701;3,85
309,964;3,86
310,228;3,86
310,491;3,88
310,755;3,88
311,018;3,89
311,281;3,89
311,545;3,89
311,808;3,89
312,071;3,89
312,335;3,91
312,598;3,9
312,861;3,9
313,124;3,9
313,388;3,91
313,651;3,92
313,914;3,92
314,177;3,91
314,44;3,91
314,704;3,91
314,967;3,91
315,23;3,9
315,493;3,89
315,756;3,89
316,019;3,88
316,282;3,88
316,545;3,9
316,808;3,9
317,071;3,9
317,334;3,92
317,597;3,92
317,86;3,93
318,123;3,93
318,386;3,95
318,649;3,95
318,912;3,94
319,175;3,95
319,437;3,94
319,7;3,96
319,963;3,96
320,226;3,95
320,489;3,95
320,751;3,96
321,014;3,96
321,277;3,96
321,54;3,97
321,802;3,97
322,065;3,96
322,328;3,95
322,59;3,96
322,853;3,94
