Data from MinioWhite_Reflection__1__39.txt Node;
"Date: Thu Sep 11 16:56:23 CEST 2025 User: sycur";
291,22;4,68
291,484;4,68
291,749;4,67
292,014;4,67
292,278;4,68
292,543;4,67
292,807;4,68
293,072;4,67
293,336;4,67
293,6;4,66
293,865;4,66
294,129;4,64
294,394;4,64
294,658;4,65
294,922;4,64
295,187;4,65
295,451;4,65
295,715;4,64
295,98;4,64
296,244;4,63
296,508;4,63
296,773;4,62
297,037;4,63
297,301;4,62
297,565;4,62
297,829;4,61
298,094;4,62
298,358;4,61
298,622;4,6
298,886;4,6
299,15;4,6
299,414;4,59
299,678;4,6
299,942;4,6
300,206;4,58
300,47;4,58
300,734;4,58
300,998;4,57
301,262;4,57
301,526;4,56
301,79;4,55
302,054;4,54
302,318;4,54
302,582;4,53
302,846;4,54
303,11;4,54
303,374;4,54
303,637;4,53
303,901;4,53
304,165;4,53
304,429;4,52
304,693;4,51
304,956;4,5
305,22;4,5
305,484;4,5
305,747;4,51
306,011;4,49
306,275;4,48
306,538;4,48
306,802;4,47
307,066;4,48
307,329;4,47
307,593;4,48
307,856;4,48
308,12;4,47
308,384;4,46
308,647;4,45
308,911;4,45
309,174;4,44
309,438;4,44
309,701;4,44
309,964;4,44
310,228;4,44
310,491;4,45
310,755;4,44
311,018;4,43
311,281;4,43
311,545;4,42
311,808;4,42
312,071;4,42
312,335;4,42
312,598;4,42
312,861;4,41
313,124;4,41
313,388;4,4
313,651;4,41
313,914;4,4
314,177;4,4
314,44;4,39
314,704;4,39
314,967;4,38
315,23;4,37
315,493;4,38
315,756;4,37
316,019;4,36
316,282;4,35
316,545;4,35
316,808;4,35
317,071;4,35
317,334;4,36
317,597;4,36
317,86;4,36
318,123;4,36
318,386;4,35
318,649;4,35
318,912;4,35
319,175;4,33
319,437;4,33
319,7;4,34
319,963;4,33
320,226;4,32
320,489;4,32
320,751;4,32
321,014;4,31
321,277;4,31
321,54;4,31
321,802;4,31
322,065;4,29
322,328;4,29
322,59;4,28
322,853;4,27
323,116;4,25
323,378;4,24
323,641;4,23
323,903;4,22
324,166;4,21
324,428;4,2
324,691;4,2
324,953;4,19
325,216;4,19
325,478;4,17
325,741;4,16
326,003;4,16
326,266;4,15
326,528;4,15
326,791;4,14
327,053;4,12
327,315;4,1
327,578;4,1
327,84;4,08
328,102;4,08
328,365;4,08
328,627;4,08
328,889;4,08
329,151;4,07
329,414;4,08
329,676;4,06
329,938;4,05
330,2;4,05
330,462;4,04
330,725;4,03
330,987;4,02
331,249;4,01
331,511;4
331,773;3,99
332,035;3,99
332,297;3,99
332,559;4
332,821;4
333,083;4
333,345;4
333,607;3,99
333,869;3,99
334,131;3,99
334,393;3,97
334,655;3,97
334,917;3,97
335,179;3,97
335,44;3,96
335,702;3,96
335,964;3,96
336,226;3,95
336,488;3,96
336,749;3,97
337,011;3,98
337,273;3,98
337,535;3,97
337,796;3,96
338,058;3,96
338,32;3,96
338,581;3,95
338,843;3,94
339,105;3,94
339,366;3,94
339,628;3,95
339,889;3,95
340,151;3,95
340,412;3,94
340,674;3,95
340,935;3,95
341,197;3,96
341,458;3,95
341,72;3,96
341,981;3,96
342,243;3,95
342,504;3,94
342,766;3,96
343,027;3,97
343,288;3,97
343,55;3,96
343,811;3,95
344,072;3,96
344,334;3,96
344,595;3,96
344,856;3,94
345,117;3,94
345,379;3,94
345,64;3,93
345,901;3,92
346,162;3,92
346,423;3,9
346,684;3,88
346,946;3,89
347,207;3,88
347,468;3,87
347,729;3,85
347,99;3,84
348,251;3,83
348,512;3,81
348,773;3,8
349,034;3,8
349,295;3,81
349,556;3,81
349,817;3,79
350,078;3,77
350,339;3,78
350,6;3,78
350,86;3,77
351,121;3,77
351,382;3,76
351,643;3,75
351,904;3,74
352,165;3,74
352,425;3,74
352,686;3,74
352,947;3,73
353,208;3,74
353,468;3,72
353,729;3,72
353,99;3,72
354,25;3,72
354,511;3,71
354,772;3,7
355,032;3,68
355,293;3,71
355,553;3,7
355,814;3,69
356,074;3,68
356,335;3,69
356,596;3,68
356,856;3,68
357,116;3,68
357,377;3,7
357,637;3,7
357,898;3,68
358,158;3,68
358,419;3,69
358,679;3,68
358,939;3,67
359,2;3,66
359,46;3,65
359,72;3,65
359,981;3,64
360,241;3,63
360,501;3,64
360,761;3,62
361,022;3,61
361,282;3,61
361,542;3,61
361,802;3,61
362,062;3,61
362,323;3,62
362,583;3,61
362,843;3,61
363,103;3,61
363,363;3,6
363,623;3,61
363,883;3,6
364,143;3,6
364,403;3,6
364,663;3,62
364,923;3,62
365,183;3,62
365,443;3,61
365,703;3,62
365,963;3,61
366,223;3,62
366,483;3,63
366,743;3,63
367,002;3,62
367,262;3,64
367,522;3,63
367,782;3,62
368,042;3,62
368,301;3,61
368,561;3,61
368,821;3,6
369,081;3,59
369,34;3,58
369,6;3,59
369,86;3,59
370,119;3,58
370,379;3,56
370,638;3,56
370,898;3,56
371,158;3,56
371,417;3,56
371,677;3,57
371,936;3,56
372,196;3,57
372,455;3,56
372,715;3,54
372,974;3,55
373,234;3,55
373,493;3,56
373,753;3,58
374,012;3,58
374,271;3,6
374,531;3,6
374,79;3,59
375,049;3,6
375,309;3,59
375,568;3,6
375,827;3,61
376,086;3,61
376,346;3,63
376,605;3,63
376,864;3,62
377,123;3,62
377,383;3,61
377,642;3,62
377,901;3,62
378,16;3,62
378,419;3,6
378,678;3,59
378,937;3,59
379,196;3,58
379,455;3,57
379,714;3,56
379,973;3,56
380,232;3,57
380,491;3,57
380,75;3,58
381,009;3,57
381,268;3,56
381,527;3,56
381,786;3,55
382,045;3,53
382,304;3,53
382,563;3,52
382,821;3,53
383,08;3,52
383,339;3,53
383,598;3,53
383,857;3,53
384,115;3,54
384,374;3,55
384,633;3,54
384,891;3,55
385,15;3,54
385,409;3,54
385,667;3,54
385,926;3,53
386,185;3,54
386,443;3,54
386,702;3,54
386,96;3,52
387,219;3,52
387,477;3,53
387,736;3,53
387,994;3,52
388,253;3,52
388,511;3,53
388,77;3,51
389,028;3,51
389,287;3,52
389,545;3,53
389,803;3,53
390,062;3,52
390,32;3,53
390,578;3,53
390,837;3,54
391,095;3,54
391,353;3,54
391,612;3,54
391,87;3,55
392,128;3,55
392,386;3,56
392,644;3,57
392,903;3,59
393,161;3,58
393,419;3,58
393,677;3,59
393,935;3,57
394,193;3,58
394,451;3,6
394,709;3,58
394,967;3,57
395,225;3,57
395,483;3,59
395,741;3,58
395,999;3,59
396,257;3,58
396,515;3,57
396,773;3,58
397,031;3,57
397,289;3,58
397,547;3,59
397,805;3,59
398,062;3,58
398,32;3,58
398,578;3,6
398,836;3,61
399,094;3,61
399,351;3,62
399,609;3,62
399,867;3,61
400,124;3,63
400,382;3,64
400,64;3,65
400,897;3,66
401,155;3,67
401,413;3,68
401,67;3,68
401,928;3,69
402,185;3,68
402,443;3,68
402,701;3,67
402,958;3,67
403,216;3,7
403,473;3,69
403,73;3,69
403,988;3,69
404,245;3,67
404,503;3,67
404,76;3,67
405,018;3,67
