Data from MinioWhite_Reflection__0__38.txt Node;
"Date: Thu Sep 11 16:55:11 CEST 2025 User: sycur";
291,22;10,28
291,484;10,28
291,749;10,26
292,014;10,25
292,278;10,26
292,543;10,25
292,807;10,25
293,072;10,24
293,336;10,22
293,6;10,21
293,865;10,2
294,129;10,19
294,394;10,19
294,658;10,18
294,922;10,17
295,187;10,15
295,451;10,15
295,715;10,13
295,98;10,12
296,244;10,12
296,508;10,1
296,773;10,09
297,037;10,09
297,301;10,07
297,565;10,07
297,829;10,04
298,094;10,03
298,358;10,01
298,622;9,99
298,886;9,98
299,15;9,96
299,414;9,95
299,678;9,94
299,942;9,93
300,206;9,91
300,47;9,9
300,734;9,89
300,998;9,87
301,262;9,87
301,526;9,85
301,79;9,84
302,054;9,82
302,318;9,8
302,582;9,79
302,846;9,78
303,11;9,76
303,374;9,76
303,637;9,75
303,901;9,74
304,165;9,72
304,429;9,7
304,693;9,68
304,956;9,66
305,22;9,64
305,484;9,62
305,747;9,61
306,011;9,58
306,275;9,56
306,538;9,55
306,802;9,52
307,066;9,5
307,329;9,49
307,593;9,48
307,856;9,47
308,12;9,44
308,384;9,42
308,647;9,39
308,911;9,38
309,174;9,36
309,438;9,36
309,701;9,36
309,964;9,34
310,228;9,34
310,491;9,33
310,755;9,33
311,018;9,31
311,281;9,3
311,545;9,3
311,808;9,29
312,071;9,27
312,335;9,26
312,598;9,25
312,861;9,23
313,124;9,22
313,388;9,2
313,651;9,19
313,914;9,17
314,177;9,17
314,44;9,15
314,704;9,15
314,967;9,12
315,23;9,09
315,493;9,07
315,756;9,06
316,019;9,04
316,282;9,02
316,545;9
316,808;8,99
317,071;8,98
317,334;8,96
317,597;8,94
317,86;8,94
318,123;8,93
318,386;8,91
318,649;8,88
318,912;8,87
319,175;8,86
319,437;8,84
319,7;8,82
319,963;8,8
320,226;8,78
320,489;8,76
320,751;8,75
321,014;8,73
321,277;8,72
321,54;8,7
321,802;8,69
322,065;8,66
322,328;8,64
322,59;8,62
322,853;8,61
323,116;8,59
323,378;8,56
323,641;8,53
323,903;8,51
324,166;8,5
324,428;8,48
324,691;8,47
324,953;8,46
325,216;8,44
325,478;8,43
325,741;8,4
326,003;8,39
326,266;8,37
326,528;8,36
326,791;8,34
327,053;8,32
327,315;8,29
327,578;8,28
327,84;8,27
328,102;8,24
328,365;8,23
328,627;8,22
328,889;8,21
329,151;8,2
329,414;8,18
329,676;8,15
329,938;8,13
330,2;8,1
330,462;8,07
330,725;8,06
330,987;8,04
331,249;8,03
331,511;8,02
331,773;8
332,035;7,97
332,297;7,96
332,559;7,97
332,821;7,97
333,083;7,94
333,345;7,94
333,607;7,93
333,869;7,9
334,131;7,88
334,393;7,88
334,655;7,87
334,917;7,86
335,179;7,85
335,44;7,85
335,702;7,84
335,964;7,85
336,226;7,82
336,488;7,81
336,749;7,81
337,011;7,82
337,273;7,81
337,535;7,81
337,796;7,78
338,058;7,77
338,32;7,75
338,581;7,74
338,843;7,73
339,105;7,72
339,366;7,72
339,628;7,73
339,889;7,7
340,151;7,69
340,412;7,68
340,674;7,69
340,935;7,68
341,197;7,69
341,458;7,66
341,72;7,66
341,981;7,65
342,243;7,64
342,504;7,61
342,766;7,6
343,027;7,59
343,288;7,6
343,55;7,58
343,811;7,57
344,072;7,56
344,334;7,54
344,595;7,54
344,856;7,53
345,117;7,5
345,379;7,51
345,64;7,49
345,901;7,48
346,162;7,46
346,423;7,43
346,684;7,39
346,946;7,39
347,207;7,36
347,468;7,35
347,729;7,32
347,99;7,32
348,251;7,29
348,512;7,26
348,773;7,24
349,034;7,21
349,295;7,21
349,556;7,19
349,817;7,16
350,078;7,14
350,339;7,13
350,6;7,13
350,86;7,09
351,121;7,08
351,382;7,06
351,643;7,04
351,904;7,03
352,165;7,03
352,425;7,03
352,686;7,04
352,947;7,03
353,208;7,02
353,468;7,02
353,729;7,01
353,99;7,01
354,25;6,99
354,511;7
354,772;7
355,032;6,98
355,293;7
355,553;6,98
355,814;6,95
356,074;6,94
356,335;6,94
356,596;6,93
356,856;6,92
357,116;6,92
357,377;6,92
357,637;6,9
357,898;6,88
358,158;6,86
358,419;6,86
358,679;6,86
358,939;6,85
359,2;6,85
359,46;6,86
359,72;6,87
