Data from ombraBrucWhite_Reflection__2__66.txt Node;
"Date: Thu Sep 11 17:28:17 CEST 2025 User: sycur";
291,484;22,46
291,749;22,46
292,014;22,47
292,278;22,46
292,543;22,46
292,807;22,48
293,072;22,51
293,336;22,53
293,6;22,53
293,865;22,53
294,129;22,52
294,394;22,54
294,658;22,55
294,922;22,55
295,187;22,58
295,451;22,59
295,715;22,62
295,98;22,65
296,244;22,63
296,508;22,64
296,773;22,63
297,037;22,64
297,301;22,64
297,565;22,66
297,829;22,65
298,094;22,68
298,358;22,67
298,622;22,64
298,886;22,61
299,15;22,61
299,414;22,63
299,678;22,67
299,942;22,67
300,206;22,65
300,47;22,65
300,734;22,65
300,998;22,62
301,262;22,61
301,526;22,58
301,79;22,58
302,054;22,57
302,318;22,57
302,582;22,56
302,846;22,56
303,11;22,56
303,374;22,57
303,637;22,56
303,901;22,56
304,165;22,58
304,429;22,59
304,693;22,55
304,956;22,53
305,22;22,5
305,484;22,47
305,747;22,47
306,011;22,45
306,275;22,42
306,538;22,42
306,802;22,42
307,066;22,43
307,329;22,43
307,593;22,42
307,856;22,4
308,12;22,38
308,384;22,37
308,647;22,35
308,911;22,34
309,174;22,29
309,438;22,26
309,701;22,25
309,964;22,25
310,228;22,26
310,491;22,24
310,755;22,24
311,018;22,27
311,281;22,27
311,545;22,25
311,808;22,26
312,071;22,23
312,335;22,2
312,598;22,17
312,861;22,16
313,124;22,12
313,388;22,11
313,651;22,12
313,914;22,05
314,177;22,03
314,44;22
314,704;22,03
314,967;22,03
315,23;21,99
315,493;21,94
315,756;21,93
316,019;21,93
316,282;21,91
316,545;21,87
316,808;21,87
317,071;21,89
317,334;21,88
317,597;21,85
317,86;21,83
318,123;21,8
318,386;21,83
318,649;21,83
318,912;21,82
319,175;21,78
319,437;21,79
319,7;21,79
319,963;21,76
320,226;21,72
320,489;21,7
320,751;21,71
321,014;21,68
321,277;21,65
321,54;21,64
321,802;21,59
322,065;21,56
322,328;21,5
322,59;21,45
322,853;21,41
323,116;21,41
323,378;21,4
323,641;21,39
323,903;21,33
324,166;21,31
324,428;21,26
324,691;21,26
324,953;21,25
325,216;21,21
325,478;21,21
325,741;21,18
326,003;21,17
326,266;21,09
326,528;21,08
326,791;21,09
327,053;21,05
327,315;21,03
327,578;21,03
327,84;20,98
328,102;20,96
328,365;20,95
328,627;20,93
328,889;20,9
329,151;20,88
329,414;20,89
329,676;20,85
329,938;20,81
330,2;20,77
330,462;20,74
330,725;20,72
330,987;20,68
331,249;20,66
331,511;20,62
331,773;20,59
332,035;20,6
332,297;20,58
332,559;20,56
332,821;20,53
333,083;20,46
333,345;20,48
333,607;20,48
333,869;20,46
334,131;20,41
334,393;20,42
334,655;20,4
334,917;20,36
335,179;20,36
335,44;20,38
335,702;20,38
335,964;20,38
336,226;20,37
336,488;20,37
336,749;20,38
337,011;20,41
337,273;20,42
337,535;20,39
337,796;20,35
338,058;20,37
338,32;20,39
338,581;20,39
338,843;20,37
339,105;20,36
339,366;20,34
339,628;20,35
339,889;20,34
340,151;20,35
340,412;20,33
340,674;20,34
340,935;20,34
341,197;20,36
341,458;20,35
341,72;20,37
341,981;20,37
342,243;20,37
342,504;20,33
342,766;20,36
343,027;20,35
343,288;20,34
343,55;20,3
343,811;20,29
344,072;20,27
344,334;20,27
344,595;20,25
344,856;20,22
345,117;20,18
345,379;20,17
345,64;20,14
345,901;20,12
346,162;20,07
346,423;20,03
346,684;19,94
346,946;19,9
347,207;19,84
347,468;19,79
347,729;19,7
347,99;19,66
348,251;19,59
348,512;19,54
348,773;19,52
349,034;19,5
349,295;19,49
349,556;19,46
349,817;19,39
350,078;19,36
350,339;19,37
350,6;19,39
350,86;19,33
351,121;19,33
351,382;19,3
351,643;19,29
351,904;19,26
352,165;19,28
352,425;19,27
352,686;19,28
352,947;19,28
353,208;19,33
353,468;19,37
353,729;19,4
353,99;19,38
354,25;19,35
354,511;19,33
354,772;19,29
355,032;19,32
355,293;19,35
355,553;19,35
355,814;19,31
356,074;19,26
356,335;19,24
356,596;19,21
356,856;19,21
357,116;19,2
357,377;19,24
357,637;19,21
357,898;19,22
358,158;19,2
358,419;19,17
358,679;19,13
358,939;19,08
359,2;19,05
359,46;19,12
359,72;19,11
359,981;19,11
360,241;19,09
360,501;19,08
360,761;19,1
361,022;19,07
361,282;19,12
361,542;19,16
361,802;19,18
362,062;19,17
362,323;19,15
362,583;19,16
362,843;19,14
363,103;19,15
363,363;19,08
363,623;19,11
363,883;19,14
364,143;19,14
364,403;19,13
364,663;19,19
364,923;19,11
365,183;19,13
365,443;19,15
365,703;19,16
365,963;19,11
366,223;19,07
366,483;19,08
366,743;19,04
367,002;19,04
367,262;19,08
367,522;19,07
367,782;19,06
368,042;19,04
368,301;19,05
368,561;19,04
368,821;19,04
369,081;18,97
369,34;18,93
369,6;18,89
369,86;18,94
370,119;18,85
370,379;18,85
370,638;18,81
370,898;18,77
371,158;18,78
371,417;18,77
371,677;18,78
371,936;18,77
372,196;18,77
372,455;18,73
372,715;18,69
372,974;18,7
373,234;18,68
373,493;18,69
373,753;18,67
374,012;18,67
374,271;18,69
374,531;18,74
374,79;18,74
375,049;18,77
375,309;18,75
375,568;18,76
375,827;18,75
376,086;18,77
376,346;18,8
376,605;18,83
376,864;18,85
377,123;18,87
377,383;18,86
377,642;18,87
377,901;18,89
378,16;18,9
378,419;18,85
378,678;18,85
378,937;18,84
379,196;18,83
379,455;18,83
379,714;18,82
379,973;18,79
380,232;18,81
380,491;18,85
380,75;18,83
381,009;18,83
381,268;18,88
381,527;18,88
381,786;18,86
382,045;18,82
382,304;18,84
382,563;18,8
382,821;18,83
383,08;18,8
383,339;18,82
383,598;18,81
383,857;18,81
384,115;18,83
384,374;18,85
384,633;18,85
384,891;18,88
385,15;18,86
385,409;18,87
385,667;18,89
385,926;18,86
386,185;18,82
386,443;18,82
386,702;18,77
386,96;18,76
387,219;18,74
387,477;18,76
387,736;18,74
387,994;18,76
388,253;18,74
388,511;18,77
388,77;18,75
389,028;18,76
389,287;18,81
389,545;18,82
389,803;18,78
390,062;18,77
390,32;18,77
