Data from ombraBrucWhite_Reflection__0__64.txt Node;
"Date: Thu Sep 11 17:26:38 CEST 2025 User: sycur";
291,22;51,89
291,484;51,85
291,749;51,79
292,014;51,73
292,278;51,68
292,543;51,63
292,807;51,6
293,072;51,6
293,336;51,56
293,6;51,51
293,865;51,48
294,129;51,42
294,394;51,4
294,658;51,37
294,922;51,33
295,187;51,31
295,451;51,28
295,715;51,25
295,98;51,25
296,244;51,18
296,508;51,16
296,773;51,12
297,037;51,08
297,301;51,04
297,565;51,03
297,829;50,96
298,094;50,96
298,358;50,93
298,622;50,87
298,886;50,82
299,15;50,81
299,414;50,78
299,678;50,79
299,942;50,77
300,206;50,7
300,47;50,68
300,734;50,65
300,998;50,6
301,262;50,56
301,526;50,5
301,79;50,45
302,054;50,42
302,318;50,38
302,582;50,34
302,846;50,32
303,11;50,29
303,374;50,27
303,637;50,21
303,901;50,18
304,165;50,15
304,429;50,13
304,693;50,04
304,956;49,99
305,22;49,93
305,484;49,86
305,747;49,85
306,011;49,81
306,275;49,73
306,538;49,68
306,802;49,64
307,066;49,61
307,329;49,58
307,593;49,54
307,856;49,47
308,12;49,41
308,384;49,37
308,647;49,3
308,911;49,28
309,174;49,2
309,438;49,13
309,701;49,07
309,964;49,03
310,228;49
310,491;48,96
310,755;48,93
311,018;48,95
311,281;48,9
311,545;48,83
311,808;48,81
312,071;48,75
312,335;48,68
312,598;48,61
312,861;48,57
313,124;48,49
313,388;48,47
313,651;48,45
313,914;48,35
314,177;48,31
314,44;48,24
314,704;48,24
314,967;48,2
315,23;48,15
315,493;48,08
315,756;48,04
316,019;47,98
316,282;47,93
316,545;47,83
316,808;47,78
317,071;47,78
317,334;47,74
317,597;47,71
317,86;47,68
318,123;47,61
318,386;47,61
318,649;47,57
318,912;47,5
319,175;47,4
319,437;47,35
319,7;47,31
319,963;47,25
320,226;47,17
320,489;47,1
320,751;47,06
321,014;47,01
321,277;46,95
321,54;46,91
321,802;46,83
322,065;46,75
322,328;46,67
322,59;46,57
322,853;46,49
323,116;46,43
323,378;46,38
323,641;46,33
323,903;46,23
324,166;46,2
324,428;46,15
324,691;46,12
324,953;46,1
325,216;46,05
325,478;46,01
325,741;45,95
326,003;45,91
326,266;45,81
326,528;45,77
326,791;45,73
327,053;45,67
327,315;45,61
327,578;45,6
327,84;45,54
328,102;45,49
328,365;45,46
328,627;45,42
328,889;45,35
329,151;45,31
329,414;45,28
329,676;45,21
329,938;45,12
330,2;45,05
330,462;45
330,725;44,94
330,987;44,88
331,249;44,8
331,511;44,75
331,773;44,69
332,035;44,65
332,297;44,62
332,559;44,57
332,821;44,53
333,083;44,44
333,345;44,41
333,607;44,37
333,869;44,34
334,131;44,26
334,393;44,24
334,655;44,21
334,917;44,18
335,179;44,16
335,44;44,16
335,702;44,15
335,964;44,14
336,226;44,11
336,488;44,08
336,749;44,09
337,011;44,09
337,273;44,09
337,535;44,06
337,796;43,98
338,058;43,98
338,32;43,95
338,581;43,9
338,843;43,87
339,105;43,87
339,366;43,83
339,628;43,83
339,889;43,79
340,151;43,75
340,412;43,68
340,674;43,66
340,935;43,61
341,197;43,6
341,458;43,54
341,72;43,53
341,981;43,5
342,243;43,46
342,504;43,4
342,766;43,4
343,027;43,37
343,288;43,34
343,55;43,27
343,811;43,26
344,072;43,22
344,334;43,19
344,595;43,1
344,856;43,02
345,117;42,94
345,379;42,91
345,64;42,86
345,901;42,81
346,162;42,72
346,423;42,67
346,684;42,56
346,946;42,47
347,207;42,39
347,468;42,32
347,729;42,2
347,99;42,12
348,251;41,98
348,512;41,89
348,773;41,84
349,034;41,79
349,295;41,71
349,556;41,65
349,817;41,54
350,078;41,5
350,339;41,49
350,6;41,47
350,86;41,37
351,121;41,35
351,382;41,28
351,643;41,24
351,904;41,19
352,165;41,2
352,425;41,17
352,686;41,14
352,947;41,11
353,208;41,14
353,468;41,18
353,729;41,19
353,99;41,15
354,25;41,11
354,511;41,06
354,772;41,02
355,032;41,02
355,293;41,02
355,553;41,01
355,814;40,97
356,074;40,89
356,335;40,85
356,596;40,78
356,856;40,79
357,116;40,79
357,377;40,8
357,637;40,74
357,898;40,71
358,158;40,67
358,419;40,61
358,679;40,54
358,939;40,46
359,2;40,41
359,46;40,45
359,72;40,39
359,981;40,38
360,241;40,32
360,501;40,29
360,761;40,29
361,022;40,22
361,282;40,22
361,542;40,23
361,802;40,21
362,062;40,21
362,323;40,14
362,583;40,1
362,843;40,04
363,103;40,02
363,363;39,94
363,623;39,94
363,883;39,93
364,143;39,9
364,403;39,87
364,663;39,89
364,923;39,8
365,183;39,81
365,443;39,8
365,703;39,8
365,963;39,71
366,223;39,66
366,483;39,66
366,743;39,6
367,002;39,57
367,262;39,6
367,522;39,53
367,782;39,52
368,042;39,49
368,301;39,48
368,561;39,44
368,821;39,43
369,081;39,33
369,34;39,3
369,6;39,24
369,86;39,26
370,119;39,15
370,379;39,12
370,638;39,04
370,898;38,98
371,158;38,94
371,417;38,94
371,677;38,91
371,936;38,86
372,196;38,84
372,455;38,79
372,715;38,74
372,974;38,72
373,234;38,68
373,493;38,66
373,753;38,63
374,012;38,61
374,271;38,62
374,531;38,65
374,79;38,64
375,049;38,65
375,309;38,61
375,568;38,57
375,827;38,55
376,086;38,56
376,346;38,56
376,605;38,6
376,864;38,57
377,123;38,56
377,383;38,53
377,642;38,54
377,901;38,54
378,16;38,51
378,419;38,45
378,678;38,43
378,937;38,37
379,196;38,33
379,455;38,32
379,714;38,27
379,973;38,19
380,232;38,17
380,491;38,18
380,75;38,14
381,009;38,12
381,268;38,15
381,527;38,09
381,786;38,04
382,045;37,98
382,304;37,97
382,563;37,93
382,821;37,95
383,08;37,87
383,339;37,86
383,598;37,8
383,857;37,81
384,115;37,79
384,374;37,82
384,633;37,79
384,891;37,79
385,15;37,75
385,409;37,79
385,667;37,78
385,926;37,72
386,185;37,65
386,443;37,65
386,702;37,6
386,96;37,61
387,219;37,6
387,477;37,58
387,736;37,53
387,994;37,53
388,253;37,48
388,511;37,47
388,77;37,41
389,028;37,4
389,287;37,4
389,545;37,38
389,803;37,31
390,062;37,29
390,32;37,26
390,578;37,22
390,837;37,23
391,095;37,19
391,353;37,22
391,612;37,19
391,87;37,2
392,128;37,19
392,386;37,16
392,644;37,17
392,903;37,19
393,161;37,15
393,419;37,1
393,677;37,09
393,935;37,07
394,193;37,05
394,451;37,1
394,709;37,02
394,967;37,06
395,225;37,07
395,483;37,08
395,741;37,09
395,999;37,11
396,257;37,09
396,515;37,08
396,773;37,07
397,031;37,08
397,289;37,09
397,547;37,05
397,805;37,04
398,062;37,01
398,32;36,97
398,578;36,99
398,836;36,99
399,094;36,97
399,351;36,97
399,609;36,94
399,867;36,86
400,124;36,86
400,382;36,83
400,64;36,83
400,897;36,82
401,155;36,74
401,413;36,71
401,67;36,66
401,928;36,66
402,185;36,59
402,443;36,57
402,701;36,54
402,958;36,52
403,216;36,51
403,473;36,48
403,73;36,44
403,988;36,39
404,245;36,39
404,503;36,41
404,76;36,42
405,018;36,41
405,275;36,4
405,532;36,38
405,79;36,31
406,047;36,24
406,304;36,21
406,561;36,23
