Data from ombraBrucWhite_Reflection__3__67.txt Node;
"Date: Thu Sep 11 17:28:59 CEST 2025 User: sycur";
290,955;18,83
291,22;18,84
291,484;18,81
291,749;18,76
292,014;18,75
292,278;18,7
292,543;18,64
292,807;18,63
293,072;18,64
293,336;18,61
293,6;18,58
293,865;18,57
294,129;18,54
294,394;18,53
294,658;18,52
294,922;18,5
295,187;18,51
295,451;18,49
295,715;18,48
295,98;18,49
296,244;18,45
296,508;18,44
296,773;18,41
297,037;18,4
297,301;18,39
297,565;18,39
297,829;18,36
298,094;18,38
298,358;18,36
298,622;18,32
298,886;18,29
299,15;18,29
299,414;18,27
299,678;18,31
299,942;18,3
300,206;18,26
300,47;18,25
300,734;18,22
300,998;18,19
301,262;18,17
301,526;18,14
301,79;18,12
302,054;18,1
302,318;18,09
302,582;18,07
302,846;18,06
303,11;18,04
303,374;18,05
303,637;18,02
303,901;18,02
304,165;18,01
304,429;18,01
304,693;17,94
304,956;17,92
305,22;17,88
305,484;17,84
305,747;17,83
306,011;17,8
306,275;17,76
306,538;17,74
306,802;17,73
307,066;17,73
307,329;17,71
307,593;17,7
307,856;17,67
308,12;17,63
308,384;17,61
308,647;17,55
308,911;17,53
309,174;17,48
309,438;17,43
309,701;17,42
309,964;17,41
310,228;17,41
310,491;17,38
310,755;17,36
311,018;17,38
311,281;17,37
311,545;17,34
311,808;17,33
312,071;17,29
312,335;17,24
312,598;17,2
312,861;17,17
313,124;17,11
313,388;17,1
313,651;17,11
313,914;17,06
314,177;17,06
314,44;17,03
314,704;17,05
314,967;17,04
315,23;17
315,493;16,95
315,756;16,94
316,019;16,92
316,282;16,91
316,545;16,87
316,808;16,86
317,071;16,88
317,334;16,87
317,597;16,87
317,86;16,85
318,123;16,83
318,386;16,87
318,649;16,86
318,912;16,83
319,175;16,77
319,437;16,77
319,7;16,77
319,963;16,73
320,226;16,68
320,489;16,65
320,751;16,63
321,014;16,61
321,277;16,58
321,54;16,57
321,802;16,54
322,065;16,51
322,328;16,44
322,59;16,38
322,853;16,35
323,116;16,31
323,378;16,29
323,641;16,28
323,903;16,22
324,166;16,2
324,428;16,16
324,691;16,14
324,953;16,13
325,216;16,09
325,478;16,08
325,741;16,06
326,003;16,04
326,266;15,97
326,528;15,95
326,791;15,95
327,053;15,91
327,315;15,86
327,578;15,85
