Data from crisocollaWhite_Reflection__3__61.txt Node;
"Date: Fri Sep 12 12:00:30 CEST 2025 User: sycur Spectrometer: SR400348 Trigger mode: 0 Integration Time (sec): 2,000000E-2 Scans to average: 20 Electric dark correction enabled: true Nonlinearity correction enabled: false Boxcar width: 10 XAxis mode: Wavelengths Number of Pixels in Spectrum: 3648 >>>>>Begin Spectral Data<<<<<";
286,455;1,66
286,72;1,66
286,985;1,66
287,249;1,67
287,514;1,66
287,779;1,66
288,044;1,65
288,309;1,65
288,573;1,65
288,838;1,65
289,103;1,65
289,367;1,65
289,632;1,65
289,897;1,65
290,161;1,65
290,426;1,64
290,691;1,65
290,955;1,64
291,22;1,64
291,484;1,63
291,749;1,63
292,014;1,63
292,278;1,62
292,543;1,61
292,807;1,61
293,072;1,62
293,336;1,61
293,6;1,61
293,865;1,61
294,129;1,61
294,394;1,6
294,658;1,61
294,922;1,6
295,187;1,61
295,451;1,61
295,715;1,62
295,98;1,62
296,244;1,62
296,508;1,62
296,773;1,63
297,037;1,63
297,301;1,64
297,565;1,63
297,829;1,63
298,094;1,64
298,358;1,64
298,622;1,65
298,886;1,65
299,15;1,66
299,414;1,67
299,678;1,68
299,942;1,68
300,206;1,66
300,47;1,67
300,734;1,67
300,998;1,67
301,262;1,68
301,526;1,68
301,79;1,68
302,054;1,68
302,318;1,68
302,582;1,69
302,846;1,68
303,11;1,68
303,374;1,69
303,637;1,69
303,901;1,69
304,165;1,68
304,429;1,68
304,693;1,68
304,956;1,68
305,22;1,68
305,484;1,67
305,747;1,68
306,011;1,69
306,275;1,69
306,538;1,69
306,802;1,68
307,066;1,68
307,329;1,68
307,593;1,69
307,856;1,69
308,12;1,7
308,384;1,7
308,647;1,7
308,911;1,7
309,174;1,69
309,438;1,69
309,701;1,69
309,964;1,68
310,228;1,67
310,491;1,67
310,755;1,68
311,018;1,69
311,281;1,69
311,545;1,69
311,808;1,69
312,071;1,68
312,335;1,67
312,598;1,67
312,861;1,66
313,124;1,66
313,388;1,66
313,651;1,66
313,914;1,66
314,177;1,66
314,44;1,66
314,704;1,67
314,967;1,68
315,23;1,68
315,493;1,68
315,756;1,69
316,019;1,69
316,282;1,69
316,545;1,69
316,808;1,69
317,071;1,69
317,334;1,7
317,597;1,71
317,86;1,7
318,123;1,71
318,386;1,72
318,649;1,72
318,912;1,72
319,175;1,71
319,437;1,71
319,7;1,72
319,963;1,71
320,226;1,71
320,489;1,71
320,751;1,71
321,014;1,7
321,277;1,72
321,54;1,73
321,802;1,73
322,065;1,73
322,328;1,72
322,59;1,72
322,853;1,72
323,116;1,73
323,378;1,74
323,641;1,74
323,903;1,74
324,166;1,75
324,428;1,75
324,691;1,75
324,953;1,74
325,216;1,74
325,478;1,75
325,741;1,75
326,003;1,76
326,266;1,77
326,528;1,78
326,791;1,78
327,053;1,76
327,315;1,76
327,578;1,76
327,84;1,76
328,102;1,77
328,365;1,77
328,627;1,77
328,889;1,77
329,151;1,78
329,414;1,78
329,676;1,78
329,938;1,79
330,2;1,8
330,462;1,81
330,725;1,81
330,987;1,81
331,249;1,81
331,511;1,8
331,773;1,81
332,035;1,82
332,297;1,83
332,559;1,84
332,821;1,85
333,083;1,85
333,345;1,86
333,607;1,87
333,869;1,86
334,131;1,86
334,393;1,87
334,655;1,86
334,917;1,86
335,179;1,87
335,44;1,88
335,702;1,87
335,964;1,88
336,226;1,89
336,488;1,9
336,749;1,91
337,011;1,93
337,273;1,94
337,535;1,94
337,796;1,93
338,058;1,94
338,32;1,95
338,581;1,94
338,843;1,96
339,105;1,96
339,366;1,98
339,628;1,99
339,889;1,99
340,151;2,01
340,412;2,02
340,674;2,02
340,935;2,03
341,197;2,04
341,458;2,04
341,72;2,04
341,981;2,04
342,243;2,06
342,504;2,06
342,766;2,06
343,027;2,07
343,288;2,08
343,55;2,08
343,811;2,07
344,072;2,09
344,334;2,09
344,595;2,09
344,856;2,1
345,117;2,11
345,379;2,11
345,64;2,11
345,901;2,12
346,162;2,13
346,423;2,13
346,684;2,13
346,946;2,13
