Data from crisocollaWhite_Reflection__1__59.txt Node;
"Date: Fri Sep 12 11:59:01 CEST 2025 User: sycur Spectrometer: SR400348 Trigger mode: 0 Integration Time (sec): 2,000000E-2 Scans to average: 20 Electric dark correction enabled: true Nonlinearity correction enabled: false Boxcar width: 10 XAxis mode: Wavelengths Number of Pixels in Spectrum: 3648 >>>>>Begin Spectral Data<<<<<";
286,72;6,94
286,985;6,98
287,249;7,01
287,514;7,05
287,779;7,09
288,044;7,13
288,309;7,16
288,573;7,2
288,838;7,25
289,103;7,29
289,367;7,34
289,632;7,38
289,897;7,43
290,161;7,49
290,426;7,53
290,691;7,59
290,955;7,64
291,22;7,69
291,484;7,73
291,749;7,78
292,014;7,84
292,278;7,9
292,543;7,94
292,807;7,99
293,072;8,06
293,336;8,11
293,6;8,17
293,865;8,22
294,129;8,28
294,394;8,34
294,658;8,41
294,922;8,46
295,187;8,52
295,451;8,58
295,715;8,64
295,98;8,7
296,244;8,75
296,508;8,8
296,773;8,86
297,037;8,91
297,301;8,96
297,565;9,01
297,829;9,06
298,094;9,11
298,358;9,16
298,622;9,21
298,886;9,25
299,15;9,3
299,414;9,35
299,678;9,41
299,942;9,44
300,206;9,48
300,47;9,54
300,734;9,58
300,998;9,61
301,262;9,65
301,526;9,69
301,79;9,73
302,054;9,76
302,318;9,8
302,582;9,84
302,846;9,88
303,11;9,92
303,374;9,96
303,637;9,99
303,901;10,03
304,165;10,06
304,429;10,1
304,693;10,12
304,956;10,17
305,22;10,2
305,484;10,24
305,747;10,26
306,011;10,28
306,275;10,31
306,538;10,34
306,802;10,36
307,066;10,4
307,329;10,43
307,593;10,47
307,856;10,5
308,12;10,54
308,384;10,58
308,647;10,6
308,911;10,64
309,174;10,68
309,438;10,7
309,701;10,74
309,964;10,77
310,228;10,81
310,491;10,82
310,755;10,86
311,018;10,89
311,281;10,92
311,545;10,95
311,808;10,98
312,071;11
312,335;11,04
312,598;11,07
312,861;11,1
313,124;11,12
313,388;11,15
313,651;11,18
313,914;11,19
314,177;11,23
314,44;11,26
314,704;11,3
314,967;11,32
315,23;11,35
315,493;11,38
315,756;11,41
316,019;11,44
316,282;11,48
316,545;11,52
316,808;11,56
317,071;11,59
317,334;11,63
317,597;11,67
317,86;11,69
318,123;11,74
318,386;11,77
318,649;11,8
318,912;11,83
319,175;11,86
319,437;11,91
319,7;11,95
319,963;11,98
320,226;12,02
320,489;12,05
320,751;12,08
321,014;12,1
321,277;12,15
321,54;12,18
321,802;12,22
322,065;12,26
322,328;12,28
322,59;12,32
322,853;12,37
323,116;12,41
323,378;12,46
323,641;12,49
323,903;12,54
324,166;12,59
324,428;12,64
324,691;12,68
324,953;12,7
325,216;12,75
325,478;12,8
325,741;12,84
326,003;12,89
326,266;12,93
326,528;12,99
326,791;13,03
327,053;13,07
327,315;13,09
327,578;13,13
327,84;13,17
328,102;13,22
328,365;13,25
328,627;13,29
328,889;13,32
329,151;13,37
329,414;13,41
329,676;13,45
329,938;13,48
330,2;13,52
330,462;13,55
330,725;13,58
330,987;13,62
331,249;13,67
331,511;13,71
331,773;13,76
332,035;13,79
332,297;13,84
332,559;13,9
332,821;13,96
333,083;13,99
333,345;14,06
333,607;14,1
333,869;14,16
334,131;14,21
334,393;14,28
334,655;14,33
334,917;14,4
335,179;14,45
335,44;14,53
335,702;14,59
335,964;14,67
336,226;14,73
336,488;14,79
336,749;14,86
337,011;14,93
337,273;15
337,535;15,07
337,796;15,14
338,058;15,22
338,32;15,29
338,581;15,38
338,843;15,45
339,105;15,54
339,366;15,63
339,628;15,72
339,889;15,79
340,151;15,87
340,412;15,92
340,674;16,01
340,935;16,08
341,197;16,17
341,458;16,24
341,72;16,33
341,981;16,39
342,243;16,47
342,504;16,54
342,766;16,61
343,027;16,67
343,288;16,73
343,55;16,78
343,811;16,85
344,072;16,91
344,334;16,97
344,595;17,01
344,856;17,05
345,117;17,1
345,379;17,17
345,64;17,22
345,901;17,29
346,162;17,33
346,423;17,39
346,684;17,43
346,946;17,5
347,207;17,55
347,468;17,61
347,729;17,68
347,99;17,74
348,251;17,82
348,512;17,88
348,773;17,96
349,034;18,04
349,295;18,1
349,556;18,18
349,817;18,25
350,078;18,34
350,339;18,43
350,6;18,52
350,86;18,59
351,121;18,69
351,382;18,76
351,643;18,86
351,904;18,94
352,165;19,06
352,425;19,15
352,686;19,26
352,947;19,35
353,208;19,45
353,468;19,54
353,729;19,62
353,99;19,7
354,25;19,79
354,511;19,86
354,772;19,98
355,032;20,07
355,293;20,17
355,553;20,28
355,814;20,36
356,074;20,45
356,335;20,55
356,596;20,65
356,856;20,78
357,116;20,89
357,377;21,01
357,637;21,09
357,898;21,2
358,158;21,28
358,419;21,4
358,679;21,49
358,939;21,61
359,2;21,71
359,46;21,84
359,72;21,94
359,981;22,08
360,241;22,15
360,501;22,27
360,761;22,37
361,022;22,46
361,282;22,58
361,542;22,71
361,802;22,81
362,062;22,93
362,323;23,01
362,583;23,12
362,843;23,21
363,103;23,32
363,363;23,4
363,623;23,53
363,883;23,63
364,143;23,76
364,403;23,84
364,663;23,97
364,923;24,07
365,183;24,19
365,443;24,29
365,703;24,42
365,963;24,51
366,223;24,61
366,483;24,71
366,743;24,82
367,002;24,92
367,262;25,04
367,522;25,14
367,782;25,26
368,042;25,35
368,301;25,45
368,561;25,57
368,821;25,68
369,081;25,75
369,34;25,85
369,6;25,94
369,86;26,07
370,119;26,16
370,379;26,27
370,638;26,36
370,898;26,45
371,158;26,53
371,417;26,66
371,677;26,78
371,936;26,9
372,196;27
372,455;27,11
372,715;27,21
372,974;27,33
373,234;27,42
373,493;27,57
373,753;27,67
374,012;27,79
374,271;27,88
374,531;28,02
374,79;28,13
375,049;28,26
375,309;28,36
375,568;28,48
375,827;28,58
376,086;28,72
376,346;28,85
376,605;28,98
376,864;29,09
377,123;29,23
377,383;29,34
377,642;29,45
377,901;29,57
378,16;29,67
378,419;29,77
378,678;29,89
378,937;29,96
379,196;30,09
379,455;30,19
379,714;30,29
379,973;30,39
380,232;30,53
380,491;30,61
380,75;30,72
381,009;30,84
381,268;30,96
381,527;31,04
381,786;31,15
382,045;31,26
