Data from crisocollaWhite_Reflection__2__60.txt Node;
"Date: Fri Sep 12 11:59:42 CEST 2025 User: sycur Spectrometer: SR400348 Trigger mode: 0 Integration Time (sec): 2,000000E-2 Scans to average: 20 Electric dark correction enabled: true Nonlinearity correction enabled: false Boxcar width: 10 XAxis mode: Wavelengths Number of Pixels in Spectrum: 3648 >>>>>Begin Spectral Data<<<<<";
286,455;5,78
286,72;5,8
286,985;5,8
287,249;5,8
287,514;5,8
287,779;5,82
288,044;5,82
288,309;5,81
288,573;5,82
288,838;5,83
289,103;5,84
289,367;5,84
289,632;5,84
289,897;5,85
290,161;5,86
290,426;5,86
290,691;5,87
290,955;5,87
291,22;5,86
291,484;5,86
291,749;5,87
292,014;5,88
292,278;5,89
292,543;5,9
292,807;5,92
293,072;5,93
293,336;5,93
293,6;5,94
293,865;5,95
294,129;5,95
294,394;5,96
294,658;5,98
294,922;5,98
295,187;6
295,451;6,01
295,715;6,01
295,98;6,02
296,244;6,03
296,508;6,03
296,773;6,05
297,037;6,05
297,301;6,05
297,565;6,06
297,829;6,05
298,094;6,06
298,358;6,06
298,622;6,07
298,886;6,07
299,15;6,08
299,414;6,09
299,678;6,11
299,942;6,11
300,206;6,1
300,47;6,11
300,734;6,11
300,998;6,11
301,262;6,12
301,526;6,12
301,79;6,13
302,054;6,12
302,318;6,13
302,582;6,13
302,846;6,13
303,11;6,14
303,374;6,15
303,637;6,14
303,901;6,15
304,165;6,14
304,429;6,15
304,693;6,16
304,956;6,17
305,22;6,16
305,484;6,17
305,747;6,17
306,011;6,16
306,275;6,16
306,538;6,17
306,802;6,18
307,066;6,18
307,329;6,18
307,593;6,19
307,856;6,2
308,12;6,21
308,384;6,21
308,647;6,21
308,911;6,21
309,174;6,22
309,438;6,22
309,701;6,23
309,964;6,23
310,228;6,24
310,491;6,23
310,755;6,25
311,018;6,27
311,281;6,28
311,545;6,29
311,808;6,29
312,071;6,29
312,335;6,29
312,598;6,3
312,861;6,3
313,124;6,29
313,388;6,3
313,651;6,32
313,914;6,32
314,177;6,32
314,44;6,34
314,704;6,34
314,967;6,35
315,23;6,36
315,493;6,37
315,756;6,36
316,019;6,37
316,282;6,37
316,545;6,37
316,808;6,38
317,071;6,39
317,334;6,42
317,597;6,42
317,86;6,42
318,123;6,43
318,386;6,44
318,649;6,46
318,912;6,47
319,175;6,47
319,437;6,49
319,7;6,5
319,963;6,51
320,226;6,51
320,489;6,52
320,751;6,52
321,014;6,53
321,277;6,56
321,54;6,58
321,802;6,59
322,065;6,6
322,328;6,62
322,59;6,61
322,853;6,63
323,116;6,65
323,378;6,66
323,641;6,68
323,903;6,69
324,166;6,71
324,428;6,72
324,691;6,72
324,953;6,72
325,216;6,73
325,478;6,75
325,741;6,78
326,003;6,79
326,266;6,81
326,528;6,83
326,791;6,84
327,053;6,85
327,315;6,86
327,578;6,87
327,84;6,89
328,102;6,91
328,365;6,91
328,627;6,93
328,889;6,94
329,151;6,96
329,414;6,97
329,676;6,99
329,938;7,01
330,2;7,03
330,462;7,05
330,725;7,07
330,987;7,08
331,249;7,09
331,511;7,1
331,773;7,13
332,035;7,15
332,297;7,17
332,559;7,17
332,821;7,19
333,083;7,21
333,345;7,24
333,607;7,25
333,869;7,28
334,131;7,3
334,393;7,33
334,655;7,34
334,917;7,36
335,179;7,39
335,44;7,41
335,702;7,43
335,964;7,47
336,226;7,49
336,488;7,52
336,749;7,56
337,011;7,59
337,273;7,62
337,535;7,64
337,796;7,65
338,058;7,7
338,32;7,74
338,581;7,77
338,843;7,8
339,105;7,84
339,366;7,87
339,628;7,92
339,889;7,95
340,151;7,99
340,412;8,03
340,674;8,06
340,935;8,11
341,197;8,15
341,458;8,18
341,72;8,21
341,981;8,25
342,243;8,28
342,504;8,31
342,766;8,34
343,027;8,37
343,288;8,41
343,55;8,44
343,811;8,48
344,072;8,52
344,334;8,54
344,595;8,57
344,856;8,6
345,117;8,62
345,379;8,66
345,64;8,69
345,901;8,71
346,162;8,72
346,423;8,75
346,684;8,76
346,946;8,79
347,207;8,83
347,468;8,84
347,729;8,87
347,99;8,92
348,251;8,95
348,512;9,01
348,773;9,04
349,034;9,07
349,295;9,09
349,556;9,11
349,817;9,16
350,078;9,22
350,339;9,26
350,6;9,31
350,86;9,35
351,121;9,39
351,382;9,44
351,643;9,49
351,904;9,52
352,165;9,58
352,425;9,63
352,686;9,68
352,947;9,72
353,208;9,79
353,468;9,85
353,729;9,89
