Data from TV_VeronaWhite_Reflection__0__13.txt Node;
"Date: Thu Sep 11 15:40:28 CEST 2025 User: sycur";
290,955;34,7
291,22;34,73
291,484;34,77
291,749;34,8
292,014;34,82
292,278;34,85
292,543;34,9
292,807;34,94
293,072;34,99
293,336;35,01
293,6;35,03
293,865;35,07
294,129;35,11
294,394;35,16
294,658;35,18
294,922;35,2
295,187;35,22
295,451;35,26
295,715;35,27
295,98;35,3
296,244;35,31
296,508;35,34
296,773;35,37
297,037;35,39
297,301;35,41
297,565;35,43
297,829;35,45
298,094;35,47
298,358;35,48
298,622;35,49
298,886;35,5
299,15;35,54
299,414;35,58
299,678;35,61
299,942;35,61
300,206;35,63
300,47;35,66
300,734;35,68
300,998;35,71
301,262;35,74
301,526;35,77
301,79;35,81
302,054;35,84
302,318;35,85
302,582;35,88
302,846;35,91
303,11;35,92
303,374;35,95
303,637;35,97
303,901;36,01
304,165;36,03
304,429;36,07
304,693;36,08
304,956;36,09
305,22;36,11
305,484;36,14
305,747;36,18
306,011;36,18
306,275;36,18
306,538;36,21
306,802;36,23
307,066;36,26
307,329;36,29
307,593;36,31
307,856;36,33
308,12;36,34
308,384;36,35
308,647;36,37
308,911;36,4
309,174;36,42
309,438;36,43
309,701;36,47
309,964;36,49
310,228;36,51
310,491;36,54
310,755;36,55
311,018;36,58
311,281;36,59
311,545;36,62
311,808;36,65
312,071;36,65
312,335;36,67
312,598;36,68
312,861;36,68
313,124;36,7
313,388;36,72
313,651;36,74
313,914;36,74
314,177;36,78
314,44;36,81
314,704;36,84
314,967;36,85
315,23;36,86
315,493;36,88
315,756;36,9
316,019;36,89
316,282;36,92
316,545;36,93
316,808;36,94
317,071;36,97
317,334;36,99
317,597;37,02
317,86;37,04
318,123;37,04
318,386;37,07
318,649;37,07
318,912;37,1
319,175;37,12
319,437;37,14
319,7;37,14
319,963;37,14
320,226;37,15
320,489;37,15
320,751;37,16
321,014;37,13
321,277;37,14
321,54;37,16
321,802;37,16
322,065;37,16
322,328;37,18
322,59;37,18
322,853;37,19
323,116;37,19
323,378;37,19
323,641;37,2
323,903;37,18
324,166;37,21
324,428;37,2
324,691;37,21
324,953;37,23
325,216;37,25
325,478;37,27
325,741;37,27
326,003;37,3
326,266;37,31
326,528;37,36
326,791;37,39
327,053;37,4
327,315;37,41
327,578;37,44
327,84;37,44
328,102;37,45
328,365;37,47
328,627;37,49
328,889;37,5
329,151;37,53
329,414;37,55
329,676;37,56
329,938;37,56
330,2;37,59
330,462;37,63
330,725;37,62
330,987;37,62
331,249;37,65
331,511;37,66
331,773;37,67
332,035;37,67
332,297;37,68
332,559;37,69
332,821;37,7
333,083;37,71
333,345;37,75
333,607;37,77
333,869;37,79
334,131;37,82
334,393;37,86
334,655;37,9
334,917;37,95
335,179;37,98
335,44;38,01
335,702;38,04
335,964;38,07
336,226;38,11
336,488;38,14
336,749;38,17
337,011;38,21
337,273;38,26
337,535;38,32
337,796;38,34
338,058;38,38
338,32;38,42
338,581;38,44
338,843;38,48
339,105;38,5
339,366;38,53
339,628;38,56
339,889;38,57
340,151;38,59
340,412;38,61
340,674;38,65
340,935;38,68
341,197;38,71
341,458;38,71
341,72;38,76
341,981;38,78
342,243;38,8
342,504;38,81
342,766;38,84
343,027;38,84
343,288;38,87
343,55;38,89
343,811;38,91
344,072;38,93
344,334;38,94
344,595;38,96
344,856;38,97
345,117;38,96
345,379;39
345,64;39,01
345,901;39,02
346,162;39,02
346,423;39,05
346,684;39,04
346,946;39,07
347,207;39,06
347,468;39,06
347,729;39,05
347,99;39,07
348,251;39,05
348,512;39,08
348,773;39,07
349,034;39,07
349,295;39,07
349,556;39,08
349,817;39,07
350,078;39,09
350,339;39,12
350,6;39,15
350,86;39,14
351,121;39,17
351,382;39,18
351,643;39,2
351,904;39,21
352,165;39,26
352,425;39,32
352,686;39,37
352,947;39,4
353,208;39,45
353,468;39,47
353,729;39,51
353,99;39,53
354,25;39,57
354,511;39,62
354,772;39,68
355,032;39,72
355,293;39,82
355,553;39,85
355,814;39,89
356,074;39,92
356,335;39,98
356,596;40
356,856;40,05
357,116;40,11
357,377;40,15
357,637;40,16
357,898;40,18
358,158;40,22
358,419;40,29
358,679;40,32
358,939;40,36
359,2;40,41
359,46;40,46
359,72;40,53
359,981;40,57
360,241;40,61
360,501;40,67
360,761;40,69
361,022;40,75
361,282;40,79
361,542;40,85
361,802;40,88
362,062;40,93
362,323;41
362,583;41,03
362,843;41,06
363,103;41,13
363,363;41,17
363,623;41,22
363,883;41,26
364,143;41,33
364,403;41,37
364,663;41,43
364,923;41,48
365,183;41,51
365,443;41,54
365,703;41,58
365,963;41,62
366,223;41,64
366,483;41,68
366,743;41,72
367,002;41,77
367,262;41,83
367,522;41,89
367,782;41,91
368,042;41,97
368,301;42,02
368,561;42,06
368,821;42,09
369,081;42,12
369,34;42,17
369,6;42,21
369,86;42,25
370,119;42,27
370,379;42,3
370,638;42,33
370,898;42,39
371,158;42,47
371,417;42,52
371,677;42,59
371,936;42,66
372,196;42,72
372,455;42,74
372,715;42,78
372,974;42,84
373,234;42,89
373,493;42,95
373,753;43,02
374,012;43,09
374,271;43,17
374,531;43,25
374,79;43,3
375,049;43,36
375,309;43,45
375,568;43,54
375,827;43,64
376,086;43,73
376,346;43,81
376,605;43,88
376,864;43,93
377,123;44
377,383;44,05
377,642;44,12
377,901;44,19
378,16;44,27
378,419;44,32
378,678;44,36
378,937;44,43
379,196;44,48
379,455;44,53
379,714;44,58
379,973;44,61
380,232;44,69
380,491;44,75
380,75;44,79
381,009;44,85
381,268;44,9
381,527;44,95
381,786;44,98
382,045;45,03
382,304;45,08
382,563;45,12
382,821;45,18
383,08;45,22
383,339;45,29
383,598;45,35
383,857;45,42
384,115;45,49
384,374;45,55
384,633;45,61
384,891;45,68
385,15;45,72
385,409;45,81
385,667;45,85
385,926;45,91
386,185;45,99
386,443;46,03
386,702;46,09
386,96;46,12
387,219;46,18
387,477;46,24
387,736;46,31
387,994;46,38
388,253;46,43
388,511;46,5
388,77;46,56
389,028;46,6
389,287;46,68
389,545;46,75
389,803;46,82
390,062;46,88
390,32;46,93
390,578;47,01
390,837;47,07
391,095;47,15
391,353;47,18
391,612;47,23
391,87;47,29
392,128;47,33
392,386;47,41
392,644;47,5
392,903;47,53
393,161;47,6
393,419;47,66
393,677;47,73
393,935;47,78
394,193;47,82
394,451;47,89
394,709;47,94
394,967;47,98
395,225;48,02
395,483;48,07
395,741;48,11
395,999;48,14
396,257;48,18
396,515;48,19
396,773;48,26
397,031;48,29
397,289;48,38
397,547;48,42
397,805;48,46
398,062;48,5
398,32;48,55
398,578;48,58
398,836;48,61
399,094;48,65
399,351;48,71
399,609;48,76
399,867;48,78
400,124;48,79
400,382;48,84
400,64;48,88
400,897;48,95
401,155;48,98
401,413;49,04
401,67;49,08
401,928;49,14
402,185;49,18
402,443;49,22
402,701;49,24
402,958;49,29
403,216;49,33
403,473;49,36
403,73;49,39
403,988;49,42
404,245;49,4
404,503;49,44
404,76;49,44
405,018;49,46
405,275;49,49
405,532;49,55
405,79;49,58
406,047;49,59
406,304;49,62
406,561;49,66
406,819;49,68
407,076;49,74
407,333;49,74
407,59;49,75
407,848;49,78
408,105;49,83
408,362;49,86
408,619;49,89
408,876;49,92
409,133;49,95
409,39;49,96
409,647;50,04
409,904;50,09
410,161;50,13
410,418;50,2
410,675;50,26
410,932;50,28
411,189;50,32
411,446;50,32
411,703;50,36
411,96;50,43
412,217;50,48
412,474;50,51
412,731;50,55
412,988;50,61
413,245;50,64
413,501;50,66
413,758;50,68
414,015;50,72
414,272;50,74
414,529;50,8
414,785;50,84
415,042;50,89
