Data from TV_VeronaWhite_Reflection__4__17.txt Node;
"Date: Thu Sep 11 15:51:20 CEST 2025 User: sycur";
290,955;1,8
291,22;1,81
291,484;1,81
291,749;1,81
292,014;1,81
292,278;1,82
292,543;1,83
292,807;1,83
293,072;1,84
293,336;1,84
293,6;1,84
293,865;1,83
294,129;1,83
294,394;1,83
294,658;1,85
294,922;1,86
295,187;1,85
295,451;1,85
295,715;1,85
295,98;1,86
296,244;1,87
296,508;1,87
296,773;1,87
297,037;1,88
297,301;1,89
297,565;1,89
297,829;1,88
298,094;1,89
298,358;1,88
298,622;1,87
298,886;1,87
299,15;1,87
299,414;1,88
299,678;1,89
299,942;1,89
300,206;1,89
300,47;1,89
300,734;1,9
300,998;1,9
301,262;1,91
301,526;1,9
301,79;1,91
302,054;1,92
302,318;1,91
302,582;1,9
302,846;1,91
303,11;1,92
303,374;1,92
303,637;1,92
303,901;1,93
304,165;1,94
304,429;1,94
304,693;1,94
304,956;1,93
305,22;1,93
305,484;1,93
305,747;1,93
306,011;1,93
306,275;1,92
306,538;1,92
306,802;1,92
307,066;1,93
307,329;1,93
307,593;1,94
307,856;1,94
308,12;1,94
308,384;1,94
308,647;1,94
308,911;1,95
309,174;1,95
309,438;1,96
309,701;1,97
309,964;1,98
310,228;1,99
310,491;1,99
310,755;2
311,018;2
311,281;2
311,545;2,01
311,808;2,02
312,071;2,02
312,335;2,03
312,598;2,03
312,861;2,03
313,124;2,03
313,388;2,03
313,651;2,04
313,914;2,04
314,177;2,04
314,44;2,04
314,704;2,05
314,967;2,04
315,23;2,04
315,493;2,03
315,756;2,03
316,019;2,04
316,282;2,05
316,545;2,05
316,808;2,06
317,071;2,07
317,334;2,08
317,597;2,08
317,86;2,08
318,123;2,08
318,386;2,08
318,649;2,08
318,912;2,08
319,175;2,08
319,437;2,09
319,7;2,1
319,963;2,1
320,226;2,11
320,489;2,11
320,751;2,11
321,014;2,12
321,277;2,12
321,54;2,12
321,802;2,12
322,065;2,12
322,328;2,12
322,59;2,13
322,853;2,12
323,116;2,13
323,378;2,13
323,641;2,13
323,903;2,13
324,166;2,13
324,428;2,13
324,691;2,14
324,953;2,14
325,216;2,14
325,478;2,14
325,741;2,13
326,003;2,13
326,266;2,13
326,528;2,13
326,791;2,14
327,053;2,13
327,315;2,13
327,578;2,14
327,84;2,13
328,102;2,12
328,365;2,12
328,627;2,13
328,889;2,13
329,151;2,14
329,414;2,14
329,676;2,14
329,938;2,14
330,2;2,13
330,462;2,13
330,725;2,13
330,987;2,14
331,249;2,14
331,511;2,15
331,773;2,15
332,035;2,15
332,297;2,17
332,559;2,18
332,821;2,19
333,083;2,18
333,345;2,2
333,607;2,21
333,869;2,21
334,131;2,21
334,393;2,23
334,655;2,22
334,917;2,23
335,179;2,23
335,44;2,22
335,702;2,25
335,964;2,27
336,226;2,27
336,488;2,27
336,749;2,28
337,011;2,29
337,273;2,29
337,535;2,29
337,796;2,29
338,058;2,29
338,32;2,29
338,581;2,29
338,843;2,28
339,105;2,28
339,366;2,29
339,628;2,3
339,889;2,3
340,151;2,31
340,412;2,32
340,674;2,33
340,935;2,33
341,197;2,33
341,458;2,32
341,72;2,33
341,981;2,34
342,243;2,34
342,504;2,33
342,766;2,35
343,027;2,36
343,288;2,37
343,55;2,37
343,811;2,37
344,072;2,37
344,334;2,39
344,595;2,38
344,856;2,39
345,117;2,4
345,379;2,42
345,64;2,42
345,901;2,43
346,162;2,43
346,423;2,43
346,684;2,43
346,946;2,43
347,207;2,44
347,468;2,44
347,729;2,44
347,99;2,44
348,251;2,44
348,512;2,44
348,773;2,44
349,034;2,44
349,295;2,44
349,556;2,43
349,817;2,43
350,078;2,42
350,339;2,41
350,6;2,42
350,86;2,4
351,121;2,4
351,382;2,4
351,643;2,39
351,904;2,4
352,165;2,4
352,425;2,41
352,686;2,43
352,947;2,43
353,208;2,44
353,468;2,44
353,729;2,44
353,99;2,44
354,25;2,44
354,511;2,45
354,772;2,46
355,032;2,46
355,293;2,48
355,553;2,48
355,814;2,5
356,074;2,5
356,335;2,52
356,596;2,53
356,856;2,53
357,116;2,54
357,377;2,55
357,637;2,56
357,898;2,55
358,158;2,54
358,419;2,55
358,679;2,54
358,939;2,55
359,2;2,56
359,46;2,57
359,72;2,59
359,981;2,59
360,241;2,61
360,501;2,63
360,761;2,62
361,022;2,64
361,282;2,64
361,542;2,66
361,802;2,66
362,062;2,66
362,323;2,68
362,583;2,68
362,843;2,69
363,103;2,68
363,363;2,68
363,623;2,7
363,883;2,7
364,143;2,72
364,403;2,72
364,663;2,74
364,923;2,75
365,183;2,76
365,443;2,76
365,703;2,76
365,963;2,77
366,223;2,8
366,483;2,81
366,743;2,81
367,002;2,81
367,262;2,83
367,522;2,83
367,782;2,84
368,042;2,85
368,301;2,85
368,561;2,87
368,821;2,89
369,081;2,88
369,34;2,89
369,6;2,9
369,86;2,91
370,119;2,92
370,379;2,92
370,638;2,93
370,898;2,94
371,158;2,95
371,417;2,96
371,677;2,96
371,936;2,96
372,196;2,97
372,455;2,99
372,715;2,99
372,974;3,01
373,234;3,03
373,493;3,04
373,753;3,06
374,012;3,06
374,271;3,07
374,531;3,1
374,79;3,11
375,049;3,13
375,309;3,14
375,568;3,14
375,827;3,16
376,086;3,17
376,346;3,21
376,605;3,2
376,864;3,21
377,123;3,25
377,383;3,27
377,642;3,3
377,901;3,31
378,16;3,33
378,419;3,34
378,678;3,34
378,937;3,35
379,196;3,36
379,455;3,39
379,714;3,4
379,973;3,41
380,232;3,45
380,491;3,46
380,75;3,47
381,009;3,49
381,268;3,51
381,527;3,52
381,786;3,51
382,045;3,52
382,304;3,53
382,563;3,52
382,821;3,53
383,08;3,54
383,339;3,56
383,598;3,58
383,857;3,61
384,115;3,63
384,374;3,65
384,633;3,66
384,891;3,68
385,15;3,69
385,409;3,7
385,667;3,71
385,926;3,73
386,185;3,75
386,443;3,76
386,702;3,78
386,96;3,8
387,219;3,81
387,477;3,83
387,736;3,85
387,994;3,87
388,253;3,89
388,511;3,92
388,77;3,93
389,028;3,93
389,287;3,93
389,545;3,97
389,803;4
390,062;4,03
390,32;4,05
390,578;4,08
390,837;4,1
391,095;4,11
391,353;4,13
391,612;4,15
391,87;4,17
392,128;4,18
392,386;4,2
392,644;4,24
392,903;4,27
393,161;4,29
393,419;4,3
393,677;4,31
393,935;4,31
394,193;4,34
394,451;4,37
394,709;4,39
394,967;4,39
395,225;4,4
395,483;4,41
395,741;4,43
395,999;4,44
396,257;4,45
396,515;4,46
396,773;4,47
397,031;4,49
397,289;4,51
397,547;4,54
397,805;4,54
398,062;4,55
398,32;4,56
398,578;4,58
398,836;4,61
399,094;4,64
399,351;4,65
399,609;4,65
399,867;4,64
400,124;4,65
400,382;4,67
400,64;4,68
400,897;4,69
401,155;4,71
401,413;4,73
401,67;4,74
401,928;4,76
402,185;4,76
402,443;4,77
402,701;4,78
402,958;4,79
403,216;4,82
403,473;4,81
403,73;4,82
403,988;4,81
404,245;4,8
404,503;4,81
404,76;4,83
405,018;4,84
405,275;4,86
405,532;4,86
405,79;4,87
406,047;4,88
406,304;4,9
406,561;4,89
406,819;4,9
407,076;4,92
407,333;4,92
407,59;4,94
407,848;4,95
408,105;4,97
408,362;4,98
408,619;4,99
408,876;5,02
409,133;5,02
409,39;5,05
409,647;5,05
409,904;5,06
410,161;5,07
410,418;5,1
410,675;5,14
410,932;5,15
411,189;5,16
411,446;5,17
411,703;5,18
411,96;5,2
412,217;5,21
412,474;5,24
412,731;5,26
412,988;5,27
413,245;5,28
413,501;5,28
413,758;5,28
414,015;5,3
414,272;5,31
414,529;5,34
414,785;5,34
415,042;5,37
415,299;5,38
415,555;5,42
415,812;5,42
416,069;5,43
416,325;5,44
416,582;5,44
416,838;5,47
417,095;5,49
417,352;5,5
417,608;5,53
417,865;5,53
418,121;5,53
418,378;5,55
418,634;5,58
418,891;5,61
419,147;5,63
419,403;5,64
419,66;5,66
419,916;5,66
420,173;5,68
420,429;5,71
420,685;5,72
420,942;5,74
421,198;5,76
421,454;5,78
421,711;5,8
421,967;5,83
422,223;5,84
422,479;5,86
422,735;5,89
422,992;5,91
423,248;5,94
423,504;5,97
423,76;5,99
424,016;6
424,272;6,01
424,528;6,03
424,784;6,04
425,041;6,05
425,297;6,08
425,553;6,1
425,809;6,12
426,065;6,16
426,32;6,17
426,576;6,2
426,832;6,19
427,088;6,2
427,344;6,22
427,6;6,25
427,856;6,26
428,112;6,29
428,368;6,3
428,623;6,32
428,879;6,34
429,135;6,35
429,391;6,37
429,646;6,39
429,902;6,42
430,158;6,44
430,414;6,47
430,669;6,49
430,925;6,53
431,181;6,54
431,436;6,57
431,692;6,59
431,947;6,6
432,203;6,65
432,458;6,68
432,714;6,68
432,97;6,7
433,225;6,72
433,481;6,72
433,736;6,75
433,991;6,78
434,247;6,79
434,502;6,83
434,758;6,85
435,013;6,88
435,268;6,92
435,524;6,95
435,779;6,99
436,034;7,01
436,29;7,03
436,545;7,06
436,8;7,08
437,056;7,1
437,311;7,13
437,566;7,17
437,821;7,19
438,076;7,23
438,331;7,27
438,587;7,31
438,842;7,35
439,097;7,4
439,352;7,44
439,607;7,48
439,862;7,51
440,117;7,55
440,372;7,59
440,627;7,61
440,882;7,63
441,137;7,66
441,392;7,73
441,647;7,75
441,902;7,78
442,157;7,81
442,412;7,86
442,667;7,89
442,921;7,91
443,176;7,95
443,431;8
443,686;8,03
443,941;8,06
444,195;8,1
444,45;8,12
444,705;8,15
444,96;8,18
445,214;8,21
445,469;8,25
445,724;8,29
445,978;8,33
446,233;8,36
446,487;8,37
446,742;8,37
446,997;8,41
447,251;8,44
447,506;8,47
447,76;8,47
448,015;8,5
448,269;8,52
448,524;8,55
448,778;8,57
449,033;8,58
449,287;8,6
449,541;8,61
449,796;8,64
450,05;8,65
450,305;8,68
450,559;8,69
450,813;8,72
451,067;8,73
451,322;8,75
451,576;8,79
451,83;8,82
452,084;8,84
452,339;8,86
452,593;8,87
452,847;8,89
453,101;8,93
453,355;8,95
453,609;8,99
453,864;9,01
454,118;9,04
454,372;9,06
454,626;9,09
454,88;9,13
455,134;9,16
455,388;9,19
455,642;9,22
455,896;9,25
456,15;9,27
456,404;9,3
456,658;9,31
456,912;9,34
457,165;9,38
457,419;9,42
457,673;9,44
457,927;9,47
458,181;9,52
458,435;9,55
458,688;9,59
458,942;9,62
459,196;9,65
459,45;9,67
459,703;9,72
