Data from TV_VeronaWhite_Reflection__1__14.txt Node;
"Date: Thu Sep 11 15:41:41 CEST 2025 User: sycur";
290,955;2,25
291,22;2,25
291,484;2,25
291,749;2,24
292,014;2,25
292,278;2,25
292,543;2,24
292,807;2,25
293,072;2,24
293,336;2,25
293,6;2,25
293,865;2,25
294,129;2,24
294,394;2,25
294,658;2,26
294,922;2,25
295,187;2,25
295,451;2,26
295,715;2,25
295,98;2,25
296,244;2,26
296,508;2,25
296,773;2,25
297,037;2,25
297,301;2,26
297,565;2,25
297,829;2,25
298,094;2,26
298,358;2,25
298,622;2,25
298,886;2,24
299,15;2,23
299,414;2,23
299,678;2,24
299,942;2,23
300,206;2,23
300,47;2,23
300,734;2,23
300,998;2,22
301,262;2,22
301,526;2,22
301,79;2,22
302,054;2,22
302,318;2,22
302,582;2,22
302,846;2,22
303,11;2,22
303,374;2,22
303,637;2,21
303,901;2,21
304,165;2,22
304,429;2,22
304,693;2,22
304,956;2,21
305,22;2,2
305,484;2,2
305,747;2,19
306,011;2,18
306,275;2,17
306,538;2,18
306,802;2,18
307,066;2,18
307,329;2,18
307,593;2,17
307,856;2,17
308,12;2,16
308,384;2,15
308,647;2,15
308,911;2,16
309,174;2,15
309,438;2,15
309,701;2,16
309,964;2,17
310,228;2,17
310,491;2,18
310,755;2,18
311,018;2,19
311,281;2,18
311,545;2,19
311,808;2,2
312,071;2,19
312,335;2,19
312,598;2,19
312,861;2,2
313,124;2,2
313,388;2,2
313,651;2,21
313,914;2,21
314,177;2,22
314,44;2,22
314,704;2,22
314,967;2,21
315,23;2,19
315,493;2,18
315,756;2,18
316,019;2,17
316,282;2,18
316,545;2,18
316,808;2,2
317,071;2,2
317,334;2,21
317,597;2,21
317,86;2,21
318,123;2,22
318,386;2,21
318,649;2,2
318,912;2,19
319,175;2,19
319,437;2,19
319,7;2,18
319,963;2,18
320,226;2,19
320,489;2,19
320,751;2,19
321,014;2,2
321,277;2,2
321,54;2,19
321,802;2,19
322,065;2,18
322,328;2,16
322,59;2,17
322,853;2,16
323,116;2,14
323,378;2,14
323,641;2,12
323,903;2,12
324,166;2,13
324,428;2,13
324,691;2,14
324,953;2,14
325,216;2,14
325,478;2,13
325,741;2,11
326,003;2,12
326,266;2,09
326,528;2,1
326,791;2,09
327,053;2,09
327,315;2,08
327,578;2,09
327,84;2,09
328,102;2,09
328,365;2,08
328,627;2,08
328,889;2,08
329,151;2,09
329,414;2,1
329,676;2,09
329,938;2,08
330,2;2,08
330,462;2,08
330,725;2,08
330,987;2,09
331,249;2,1
331,511;2,09
331,773;2,1
332,035;2,1
332,297;2,09
332,559;2,11
332,821;2,1
333,083;2,09
333,345;2,1
333,607;2,09
333,869;2,1
334,131;2,1
334,393;2,1
334,655;2,1
334,917;2,1
335,179;2,1
335,44;2,1
335,702;2,1
335,964;2,1
336,226;2,1
336,488;2,09
336,749;2,1
337,011;2,11
337,273;2,1
337,535;2,11
337,796;2,11
338,058;2,1
338,32;2,11
338,581;2,11
338,843;2,1
339,105;2,1
339,366;2,11
339,628;2,11
339,889;2,11
340,151;2,11
340,412;2,11
340,674;2,12
340,935;2,12
341,197;2,12
341,458;2,11
341,72;2,12
341,981;2,13
342,243;2,13
342,504;2,12
342,766;2,14
343,027;2,14
343,288;2,15
343,55;2,14
343,811;2,14
344,072;2,15
344,334;2,16
344,595;2,16
344,856;2,17
345,117;2,17
345,379;2,18
345,64;2,18
345,901;2,18
346,162;2,17
346,423;2,18
346,684;2,17
346,946;2,19
347,207;2,18
347,468;2,18
347,729;2,16
347,99;2,17
348,251;2,15
348,512;2,16
348,773;2,14
349,034;2,14
349,295;2,14
349,556;2,13
349,817;2,12
350,078;2,12
350,339;2,12
350,6;2,13
350,86;2,11
351,121;2,11
351,382;2,1
351,643;2,1
351,904;2,1
352,165;2,11
352,425;2,11
352,686;2,11
352,947;2,11
353,208;2,1
353,468;2,1
