Data from TV_VeronaWhite_Reflection__3__16.txt Node;
"Date: Thu Sep 11 15:50:24 CEST 2025 User: sycur";
290,955;3,44
291,22;3,43
291,484;3,44
291,749;3,43
292,014;3,43
292,278;3,43
292,543;3,42
292,807;3,42
293,072;3,42
293,336;3,42
293,6;3,42
293,865;3,42
294,129;3,41
294,394;3,41
294,658;3,41
294,922;3,42
295,187;3,42
295,451;3,44
295,715;3,44
295,98;3,45
296,244;3,44
296,508;3,44
296,773;3,45
297,037;3,45
297,301;3,46
297,565;3,46
297,829;3,46
298,094;3,48
298,358;3,48
298,622;3,47
298,886;3,47
299,15;3,47
299,414;3,47
299,678;3,48
299,942;3,48
300,206;3,48
300,47;3,47
300,734;3,47
300,998;3,46
301,262;3,46
301,526;3,46
301,79;3,46
302,054;3,46
302,318;3,47
302,582;3,47
302,846;3,46
303,11;3,47
303,374;3,47
303,637;3,47
303,901;3,47
304,165;3,48
304,429;3,48
304,693;3,48
304,956;3,47
305,22;3,47
305,484;3,47
305,747;3,47
306,011;3,47
306,275;3,47
306,538;3,48
306,802;3,46
307,066;3,48
307,329;3,47
307,593;3,48
307,856;3,48
308,12;3,46
308,384;3,46
308,647;3,45
308,911;3,45
309,174;3,45
309,438;3,45
309,701;3,46
309,964;3,46
310,228;3,45
310,491;3,47
310,755;3,46
311,018;3,47
311,281;3,46
311,545;3,47
311,808;3,47
312,071;3,47
312,335;3,49
312,598;3,49
312,861;3,48
313,124;3,48
313,388;3,48
313,651;3,49
313,914;3,5
314,177;3,5
314,44;3,5
314,704;3,5
314,967;3,5
315,23;3,5
315,493;3,5
315,756;3,51
316,019;3,5
316,282;3,51
316,545;3,52
316,808;3,53
317,071;3,53
317,334;3,53
317,597;3,54
317,86;3,53
318,123;3,53
318,386;3,53
318,649;3,53
318,912;3,53
319,175;3,52
319,437;3,53
319,7;3,53
319,963;3,53
320,226;3,52
320,489;3,53
320,751;3,53
321,014;3,53
321,277;3,52
321,54;3,52
321,802;3,52
322,065;3,52
322,328;3,52
322,59;3,51
322,853;3,51
323,116;3,5
323,378;3,5
323,641;3,5
323,903;3,51
324,166;3,51
324,428;3,5
324,691;3,51
324,953;3,5
