Data from TV_VeronaWhite_Reflection__2__15.txt Node;
"Date: Thu Sep 11 15:49:26 CEST 2025 User: sycur";
291,484;1,95
291,749;1,95
292,014;1,96
292,278;1,97
292,543;1,97
292,807;1,98
293,072;1,98
293,336;1,98
293,6;1,97
293,865;1,96
294,129;1,97
294,394;1,97
294,658;1,98
294,922;1,99
295,187;1,99
295,451;1,98
295,715;1,98
295,98;1,99
296,244;1,99
296,508;1,98
296,773;1,97
297,037;1,97
297,301;1,97
297,565;1,97
297,829;1,95
298,094;1,96
298,358;1,95
298,622;1,94
298,886;1,94
299,15;1,94
299,414;1,94
299,678;1,94
299,942;1,94
300,206;1,93
300,47;1,93
300,734;1,93
300,998;1,93
301,262;1,94
301,526;1,93
301,79;1,94
302,054;1,95
302,318;1,95
302,582;1,95
302,846;1,95
303,11;1,96
303,374;1,98
303,637;1,98
303,901;1,99
304,165;2
304,429;1,99
304,693;1,99
304,956;1,99
305,22;1,99
305,484;1,99
305,747;2
306,011;1,99
306,275;1,99
306,538;2
306,802;1,98
307,066;1,99
307,329;1,99
307,593;1,99
307,856;1,99
308,12;1,99
308,384;1,99
308,647;1,98
308,911;1,98
309,174;1,97
309,438;1,97
309,701;1,97
309,964;1,98
310,228;1,98
310,491;1,99
310,755;1,98
311,018;1,98
311,281;1,98
311,545;1,99
311,808;1,99
312,071;1,99
312,335;2
312,598;2
312,861;1,99
313,124;1,99
313,388;1,99
313,651;2
313,914;2
314,177;2
314,44;1,99
314,704;2
314,967;1,99
315,23;1,98
315,493;1,98
315,756;1,98
316,019;1,98
316,282;1,99
316,545;1,99
316,808;2
317,071;2
317,334;2,01
317,597;2
317,86;2,01
318,123;2,01
318,386;2,02
318,649;2,01
318,912;2,01
319,175;2,02
319,437;2,02
319,7;2,03
319,963;2,03
320,226;2,04
320,489;2,04
320,751;2,06
321,014;2,05
321,277;2,05
321,54;2,05
321,802;2,05
322,065;2,05
322,328;2,04
322,59;2,05
322,853;2,04
323,116;2,04
323,378;2,04
323,641;2,04
323,903;2,03
324,166;2,04
324,428;2,04
324,691;2,03
324,953;2,03
325,216;2,03
325,478;2,02
325,741;2,01
326,003;2,02
326,266;2
326,528;2,01
326,791;2,01
327,053;2
327,315;2
327,578;2,01
327,84;2
328,102;1,99
328,365;1,99
328,627;1,99
328,889;2
329,151;2
329,414;2,01
329,676;2
329,938;2
330,2;1,99
330,462;1,99
330,725;2
330,987;2,02
331,249;2,02
331,511;2,02
331,773;2,02
332,035;2,02
332,297;2,02
332,559;2,04
