Data from BiaccaWhite_Reflection__1__47.txt Node;
"Date: Thu Sep 11 17:06:04 CEST 2025 User: sycur";
291,22;20,58
291,484;20,76
291,749;20,93
292,014;21,11
292,278;21,3
292,543;21,47
292,807;21,67
293,072;21,86
293,336;22,05
293,6;22,24
293,865;22,44
294,129;22,63
294,394;22,83
294,658;23,02
294,922;23,23
295,187;23,41
295,451;23,6
295,715;23,78
295,98;23,96
296,244;24,12
296,508;24,28
296,773;24,44
297,037;24,6
297,301;24,75
297,565;24,91
297,829;25,04
298,094;25,21
298,358;25,37
298,622;25,53
298,886;25,67
299,15;25,83
299,414;26
299,678;26,15
299,942;26,3
300,206;26,43
300,47;26,54
300,734;26,69
300,998;26,83
301,262;26,96
301,526;27,09
301,79;27,22
302,054;27,36
302,318;27,49
302,582;27,6
302,846;27,75
303,11;27,85
303,374;27,98
303,637;28,09
303,901;28,19
304,165;28,29
304,429;28,39
304,693;28,46
304,956;28,53
305,22;28,62
305,484;28,69
305,747;28,79
306,011;28,9
306,275;28,96
306,538;29,04
306,802;29,12
307,066;29,21
307,329;29,29
307,593;29,38
307,856;29,44
308,12;29,52
308,384;29,58
308,647;29,66
308,911;29,73
309,174;29,8
309,438;29,87
309,701;29,94
309,964;30,01
310,228;30,08
310,491;30,17
310,755;30,24
311,018;30,31
311,281;30,37
311,545;30,43
311,808;30,51
312,071;30,57
312,335;30,63
312,598;30,68
312,861;30,75
313,124;30,8
313,388;30,87
313,651;30,95
313,914;31
314,177;31,07
314,44;31,12
314,704;31,19
314,967;31,27
315,23;31,32
315,493;31,38
315,756;31,43
316,019;31,48
316,282;31,55
316,545;31,61
316,808;31,68
317,071;31,74
317,334;31,8
317,597;31,87
317,86;31,94
318,123;32
318,386;32,06
318,649;32,11
318,912;32,17
319,175;32,22
319,437;32,3
319,7;32,36
319,963;32,42
320,226;32,47
320,489;32,51
320,751;32,58
321,014;32,63
321,277;32,68
321,54;32,76
321,802;32,81
322,065;32,86
322,328;32,92
322,59;32,98
322,853;33,04
323,116;33,1
323,378;33,15
323,641;33,21
323,903;33,25
324,166;33,31
324,428;33,37
324,691;33,42
324,953;33,48
325,216;33,54
325,478;33,62
325,741;33,68
326,003;33,75
326,266;33,8
326,528;33,89
326,791;33,95
327,053;33,99
327,315;34,06
327,578;34,14
327,84;34,18
328,102;34,23
328,365;34,29
328,627;34,35
328,889;34,42
329,151;34,48
329,414;34,56
329,676;34,62
329,938;34,68
330,2;34,75
330,462;34,79
330,725;34,84
330,987;34,89
331,249;34,94
331,511;34,99
331,773;35,04
332,035;35,09
332,297;35,15
332,559;35,22
332,821;35,29
333,083;35,32
333,345;35,41
333,607;35,47
333,869;35,54
334,131;35,59
334,393;35,66
334,655;35,74
334,917;35,84
335,179;35,92
335,44;35,99
335,702;36,05
335,964;36,14
336,226;36,22
336,488;36,29
336,749;36,39
337,011;36,49
337,273;36,59
337,535;36,68
337,796;36,75
338,058;36,82
338,32;36,89
338,581;36,97
338,843;37,04
339,105;37,12
339,366;37,21
339,628;37,31
339,889;37,37
340,151;37,43
340,412;37,49
340,674;37,56
340,935;37,64
341,197;37,73
341,458;37,78
341,72;37,85
341,981;37,9
342,243;37,95
342,504;37,98
342,766;38,05
343,027;38,09
343,288;38,15
343,55;38,22
343,811;38,27
344,072;38,32
344,334;38,37
344,595;38,42
344,856;38,47
345,117;38,48
345,379;38,53
345,64;38,58
345,901;38,63
346,162;38,67
346,423;38,7
346,684;38,74
346,946;38,8
347,207;38,85
347,468;38,9
347,729;38,92
347,99;38,99
348,251;39
348,512;39,06
348,773;39,12
349,034;39,14
349,295;39,19
349,556;39,25
349,817;39,28
350,078;39,34
350,339;39,38
350,6;39,47
350,86;39,51
351,121;39,57
351,382;39,6
351,643;39,64
351,904;39,68
352,165;39,75
352,425;39,8
352,686;39,87
352,947;39,94
353,208;40,01
353,468;40,07
353,729;40,12
353,99;40,17
354,25;40,2
354,511;40,29
354,772;40,36
355,032;40,4
355,293;40,49
355,553;40,53
355,814;40,59
356,074;40,66
356,335;40,73
356,596;40,78
356,856;40,85
357,116;40,93
357,377;41
357,637;41,01
357,898;41,09
358,158;41,12
358,419;41,16
358,679;41,23
358,939;41,28
359,2;41,36
359,46;41,43
359,72;41,5
359,981;41,55
360,241;41,59
360,501;41,67
360,761;41,71
361,022;41,76
361,282;41,83
361,542;41,91
361,802;41,95
362,062;42,01
362,323;42,06
362,583;42,1
362,843;42,17
363,103;42,26
363,363;42,3
363,623;42,38
363,883;42,44
364,143;42,5
364,403;42,56
364,663;42,64
364,923;42,69
365,183;42,78
365,443;42,82
365,703;42,87
365,963;42,92
366,223;43
366,483;43,05
366,743;43,12
367,002;43,16
367,262;43,23
367,522;43,31
367,782;43,35
368,042;43,42
368,301;43,47
368,561;43,52
368,821;43,57
369,081;43,61
369,34;43,7
369,6;43,76
369,86;43,8
370,119;43,83
370,379;43,87
370,638;43,91
370,898;43,96
371,158;44,03
371,417;44,1
371,677;44,16
371,936;44,24
372,196;44,27
372,455;44,34
372,715;44,39
372,974;44,43
373,234;44,51
373,493;44,58
373,753;44,66
374,012;44,75
374,271;44,78
374,531;44,84
374,79;44,88
375,049;44,94
375,309;45,01
375,568;45,07
375,827;45,15
376,086;45,21
376,346;45,29
376,605;45,35
376,864;45,41
377,123;45,47
377,383;45,5
377,642;45,58
377,901;45,62
378,16;45,68
378,419;45,74
378,678;45,78
378,937;45,81
379,196;45,83
379,455;45,86
379,714;45,93
379,973;45,98
380,232;46,03
380,491;46,08
380,75;46,14
381,009;46,21
381,268;46,25
381,527;46,29
381,786;46,36
382,045;46,4
382,304;46,45
382,563;46,49
382,821;46,56
383,08;46,59
383,339;46,63
383,598;46,68
383,857;46,74
384,115;46,8
384,374;46,86
384,633;46,92
384,891;46,99
385,15;47,06
385,409;47,13
385,667;47,2
385,926;47,26
386,185;47,3
386,443;47,34
386,702;47,42
386,96;47,47
387,219;47,52
387,477;47,57
387,736;47,62
387,994;47,69
388,253;47,72
388,511;47,81
388,77;47,86
389,028;47,88
389,287;47,95
389,545;48,02
389,803;48,07
390,062;48,13
390,32;48,18
390,578;48,23
390,837;48,26
391,095;48,32
391,353;48,38
391,612;48,41
391,87;48,45
392,128;48,5
392,386;48,55
392,644;48,61
392,903;48,65
393,161;48,71
393,419;48,73
393,677;48,78
393,935;48,8
394,193;48,85
394,451;48,93
394,709;48,96
394,967;48,99
395,225;49,04
395,483;49,07
395,741;49,11
395,999;49,17
396,257;49,22
396,515;49,23
396,773;49,28
397,031;49,33
397,289;49,4
397,547;49,42
397,805;49,47
398,062;49,47
398,32;49,5
398,578;49,52
398,836;49,55
399,094;49,58
399,351;49,59
399,609;49,59
399,867;49,62
400,124;49,64
400,382;49,68
400,64;49,7
400,897;49,72
401,155;49,73
401,413;49,73
401,67;49,74
401,928;49,78
402,185;49,78
402,443;49,82
402,701;49,84
402,958;49,86
403,216;49,87
403,473;49,9
403,73;49,93
403,988;49,98
404,245;49,98
404,503;50,01
404,76;50,02
405,018;50,07
405,275;50,11
405,532;50,13
405,79;50,15
406,047;50,18
406,304;50,25
406,561;50,3
406,819;50,34
407,076;50,41
407,333;50,41
407,59;50,44
407,848;50,44
408,105;50,48
408,362;50,5
408,619;50,54
408,876;50,57
409,133;50,61
409,39;50,63
409,647;50,69
409,904;50,75
410,161;50,82
410,418;50,86
410,675;50,89
410,932;50,93
411,189;50,95
411,446;50,97
411,703;51,01
411,96;51,04
412,217;51,08
412,474;51,08
412,731;51,13
412,988;51,16
413,245;51,22
413,501;51,24
413,758;51,29
414,015;51,3
414,272;51,33
414,529;51,36
414,785;51,36
415,042;51,39
415,299;51,4
415,555;51,4
415,812;51,45
416,069;51,45
416,325;51,49
416,582;51,51
416,838;51,53
417,095;51,53
417,352;51,54
417,608;51,57
417,865;51,6
418,121;51,62
418,378;51,68
418,634;51,7
418,891;51,7
419,147;51,72
419,403;51,78
419,66;51,81
419,916;51,86
420,173;51,91
420,429;51,94
420,685;51,97
420,942;52,02
421,198;52,03
421,454;52,09
421,711;52,11
421,967;52,11
422,223;52,16
422,479;52,2
422,735;52,21
422,992;52,23
423,248;52,27
423,504;52,3
423,76;52,32
424,016;52,35
424,272;52,37
424,528;52,37
424,784;52,35
425,041;52,37
425,297;52,36
425,553;52,38
425,809;52,42
426,065;52,45
426,32;52,47
426,576;52,49
426,832;52,5
427,088;52,54
427,344;52,57
427,6;52,61
427,856;52,64
428,112;52,73
428,368;52,76
428,623;52,76
428,879;52,81
429,135;52,81
429,391;52,85
429,646;52,9
429,902;52,93
430,158;53
430,414;53,02
430,669;53,09
430,925;53,16
431,181;53,2
431,436;53,25
431,692;53,3
431,947;53,36
432,203;53,43
432,458;53,48
432,714;53,54
432,97;53,57
433,225;53,61
433,481;53,59
433,736;53,64
433,991;53,68
434,247;53,71
434,502;53,77
434,758;53,81
435,013;53,87
435,268;53,93
435,524;53,98
435,779;54,07
436,034;54,08
436,29;54,13
436,545;54,18
436,8;54,19
437,056;54,22
437,311;54,28
437,566;54,29
437,821;54,32
438,076;54,36
438,331;54,42
438,587;54,44
438,842;54,5
439,097;54,55
439,352;54,65
439,607;54,69
439,862;54,75
440,117;54,78
440,372;54,82
440,627;54,86
440,882;54,88
441,137;54,9
441,392;54,96
441,647;54,96
441,902;54,98
442,157;55,02
442,412;55,05
442,667;55,06
442,921;55,09
443,176;55,14
443,431;55,17
443,686;55,18
443,941;55,22
444,195;55,26
444,45;55,28
444,705;55,27
444,96;55,31
445,214;55,33
445,469;55,33
445,724;55,37
445,978;55,38
446,233;55,39
446,487;55,41
446,742;55,4
446,997;55,45
447,251;55,46
447,506;55,5
447,76;55,54
448,015;55,56
448,269;55,6
448,524;55,63
448,778;55,64
449,033;55,67
449,287;55,68
449,541;55,68
449,796;55,72
450,05;55,73
450,305;55,75
450,559;55,78
450,813;55,81
451,067;55,83
451,322;55,87
451,576;55,95
451,83;55,96
452,084;55,99
452,339;56,02
452,593;56,06
452,847;56,11
453,101;56,12
453,355;56,16
453,609;56,19
453,864;56,23
454,118;56,26
454,372;56,33
454,626;56,41
454,88;56,47
455,134;56,5
455,388;56,59
455,642;56,64
455,896;56,71
456,15;56,79
456,404;56,85
456,658;56,9
456,912;56,95
457,165;57,04
457,419;57,11
457,673;57,18
457,927;57,26
458,181;57,33
458,435;57,43
458,688;57,51
458,942;57,58
459,196;57,66
459,45;57,73
459,703;57,79
459,957;57,85
460,211;57,92
460,464;57,99
460,718;58,07
460,972;58,13
461,225;58,2
461,479;58,27
461,732;58,37
461,986;58,45
462,239;58,54
462,493;58,64
462,746;58,74
463;58,83
463,253;58,92
463,507;58,99
463,76;59,08
464,014;59,14
464,267;59,25
464,52;59,33
464,774;59,42
465,027;59,5
465,28;59,59
465,534;59,65
465,787;59,73
466,04;59,79
466,294;59,89
466,547;59,96
466,8;60,06
467,053;60,08
467,306;60,15
467,56;60,19
467,813;60,24
468,066;60,3
468,319;60,33
468,572;60,36
468,825;60,43
469,078;60,48
469,331;60,56
469,584;60,59
469,837;60,65
470,09;60,7
470,343;60,74
470,596;60,79
470,849;60,85
471,102;60,88
471,355;60,92
471,608;60,94
471,861;60,99
472,114;61,02
472,367;61,07
472,619;61,1
472,872;61,15
473,125;61,17
473,378;61,2
473,631;61,25
473,883;61,29
474,136;61,3
474,389;61,31
474,641;61,3
474,894;61,31
475,147;61,33
475,399;61,35
475,652;61,37
475,905;61,4
476,157;61,42
476,41;61,43
476,662;61,45
476,915;61,46
477,167;61,47
477,42;61,47
477,672;61,48
477,925;61,5
478,177;61,51
478,43;61,52
478,682;61,55
478,934;61,55
479,187;61,57
479,439;61,59
479,691;61,62
479,944;61,67
480,196;61,7
480,448;61,72
480,701;61,73
480,953;61,76
481,205;61,79
481,457;61,8
481,709;61,86
481,962;61,89
482,214;61,92
482,466;61,93
482,718;61,94
482,97;61,97
483,222;62,03
483,474;62,07
483,726;62,16
483,978;62,22
484,23;62,28
484,482;62,34
484,734;62,41
484,986;62,46
485,238;62,51
485,49;62,59
485,742;62,66
485,994;62,74
486,246;62,81
486,498;62,86
486,75;62,95
487,001;63,01
487,253;63,09
487,505;63,19
487,757;63,3
488,009;63,43
488,26;63,56
488,512;63,67
488,764;63,79
489,015;63,9
489,267;64,01
489,519;64,11
489,77;64,23
490,022;64,34
490,274;64,43
490,525;64,54
490,777;64,62
491,028;64,71
491,28;64,81
491,531;64,89
491,783;65
492,034;65,1
492,286;65,2
492,537;65,29
492,789;65,4
493,04;65,5
493,291;65,62
493,543;65,72
493,794;65,84
494,045;65,96
494,297;66,07
494,548;66,17
494,799;66,3
495,051;66,4
495,302;66,5
495,553;66,63
495,804;66,74
496,056;66,85
496,307;66,98
496,558;67,09
496,809;67,22
497,06;67,34
497,311;67,46
497,562;67,57
497,813;67,69
498,064;67,8
498,316;67,92
498,567;68,01
498,818;68,12
499,069;68,22
499,319;68,3
499,57;68,39
499,821;68,48
500,072;68,59
500,323;68,7
500,574;68,81
500,825;68,88
501,076;68,99
501,327;69,11
501,577;69,2
501,828;69,28
502,079;69,38
502,33;69,48
502,58;69,57
502,831;69,68
503,082;69,79
503,333;69,89
503,583;69,98
503,834;70,08
504,084;70,18
504,335;70,29
504,586;70,39
504,836;70,5
505,087;70,59
505,337;70,66
505,588;70,75
505,838;70,85
506,089;70,96
506,339;71,04
506,59;71,11
506,84;71,19
507,091;71,3
507,341;71,37
507,591;71,45
507,842;71,5
508,092;71,55
508,343;71,62
508,593;71,69
508,843;71,76
509,093;71,84
509,344;71,9
509,594;71,97
509,844;72,04
510,094;72,1
510,345;72,18
510,595;72,25
510,845;72,31
511,095;72,37
511,345;72,43
511,595;72,5
511,845;72,56
512,095;72,62
512,345;72,67
512,595;72,73
512,845;72,79
513,095;72,88
513,345;72,95
513,595;73
513,845;73,06
514,095;73,12
514,345;73,16
514,595;73,24
514,845;73,3
515,095;73,35
515,345;73,39
515,594;73,44
515,844;73,5
516,094;73,54
516,344;73,58
516,593;73,6
516,843;73,63
517,093;73,68
517,343;73,72
517,592;73,78
517,842;73,84
518,092;73,89
518,341;73,93
518,591;73,98
518,84;74,05
519,09;74,08
519,34;74,11
519,589;74,16
519,839;74,18
520,088;74,22
520,338;74,27
520,587;74,3
520,836;74,34
521,086;74,38
521,335;74,42
521,585;74,44
521,834;74,49
522,083;74,53
522,333;74,56
522,582;74,6
522,831;74,6
523,081;74,63
523,33;74,66
523,579;74,68
523,828;74,71
524,078;74,71
524,327;74,75
524,576;74,78
524,825;74,81
525,074;74,84
525,323;74,85
525,573;74,87
525,822;74,91
526,071;74,95
526,32;74,97
526,569;74,99
526,818;75,04
527,067;75,05
527,316;75,06
527,565;75,08
527,814;75,11
528,063;75,14
528,312;75,17
528,56;75,18
528,809;75,19
529,058;75,21
529,307;75,24
529,556;75,26
529,805;75,28
530,053;75,29
530,302;75,3
530,551;75,33
530,8;75,35
531,048;75,36
531,297;75,35
531,546;75,37
531,794;75,39
532,043;75,42
532,292;75,44
532,54;75,48
532,789;75,5
533,037;75,51
533,286;75,51
533,535;75,53
533,783;75,54
534,032;75,58
534,28;75,6
534,528;75,61
534,777;75,62
535,025;75,63
535,274;75,65
535,522;75,65
535,771;75,67
536,019;75,7
536,267;75,72
536,516;75,74
536,764;75,77
537,012;75,78
537,26;75,79
537,509;75,8
537,757;75,82
538,005;75,85
538,253;75,88
538,501;75,92
538,75;75,93
538,998;75,96
539,246;75,98
539,494;75,99
539,742;76,02
539,99;76,06
540,238;76,09
540,486;76,09
540,734;76,11
540,982;76,13
541,23;76,14
541,478;76,16
541,726;76,17
541,974;76,21
542,222;76,23
542,47;76,26
542,718;76,29
542,966;76,3
543,213;76,31
543,461;76,35
543,709;76,34
543,957;76,34
544,205;76,35
544,452;76,35
544,7;76,35
544,948;76,36
545,196;76,36
545,443;76,36
545,691;76,38
545,939;76,4
546,186;76,42
546,434;76,45
546,681;76,48
546,929;76,49
547,176;76,48
547,424;76,5
547,671;76,5
547,919;76,5
548,166;76,52
548,414;76,54
548,661;76,53
548,909;76,57
549,156;76,61
549,404;76,64
549,651;76,67
549,898;76,7
550,146;76,7
550,393;76,71
550,64;76,74
550,888;76,76
551,135;76,78
551,382;76,78
551,629;76,8
551,876;76,83
552,124;76,85
552,371;76,88
552,618;76,88
552,865;76,91
553,112;76,95
553,359;76,97
553,606;76,98
553,854;77,01
554,101;77,02
554,348;77,03
554,595;77,03
554,842;77,04
555,089;77,07
555,336;77,1
555,582;77,11
555,829;77,14
556,076;77,16
556,323;77,18
556,57;77,2
556,817;77,21
557,064;77,2
557,311;77,21
557,557;77,21
557,804;77,23
558,051;77,23
