Data from BiaccaWhite_Reflection__3__49.txt Node;
"Date: Thu Sep 11 17:07:23 CEST 2025 User: sycur";
291,22;45,65
291,484;45,84
291,749;46,03
292,014;46,2
292,278;46,39
292,543;46,59
292,807;46,77
293,072;46,97
293,336;47,15
293,6;47,32
293,865;47,49
294,129;47,67
294,394;47,86
294,658;48,04
294,922;48,22
295,187;48,41
295,451;48,6
295,715;48,78
295,98;48,95
296,244;49,12
296,508;49,28
296,773;49,44
297,037;49,6
297,301;49,75
297,565;49,93
297,829;50,08
298,094;50,25
298,358;50,4
298,622;50,54
298,886;50,7
299,15;50,88
299,414;51,05
299,678;51,21
299,942;51,37
300,206;51,52
300,47;51,66
300,734;51,81
300,998;51,97
301,262;52,13
301,526;52,28
301,79;52,41
302,054;52,56
302,318;52,72
302,582;52,86
302,846;53,02
303,11;53,14
303,374;53,29
303,637;53,44
303,901;53,58
304,165;53,73
304,429;53,87
304,693;53,99
304,956;54,11
305,22;54,25
305,484;54,37
305,747;54,51
306,011;54,65
306,275;54,76
306,538;54,86
306,802;54,98
307,066;55,14
307,329;55,29
307,593;55,42
307,856;55,56
308,12;55,68
308,384;55,81
308,647;55,94
308,911;56,08
309,174;56,2
309,438;56,32
309,701;56,43
309,964;56,56
310,228;56,68
310,491;56,83
310,755;56,93
311,018;57,05
311,281;57,15
311,545;57,27
311,808;57,41
312,071;57,55
312,335;57,66
312,598;57,76
312,861;57,86
313,124;57,97
313,388;58,08
313,651;58,22
313,914;58,3
314,177;58,42
314,44;58,52
314,704;58,63
314,967;58,74
315,23;58,85
315,493;58,94
315,756;59,02
316,019;59,09
316,282;59,21
316,545;59,31
316,808;59,42
317,071;59,51
317,334;59,6
317,597;59,71
317,86;59,8
318,123;59,88
318,386;59,97
318,649;60,07
318,912;60,16
319,175;60,21
319,437;60,32
319,7;60,42
319,963;60,5
320,226;60,58
320,489;60,63
320,751;60,72
321,014;60,79
321,277;60,89
321,54;60,97
321,802;61,02
322,065;61,09
322,328;61,15
322,59;61,2
322,853;61,25
323,116;61,31
323,378;61,38
323,641;61,45
323,903;61,52
324,166;61,59
324,428;61,65
324,691;61,74
324,953;61,81
325,216;61,86
325,478;61,93
325,741;61,99
326,003;62,09
326,266;62,16
326,528;62,24
326,791;62,31
327,053;62,38
327,315;62,46
327,578;62,56
327,84;62,63
328,102;62,71
328,365;62,79
328,627;62,86
328,889;62,94
329,151;63,01
329,414;63,06
329,676;63,1
329,938;63,16
330,2;63,21
330,462;63,29
330,725;63,34
330,987;63,42
331,249;63,46
331,511;63,49
331,773;63,52
332,035;63,57
332,297;63,6
332,559;63,65
332,821;63,72
333,083;63,74
333,345;63,82
333,607;63,88
333,869;63,94
334,131;63,98
334,393;64,04
334,655;64,11
334,917;64,18
335,179;64,27
335,44;64,31
335,702;64,36
335,964;64,41
336,226;64,46
336,488;64,48
336,749;64,57
337,011;64,63
337,273;64,69
337,535;64,77
337,796;64,8
338,058;64,83
338,32;64,87
338,581;64,95
338,843;64,96
339,105;65
339,366;65,06
339,628;65,11
339,889;65,14
340,151;65,17
340,412;65,18
340,674;65,21
340,935;65,27
341,197;65,33
341,458;65,38
341,72;65,41
341,981;65,49
342,243;65,53
342,504;65,54
342,766;65,59
343,027;65,6
343,288;65,67
343,55;65,72
343,811;65,75
344,072;65,76
344,334;65,82
344,595;65,85
344,856;65,87
345,117;65,89
345,379;65,91
345,64;65,94
345,901;66
346,162;66
346,423;66,05
346,684;66,05
346,946;66,06
347,207;66,09
347,468;66,1
347,729;66,08
347,99;66,12
348,251;66,1
348,512;66,13
348,773;66,14
349,034;66,18
349,295;66,2
349,556;66,25
349,817;66,25
350,078;66,27
350,339;66,31
350,6;66,36
350,86;66,38
351,121;66,42
351,382;66,41
351,643;66,47
351,904;66,46
352,165;66,5
352,425;66,54
352,686;66,61
352,947;66,64
353,208;66,68
353,468;66,71
353,729;66,77
353,99;66,78
354,25;66,78
354,511;66,81
354,772;66,86
355,032;66,88
355,293;66,95
355,553;66,96
355,814;66,98
356,074;67,01
356,335;67,02
356,596;67,05
356,856;67,1
357,116;67,15
357,377;67,18
357,637;67,18
357,898;67,2
358,158;67,2
358,419;67,22
358,679;67,27
358,939;67,31
359,2;67,35
359,46;67,42
359,72;67,45
359,981;67,46
360,241;67,49
360,501;67,53
360,761;67,54
361,022;67,56
361,282;67,62
361,542;67,66
361,802;67,7
362,062;67,72
362,323;67,75
362,583;67,75
362,843;67,78
363,103;67,82
363,363;67,84
363,623;67,85
363,883;67,88
364,143;67,92
364,403;67,93
364,663;67,97
364,923;67,96
365,183;68,01
365,443;68,02
365,703;68,02
365,963;68,03
366,223;68,03
366,483;68,05
366,743;68,06
367,002;68,08
367,262;68,13
367,522;68,15
367,782;68,12
368,042;68,16
368,301;68,18
368,561;68,21
368,821;68,21
369,081;68,24
369,34;68,26
369,6;68,27
369,86;68,28
370,119;68,26
370,379;68,29
370,638;68,29
370,898;68,33
371,158;68,38
371,417;68,38
371,677;68,44
371,936;68,47
372,196;68,51
372,455;68,52
372,715;68,51
372,974;68,52
373,234;68,58
373,493;68,6
373,753;68,63
374,012;68,69
374,271;68,73
374,531;68,75
374,79;68,78
375,049;68,8
375,309;68,84
375,568;68,86
375,827;68,88
376,086;68,92
376,346;68,92
376,605;68,94
376,864;68,96
377,123;68,97
377,383;68,97
377,642;69,01
377,901;69,06
378,16;69,09
378,419;69,11
378,678;69,11
378,937;69,13
379,196;69,16
379,455;69,14
379,714;69,17
379,973;69,18
380,232;69,2
380,491;69,25
380,75;69,28
381,009;69,32
381,268;69,34
381,527;69,36
381,786;69,38
382,045;69,41
382,304;69,45
382,563;69,49
382,821;69,54
383,08;69,52
383,339;69,52
383,598;69,55
383,857;69,58
384,115;69,6
384,374;69,62
384,633;69,65
384,891;69,69
385,15;69,68
385,409;69,74
385,667;69,73
385,926;69,73
386,185;69,74
386,443;69,75
386,702;69,78
386,96;69,81
387,219;69,82
387,477;69,81
387,736;69,81
387,994;69,83
388,253;69,84
388,511;69,88
388,77;69,87
389,028;69,89
389,287;69,94
389,545;70
389,803;70,04
390,062;70,06
390,32;70,07
390,578;70,11
390,837;70,11
391,095;70,17
391,353;70,2
391,612;70,23
391,87;70,29
392,128;70,33
392,386;70,36
392,644;70,4
392,903;70,44
393,161;70,47
393,419;70,52
393,677;70,56
393,935;70,58
394,193;70,62
394,451;70,66
394,709;70,67
394,967;70,68
395,225;70,73
395,483;70,75
395,741;70,79
395,999;70,8
396,257;70,83
396,515;70,83
396,773;70,85
397,031;70,89
397,289;70,94
397,547;70,95
397,805;70,99
398,062;71,02
398,32;71,06
398,578;71,09
398,836;71,06
399,094;71,09
399,351;71,11
399,609;71,14
399,867;71,16
400,124;71,16
400,382;71,18
400,64;71,19
400,897;71,22
401,155;71,22
401,413;71,25
401,67;71,28
401,928;71,3
402,185;71,32
402,443;71,33
402,701;71,33
402,958;71,33
403,216;71,34
403,473;71,36
403,73;71,36
403,988;71,39
404,245;71,39
404,503;71,41
404,76;71,43
405,018;71,47
405,275;71,48
405,532;71,52
405,79;71,54
406,047;71,55
406,304;71,56
406,561;71,61
406,819;71,64
407,076;71,66
407,333;71,7
407,59;71,7
407,848;71,72
408,105;71,73
408,362;71,76
408,619;71,79
408,876;71,76
409,133;71,78
409,39;71,82
409,647;71,86
409,904;71,91
