Data from BiaccaWhite_Reflection__4__50.txt Node;
"Date: Thu Sep 11 17:08:01 CEST 2025 User: sycur";
290,955;19,05
291,22;19,39
291,484;19,73
291,749;20,09
292,014;20,47
292,278;20,86
292,543;21,26
292,807;21,68
293,072;22,09
293,336;22,51
293,6;22,95
293,865;23,39
294,129;23,83
294,394;24,28
294,658;24,73
294,922;25,2
295,187;25,66
295,451;26,13
295,715;26,59
295,98;27,07
296,244;27,53
296,508;28
296,773;28,47
297,037;28,96
297,301;29,42
297,565;29,89
297,829;30,35
298,094;30,82
298,358;31,28
298,622;31,74
298,886;32,21
299,15;32,69
299,414;33,15
299,678;33,65
299,942;34,11
300,206;34,56
300,47;35,03
300,734;35,5
300,998;35,97
301,262;36,44
301,526;36,89
301,79;37,35
302,054;37,81
302,318;38,25
302,582;38,68
302,846;39,15
303,11;39,58
303,374;40,03
303,637;40,47
303,901;40,89
304,165;41,33
304,429;41,76
304,693;42,15
304,956;42,56
305,22;42,94
305,484;43,34
305,747;43,72
306,011;44,12
306,275;44,48
306,538;44,84
306,802;45,21
307,066;45,59
307,329;45,97
307,593;46,32
307,856;46,67
308,12;47
308,384;47,31
308,647;47,63
308,911;47,96
309,174;48,25
309,438;48,57
309,701;48,87
309,964;49,15
310,228;49,44
310,491;49,73
310,755;50
311,018;50,27
311,281;50,53
311,545;50,77
311,808;51,02
312,071;51,27
312,335;51,51
312,598;51,72
312,861;51,94
313,124;52,14
313,388;52,36
313,651;52,59
313,914;52,79
314,177;53,02
314,44;53,24
314,704;53,47
314,967;53,69
315,23;53,87
315,493;54,06
315,756;54,25
316,019;54,42
316,282;54,62
316,545;54,79
316,808;54,98
317,071;55,19
317,334;55,35
317,597;55,54
317,86;55,72
318,123;55,88
318,386;56,05
318,649;56,19
318,912;56,34
319,175;56,5
319,437;56,64
319,7;56,77
319,963;56,88
320,226;57,02
320,489;57,13
320,751;57,27
321,014;57,39
321,277;57,52
321,54;57,68
321,802;57,79
322,065;57,91
322,328;58,03
322,59;58,12
322,853;58,24
323,116;58,35
323,378;58,45
323,641;58,57
323,903;58,67
324,166;58,82
324,428;58,93
324,691;59,04
324,953;59,16
325,216;59,24
325,478;59,37
325,741;59,48
326,003;59,6
326,266;59,69
326,528;59,8
326,791;59,91
327,053;59,99
327,315;60,07
327,578;60,2
327,84;60,27
328,102;60,37
328,365;60,47
328,627;60,55
328,889;60,64
329,151;60,73
329,414;60,81
329,676;60,89
329,938;60,97
330,2;61,03
330,462;61,13
330,725;61,22
330,987;61,29
331,249;61,32
331,511;61,37
331,773;61,43
332,035;61,5
332,297;61,55
332,559;61,64
332,821;61,73
333,083;61,76
333,345;61,86
333,607;61,95
333,869;62,01
334,131;62,06
334,393;62,15
334,655;62,21
334,917;62,29
335,179;62,36
335,44;62,43
335,702;62,5
335,964;62,56
336,226;62,63
336,488;62,68
336,749;62,76
337,011;62,83
337,273;62,9
337,535;62,97
337,796;63
338,058;63,05
338,32;63,1
338,581;63,17
338,843;63,2
339,105;63,23
339,366;63,25
339,628;63,31
339,889;63,31
340,151;63,36
340,412;63,39
340,674;63,4
340,935;63,43
341,197;63,45
341,458;63,47
341,72;63,51
341,981;63,54
342,243;63,56
342,504;63,59
342,766;63,6
343,027;63,62
343,288;63,66
343,55;63,67
343,811;63,7
344,072;63,7
344,334;63,71
344,595;63,74
344,856;63,76
345,117;63,77
345,379;63,81
345,64;63,82
345,901;63,85
346,162;63,88
346,423;63,89
346,684;63,9
346,946;63,9
347,207;63,89
347,468;63,9
347,729;63,9
347,99;63,89
348,251;63,88
348,512;63,9
348,773;63,9
349,034;63,91
349,295;63,89
349,556;63,92
349,817;63,9
350,078;63,9
350,339;63,93
350,6;63,96
350,86;63,94
351,121;63,92
351,382;63,93
351,643;63,92
351,904;63,92
352,165;63,95
352,425;63,97
352,686;63,99
352,947;64,02
353,208;64,03
353,468;64,04
353,729;64,05
353,99;64,05
354,25;64,04
354,511;64,04
354,772;64,06
355,032;64,05
355,293;64,11
355,553;64,1
355,814;64,1
356,074;64,08
356,335;64,1
356,596;64,12
356,856;64,13
357,116;64,18
357,377;64,18
357,637;64,16
357,898;64,18
358,158;64,18
358,419;64,18
358,679;64,2
358,939;64,22
359,2;64,25
359,46;64,29
359,72;64,31
359,981;64,32
360,241;64,35
360,501;64,39
360,761;64,38
361,022;64,4
361,282;64,45
361,542;64,51
361,802;64,53
362,062;64,52
362,323;64,56
362,583;64,54
362,843;64,57
363,103;64,6
363,363;64,62
363,623;64,64
363,883;64,65
364,143;64,67
364,403;64,66
364,663;64,67
364,923;64,66
365,183;64,67
365,443;64,67
365,703;64,65
365,963;64,63
366,223;64,63
366,483;64,63
366,743;64,62
367,002;64,62
367,262;64,65
367,522;64,7
367,782;64,68
368,042;64,72
368,301;64,74
368,561;64,79
368,821;64,79
369,081;64,79
369,34;64,83
369,6;64,85
369,86;64,87
370,119;64,87
370,379;64,85
370,638;64,88
370,898;64,88
371,158;64,92
371,417;64,96
371,677;65,01
371,936;65,06
372,196;65,09
372,455;65,09
372,715;65,08
372,974;65,07
373,234;65,1
373,493;65,09
373,753;65,09
374,012;65,09
374,271;65,1
374,531;65,13
374,79;65,12
375,049;65,14
375,309;65,16
375,568;65,19
375,827;65,22
376,086;65,23
376,346;65,27
376,605;65,27
376,864;65,27
377,123;65,3
377,383;65,29
377,642;65,31
377,901;65,33
378,16;65,37
378,419;65,39
378,678;65,39
378,937;65,38
379,196;65,42
379,455;65,42
379,714;65,44
379,973;65,44
380,232;65,47
380,491;65,48
380,75;65,51
381,009;65,53
381,268;65,56
381,527;65,58
381,786;65,59
382,045;65,63
382,304;65,65
382,563;65,66
382,821;65,68
383,08;65,67
383,339;65,67
383,598;65,67
383,857;65,67
384,115;65,71
384,374;65,75
384,633;65,78
384,891;65,81
385,15;65,8
385,409;65,84
385,667;65,86
385,926;65,86
386,185;65,87
386,443;65,87
386,702;65,89
386,96;65,89
387,219;65,91
387,477;65,92
387,736;65,94
387,994;65,97
388,253;65,98
388,511;66,04
388,77;66,03
389,028;66,07
389,287;66,13
389,545;66,14
389,803;66,16
390,062;66,16
390,32;66,17
390,578;66,21
390,837;66,23
391,095;66,24
391,353;66,28
391,612;66,28
391,87;66,32
392,128;66,36
392,386;66,39
392,644;66,43
392,903;66,46
393,161;66,46
393,419;66,47
393,677;66,5
393,935;66,49
394,193;66,53
394,451;66,56
394,709;66,56
394,967;66,57
395,225;66,58
395,483;66,59
395,741;66,62
395,999;66,64
396,257;66,64
396,515;66,64
396,773;66,66
397,031;66,72
397,289;66,75
397,547;66,75
397,805;66,77
398,062;66,78
398,32;66,79
398,578;66,81
398,836;66,83
399,094;66,85
399,351;66,88
399,609;66,89
399,867;66,9
400,124;66,92
400,382;66,95
400,64;67,01
400,897;67,02
401,155;67,06
401,413;67,07
401,67;67,09
401,928;67,13
402,185;67,16
402,443;67,18
402,701;67,2
402,958;67,22
403,216;67,24
403,473;67,27
403,73;67,29
403,988;67,29
404,245;67,29
404,503;67,32
404,76;67,35
405,018;67,37
405,275;67,41
405,532;67,42
405,79;67,42
406,047;67,42
406,304;67,45
406,561;67,45
406,819;67,5
407,076;67,54
407,333;67,54
407,59;67,53
407,848;67,56
408,105;67,57
408,362;67,58
408,619;67,6
408,876;67,6
409,133;67,6
409,39;67,66
409,647;67,68
409,904;67,71
410,161;67,73
410,418;67,78
410,675;67,81
410,932;67,83
411,189;67,87
411,446;67,89
411,703;67,91
411,96;67,95
412,217;67,96
412,474;67,96
412,731;67,98
412,988;68,05
413,245;68,04
413,501;68,07
413,758;68,12
414,015;68,14
414,272;68,17
414,529;68,23
414,785;68,24
415,042;68,27
415,299;68,28
415,555;68,28
415,812;68,28
416,069;68,26
416,325;68,28
416,582;68,3
416,838;68,3
417,095;68,32
417,352;68,32
417,608;68,36
417,865;68,37
418,121;68,41
418,378;68,44
418,634;68,46
418,891;68,46
419,147;68,47
419,403;68,48
419,66;68,53
419,916;68,56
420,173;68,6
420,429;68,64
420,685;68,66
420,942;68,71
421,198;68,75
421,454;68,83
421,711;68,86
421,967;68,86
422,223;68,92
422,479;68,99
422,735;69,02
422,992;69,05
423,248;69,1
423,504;69,15
423,76;69,17
424,016;69,22
424,272;69,28
424,528;69,29
424,784;69,31
425,041;69,34
425,297;69,34
425,553;69,36
425,809;69,39
426,065;69,42
426,32;69,43
426,576;69,44
426,832;69,42
427,088;69,44
427,344;69,47
427,6;69,49
427,856;69,49
428,112;69,55
428,368;69,54
428,623;69,55
428,879;69,55
429,135;69,55
429,391;69,55
429,646;69,58
429,902;69,61
430,158;69,63
430,414;69,61
430,669;69,66
430,925;69,66
431,181;69,67
431,436;69,71
431,692;69,74
431,947;69,76
432,203;69,78
432,458;69,82
432,714;69,84
432,97;69,87
433,225;69,88
433,481;69,86
433,736;69,91
433,991;69,9
434,247;69,93
434,502;69,96
434,758;70
435,013;70,02
435,268;70,06
435,524;70,08
435,779;70,13
436,034;70,14
436,29;70,15
436,545;70,16
436,8;70,15
437,056;70,15
437,311;70,18
437,566;70,2
437,821;70,21
438,076;70,24
438,331;70,22
438,587;70,23
438,842;70,28
439,097;70,28
439,352;70,36
439,607;70,38
439,862;70,4
440,117;70,42
440,372;70,42
440,627;70,44
440,882;70,46
441,137;70,48
441,392;70,51
441,647;70,57
441,902;70,61
442,157;70,63
442,412;70,66
442,667;70,68
442,921;70,7
443,176;70,75
443,431;70,75
443,686;70,79
443,941;70,81
444,195;70,83
444,45;70,88
444,705;70,89
444,96;70,9
445,214;70,92
445,469;70,93
445,724;70,96
445,978;70,94
446,233;70,96
446,487;70,97
446,742;70,97
446,997;70,96
447,251;70,98
447,506;71
447,76;71
448,015;71,02
448,269;71,04
448,524;71,04
448,778;71,07
449,033;71,09
449,287;71,09
449,541;71,09
449,796;71,11
450,05;71,11
450,305;71,12
450,559;71,12
450,813;71,13
451,067;71,11
451,322;71,14
451,576;71,13
451,83;71,15
452,084;71,17
452,339;71,18
452,593;71,19
452,847;71,21
453,101;71,24
453,355;71,24
453,609;71,25
453,864;71,25
454,118;71,23
454,372;71,2
454,626;71,22
454,88;71,25
455,134;71,26
455,388;71,25
455,642;71,26
455,896;71,3
456,15;71,32
456,404;71,35
456,658;71,37
456,912;71,39
457,165;71,39
457,419;71,4
457,673;71,4
457,927;71,39
458,181;71,41
458,435;71,42
458,688;71,44
458,942;71,44
459,196;71,47
459,45;71,5
459,703;71,55
459,957;71,56
460,211;71,56
460,464;71,53
460,718;71,57
460,972;71,6
461,225;71,6
461,479;71,62
461,732;71,62
461,986;71,61
462,239;71,65
462,493;71,68
462,746;71,72
463;71,78
463,253;71,81
463,507;71,82
463,76;71,82
464,014;71,82
464,267;71,86
464,52;71,85
464,774;71,85
465,027;71,84
465,28;71,86
465,534;71,86
465,787;71,91
466,04;71,92
466,294;71,91
466,547;71,92
466,8;71,93
467,053;71,92
467,306;71,97
467,56;71,94
467,813;71,97
468,066;71,98
468,319;71,93
468,572;71,96
468,825;71,96
469,078;71,97
469,331;72,01
469,584;72,01
469,837;72,05
470,09;72,04
470,343;72,07
470,596;72,11
470,849;72,12
471,102;72,1
471,355;72,13
471,608;72,17
471,861;72,19
472,114;72,22
472,367;72,27
472,619;72,27
472,872;72,33
473,125;72,35
473,378;72,34
473,631;72,36
473,883;72,38
474,136;72,39
474,389;72,43
474,641;72,42
474,894;72,45
475,147;72,46
475,399;72,5
475,652;72,53
475,905;72,53
476,157;72,55
476,41;72,57
476,662;72,57
476,915;72,58
477,167;72,58
477,42;72,56
477,672;72,56
477,925;72,57
478,177;72,57
478,43;72,56
478,682;72,6
478,934;72,63
479,187;72,66
479,439;72,68
479,691;72,68
479,944;72,69
480,196;72,7
480,448;72,7
480,701;72,7
480,953;72,72
481,205;72,74
481,457;72,73
481,709;72,72
481,962;72,71
482,214;72,71
482,466;72,7
482,718;72,7
482,97;72,68
483,222;72,7
483,474;72,72
483,726;72,79
483,978;72,81
484,23;72,84
484,482;72,85
484,734;72,85
484,986;72,85
485,238;72,87
